id,ville,latitude,longitude,beau_temps,temperature,pluie,humidite,periode
1,Mont Saint Michel,48.6359541,-1.51146,109.3,26.93,0.37,82.0,du 24/06/2026 au 01/07/2026
2,St Malo,48.649518,-2.0260409,109.44,24.94,0.36,84.14,du 24/06/2026 au 01/07/2026
3,Bayeux,49.2764624,-0.7024738,116.83,27.29,0.11,89.43,du 24/06/2026 au 01/07/2026
4,Le Havre,49.4938975,0.1079732,110.26,27.26,0.0,83.0,du 24/06/2026 au 01/07/2026
5,Rouen,49.4404591,1.0939658,111.41,29.41,0.0,82.0,du 24/06/2026 au 01/07/2026
6,Paris,48.8588897,2.320041,101.94,31.97,0.26,69.71,du 24/06/2026 au 01/07/2026
7,Amiens,49.8941708,2.2956951,108.29,31.44,0.56,76.29,du 24/06/2026 au 01/07/2026
8,Lille,50.6365654,3.0635282,109.23,31.04,0.47,77.71,du 24/06/2026 au 01/07/2026
9,Strasbourg,48.584614,7.7507127,109.34,34.59,0.04,74.71,du 24/06/2026 au 01/07/2026
10,Chateau du Haut Koenigsbourg,48.249382,7.3439412,101.26,30.79,0.04,70.43,du 24/06/2026 au 01/07/2026
11,Colmar,48.0777517,7.3579641,110.74,35.27,0.04,75.43,du 24/06/2026 au 01/07/2026
12,Eguisheim,48.0447968,7.3079618,105.44,35.16,0.0,70.29,du 24/06/2026 au 01/07/2026
13,Besancon,47.2380222,6.0243622,114.47,33.96,0.09,80.43,du 24/06/2026 au 01/07/2026
14,Dijon,47.3215806,5.0414701,104.01,34.44,0.0,69.57,du 24/06/2026 au 01/07/2026
15,Annecy,45.8992348,6.1288847,110.64,32.74,0.04,77.86,du 24/06/2026 au 01/07/2026
16,Grenoble,45.1875602,5.7357819,106.69,34.8,0.03,71.86,du 24/06/2026 au 01/07/2026
17,Lyon,45.7578137,4.8320114,102.11,35.6,0.23,66.29,du 24/06/2026 au 01/07/2026
18,Gorges du Verdon,43.7496562,6.3285616,105.91,30.77,0.0,75.14,du 24/06/2026 au 01/07/2026
19,Bormes les Mimosas,43.1506968,6.3419285,97.59,34.73,0.0,62.86,du 24/06/2026 au 01/07/2026
20,Cassis,43.2140359,5.5396318,98.93,33.21,0.0,65.71,du 24/06/2026 au 01/07/2026
21,Marseille,43.2963986,5.3777888,95.94,32.94,0.0,63.0,du 24/06/2026 au 01/07/2026
22,Aix en Provence,43.5298424,5.4474738,106.41,34.7,0.0,71.71,du 24/06/2026 au 01/07/2026
23,Avignon,43.9492493,4.8059012,117.24,35.53,0.0,81.71,du 24/06/2026 au 01/07/2026
24,Uzes,44.0121279,4.4196718,115.14,35.29,0.0,79.86,du 24/06/2026 au 01/07/2026
25,Nimes,43.8374249,4.3600687,112.13,34.99,0.0,77.14,du 24/06/2026 au 01/07/2026
26,Aigues Mortes,43.5661521,4.19154,111.19,32.33,0.0,78.86,du 24/06/2026 au 01/07/2026
27,Saintes Maries de la mer,43.4515922,4.4277202,115.89,30.31,0.0,85.57,du 24/06/2026 au 01/07/2026
28,Collioure,42.52505,3.0831554,108.64,34.89,0.04,73.71,du 24/06/2026 au 01/07/2026
29,Carcassonne,43.2130358,2.3491069,104.87,34.46,0.13,70.29,du 24/06/2026 au 01/07/2026
30,Ariege,42.9455368,1.4065544,105.84,26.09,1.33,78.43,du 24/06/2026 au 01/07/2026
31,Toulouse,43.6044638,1.4442433,108.86,34.14,0.0,74.71,du 24/06/2026 au 01/07/2026
32,Montauban,44.0175835,1.3549991,114.24,34.49,0.04,79.71,du 24/06/2026 au 01/07/2026
33,Biarritz,43.4711437,-1.5527266,113.74,30.19,0.26,83.29,du 24/06/2026 au 01/07/2026
34,Bayonne,43.4945144,-1.4736657,116.04,30.39,0.08,85.57,du 24/06/2026 au 01/07/2026
35,La Rochelle,46.159732,-1.1515951,103.79,30.17,0.04,73.57,du 24/06/2026 au 01/07/2026
