Area,Item,Value,Nutrient nitrogen N (total),Nutrient phosphate P2O5 (total),Nutrient potash K2O (total),Fungicides and Bactericides,Herbicides,Insecticides,Pesticides (total),Rodenticides
Albania,Apples,5.217399999999999e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Apricots,2.0156000000000002e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Barley,1.5e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,"Beans, dry",1.12e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,"Broad beans and horse beans, dry",1.488e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,"Broad beans and horse beans, green",5e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Cherries,4.5662000000000004e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,"Chestnuts, in shell",2.5e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1.57143e-05,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Green garlic,6.2e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Hop cones,6.667000000000001e-07,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Maize (corn),3.8811e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Oats,1.4673e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,"Onions and shallots, dry (excluding dehydrated)",1.2e-05,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Peaches and nectarines,8.6957e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Pears,1.07422e-05,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Plums and sloes,5.0416999999999995e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Potatoes,1.41228e-05,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,"Pumpkins, squash and gourds",1.55e-05,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Rye,1.1537999999999999e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Sour cherries,4.8946000000000005e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Soya beans,1.5e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Spinach,1.03333e-05,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
Albania,Sunflower seed,1.5263e-06,12100.0,4900.0,1700.0,106.0,8.0,179.0,308.0,8.0
