Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Albania              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;73.7;70.9;65.9;61.1;52.5;42.5;29.0;31.8;42.1;53.7;67.8;75.3;59.8;34.4;54.5;73.4;55.5
1902;73.9;71.1;65.8;61.2;52.9;42.6;28.9;31.7;42.0;53.9;67.8;75.2;60.0;34.4;54.6;73.3;55.6
1903;73.7;70.8;65.8;61.5;52.5;42.6;29.1;31.6;42.1;53.7;68.0;75.4;60.0;34.4;54.6;73.5;55.6
1904;74.0;71.0;65.9;61.3;52.6;42.4;29.0;31.5;42.3;53.9;67.9;75.3;60.0;34.3;54.7;73.4;55.6
1905;73.8;71.1;65.9;61.5;52.6;42.3;28.8;31.5;42.3;54.0;67.8;75.3;60.0;34.2;54.7;73.4;55.6
1906;73.8;71.0;65.9;61.0;52.6;42.9;29.1;31.6;42.3;53.7;67.8;75.3;59.8;34.6;54.6;73.5;55.6
1907;73.9;71.2;65.9;61.5;52.4;42.5;29.1;31.5;42.0;53.7;67.9;75.3;59.9;34.4;54.5;73.4;55.6
1908;73.8;71.1;65.7;61.5;52.7;42.4;29.0;31.8;42.1;53.7;67.9;75.4;60.0;34.4;54.6;73.4;55.6
1909;73.9;71.0;65.9;61.3;52.9;42.9;29.4;32.0;42.4;54.1;68.1;75.4;60.1;34.8;54.9;73.4;55.8
1910;74.0;71.0;65.9;61.5;52.9;42.8;29.4;31.9;42.5;53.9;68.0;75.4;60.1;34.7;54.8;73.4;55.8
1911;73.9;71.0;66.0;61.6;53.0;42.8;29.1;31.7;42.2;53.8;67.9;75.4;60.2;34.5;54.6;73.5;55.7
1912;73.9;71.1;65.9;61.6;53.0;42.9;29.2;31.9;42.7;53.9;68.1;75.3;60.2;34.7;54.9;73.4;55.8
