Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Austria              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;65.8;63.8;71.4;62.8;55.2;60.8;53.7;60.4;61.1;60.4;68.4;70.5;63.1;58.3;63.3;69.4;62.9
1902;70.7;67.1;66.2;62.5;70.4;62.6;53.6;60.2;55.4;66.7;66.3;67.4;66.4;58.8;62.8;63.6;64.1
1903;63.7;59.9;54.0;69.6;55.4;61.3;59.6;59.2;53.7;57.0;75.3;73.2;59.7;60.0;62.0;71.3;61.8
1904;69.9;70.9;67.5;61.5;59.4;59.0;43.8;50.7;64.2;66.1;72.9;70.0;62.8;51.2;67.7;68.8;63.0
1905;66.2;70.0;69.6;68.2;60.7;56.3;52.9;58.2;67.8;71.1;69.9;71.7;66.2;55.8;69.6;69.1;65.2
1906;66.7;68.9;64.8;57.2;63.8;68.4;60.6;53.5;60.2;52.5;66.9;70.6;61.9;60.8;59.9;70.0;62.8
1907;69.2;70.3;67.4;69.8;56.0;65.0;64.2;55.5;52.9;55.9;67.6;69.9;64.4;61.6;58.8;68.2;63.6
1908;63.9;70.9;66.8;74.4;63.1;59.0;55.3;62.5;58.2;45.9;67.6;72.9;68.1;59.0;57.2;69.0;63.4
1909;67.2;66.9;68.8;59.6;60.1;65.7;68.8;60.0;65.1;62.0;77.1;69.8;62.8;64.8;68.1;69.3;65.9
1910;71.0;67.1;64.4;65.0;66.1;63.9;67.4;63.0;69.6;58.9;74.9;71.7;65.2;64.8;67.8;69.3;66.9
1911;69.7;66.4;66.9;63.3;68.0;62.0;48.7;50.3;51.5;57.5;68.3;72.5;66.1;53.6;59.1;68.5;62.1
1912;69.4;63.5;68.9;66.5;67.5;66.7;58.9;68.0;75.0;63.3;76.3;69.2;67.6;64.5;71.5;67.3;67.8
1913;70.5;62.2;61.0;66.9;65.2;68.4;70.9;62.8;62.1;57.3;74.3;72.8;64.4;67.4;64.6;67.6;66.2
1914;68.6;61.3;71.5;57.1;73.9;67.3;65.8;57.0;61.4;68.0;75.9;69.5;67.5;63.4;68.4;69.9;66.4
1915;71.9;68.2;74.8;67.1;60.2;52.4;60.1;64.0;58.4;74.3;72.5;68.9;67.4;58.8;68.4;68.6;66.1
1916;69.7;67.2;69.0;61.8;59.8;69.7;64.4;62.3;63.6;63.7;71.9;70.7;63.6;65.5;66.4;68.8;66.2
1917;71.1;64.5;72.4;76.1;52.6;52.3;58.1;59.4;52.6;62.4;72.6;70.1;67.0;56.6;62.5;67.3;63.7
1918;65.7;66.1;60.0;69.3;60.4;64.9;64.5;62.9;60.1;66.9;74.1;72.6;63.2;64.1;67.0;71.1;65.6
1919;73.3;67.3;72.2;77.5;63.2;61.0;69.1;54.7;51.9;69.0;74.3;70.2;71.0;61.6;65.1;68.0;67.0
1920;70.3;63.6;60.7;70.6;62.6;65.9;56.9;64.6;69.8;55.7;66.2;73.5;64.6;62.4;63.9;71.0;65.0
1921;69.8;69.7;51.6;64.0;60.1;65.1;48.5;51.6;51.7;48.8;72.7;67.7;58.6;55.1;57.7;66.5;60.1
1922;68.0;63.8;69.0;71.7;58.9;64.1;62.2;58.9;72.0;73.7;73.5;72.9;66.6;61.7;73.1;72.5;67.4
1923;73.9;70.8;69.8;65.3;62.6;78.6;55.5;52.9;58.7;62.0;71.7;72.1;65.9;62.3;64.1;69.5;66.1
1924;66.6;69.8;65.9;71.9;65.2;66.4;63.2;66.2;62.4;57.5;71.3;70.7;67.6;65.3;63.7;68.7;66.4
1925;70.1;65.3;74.9;67.3;62.4;63.8;62.4;65.2;69.3;61.1;78.1;68.2;68.2;63.8;69.5;68.7;67.3
1926;69.1;68.7;72.4;56.2;72.5;74.9;72.4;59.2;56.9;62.1;66.3;75.8;67.0;68.8;61.8;71.6;67.2
1927;73.5;65.5;65.2;73.0;63.4;63.7;62.3;64.7;64.0;60.3;74.9;71.9;67.2;63.6;66.4;69.6;66.9
1928;70.6;66.4;62.7;66.7;68.4;61.2;47.0;58.2;57.3;57.8;73.6;73.5;66.0;55.5;62.9;66.2;63.6
1929;67.3;57.7;63.8;67.9;64.7;66.5;55.4;57.5;46.0;60.1;70.1;68.6;65.4;59.8;58.7;67.4;62.1
1930;69.4;64.1;64.0;71.7;67.0;54.3;63.3;60.6;65.5;62.6;67.0;73.2;67.6;59.4;65.0;71.1;65.2
1931;70.8;69.3;63.3;68.4;57.7;60.6;62.6;66.8;70.6;53.2;70.5;69.1;63.2;63.3;64.8;67.0;65.3
1932;68.2;63.6;65.6;66.7;64.5;62.3;65.1;53.6;59.2;62.5;72.5;71.5;65.6;60.3;64.7;69.6;64.6
1933;70.4;66.9;56.4;67.0;70.6;66.4;55.9;54.9;56.3;57.7;76.2;70.6;64.6;59.1;63.4;69.0;64.1
1934;71.0;65.3;66.7;52.3;56.2;54.5;50.8;62.3;51.8;61.2;70.3;72.8;58.4;55.9;61.1;70.8;61.3
1935;73.0;66.7;61.6;76.9;61.1;56.0;52.2;53.1;57.1;67.3;70.7;71.7;66.5;53.7;65.0;69.2;63.9
1936;68.2;67.6;61.0;67.5;70.6;64.5;66.7;60.1;62.6;71.2;74.3;71.0;66.4;63.8;69.4;69.6;67.1
1937;68.5;69.2;72.1;78.0;57.3;59.5;61.9;60.3;61.2;59.5;73.5;72.5;69.2;60.6;64.7;69.1;66.1
1938;69.8;65.1;57.0;74.9;61.1;59.9;60.0;65.3;53.2;62.9;68.0;69.3;64.3;61.7;61.4;67.5;63.9
1939;69.7;63.4;74.9;64.9;82.1;59.2;58.4;57.5;66.7;71.7;69.7;70.2;74.0;58.4;69.4;65.2;67.4
1940;64.7;60.8;67.2;63.3;69.2;57.6;63.7;64.9;62.8;63.1;67.1;69.7;66.6;62.1;64.3;68.3;64.5
1941;67.8;67.3;65.5;73.7;67.1;58.4;59.5;61.0;52.7;68.5;73.6;69.7;68.7;59.7;64.9;67.5;65.4
1942;66.1;66.9;63.5;67.2;60.5;60.0;62.1;50.0;53.4;54.5;78.1;67.8;63.7;57.4;62.0;65.0;62.5
1943;66.1;61.1;51.2;61.9;52.1;67.4;47.7;50.3;58.9;52.4;72.2;73.6;55.0;55.1;61.2;71.5;59.6
1944;70.1;70.7;79.7;65.6;61.4;66.9;62.5;51.2;57.5;65.6;73.6;69.7;68.9;60.2;65.6;68.1;66.2
1945;65.6;68.9;67.5;58.9;56.0;57.5;55.7;61.7;60.0;59.8;75.9;69.6;60.8;58.3;65.2;68.3;63.1
1946;64.8;70.6;68.0;45.5;59.8;69.3;55.7;60.6;52.8;62.1;70.1;71.1;57.8;61.9;61.6;67.8;62.5
1947;66.8;65.4;64.2;54.9;59.1;54.2;53.1;50.6;42.5;42.5;70.2;72.9;59.4;52.6;51.7;69.3;58.0
1948;67.7;67.2;55.3;57.9;60.4;62.1;68.4;62.7;54.1;53.0;66.8;68.0;57.9;64.4;58.0;65.9;62.0
1949;68.7;60.9;60.0;51.3;68.7;62.3;47.2;51.8;46.4;43.7;71.0;69.9;60.0;53.8;53.7;66.9;58.5
1950;67.6;63.1;61.0;69.9;55.8;50.7;53.9;52.6;66.3;60.1;72.4;71.8;62.2;52.4;66.3;70.9;62.1
1951;72.4;68.5;71.6;56.3;67.8;64.0;55.0;57.1;56.5;43.9;68.3;69.2;65.2;58.7;56.2;69.1;62.5
1952;68.0;70.0;64.3;54.8;66.0;60.9;44.6;50.2;69.3;68.0;73.6;71.6;61.7;51.9;70.3;68.6;63.4
1953;69.2;65.2;45.9;51.6;57.1;69.0;57.3;53.2;49.7;55.9;65.0;71.2;51.5;59.8;56.8;66.4;59.2
1954;67.0;60.9;61.4;73.8;64.9;65.0;74.0;59.9;58.7;54.4;65.1;72.1;66.7;66.3;59.4;69.3;64.8
1955;66.6;69.1;66.5;60.2;60.0;67.5;69.1;62.2;57.0;58.0;69.5;69.5;62.3;66.2;61.5;63.6;64.6
1956;68.2;53.0;65.2;72.5;58.0;75.8;60.1;63.0;45.8;56.6;73.8;68.5;65.3;66.3;58.7;66.3;63.4
1957;62.0;68.2;58.2;58.9;66.7;58.7;62.9;62.5;66.1;45.5;69.9;69.6;61.3;61.3;60.5;67.0;62.4
1958;64.0;67.3;67.8;71.6;59.7;70.3;56.4;58.3;50.7;63.0;81.0;66.3;66.4;61.7;64.9;60.4;64.7
1959;63.9;50.9;60.0;55.6;62.6;65.8;54.5;61.2;38.2;36.8;69.9;70.3;59.4;60.5;48.3;67.6;57.5
1960;68.4;64.1;69.1;66.8;61.8;66.2;65.1;65.4;57.1;65.0;69.3;72.5;65.9;65.6;63.8;65.5;65.9
1961;65.6;58.5;56.9;64.5;75.6;63.7;60.1;56.5;40.2;51.0;65.4;62.7;65.6;60.1;52.2;64.2;60.0
1962;65.3;64.5;70.2;62.3;71.3;61.1;60.3;47.4;46.1;41.8;73.5;64.6;67.9;56.3;53.8;60.8;60.7
