Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belarus              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;83.7;72.3;74.7;65.6;45.4;41.2;34.7;43.1;57.6;62.0;79.1;87.1;61.9;39.7;66.2;81.3;62.2
1902;83.5;73.3;70.9;68.5;58.5;51.7;54.4;53.2;61.6;74.9;79.0;84.2;66.0;53.1;71.8;80.5;67.8
1903;83.0;74.4;68.4;65.1;54.1;50.1;47.4;59.8;51.8;79.9;86.3;90.3;62.5;52.4;72.7;86.6;67.5
1904;83.7;85.9;67.8;62.1;55.3;46.8;44.7;50.0;58.4;76.2;86.5;86.6;61.7;47.2;73.7;82.5;67.0
1905;82.4;78.4;79.1;70.3;54.6;51.3;47.9;40.3;59.2;84.1;90.4;91.1;68.0;46.5;77.9;86.0;69.1
1906;83.5;83.5;74.4;58.3;45.0;47.9;56.1;57.0;64.1;77.2;90.7;89.4;59.2;53.7;77.3;84.8;68.9
1907;82.4;82.5;72.4;80.2;56.3;56.1;54.5;56.1;50.9;69.8;82.9;83.8;69.6;55.5;67.9;84.2;69.0
1908;82.9;85.9;70.5;77.7;61.9;48.5;47.4;58.6;69.0;72.5;78.7;88.2;70.0;51.5;73.4;81.9;70.2
1909;83.0;74.6;85.4;78.8;62.4;48.4;68.6;55.0;57.4;63.3;83.6;92.2;75.5;57.3;68.1;89.4;71.1
1910;83.9;91.9;75.4;65.4;46.7;39.0;39.3;48.5;50.8;63.9;85.5;94.0;62.5;42.3;66.7;83.0;65.4
1911;84.2;70.8;76.5;68.1;48.1;55.1;49.6;49.0;62.2;70.8;79.8;92.6;64.2;51.2;70.9;82.2;67.2
1912;81.0;72.9;91.4;72.5;65.0;50.7;52.5;53.3;70.8;78.3;88.6;95.0;76.3;52.1;79.3;85.8;72.7
1913;84.7;77.8;73.0;62.0;55.5;55.5;55.7;52.0;59.1;65.5;81.0;86.0;63.5;54.4;68.6;87.3;67.3
1914;82.4;93.6;82.5;68.4;44.8;40.7;39.3;53.2;61.4;77.7;81.8;94.4;65.2;44.4;73.6;87.7;68.3
1915;84.1;84.8;68.8;67.7;40.2;41.5;44.4;55.5;67.3;67.9;86.5;85.7;58.9;47.1;73.9;85.7;66.2
1916;84.8;86.6;83.0;66.8;55.6;48.8;54.7;55.6;56.6;76.0;86.6;91.3;68.5;53.0;73.1;79.1;70.5
1917;81.5;64.5;66.1;70.4;43.2;38.8;60.7;52.9;59.2;68.7;85.4;89.9;59.9;50.8;71.1;84.3;65.1
1918;81.9;81.1;67.7;57.2;41.6;49.4;54.9;55.1;60.1;66.0;85.3;89.9;55.5;53.1;70.5;83.6;65.8
1919;84.9;76.2;72.5;65.3;53.9;51.3;51.5;54.3;49.5;68.6;79.1;87.2;63.9;52.4;65.7;83.9;66.2
1920;83.4;81.2;74.2;57.8;42.9;53.7;36.2;42.6;57.8;66.1;86.8;87.7;58.3;44.2;70.2;81.2;64.2
