Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belgium              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;77.4;71.5;82.0;66.0;46.6;58.2;57.3;62.4;69.8;74.9;73.5;85.8;64.8;59.3;72.7;82.2;68.8
1902;85.6;75.1;72.7;67.0;72.8;61.3;62.1;67.9;66.4;79.6;76.4;82.4;70.8;63.8;74.1;77.5;72.4
1903;80.2;69.8;64.7;81.4;58.6;63.3;68.0;68.7;64.7;78.9;81.0;89.5;68.2;66.7;74.9;85.0;72.4
1904;83.4;82.2;77.0;67.5;61.1;59.8;51.8;54.2;67.7;74.6;78.1;83.8;68.5;55.3;73.5;80.6;70.1
1905;78.8;79.0;76.0;74.1;57.7;57.3;61.0;64.0;75.1;80.8;77.7;86.3;69.3;60.8;77.9;82.2;72.3
1906;81.0;79.4;74.8;58.3;68.5;68.5;65.5;61.0;61.8;69.0;78.4;82.5;67.2;65.0;69.7;81.9;70.7
1907;82.8;80.3;69.3;68.5;57.8;72.0;73.5;64.0;59.4;75.0;75.2;84.6;65.2;69.8;69.9;80.6;71.9
1908;75.6;81.7;77.8;76.6;68.9;60.6;67.9;71.2;66.9;59.4;68.9;87.4;74.5;66.6;65.1;79.3;71.9
1909;78.1;72.4;79.7;59.0;49.4;69.6;79.1;64.4;72.5;73.9;78.3;82.7;62.7;71.0;74.9;81.4;71.6
1910;83.7;77.7;65.2;68.7;64.7;68.5;79.0;68.7;73.0;73.0;79.1;84.4;66.2;72.1;75.1;82.1;73.8
1911;87.4;74.5;72.1;63.3;58.9;63.8;50.0;49.3;55.4;72.7;78.1;84.6;64.8;54.4;68.7;78.7;67.5
1912;83.2;68.4;77.8;61.2;59.1;67.2;62.4;78.9;75.6;69.9;83.0;82.2;66.0;69.5;76.2;78.1;72.4
1913;84.6;67.7;71.0;66.7;62.0;71.3;77.8;65.5;66.6;69.5;81.6;87.4;66.6;71.5;72.6;77.6;72.6
1914;80.8;64.7;80.6;54.5;72.7;66.5;71.0;61.8;66.4;79.9;81.5;82.3;69.3;66.4;76.0;82.0;71.9
1915;87.4;76.4;81.5;65.2;55.1;51.1;67.9;70.1;63.8;80.2;78.3;82.4;67.3;63.0;74.1;80.7;71.6
1916;84.0;75.8;75.7;65.4;60.7;74.4;72.6;68.4;69.4;80.4;77.6;86.5;67.3;71.8;75.8;82.2;74.2
1917;89.8;70.2;80.9;79.2;46.2;50.6;66.7;73.0;62.3;74.8;81.2;82.7;68.8;63.4;72.8;78.6;71.5
1918;78.1;75.1;63.4;79.9;54.3;64.7;67.8;65.5;72.5;80.3;77.6;86.0;65.9;66.0;76.8;83.0;72.1
1919;87.9;75.1;80.1;76.6;47.4;56.6;75.4;56.3;58.3;74.7;79.7;81.5;68.0;62.8;70.9;75.3;70.8
1920;80.8;63.6;63.0;79.0;60.8;62.8;65.6;70.5;72.4;64.6;71.0;85.4;67.6;66.3;69.3;81.1;70.0
1921;83.6;74.2;56.0;57.0;56.4;63.6;53.2;57.7;57.8;58.1;76.5;82.7;56.5;58.2;64.2;76.6;64.7
1922;80.5;66.5;77.8;78.7;48.9;66.5;73.5;67.5;77.3;78.1;78.6;87.9;68.5;69.2;78.0;85.8;73.5
1923;88.1;81.5;74.9;64.9;75.5;81.5;62.9;61.1;66.1;78.3;82.0;84.1;71.8;68.5;75.5;81.3;75.1
1924;79.5;80.2;71.7;76.6;66.0;69.1;69.2;76.4;73.9;76.4;76.3;85.3;71.4;71.6;75.6;82.0;75.1
