Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bosnia-Herzegovinia  : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;75.8;71.8;67.9;61.3;54.5;52.1;40.4;40.7;49.1;59.1;73.5;79.1;61.2;44.4;60.5;77.1;60.4
1902;78.1;74.2;66.5;62.2;61.2;52.6;38.5;39.4;46.5;61.6;73.9;78.0;63.3;43.5;60.7;74.4;61.0
1903;75.2;69.9;64.1;65.0;53.2;52.4;40.9;37.0;46.4;56.3;75.2;80.2;60.8;43.4;59.3;77.1;59.6
1904;78.2;73.0;66.5;62.0;54.5;51.7;39.9;35.8;50.9;61.1;74.8;78.9;61.0;42.4;62.3;76.5;60.6
1905;75.9;74.6;67.9;64.1;56.4;51.5;37.5;37.8;50.3;63.1;73.9;79.4;62.8;42.3;62.4;76.2;61.0
1906;76.4;72.9;66.4;60.0;57.0;53.7;41.3;37.5;49.7;57.1;73.2;79.5;61.1;44.2;60.0;77.2;60.4
1907;77.3;74.7;67.7;65.3;52.5;52.3;40.7;36.8;45.7;57.9;74.6;78.8;61.8;43.3;59.4;76.2;60.4
1908;75.5;74.4;65.9;65.2;56.1;51.9;39.1;40.5;47.6;58.1;74.8;80.5;62.4;43.9;60.2;77.0;60.8
1909;77.0;73.5;68.2;62.7;59.1;53.6;44.4;41.5;51.0;62.5;77.4;79.8;63.3;46.5;63.7;77.2;62.6
1910;78.6;73.2;67.9;65.4;60.0;53.4;43.1;42.0;53.9;60.7;76.0;80.2;64.4;46.2;63.5;76.7;62.9
1911;77.1;72.7;68.6;64.9;61.3;53.3;39.7;38.1;48.3;59.3;74.2;80.3;64.9;43.7;60.6;77.2;61.5
1912;78.0;73.2;68.4;65.8;61.8;53.5;42.6;42.8;56.0;62.0;77.5;79.0;65.3;46.3;65.1;76.5;63.4
1913;78.5;72.1;65.7;65.6;59.5;53.7;46.3;42.4;51.1;60.2;76.7;80.1;63.6;47.5;62.7;76.8;62.7
1914;77.7;72.7;69.1;61.3;61.5;53.3;44.3;40.0;50.4;62.5;77.0;79.7;64.0;45.9;63.3;77.6;62.5
1915;78.8;74.4;70.4;65.2;58.2;52.8;42.3;42.3;49.8;65.2;76.3;79.0;64.6;45.8;63.8;77.0;62.9
1916;77.7;74.2;68.5;64.2;57.4;53.3;42.8;41.6;52.1;61.2;75.9;78.6;63.4;45.9;63.1;76.7;62.3
1917;78.4;72.9;69.5;68.9;54.3;52.3;41.5;39.3;47.3;60.5;76.3;79.6;64.2;44.4;61.4;76.7;61.7
1918;77.1;73.5;66.7;65.5;57.5;53.5;44.4;42.3;49.1;63.8;77.1;80.4;63.2;46.7;63.3;77.7;62.6
