Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bulgaria             : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;82.1;77.9;76.4;69.0;61.3;53.2;41.3;36.5;47.5;58.0;71.0;82.0;68.9;43.7;58.8;80.9;63.0
1902;80.4;80.2;75.6;69.1;63.5;52.9;39.4;35.9;44.7;57.9;72.7;80.6;69.4;42.7;58.4;78.7;62.7
1903;79.8;75.7;73.7;68.4;58.0;53.4;35.7;31.7;36.5;51.1;71.8;82.8;66.7;40.3;53.1;79.4;59.9
1904;81.5;74.0;75.1;57.3;57.6;48.8;34.4;33.2;47.4;57.8;72.5;80.5;63.3;38.8;59.3;80.2;60.0
1905;79.9;80.4;77.5;67.4;61.7;53.8;38.5;35.5;44.4;57.3;75.6;82.4;68.9;42.6;59.1;82.8;62.9
1906;83.7;82.4;71.8;66.3;62.4;53.2;39.4;35.5;44.7;59.6;76.5;81.5;66.8;42.7;60.3;80.6;63.1
1907;81.2;79.0;75.4;69.6;63.0;54.8;43.1;38.3;45.1;56.8;74.8;81.4;69.3;45.4;58.9;81.6;63.5
1908;81.0;82.3;78.7;70.2;57.7;53.7;42.8;38.5;45.8;54.5;73.9;83.1;68.9;45.0;58.1;80.9;63.5
1909;81.6;77.9;77.8;68.1;57.6;53.7;41.7;37.7;46.8;57.6;75.4;82.0;67.8;44.4;60.0;82.7;63.2
1910;82.1;84.1;71.9;67.9;63.1;54.7;44.0;38.8;46.0;58.8;75.1;83.1;67.7;45.8;60.0;80.3;64.1
1911;83.2;74.6;78.7;69.3;59.8;52.7;39.7;37.2;46.0;56.8;74.4;83.9;69.3;43.2;59.0;80.9;63.0
1912;79.7;78.9;76.7;67.9;62.1;52.9;43.0;40.6;47.8;58.7;76.5;83.2;68.9;45.5;61.0;81.4;64.0
1913;84.1;76.9;71.9;66.9;62.9;53.0;41.8;38.4;46.1;55.7;73.9;81.4;67.2;44.4;58.5;81.6;62.7
1914;81.6;81.6;72.9;64.1;58.5;53.7;42.7;38.8;49.8;62.6;76.7;83.4;65.2;45.1;63.0;82.7;63.9
1915;83.6;81.0;74.7;65.7;58.8;53.0;41.2;40.4;46.2;60.9;74.2;79.8;66.4;44.9;60.4;81.2;63.3
1916;82.5;81.2;77.1;67.8;64.9;53.6;42.1;38.2;45.4;57.9;77.2;83.1;69.9;44.6;60.2;79.0;64.3
1917;80.9;72.9;73.8;65.5;58.0;53.6;41.2;37.4;41.4;58.3;74.7;83.6;65.8;44.1;58.1;81.1;61.8
1918;80.8;79.0;72.2;69.0;57.5;54.5;41.9;36.1;44.8;58.8;76.4;83.4;66.3;44.2;60.0;83.0;62.9
1919;84.8;80.7;74.0;69.1;64.2;54.3;42.5;35.9;42.2;59.0;72.9;81.4;69.1;44.2;58.0;80.5;63.4
1920;82.5;77.7;75.2;68.6;58.7;53.5;39.8;38.4;44.3;55.0;75.5;84.2;67.5;43.9;58.3;81.0;62.8
1921;80.7;78.2;71.0;68.4;58.3;53.3;41.9;38.2;43.6;54.4;75.6;83.1;65.9;44.5;57.9;82.7;62.2
1922;83.5;81.5;72.7;71.6;61.3;53.8;38.6;37.6;46.4;59.0;75.7;81.6;68.5;43.3;60.4;82.3;63.6
1923;84.3;80.8;77.4;68.6;59.2;53.1;38.8;36.7;43.8;56.3;74.7;80.5;68.4;42.9;58.3;80.5;62.9
1924;80.9;80.0;77.1;71.0;59.8;53.2;38.5;37.7;46.5;57.3;76.0;83.0;69.3;43.1;60.0;81.6;63.4
1925;81.4;80.3;74.9;68.6;63.1;53.9;41.1;38.4;46.5;55.8;74.5;81.4;68.9;44.5;58.9;82.6;63.3
1926;83.8;82.6;77.3;67.0;62.4;55.1;44.9;37.2;44.7;54.0;74.9;82.3;68.9;45.7;57.9;82.5;63.8
1927;83.6;81.6;75.7;68.3;62.2;53.8;41.2;37.9;45.0;55.9;72.5;81.5;68.8;44.3;57.8;81.2;63.3
1928;83.2;78.8;75.1;65.0;59.0;52.5;39.7;36.9;45.1;57.6;76.7;83.2;66.4;43.0;59.8;77.9;62.7
1929;77.3;73.2;73.3;62.1;54.2;48.5;34.3;31.9;47.9;57.0;76.4;82.2;63.2;38.2;60.4;81.6;59.9
1930;83.3;79.4;69.2;67.3;63.6;50.9;34.4;33.4;39.9;55.7;71.9;81.4;66.7;39.6;55.8;81.8;60.9
1931;82.0;81.9;71.3;68.3;53.9;52.7;33.5;26.0;41.0;44.0;72.2;79.6;64.5;37.4;52.4;78.3;58.9
1932;84.4;71.0;72.7;58.0;47.9;41.4;27.0;30.7;29.0;39.3;77.5;78.3;59.5;33.0;48.6;77.7;54.8
1933;78.5;76.3;71.7;63.4;65.0;52.5;42.7;34.0;40.5;44.8;69.7;78.5;66.7;43.0;51.7;77.2;59.8
1934;82.3;70.9;66.9;46.6;49.8;41.4;32.3;24.9;43.1;47.2;70.9;82.0;54.4;32.9;53.7;80.2;54.9
1935;83.7;74.8;74.9;58.5;47.7;42.9;25.9;27.1;34.9;44.8;77.8;79.7;60.4;31.9;52.5;79.0;56.1
1936;76.6;80.8;70.1;64.8;66.6;55.9;40.6;41.1;38.7;57.7;76.3;78.8;67.2;45.9;57.6;75.5;62.3
1937;79.0;68.9;67.0;73.0;53.8;39.1;31.0;32.9;41.5;60.8;77.0;81.8;64.6;34.3;59.8;81.8;58.8
1938;82.4;81.4;64.1;72.3;52.8;39.9;34.6;31.6;46.9;40.4;69.7;86.8;63.1;35.4;52.3;79.8;58.6
1939;78.6;74.1;75.7;53.5;51.2;57.0;34.8;38.6;43.7;56.1;78.0;80.8;60.1;43.5;59.3;81.9;60.2
1940;86.0;78.9;72.2;71.5;75.3;60.6;44.4;41.3;44.2;56.0;76.5;84.6;73.0;48.8;58.9;82.4;66.0
