Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Croatia              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;71.5;67.8;67.5;59.5;52.1;51.0;40.3;42.6;51.3;60.1;71.0;75.0;59.7;44.6;60.8;73.0;59.2
1902;73.9;70.2;64.8;60.0;60.5;52.2;37.0;41.0;46.9;63.4;70.7;73.4;61.8;43.4;60.3;69.8;59.5
1903;70.4;65.5;60.0;62.6;50.7;52.1;40.8;39.0;46.6;56.2;72.5;75.9;57.7;44.0;58.4;72.9;57.7
1904;73.2;69.6;64.7;59.0;52.4;50.9;35.8;36.9;52.5;61.9;72.4;74.8;58.7;41.2;62.3;72.4;58.7
1905;71.4;70.9;66.3;61.5;54.7;50.3;36.6;39.8;52.6;65.0;71.1;75.3;60.8;42.2;62.9;72.2;59.6
1906;71.9;69.3;63.7;57.8;55.7;51.3;40.8;37.1;49.6;55.3;70.0;75.4;59.0;43.0;58.3;72.9;58.1
1907;72.9;70.4;65.3;64.0;50.4;50.9;40.6;37.4;46.4;57.8;71.4;74.5;59.9;43.0;58.5;71.8;58.5
1908;70.1;70.9;64.5;64.9;53.6;50.3;37.6;42.2;48.5;55.0;71.8;76.7;61.0;43.4;58.4;72.9;58.8
1909;72.2;69.7;66.7;59.7;56.0;52.1;43.6;41.7;52.0;62.3;75.4;75.5;60.8;45.8;63.2;73.1;60.6
1910;74.6;69.1;65.7;62.7;57.9;51.6;42.9;43.3;56.0;60.5;73.9;76.0;62.1;45.9;63.5;72.5;61.2
1911;72.8;68.6;66.4;61.8;60.5;51.7;36.7;37.5;47.5;58.8;70.6;76.5;62.9;42.0;59.0;72.9;59.1
1912;74.0;68.3;66.8;63.8;59.8;51.7;42.0;45.1;59.0;63.0;75.5;74.7;63.5;46.2;65.8;72.1;62.0
1913;74.2;67.4;62.8;63.9;57.8;52.1;47.5;44.1;52.0;59.5;74.6;76.5;61.5;47.9;62.0;72.4;61.0
1914;73.4;67.4;67.9;57.7;62.0;51.7;44.5;40.6;51.1;63.7;74.7;75.1;62.5;45.6;63.2;73.6;60.8
1915;75.0;70.6;69.6;63.0;56.3;51.3;40.9;43.7;49.8;67.5;73.3;74.9;63.0;45.3;63.6;72.6;61.3
1916;73.5;69.5;66.6;60.5;54.0;52.0;42.0;42.7;52.9;61.7;73.2;74.5;60.4;45.5;62.6;72.5;60.2
1917;74.5;68.4;67.8;68.1;49.4;50.0;39.5;39.5;46.0;61.0;73.6;75.1;61.7;43.0;60.2;71.8;59.4
1918;71.9;68.4;63.3;64.3;54.6;51.6;43.7;43.5;49.6;64.8;73.9;77.0;60.7;46.3;62.8;74.1;60.5
1919;76.0;69.3;68.3;69.0;56.9;52.4;45.3;39.0;46.3;65.3;74.3;75.6;64.7;45.5;62.0;72.7;61.5
1920;74.1;68.5;63.1;63.5;55.5;52.3;39.6;45.8;55.1;60.0;70.7;77.6;60.7;45.9;62.0;74.3;60.5
1921;74.0;71.2;58.8;62.8;53.4;51.0;35.1;37.3;46.4;55.2;72.6;73.9;58.4;41.1;58.0;71.9;57.6
1922;73.1;68.6;66.1;64.1;53.3;51.4;39.1;39.0;55.8;69.8;73.6;76.1;61.2;43.2;66.4;74.8;60.8
1923;76.3;71.9;67.3;61.7;51.6;51.9;39.3;36.2;49.0;59.7;72.6;76.8;60.2;42.5;60.5;73.3;59.5
1924;72.2;70.8;65.3;65.5;55.5;51.6;41.4;44.5;50.3;59.1;73.4;75.5;62.1;45.8;60.9;72.6;60.4
1925;73.7;68.7;69.3;62.8;56.1;51.0;42.4;42.7;53.2;60.3;76.3;73.9;62.7;45.4;63.3;72.5;60.9
1926;73.4;70.1;69.2;57.8;60.3;52.5;46.3;39.5;49.6;59.8;69.1;78.6;62.4;46.1;59.5;73.8;60.5
1927;75.5;67.4;63.7;64.7;54.4;50.6;39.0;42.0;50.8;60.1;72.9;76.2;60.9;43.8;61.3;73.1;59.8
1928;73.9;69.1;64.2;61.7;57.4;50.6;36.7;39.4;50.5;58.4;73.7;76.9;61.1;42.2;60.9;71.0;59.4
1929;72.0;64.2;63.7;62.4;57.9;51.1;36.4;41.3;44.6;59.4;72.2;73.9;61.3;43.0;58.7;71.4;58.3
1930;73.2;67.0;64.3;64.5;58.0;50.7;40.9;41.3;51.3;61.0;69.6;76.8;62.3;44.3;60.7;73.7;59.9
1931;74.4;69.8;63.7;62.4;51.8;50.1;38.4;44.7;55.0;56.3;73.1;74.7;59.3;44.4;61.4;71.7;59.5
1932;72.9;67.6;65.6;62.7;55.6;50.7;42.0;36.3;49.5;60.7;73.4;75.9;61.3;43.0;61.2;73.3;59.4
1933;74.2;69.9;61.4;65.1;63.0;52.3;36.3;39.6;49.4;59.4;75.5;75.7;63.2;42.7;61.4;72.6;60.1
1934;74.3;67.7;65.2;55.6;50.9;50.1;35.0;45.5;47.6;59.2;70.6;76.6;57.2;43.5;59.1;73.7;58.2
1935;74.9;69.6;64.1;66.6;54.0;48.4;34.0;40.0;47.9;66.0;72.1;75.5;61.5;40.8;62.0;72.5;59.4
1936;72.8;69.2;63.2;62.8;62.3;53.1;46.0;42.5;51.9;68.3;73.7;75.5;62.8;47.2;64.6;72.9;61.8
1937;72.8;70.3;67.6;67.7;53.8;51.0;41.2;44.3;51.3;60.8;74.1;77.2;63.0;45.5;62.1;73.2;61.0
1938;73.9;68.3;60.5;67.0;55.8;50.3;41.8;47.7;47.8;60.3;69.8;75.0;61.1;46.6;59.3;71.9;59.9
1939;73.0;67.8;70.4;60.1;69.5;51.6;39.4;38.8;54.0;66.6;72.2;75.1;66.6;43.2;64.2;71.0;61.5
1940;71.5;66.4;65.4;61.7;61.2;51.7;41.3;43.3;50.2;63.7;70.4;74.6;62.8;45.5;61.4;72.1;60.1
1941;72.4;69.2;64.1;65.8;58.0;49.9;40.1;39.4;47.1;64.6;73.0;74.1;62.6;43.1;61.6;71.8;59.8
1942;72.0;69.3;64.4;63.6;53.6;51.2;40.2;35.9;46.0;56.3;75.6;73.7;60.6;42.4;59.3;70.5;58.5
1943;71.3;66.5;58.8;59.3;51.1;52.2;36.1;32.1;49.8;59.2;73.8;77.2;56.4;40.1;60.9;73.9;57.3
1944;73.4;70.9;72.6;62.4;55.8;52.0;43.1;38.7;50.1;63.2;74.1;75.0;63.6;44.6;62.4;72.5;60.9
1945;71.3;71.0;67.2;58.1;49.2;49.7;37.9;41.4;50.9;59.5;73.6;75.3;58.2;43.0;61.3;72.5;58.8
1946;71.4;70.9;65.7;52.2;54.0;51.6;38.6;41.4;45.7;61.0;72.8;76.3;57.3;43.9;59.8;72.3;58.5
1947;72.4;68.2;65.8;54.6;54.2;49.8;38.3;36.3;41.4;52.9;72.6;77.1;58.2;41.5;55.6;72.9;57.0
1948;72.3;69.3;60.2;58.3;54.1;52.8;45.9;43.5;47.4;57.8;70.4;73.9;57.6;47.4;58.5;71.1;58.8
1949;73.0;66.4;63.3;54.4;59.6;51.3;35.4;40.1;46.0;54.4;73.3;74.8;59.1;42.3;57.9;71.4;57.7
