Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Denmark              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;77.1;70.5;75.6;65.5;52.0;63.8;49.7;58.1;60.7;71.1;68.6;76.7;64.4;57.2;66.8;75.5;65.8
1902;79.7;70.0;73.3;62.4;65.8;54.0;61.8;64.7;63.0;70.7;70.8;76.0;67.2;60.2;68.2;76.0;67.7
1903;77.9;74.0;70.1;71.4;60.7;59.1;61.5;68.7;62.0;74.4;76.5;80.3;67.4;63.1;71.0;80.2;69.7
1904;79.9;80.3;72.1;67.6;61.0;57.2;48.5;56.2;60.4;71.4;77.0;75.7;66.9;53.9;69.6;76.3;67.3
1905;77.5;75.7;72.2;74.4;50.6;51.0;57.7;58.7;68.3;72.0;76.1;78.0;65.7;55.8;72.1;79.0;67.7
1906;78.4;80.6;74.5;55.8;56.9;57.2;55.0;59.7;62.8;70.5;75.9;75.2;62.4;57.3;69.7;77.2;66.9
1907;79.2;77.1;67.9;64.4;55.1;67.5;64.6;66.9;61.4;68.8;71.6;77.7;62.5;66.4;67.3;77.5;68.5
1908;77.5;77.3;74.2;67.7;66.4;55.8;57.7;62.2;65.7;63.5;66.9;77.0;69.5;58.6;65.4;75.5;67.7
1909;78.0;71.5;73.2;63.5;55.3;60.4;69.1;62.9;70.3;71.7;72.2;75.4;64.0;64.1;71.4;77.8;68.6
1910;79.2;78.7;65.9;64.4;57.4;52.7;63.4;64.7;65.4;70.1;75.7;77.5;62.6;60.3;70.4;76.8;67.9
1911;79.9;73.1;70.2;62.6;52.3;57.2;52.4;50.0;56.1;69.1;76.2;78.5;61.7;53.2;67.1;76.5;64.8
1912;77.7;73.2;72.9;58.6;63.0;65.0;54.0;66.5;66.7;69.4;76.6;76.2;64.8;61.8;70.9;76.4;68.3
1913;79.5;73.4;66.1;57.7;53.3;59.4;60.4;61.4;60.7;67.1;74.8;77.6;59.0;60.4;67.5;76.0;65.9
1914;78.5;71.9;72.9;58.9;59.4;60.5;57.6;57.5;60.6;78.5;78.1;76.9;63.7;58.6;72.4;77.7;67.6
1915;79.9;76.4;74.8;61.7;50.3;50.8;64.5;65.4;59.4;77.5;74.8;74.4;62.3;60.2;70.6;76.8;67.5
1916;79.0;77.0;79.3;59.0;59.0;67.2;63.1;64.5;61.4;71.6;76.5;78.9;65.8;64.9;69.8;76.4;69.7
1917;79.5;70.9;74.0;69.7;42.3;45.2;55.7;61.2;64.4;70.7;73.2;75.5;62.0;54.0;69.5;76.2;65.2
1918;77.4;75.8;64.8;62.8;47.1;60.9;59.5;61.8;69.5;75.2;75.5;77.8;58.2;60.7;73.4;77.5;67.3
1919;80.0;74.6;72.0;68.7;48.2;60.5;63.4;60.7;56.7;70.8;75.1;75.5;63.0;61.6;67.5;75.3;67.2
1920;79.0;71.2;65.6;72.4;62.4;56.9;61.2;66.1;68.4;61.6;71.1;78.8;66.8;61.4;67.0;77.1;67.9
1921;78.6;73.9;62.9;56.7;49.5;59.8;51.4;56.0;57.4;62.8;75.0;75.4;56.4;55.7;65.1;74.8;63.3
1922;77.7;71.2;72.9;67.1;56.0;58.2;68.2;61.9;67.4;66.6;72.6;78.5;65.3;62.8;68.9;79.3;68.2
1923;80.7;78.8;64.9;61.1;67.3;74.2;57.3;66.1;67.7;73.9;74.6;77.2;64.4;65.9;72.1;75.9;70.3
1924;77.3;73.2;67.7;72.4;62.6;64.2;60.7;61.6;67.5;70.9;72.1;77.4;67.6;62.2;70.2;77.7;69.0
1925;79.4;76.3;72.7;57.9;54.0;59.6;54.3;62.6;66.8;70.1;73.8;73.7;61.5;58.8;70.2;78.5;66.8
1926;79.4;82.4;70.0;60.2;65.5;68.3;56.5;59.7;62.9;71.8;76.9;78.0;65.2;61.5;70.5;78.4;69.3
1927;80.9;76.2;70.9;71.6;62.9;66.4;61.0;64.3;65.9;71.6;78.6;76.6;68.5;63.9;72.0;77.3;70.6
1928;79.6;75.7;60.2;62.3;56.9;65.3;60.6;61.6;54.1;70.1;76.9;79.1;59.8;62.5;67.0;73.9;66.9
1929;78.0;64.5;62.7;65.5;53.4;62.7;56.8;55.4;52.4;72.3;74.3;76.7;60.5;58.3;66.3;76.4;64.6
1930;79.0;73.5;67.1;68.2;59.2;50.1;60.1;58.4;69.9;70.0;72.3;80.0;64.8;56.2;70.7;80.0;67.3
1931;80.4;79.6;61.0;66.2;58.0;63.1;64.5;57.6;63.7;67.6;77.5;75.2;61.7;61.7;69.6;74.3;67.9
1932;78.0;69.6;63.9;63.9;59.5;53.5;55.4;53.9;64.6;72.5;73.8;76.7;62.5;54.2;70.3;76.7;65.4
1933;78.9;74.4;62.1;60.8;59.6;52.3;57.3;54.3;57.8;71.4;77.7;76.3;60.8;54.6;69.0;76.8;65.2
1934;79.9;74.3;76.5;56.0;52.4;49.8;50.3;58.6;54.5;72.0;74.4;79.6;61.6;52.9;67.0;78.3;64.8
1935;80.3;74.9;62.3;64.5;50.9;55.6;54.6;51.2;63.9;71.0;78.4;79.3;59.2;53.8;71.1;78.4;65.6
1936;79.4;76.4;70.5;69.8;59.7;49.3;62.6;59.2;56.2;68.7;76.9;75.9;66.7;57.0;67.3;76.8;67.1
1937;78.9;75.7;76.7;72.0;55.1;61.3;60.1;56.5;62.1;71.0;73.3;77.0;67.9;59.3;68.8;74.2;68.3
1938;78.7;67.0;62.8;56.9;51.0;60.6;58.0;49.9;57.8;72.6;72.9;77.1;56.9;56.2;67.8;77.1;63.8
1939;79.4;74.9;70.9;58.4;47.4;47.5;59.3;52.6;54.5;66.9;73.4;75.1;58.9;53.1;64.9;71.8;63.4
1940;75.3;65.0;66.9;57.4;50.2;43.2;59.1;61.3;63.3;68.8;72.4;75.2;58.1;54.6;68.2;75.3;63.2
