Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Estonia              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;83.4;73.3;64.7;64.9;50.2;46.6;46.2;54.0;64.5;68.8;75.5;82.5;59.9;48.9;69.6;79.2;64.6
1902;83.6;71.4;68.9;67.4;64.2;58.3;64.7;66.0;73.3;76.3;78.7;83.5;66.8;63.0;76.1;81.2;71.4
1903;83.5;76.4;71.9;70.0;60.7;52.8;60.0;67.6;68.5;85.1;87.2;88.0;67.5;60.1;80.3;84.7;72.6
1904;83.6;82.6;63.0;63.0;65.0;56.0;63.1;64.9;67.7;78.6;83.8;84.6;63.6;61.3;76.7;82.3;71.3
1905;83.5;78.7;76.4;68.8;59.1;55.9;63.3;58.7;73.9;85.3;89.2;88.4;68.1;59.3;82.8;84.8;73.4
1906;83.5;82.5;71.6;58.3;48.1;54.9;60.9;67.4;71.3;78.4;87.7;86.4;59.3;61.1;79.1;84.1;70.9
1907;83.5;82.4;68.5;71.4;64.2;56.4;61.8;68.3;66.9;73.0;84.5;84.2;68.0;62.2;74.8;83.8;72.1
1908;83.5;83.6;66.9;69.8;66.0;53.5;57.6;67.9;78.5;77.9;80.2;87.9;67.6;59.7;78.8;82.6;72.8
1909;83.5;76.6;77.9;75.7;65.9;52.2;66.9;64.6;70.0;74.5;83.4;89.5;73.2;61.2;76.0;86.6;73.4
1910;83.5;86.8;79.4;62.7;55.2;50.7;52.5;61.4;65.4;71.2;86.3;90.2;65.8;54.9;74.3;82.7;70.5
1911;83.6;74.2;69.4;67.4;54.8;55.2;57.5;56.9;75.0;73.6;85.1;90.1;63.9;56.6;77.9;83.0;70.2
1912;83.4;75.4;84.0;68.0;63.2;53.3;58.3;59.4;76.5;79.0;88.8;90.5;71.7;57.0;81.4;84.1;73.3
1913;83.6;78.1;73.8;63.5;57.6;57.3;58.4;58.7;67.6;73.1;84.6;86.6;64.9;58.2;75.1;85.7;70.2
1914;83.5;87.0;78.2;65.5;54.4;48.1;46.7;66.4;70.1;78.0;83.1;91.4;66.0;53.7;77.1;86.1;71.0
1915;83.6;83.3;69.5;71.8;56.6;56.4;59.2;64.7;77.0;78.3;88.5;83.7;66.0;60.1;81.3;83.5;72.7
1916;83.5;83.2;75.1;65.9;58.2;54.7;60.9;68.5;71.9;79.8;89.8;91.8;66.4;61.4;80.5;82.0;73.6
