Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Finland              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;74.1;70.6;61.6;64.8;59.2;60.1;59.6;65.2;71.2;76.6;75.5;74.1;61.9;61.6;74.4;72.9;67.7
1902;74.1;70.6;64.4;65.1;63.5;62.4;64.6;69.4;73.1;75.4;76.9;74.3;64.4;65.5;75.1;73.1;69.5
1903;74.1;70.8;66.6;65.8;62.4;61.0;64.0;69.8;72.3;77.8;80.9;76.9;65.0;64.9;77.0;74.0;70.2
1904;74.1;71.1;63.2;63.5;64.5;61.7;64.5;69.4;72.3;77.0;79.3;75.5;63.7;65.2;76.2;73.5;69.7
1905;74.1;70.9;67.7;64.9;61.5;61.7;64.0;67.5;74.6;78.7;81.7;76.5;64.7;64.4;78.3;73.9;70.3
1906;74.1;71.1;64.8;62.1;58.2;61.5;61.8;68.8;72.4;76.6;81.0;76.2;61.7;64.0;76.7;73.8;69.1
1907;74.1;71.0;64.6;65.1;63.8;60.7;62.7;69.4;71.9;75.9;80.1;75.3;64.5;64.3;76.0;73.5;69.6
1908;74.1;71.0;62.1;66.4;59.6;59.2;57.1;68.9;73.2;73.3;78.1;73.4;62.7;61.7;74.9;72.8;68.0
1909;74.1;70.8;65.6;59.2;61.0;56.0;58.3;68.0;68.6;73.9;77.5;69.2;62.0;60.8;73.3;71.5;66.9
1910;74.1;71.2;72.8;66.7;61.6;61.4;61.9;65.3;70.4;67.8;80.9;69.8;67.0;62.8;73.1;71.6;68.7
1911;74.1;70.7;64.2;65.5;58.5;61.9;65.2;63.7;74.2;66.4;79.7;77.9;62.8;63.6;73.4;74.3;68.5
1912;74.1;70.7;72.9;58.4;63.7;60.7;59.1;65.3;74.5;77.5;81.0;77.2;65.0;61.7;77.7;74.1;69.6
1913;74.1;70.8;61.2;66.6;64.8;63.7;58.6;65.4;70.8;76.5;80.6;72.3;64.2;62.6;75.9;72.5;68.8
1914;74.1;71.1;65.4;67.0;63.4;61.3;61.5;71.9;74.1;77.6;79.2;78.4;65.3;64.9;77.0;74.5;70.4
1915;74.1;71.1;62.1;64.3;66.6;66.6;66.4;72.2;75.9;77.7;80.2;74.5;64.3;68.4;77.9;73.2;71.0
1916;74.1;71.1;63.1;65.0;67.7;63.4;61.7;75.3;73.6;77.5;82.8;80.9;65.3;66.8;77.9;75.2;71.3
1917;74.1;70.6;58.5;68.1;67.5;61.7;67.5;66.5;76.5;82.3;83.5;79.8;64.7;65.2;80.8;74.9;71.4
1918;74.1;70.8;65.1;67.2;65.8;69.3;68.1;68.6;74.6;80.2;82.5;82.8;66.0;68.7;79.1;75.9;72.4
1919;74.1;70.7;64.7;67.5;63.9;65.5;63.7;73.2;72.5;75.1;80.1;77.2;65.3;67.5;75.9;74.1;70.7
1920;74.1;71.0;70.5;72.7;63.4;68.4;66.2;69.0;73.4;73.9;81.4;80.4;68.9;67.9;76.2;75.1;72.0
1921;74.1;70.8;69.0;65.9;60.5;67.3;66.3;70.0;74.0;73.2;77.5;76.7;65.1;67.9;74.9;73.9;70.4
1922;74.1;70.9;69.8;65.3;65.6;64.5;67.7;71.1;72.9;75.5;78.0;71.9;66.9;67.7;75.4;72.3;70.6
1923;74.1;70.9;67.3;67.0;66.8;72.4;67.9;73.9;74.1;80.4;80.8;76.8;67.1;71.4;78.4;73.9;72.7
1924;74.1;70.9;65.5;68.1;68.6;70.3;62.0;64.5;72.4;81.1;81.0;78.6;67.4;65.6;78.2;74.6;71.4
1925;74.1;71.2;64.7;65.6;67.7;71.6;59.6;69.9;74.2;77.4;77.9;77.5;66.0;67.0;76.5;74.2;71.0
1926;74.1;71.1;70.1;65.3;68.4;64.7;62.9;70.2;72.7;78.3;81.9;74.8;67.9;65.9;77.6;73.3;71.2
1927;74.1;71.0;69.7;72.6;70.6;67.8;63.2;70.4;73.7;77.0;79.9;74.0;71.0;67.1;76.9;73.0;72.0
1928;74.1;70.9;66.5;66.6;67.9;71.8;71.5;71.5;74.1;74.9;81.1;76.7;67.0;71.6;76.7;73.8;72.3
1929;74.1;70.6;63.5;62.8;61.7;66.7;68.6;70.5;73.4;80.0;83.7;84.6;62.7;68.6;79.0;76.5;71.7
1930;74.1;70.9;67.8;66.6;64.8;64.0;61.6;72.5;74.5;79.6;80.9;77.4;66.4;66.0;78.3;74.2;71.2
1931;74.1;71.0;61.5;70.0;64.3;71.4;64.6;69.2;72.5;76.7;83.4;79.9;65.3;68.4;77.5;74.9;71.6
1932;74.1;70.6;66.2;70.4;68.1;67.7;61.9;67.9;73.4;79.6;82.0;81.3;68.2;65.8;78.3;75.4;71.9
1933;74.1;70.9;64.8;65.6;67.3;60.8;65.1;68.2;72.3;80.0;77.7;69.8;65.9;64.7;76.6;71.6;69.7
1934;74.1;70.8;71.4;62.7;61.9;64.4;67.0;66.9;73.4;80.5;80.5;80.7;65.3;66.1;78.2;75.3;71.2
1935;74.1;70.9;66.0;69.1;68.4;64.2;69.9;66.3;76.0;82.4;82.4;80.3;67.9;66.8;80.3;75.1;72.5
1936;74.1;70.8;68.1;67.9;60.6;58.7;67.1;66.9;70.7;81.8;84.0;84.2;65.6;64.2;78.8;76.5;71.3
1937;74.1;71.0;73.1;62.1;61.2;58.6;63.5;63.7;73.2;76.4;83.7;80.5;65.5;62.0;77.8;75.2;70.1
1938;74.1;70.9;72.5;69.0;67.1;70.4;59.6;62.8;69.6;82.5;83.5;86.1;69.5;64.3;78.5;77.1;72.3
1939;74.1;71.1;71.2;65.8;65.3;60.2;62.1;58.0;70.4;80.7;84.7;79.4;67.4;60.1;78.6;74.7;70.3
1940;74.1;70.5;62.8;65.9;53.0;59.3;64.1;69.5;76.9;79.9;82.2;79.1;60.6;64.3;79.7;74.8;69.8
1941;74.1;71.0;62.2;64.2;62.9;64.7;52.6;71.2;74.2;77.1;81.2;72.0;63.1;62.8;77.5;72.3;69.0
1942;74.1;70.6;60.3;62.8;66.7;65.4;65.9;68.2;72.1;80.3;80.1;77.5;63.3;66.5;77.5;74.2;70.3
1943;74.1;71.1;66.8;71.8;63.4;61.5;65.0;72.4;72.3;76.8;83.0;80.3;67.4;66.3;77.4;75.2;71.5
1944;74.1;71.0;71.2;63.4;67.8;66.2;61.1;65.7;72.2;78.9;83.3;81.4;67.5;64.3;78.1;75.6;71.4
