Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = France               : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;72.9;70.0;71.0;56.1;43.4;41.3;39.2;43.1;56.1;64.3;69.0;75.8;56.8;41.2;63.1;74.2;58.5
1902;74.9;71.9;59.9;58.1;62.2;49.0;36.7;46.5;52.3;68.0;71.9;75.8;60.1;44.1;64.1;71.1;60.6
1903;71.5;65.8;55.0;63.1;50.3;50.5;45.8;47.5;50.0;66.9;73.5;79.8;56.1;48.0;63.5;76.7;60.0
1904;74.9;75.3;64.8;57.0;51.3;45.3;30.8;37.9;52.8;61.6;69.0;76.1;57.7;38.0;61.2;73.9;58.1
1905;71.9;73.6;64.7;59.2;56.1;44.0;34.7;46.1;57.4;63.2;72.0;76.3;60.0;41.6;64.2;74.3;60.0
1906;72.5;74.0;59.6;53.4;51.7;40.4;40.8;34.4;41.3;60.8;74.1;77.0;54.9;38.6;58.7;75.5;56.7
1907;75.6;73.8;55.9;58.6;52.6;52.3;44.7;36.8;43.6;70.3;74.0;76.7;55.7;44.6;62.6;74.0;59.6
1908;70.3;75.1;66.7;63.2;53.2;46.3;45.1;48.0;51.7;53.6;68.2;78.6;61.0;46.4;57.8;73.8;60.0
1909;73.4;69.3;69.1;45.6;45.4;53.7;51.4;41.3;54.8;62.7;73.5;76.4;53.3;48.8;63.7;74.9;59.7
1910;75.3;72.9;58.3;60.0;61.9;55.4;53.4;50.8;55.8;63.1;75.1;77.8;60.1;53.2;64.7;74.9;63.3
1911;78.4;68.6;64.3;51.4;55.5;50.6;27.6;33.8;42.4;65.8;72.1;77.0;57.1;37.3;60.1;73.6;57.3
1912;77.1;66.7;66.1;52.0;50.3;52.5;46.5;60.8;57.4;60.6;75.3;71.3;56.2;53.2;64.4;70.8;61.4
1913;76.2;64.9;60.9;64.3;55.1;53.6;52.4;47.4;54.2;61.9;78.0;79.1;60.1;51.1;64.7;72.6;62.3
1914;73.4;65.2;69.8;46.7;62.1;48.2;51.2;44.2;51.0;65.3;73.3;75.9;59.5;47.9;63.2;75.5;60.5
1915;78.7;72.0;66.7;55.5;53.1;44.3;44.3;46.6;48.3;68.1;73.7;76.4;58.4;45.1;63.4;74.4;60.6
1916;74.6;72.1;64.2;56.9;53.2;55.6;47.2;45.2;54.4;66.5;71.4;77.7;58.1;49.3;64.1;75.3;61.6
1917;81.4;66.8;68.2;62.3;50.6;41.2;43.4;52.0;46.7;62.4;76.7;74.7;60.3;45.5;62.0;71.6;60.5
1918;71.0;69.2;54.6;69.5;50.9;45.7;43.0;42.7;53.9;67.1;73.3;77.2;58.3;43.8;64.8;76.0;59.9
1919;79.7;71.0;70.4;63.7;45.7;41.6;49.1;37.8;46.0;62.6;76.7;76.5;59.9;42.8;61.8;71.1;60.1
1920;73.4;63.2;55.8;64.4;51.2;47.3;43.4;48.1;54.0;59.8;68.6;76.8;57.1;46.3;60.8;72.9;58.8
1921;73.4;68.4;49.4;48.6;50.3;41.9;31.6;41.6;40.4;51.4;68.4;72.9;49.4;38.4;53.4;70.0;53.2
1922;73.2;64.1;63.9;68.2;42.3;46.5;42.5;42.4;54.7;65.5;68.6;75.5;58.1;43.8;62.9;76.5;58.9
1923;78.7;75.2;65.6;56.1;57.2;53.6;38.9;36.7;46.7;66.9;73.9;77.2;59.6;43.1;62.5;74.6;60.6
1924;72.5;74.2;56.6;59.3;54.1;48.3;45.5;53.7;53.1;63.1;70.2;73.9;56.7;49.2;62.2;72.0;60.4
1925;71.3;71.0;67.0;61.1;56.5;40.2;48.8;49.0;52.6;53.9;73.8;70.3;61.5;46.0;60.1;70.9;59.6
1926;72.1;70.3;64.4;49.1;62.0;55.9;48.3;35.8;41.6;59.4;69.0;76.4;58.5;46.7;56.7;72.7;58.7
1927;74.8;66.9;66.5;58.6;47.2;50.4;50.2;51.5;58.8;54.9;74.0;78.0;57.4;50.7;62.6;71.7;61.0
1928;72.1;64.9;64.7;57.8;56.6;45.5;29.1;39.1;41.9;61.0;72.6;79.0;59.7;37.9;58.5;72.3;57.0
1929;75.0;63.0;54.4;51.0;47.6;50.6;38.2;36.5;38.0;61.9;68.4;72.3;51.0;41.8;56.1;71.5;54.7
1930;71.6;70.6;60.6;61.9;65.6;49.7;55.0;46.2;56.7;66.1;69.0;77.3;62.7;50.3;63.9;75.6;62.5
1931;76.6;72.8;59.5;59.4;53.9;42.3;49.2;58.4;55.1;53.2;71.4;73.7;57.6;50.0;59.9;70.7;60.5
