Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Germany              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;79.5;74.8;83.4;69.1;52.5;62.0;55.4;64.3;69.8;76.8;79.2;86.4;68.3;60.6;75.3;83.5;71.1
1902;86.2;77.9;77.7;68.9;72.8;61.7;63.9;68.6;67.5;80.6;78.2;82.9;73.1;64.7;75.4;78.7;73.9
1903;79.9;73.4;64.9;81.1;60.1;61.8;65.6;69.7;64.4;77.9;88.6;90.2;68.7;65.7;77.0;87.2;73.1
1904;84.9;86.4;78.3;68.9;62.1;60.4;45.9;53.9;70.1;79.1;86.3;85.0;69.8;53.4;78.5;82.9;71.8
1905;80.7;82.9;79.1;78.9;58.7;55.5;60.9;63.5;80.0;85.7;83.9;87.5;72.2;60.0;83.2;84.8;74.8
1906;82.2;84.8;77.6;58.4;65.3;68.3;63.6;60.8;69.3;70.2;81.6;84.8;67.1;64.2;73.7;84.7;72.2
1907;84.9;84.6;74.7;71.7;57.1;68.8;73.5;64.7;60.0;72.3;78.3;86.0;67.8;69.0;70.2;82.9;73.0
1908;77.9;84.6;77.9;79.4;69.7;58.3;62.5;70.0;67.0;55.9;73.0;87.1;75.7;63.6;65.3;81.4;71.9
1909;80.4;76.7;77.7;61.2;53.0;66.4;75.7;64.3;75.7;73.0;85.2;83.3;63.9;68.8;78.0;83.1;72.7
1910;84.8;81.1;66.1;67.4;63.1;62.0;74.4;67.3;73.8;71.2;85.9;85.5;65.6;67.9;76.9;83.3;73.5
1911;86.4;78.1;73.2;64.2;60.1;59.7;45.8;48.7;54.3;72.4;82.0;86.6;65.8;51.4;69.6;81.0;67.6
1912;82.7;73.7;77.6;64.8;62.9;67.7;56.7;75.9;79.3;72.5;88.0;83.5;68.4;66.8;79.9;80.3;73.8
1913;85.1;72.4;69.4;65.9;61.1;69.1;73.2;64.6;67.2;68.9;85.0;88.1;65.5;68.9;73.7;80.1;72.5
1914;82.3;69.9;80.4;56.7;72.4;67.5;66.7;58.6;66.5;85.1;88.7;83.8;69.8;64.3;80.1;83.2;73.2
1915;86.6;79.2;83.8;67.4;52.4;49.1;65.0;70.1;63.9;86.7;84.1;82.2;67.8;61.4;78.3;82.2;72.6
1916;84.5;79.8;79.9;64.7;60.1;72.9;70.8;67.4;68.4;78.9;82.1;87.5;68.2;70.4;76.5;82.9;74.8
1917;86.5;74.6;82.5;79.9;46.2;46.7;59.7;66.9;60.4;76.2;83.8;84.0;69.5;57.8;73.5;80.8;70.6
1918;79.5;78.9;65.1;71.9;52.4;64.9;65.8;66.6;72.4;80.5;83.6;87.4;63.1;65.8;78.8;85.0;72.4
1919;87.4;80.2;80.9;78.0;53.6;59.1;72.4;57.4;54.5;80.9;86.7;83.7;70.8;63.0;74.0;79.4;72.9
1920;84.2;70.4;64.9;78.8;62.0;63.0;60.2;69.0;78.1;64.1;74.2;87.7;68.6;64.1;72.1;83.7;71.4
1921;84.0;79.5;56.1;61.8;55.8;66.4;49.3;53.1;55.3;58.8;83.9;82.8;57.9;56.3;66.0;78.7;65.6
1922;81.0;72.3;79.3;78.5;52.6;63.4;69.6;65.3;80.9;80.7;84.9;88.1;70.2;66.1;82.2;86.6;74.7
1923;88.7;82.9;73.7;67.6;71.4;85.0;59.1;60.8;69.1;79.0;84.7;86.1;70.9;68.3;77.6;82.1;75.7
1924;78.9;81.3;73.8;77.9;65.4;66.3;65.6;72.4;74.6;73.1;79.1;85.3;72.3;68.1;75.6;82.6;74.5
1925;84.6;77.7;83.0;67.4;57.7;63.1;62.8;71.6;79.8;72.8;88.0;81.8;69.4;65.9;80.2;83.0;74.2
1926;84.1;83.1;78.6;56.2;73.5;77.9;73.5;65.1;63.3;79.9;80.5;89.3;69.4;72.2;74.6;85.2;75.4
1927;88.4;77.9;72.2;80.1;61.7;67.0;69.0;71.0;75.2;74.1;90.1;86.2;71.3;69.0;79.8;82.6;76.1
1928;84.5;77.1;65.0;70.9;67.3;62.5;50.7;64.7;55.9;72.2;85.6;88.6;67.7;59.3;71.2;78.6;70.4
1929;81.1;66.2;68.0;73.5;57.3;68.1;60.1;56.0;47.8;77.3;79.3;83.1;66.3;61.4;68.1;80.6;68.1
1930;82.2;76.5;68.5;76.5;67.9;52.6;71.4;62.8;78.9;75.5;80.3;88.3;71.0;62.3;78.2;85.8;73.4
1931;86.0;83.0;67.0;72.2;58.6;62.2;71.2;71.7;78.4;67.1;80.1;83.1;65.9;68.3;75.2;79.2;73.4
1932;81.0;73.4;68.2;72.6;67.3;60.8;67.8;54.4;70.7;78.2;82.4;83.8;69.4;61.0;77.1;81.3;71.7
1933;82.7;77.6;57.5;68.2;67.9;66.0;60.5;54.8;58.7;73.0;88.6;84.8;64.5;60.5;73.4;83.0;70.0
1934;85.7;78.6;76.0;51.4;55.1;49.9;52.6;62.7;54.5;76.4;83.6;87.1;60.8;55.1;71.5;84.6;67.8
1935;88.3;78.4;67.0;81.3;58.1;55.8;58.2;52.6;65.8;78.4;80.6;87.3;68.8;55.5;74.9;83.5;71.0
1936;83.5;79.6;68.8;73.7;69.3;59.8;70.3;61.4;68.0;81.5;87.1;84.4;70.6;63.8;78.9;83.0;74.0
1937;82.8;81.9;83.1;83.4;53.5;60.5;67.3;60.7;65.8;72.3;83.5;86.3;73.3;62.8;73.8;81.7;73.4
1938;84.1;74.5;59.9;74.9;56.5;59.1;61.9;64.3;58.7;79.3;79.4;83.4;63.8;61.8;72.5;81.1;69.7
1939;85.0;75.0;81.2;68.8;76.1;54.0;63.2;58.5;71.3;84.1;79.3;84.2;75.3;58.6;78.2;76.7;73.4
1940;76.2;69.6;75.1;65.5;64.6;54.1;68.5;69.3;72.0;74.9;78.7;83.6;68.4;64.0;75.2;81.8;71.0
1941;82.9;78.9;73.3;78.8;66.6;56.3;59.8;70.6;59.8;80.5;85.1;84.2;72.9;62.2;75.1;81.3;73.1
1942;80.0;79.7;67.8;65.9;60.6;60.2;68.7;51.9;63.9;72.4;88.6;81.7;64.7;60.2;75.0;78.7;70.1
1943;80.9;73.4;55.3;65.5;47.0;67.5;50.0;58.2;65.7;61.0;81.7;87.8;55.9;58.6;69.5;85.7;66.2
1944;85.8;83.4;84.8;66.8;57.2;69.2;66.2;48.5;65.5;81.3;85.1;83.3;69.6;61.3;77.3;81.1;73.1
1945;79.3;80.7;72.7;62.7;56.7;58.6;60.9;69.9;68.6;74.7;90.3;83.9;64.0;63.1;77.9;82.4;71.6
1946;79.1;84.3;78.5;48.2;57.5;74.1;59.2;65.6;64.2;77.1;83.1;85.4;61.4;66.3;74.8;81.0;71.4
1947;79.9;77.6;72.7;58.5;53.7;52.7;54.8;48.5;51.2;56.8;82.9;86.9;61.6;52.0;63.6;82.9;64.7
1948;82.4;79.5;58.9;60.1;57.9;60.6;69.8;68.6;64.2;69.2;78.1;81.1;59.0;66.3;70.5;78.3;69.2
1949;82.5;71.2;64.9;55.0;65.3;65.9;52.1;51.6;53.8;59.9;80.4;84.9;61.7;56.6;64.7;80.2;65.6
1950;80.7;75.1;67.4;76.3;58.9;51.3;62.0;55.4;78.4;74.2;85.2;87.7;67.5;56.2;79.3;84.8;71.0
1951;86.5;80.3;77.5;60.3;66.1;65.5;59.5;61.6;63.7;54.9;81.2;84.3;67.9;62.2;66.6;84.9;70.1
1952;86.5;83.9;73.3;55.0;63.0;62.5;53.5;57.5;77.2;81.7;87.2;87.1;63.7;57.8;82.0;85.2;72.4
1953;88.4;80.2;53.6;51.1;54.8;69.4;65.8;55.7;56.9;69.8;77.4;85.8;53.2;63.6;68.1;79.9;67.4
1954;81.0;72.8;69.9;70.3;55.1;62.8;82.5;68.0;74.1;74.9;76.4;85.8;65.1;71.1;75.1;81.5;72.8
1955;81.9;76.8;71.6;67.6;63.5;66.5;71.3;62.1;67.1;72.8;77.5;81.6;67.6;66.7;72.5;76.5;71.7
1956;82.3;65.7;70.3;77.5;56.8;81.6;66.5;69.3;59.4;76.0;83.6;84.7;68.2;72.5;73.0;81.5;72.8
1957;79.8;80.1;65.8;59.2;61.5;53.5;68.9;68.0;75.2;68.2;86.4;83.4;62.2;63.5;76.6;80.7;70.8
1958;81.2;77.3;79.0;74.0;66.8;69.7;63.8;64.5;62.6;78.5;91.7;83.1;73.3;66.0;77.6;77.6;74.4
1959;80.0;69.8;64.3;59.1;57.1;55.6;52.3;59.7;39.6;50.8;80.2;85.6;60.2;55.9;56.9;81.4;62.9
1960;83.3;75.3;76.8;67.0;58.9;61.8;68.6;71.0;64.9;80.9;80.7;89.1;67.6;67.1;75.5;81.9;73.2
1961;82.4;74.1;65.8;69.2;77.6;61.2;69.5;65.3;54.9;67.2;80.0;77.2;70.9;65.3;67.3;80.3;70.4
