Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Italy                : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;61.2;61.3;61.9;57.8;50.1;40.1;30.4;33.7;45.2;53.9;58.7;60.1;56.6;34.7;52.6;61.1;51.2
1902;60.7;62.6;58.5;59.4;55.5;44.2;28.0;33.4;41.8;54.8;59.6;61.6;57.8;35.2;52.1;60.8;51.7
1903;60.8;60.1;55.7;59.9;51.1;44.8;32.9;31.1;40.8;52.0;59.5;63.3;55.6;36.3;50.8;63.0;51.0
1904;62.6;63.1;59.7;57.6;49.6;42.8;26.4;30.0;44.5;52.4;58.3;61.2;55.6;33.1;51.7;61.7;50.7
1905;60.9;63.1;59.3;58.3;53.4;40.6;27.0;33.0;44.4;52.9;59.5;61.4;57.0;33.5;52.3;61.6;51.1
1906;60.8;62.5;57.8;57.5;50.2;39.6;30.1;28.0;40.0;49.8;57.9;61.7;55.2;32.6;49.2;62.1;49.7
1907;61.4;63.2;57.0;58.8;49.9;41.9;30.3;28.1;39.9;52.8;59.8;61.4;55.2;33.4;50.8;61.4;50.4
1908;59.7;63.1;59.0;59.8;50.0;40.4;29.3;32.7;40.9;48.1;58.2;61.4;56.3;34.2;49.1;61.3;50.2
1909;60.4;62.1;59.7;55.4;49.7;44.9;30.9;30.3;42.1;51.3;59.6;61.7;55.0;35.3;51.0;61.7;50.7
1910;61.2;62.1;58.4;59.0;54.4;43.1;32.1;33.1;44.1;52.0;60.2;62.8;57.3;36.1;52.1;62.3;51.9
1911;62.2;61.9;59.4;57.5;54.8;43.2;27.6;29.9;38.9;51.9;58.9;61.3;57.3;33.6;49.9;62.0;50.6
1912;63.5;61.1;58.2;58.3;52.7;43.5;31.7;36.2;44.9;53.0;59.8;59.8;56.4;37.1;52.6;61.2;51.9
1913;63.2;60.6;57.8;59.9;52.5;44.6;34.0;33.3;43.3;51.8;60.4;61.0;56.7;37.3;51.8;61.0;51.9
1914;61.5;60.5;60.3;54.9;56.2;44.3;34.7;32.1;42.0;53.4;60.6;60.3;57.1;37.0;52.0;62.3;51.7
1915;63.8;62.7;60.7;58.8;54.2;44.1;31.2;32.3;41.7;54.9;59.9;61.8;57.9;35.9;52.2;61.9;52.2
1916;61.5;62.4;60.2;58.1;51.7;44.6;31.1;32.2;43.6;52.2;59.5;61.3;56.7;36.0;51.8;62.2;51.5
1917;63.7;61.5;60.2;60.9;51.9;40.8;29.8;31.8;38.7;52.0;60.5;60.7;57.7;34.1;50.4;60.9;51.0
1918;60.2;61.9;56.5;61.4;50.9;44.3;30.5;31.0;41.5;54.1;60.2;59.8;56.3;35.3;51.9;61.9;51.0
1919;63.9;62.0;60.6;60.7;49.9;43.0;32.6;28.9;39.2;53.6;60.2;61.7;57.0;34.8;51.0;61.4;51.4
1920;61.7;60.9;56.2;59.4;49.6;43.8;29.9;32.9;44.6;53.7;59.6;62.1;55.1;35.5;52.6;62.0;51.2
1921;61.2;62.7;53.6;58.0;51.9;41.4;27.2;30.8;39.5;47.2;60.0;60.2;54.5;33.2;48.9;61.5;49.5
1922;62.9;61.3;58.9;59.3;49.0;42.7;29.9;30.1;43.7;55.1;58.7;61.2;55.7;34.3;52.5;62.9;51.1
1923;63.9;63.6;58.6;58.1;50.5;43.6;28.1;29.6;40.1;52.5;59.5;62.7;55.8;33.8;50.7;62.4;50.9
1924;61.2;63.3;57.9;58.5;50.7;42.6;31.2;34.7;41.3;50.8;59.2;60.4;55.7;36.2;50.5;61.0;51.0
1925;60.7;62.0;60.0;59.7;53.6;40.2;31.4;31.7;42.9;49.4;61.0;59.1;57.8;34.4;51.1;60.8;51.0
1926;60.9;62.4;59.8;55.2;54.7;44.4;32.9;30.0;38.6;50.4;58.2;61.5;56.5;35.8;49.1;61.6;50.7
1927;62.1;61.2;58.4;57.5;49.9;41.1;30.0;31.0;41.8;49.7;59.3;62.6;55.3;34.0;50.3;62.0;50.4
1928;61.9;61.6;60.5;58.3;53.3;40.2;27.5;31.5;41.3;49.8;59.5;62.7;57.3;33.1;50.2;61.2;50.7
1929;61.7;59.2;57.8;57.3;50.9;41.2;27.5;30.7;37.3;51.1;57.9;59.4;55.3;33.1;48.8;61.0;49.3
1930;62.8;60.9;58.4;60.0;55.4;41.7;33.0;32.2;42.6;51.3;56.7;62.7;57.9;35.6;50.2;62.7;51.5
1931;62.9;62.6;58.1;57.7;50.3;38.8;30.5;34.4;43.2;49.0;60.2;60.3;55.4;34.6;50.8;60.5;50.7
1932;60.3;60.8;59.4;59.4;52.9;43.8;33.4;29.1;42.4;51.6;59.6;62.8;57.2;35.4;51.2;62.5;51.3
1933;62.9;61.7;56.8;55.8;54.4;45.4;28.3;28.7;40.9;52.0;61.5;62.0;55.7;34.1;51.5;61.6;50.9
1934;62.2;60.7;59.5;56.0;49.4;41.3;28.1;34.9;38.6;49.2;58.1;62.0;55.0;34.8;48.7;62.2;50.0
1935;62.6;62.0;56.9;59.5;52.9;38.8;27.3;32.2;39.8;55.0;59.5;61.7;56.4;32.8;51.4;61.8;50.7
