Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Latvia               : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;86.5;76.0;69.0;65.3;49.2;45.3;44.2;52.6;61.7;68.6;77.9;88.0;61.2;47.4;69.4;83.0;65.4
1902;87.3;73.7;72.1;68.1;64.0;57.7;63.9;63.2;71.4;78.4;81.2;88.6;68.1;61.6;77.0;84.8;72.5
1903;86.8;79.0;74.4;71.0;60.2;52.2;58.5;65.0;65.9;87.7;88.3;91.7;68.5;58.6;80.6;88.8;73.4
1904;87.6;87.3;65.7;64.1;64.1;55.4;61.6;61.6;64.8;79.9;85.6;88.5;64.6;59.5;76.8;85.7;72.2
1905;86.6;82.1;79.2;70.2;58.7;55.2;62.5;55.9;70.6;86.9;90.7;92.7;69.4;57.9;82.7;88.9;74.3
1906;86.8;87.0;75.2;59.2;47.4;54.1;61.2;65.3;69.5;80.1;89.3;90.2;60.6;60.2;79.6;88.1;72.1
1907;86.9;87.3;71.0;74.8;63.0;57.2;61.0;65.2;62.5;74.1;84.8;86.9;69.6;61.1;73.8;87.6;72.9
1908;86.9;89.0;70.6;73.6;65.5;52.4;55.4;65.6;76.1;77.5;80.5;89.9;69.9;57.8;78.0;85.3;73.6
1909;86.9;78.9;82.2;77.7;65.9;51.7;66.9;59.9;67.7;72.9;83.8;92.8;75.2;59.5;74.8;90.7;73.9
1910;87.2;92.2;81.8;64.1;54.1;48.7;51.0;57.8;60.3;69.3;86.9;93.8;66.7;52.5;72.2;86.0;70.6
1911;87.4;76.8;72.9;68.5;53.0;53.8;55.1;53.2;70.5;73.8;83.9;92.8;64.8;54.0;76.1;85.6;70.1
1912;86.3;77.7;88.3;69.8;63.5;51.8;55.3;56.9;74.8;80.4;89.1;94.4;73.9;54.7;81.4;87.7;74.0
1913;87.3;81.5;76.7;64.6;56.2;56.1;58.7;55.8;64.8;72.6;84.2;87.5;65.8;56.9;73.9;89.2;70.5
1914;86.7;93.4;82.0;67.2;52.2;44.0;44.3;60.3;66.3;79.8;83.0;93.8;67.1;49.5;76.4;89.7;71.1
1915;87.3;88.0;72.2;70.5;51.1;50.1;54.4;60.7;74.4;77.8;89.2;88.7;64.6;55.1;80.5;87.9;72.0
1916;87.1;87.9;80.6;66.2;57.0;53.4;59.0;63.7;67.2;79.4;88.4;91.9;67.9;58.7;78.4;83.1;73.5
1917;86.9;70.5;67.8;72.1;51.9;45.7;63.3;54.9;71.4;79.9;90.6;90.3;63.9;54.6;80.7;85.4;70.4
1918;85.9;80.0;67.6;63.5;46.7;59.3;61.0;62.1;70.6;75.7;88.2;90.2;59.3;60.8;78.2;85.4;70.9
1919;87.6;78.3;72.3;65.7;52.6;52.7;56.9;62.2;61.8;73.0;82.1;87.1;63.6;57.3;72.3;86.1;69.4
1920;86.7;84.5;72.5;65.2;48.0;53.9;54.7;59.0;67.9;74.6;88.9;88.9;61.9;55.9;77.1;84.1;70.4
1921;86.6;77.0;69.2;56.0;46.0;53.6;57.4;54.3;67.4;69.6;80.8;87.7;57.1;55.1;72.6;85.7;67.1
1922;86.7;82.7;75.7;67.7;57.2;53.2;66.3;63.4;69.3;83.1;84.5;88.9;66.8;61.0;79.0;86.1;73.2
1923;88.5;80.8;77.9;67.6;59.7;70.5;61.3;70.0;70.2;82.3;87.3;93.5;68.4;67.3;79.9;88.4;75.8
1924;86.9;85.0;76.3;77.1;56.7;57.2;63.7;61.9;67.6;78.5;92.5;91.7;70.0;61.0;79.5;91.3;74.6
1925;88.4;93.6;80.7;62.9;49.2;67.1;57.7;70.7;74.5;81.2;83.0;88.9;64.3;65.2;79.6;89.1;74.8
1926;87.5;90.8;77.5;71.9;65.0;60.3;57.1;66.7;71.2;83.4;89.7;88.1;71.5;61.4;81.4;87.5;75.8
1927;87.6;87.0;87.0;81.1;72.5;61.1;53.9;64.6;70.0;82.8;87.7;86.3;80.2;59.9;80.1;86.0;76.8
1928;88.3;83.3;71.5;71.8;61.6;69.2;66.5;71.6;71.4;83.2;92.2;93.8;68.3;69.1;82.2;84.1;77.0
1929;86.3;72.1;71.7;71.9;51.7;57.5;61.0;59.2;65.4;78.6;92.0;95.6;65.1;59.3;78.7;89.0;71.9
1930;89.0;82.5;79.5;61.6;59.7;47.7;62.6;68.3;73.1;79.8;87.5;92.8;67.0;59.5;80.1;88.9;73.7
1931;87.8;86.0;67.6;73.7;54.7;65.7;54.9;64.4;73.1;80.9;91.7;90.9;65.4;61.7;81.9;83.1;74.3
