Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Macedonia            : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;78.5;73.3;68.4;62.6;57.2;48.3;35.8;34.1;41.7;53.5;70.2;79.0;62.7;39.4;55.1;76.9;58.5
1902;78.4;73.4;68.4;62.6;57.3;48.2;35.8;34.0;41.6;53.5;70.3;78.9;62.8;39.4;55.1;76.7;58.5
1903;78.3;73.1;68.2;62.5;57.0;48.3;35.5;33.8;41.1;53.1;70.1;78.9;62.6;39.2;54.8;76.8;58.3
1904;78.4;73.0;68.4;61.9;57.0;47.8;35.5;33.9;41.8;53.5;70.2;78.8;62.4;39.1;55.2;76.9;58.4
1905;78.4;73.4;68.5;62.5;57.2;48.3;35.7;34.0;41.6;53.5;70.4;79.0;62.8;39.4;55.2;77.0;58.6
1906;78.5;73.5;68.2;62.4;57.2;48.3;35.8;34.0;41.6;53.6;70.5;78.9;62.6;39.4;55.2;76.9;58.6
1907;78.5;73.4;68.3;62.7;57.0;48.5;35.9;33.8;41.4;53.4;70.4;79.0;62.6;39.4;55.0;76.9;58.5
1908;78.3;73.5;68.5;62.7;57.0;48.3;35.9;34.2;41.7;53.3;70.3;79.0;62.7;39.5;55.1;76.9;58.6
1909;78.5;73.3;68.5;62.6;57.1;48.4;35.9;34.2;41.7;53.5;70.4;79.0;62.7;39.5;55.2;77.0;58.6
1910;78.5;73.6;68.2;62.6;57.3;48.5;35.9;34.2;41.7;53.5;70.4;79.0;62.7;39.5;55.2;76.9;58.6
1911;78.5;73.1;68.6;62.6;57.1;48.3;35.8;34.1;41.6;53.5;70.3;79.1;62.8;39.4;55.1;76.9;58.6
1912;78.3;73.3;68.5;62.6;57.3;48.3;35.9;34.3;41.8;53.5;70.5;79.0;62.8;39.5;55.3;76.9;58.6
1913;78.6;73.2;68.2;62.5;57.3;48.3;35.8;34.2;41.7;53.4;70.3;78.9;62.7;39.4;55.1;76.9;58.5
1914;78.5;73.4;68.2;62.3;57.0;48.4;36.0;34.4;42.0;53.8;70.5;79.0;62.5;39.6;55.4;77.0;58.6
1915;78.5;73.4;68.4;62.3;57.0;48.3;35.9;34.5;41.8;53.6;70.2;78.7;62.6;39.5;55.2;76.9;58.6
1916;78.5;73.4;68.5;62.6;57.3;48.3;35.9;34.1;41.7;53.5;70.5;79.0;62.8;39.4;55.2;76.8;58.6
1917;78.4;73.0;68.3;62.3;57.0;48.4;36.0;34.3;41.5;53.5;70.4;79.1;62.5;39.5;55.1;76.9;58.5
1918;78.4;73.3;68.2;62.6;57.0;48.7;35.9;34.1;41.6;53.6;70.5;79.0;62.6;39.6;55.2;77.0;58.6
1919;78.6;73.4;68.4;62.6;57.3;48.5;35.9;34.1;41.5;53.6;70.3;79.0;62.8;39.5;55.1;76.9;58.6
1920;78.5;73.3;68.4;62.6;57.1;48.3;35.8;34.2;41.6;53.4;70.4;79.1;62.7;39.4;55.1;76.9;58.5
1921;78.4;73.3;68.2;62.6;57.1;48.3;35.9;34.2;41.6;53.3;70.4;79.0;62.6;39.5;55.1;77.0;58.5
1922;78.5;73.4;68.3;62.8;57.2;48.4;35.7;34.2;41.7;53.6;70.4;79.0;62.8;39.4;55.2;77.0;58.6
1923;78.6;73.4;68.5;62.6;57.1;48.3;35.7;34.1;41.6;53.5;70.4;78.9;62.7;39.4;55.2;76.9;58.6
1924;78.4;73.4;68.5;62.7;57.1;48.3;35.7;34.2;41.7;53.5;70.5;79.0;62.8;39.4;55.2;77.0;58.6
1925;78.5;73.3;68.4;62.6;57.3;48.4;35.9;34.2;41.8;53.5;70.4;78.9;62.7;39.5;55.2;77.0;58.6
1926;78.5;73.5;68.5;62.6;57.3;48.6;36.0;34.1;41.6;53.4;70.4;79.0;62.8;39.6;55.1;77.0;58.6
1927;78.6;73.4;68.4;62.6;57.3;48.4;35.8;34.2;41.6;53.4;70.3;79.0;62.8;39.5;55.1;77.0;58.6
1928;78.6;73.3;68.4;62.5;57.2;48.3;35.8;34.2;41.7;53.5;70.5;79.0;62.7;39.5;55.2;75.6;58.6
1929;76.4;71.5;67.7;59.7;54.1;45.4;33.5;32.6;42.4;52.3;70.3;78.6;60.5;37.1;55.0;77.1;57.0
1930;78.7;74.0;66.8;61.8;57.4;46.7;33.6;32.6;39.3;53.5;69.7;78.6;62.0;37.6;54.2;78.1;57.7
1931;79.7;75.9;65.8;61.5;50.3;46.6;29.5;23.3;40.3;46.7;68.2;77.1;59.2;33.1;51.7;75.3;55.4
1932;80.3;68.4;67.4;54.5;44.5;37.0;23.7;30.0;28.9;38.5;72.8;77.5;55.4;30.2;46.8;75.0;52.0
1933;77.4;70.2;66.1;58.0;58.4;46.2;35.1;31.4;36.7;40.1;66.1;76.2;60.8;37.6;47.6;73.3;55.2
1934;79.1;64.4;61.3;41.7;45.8;35.4;26.1;23.1;42.1;48.3;68.1;79.3;49.6;28.2;52.9;76.4;51.2
1935;81.2;68.8;68.6;52.9;47.2;38.6;24.9;25.4;33.8;43.5;74.0;77.1;56.3;29.6;50.5;75.2;53.0
1936;74.0;74.5;64.3;60.1;61.0;49.5;35.0;39.4;35.7;56.6;73.5;76.5;61.8;41.3;55.3;72.4;58.4
1937;76.1;64.4;60.9;65.4;48.5;34.6;28.7;29.2;39.8;57.4;71.4;79.3;58.3;30.8;56.2;78.6;54.7
1938;79.8;76.6;60.7;66.0;50.0;35.0;31.3;30.7;43.0;40.7;67.5;84.2;58.9;32.3;50.4;76.6;55.5
1939;76.6;68.9;68.8;51.5;50.8;52.4;30.3;34.5;40.7;52.1;72.6;78.9;57.0;39.0;55.2;78.4;56.5
1940;82.8;73.5;66.7;67.3;66.8;55.3;38.1;36.1;42.7;53.8;72.6;82.9;66.9;43.2;56.4;78.9;61.6
1941;79.9;73.9;65.4;60.7;61.3;49.1;40.1;31.5;48.1;48.2;73.9;70.9;62.4;40.2;56.7;76.0;58.6
1942;79.2;78.0;69.6;64.4;48.3;41.0;33.3;37.1;38.9;53.3;72.4;78.6;60.8;37.1;54.9;74.7;57.8
1943;78.3;67.1;66.3;55.2;63.8;50.8;31.5;29.4;37.2;60.8;72.7;77.2;61.7;37.2;56.9;75.7;57.5
1944;77.0;72.8;71.7;61.9;62.8;42.9;34.2;35.8;42.4;60.7;71.7;85.3;65.5;37.7;58.2;80.2;59.9
1945;80.6;74.6;64.2;58.6;42.1;42.4;28.5;28.2;41.1;50.1;75.2;78.7;54.9;33.0;55.5;77.0;55.4
1946;81.3;71.0;70.7;53.4;52.8;43.2;28.3;26.0;38.8;55.3;77.8;83.9;59.0;32.5;57.3;80.2;56.9
1947;84.1;72.4;62.9;50.5;54.4;45.4;35.7;34.5;45.0;57.4;75.3;81.7;55.9;38.5;59.2;79.6;58.3
1948;78.1;78.9;64.9;60.3;63.6;55.0;32.9;30.2;41.1;44.2;67.3;77.6;63.0;39.4;50.9;71.6;57.8
1949;76.3;60.8;69.8;53.9;45.7;44.6;34.0;29.9;42.1;53.7;71.7;74.0;56.5;36.1;55.8;66.7;54.7
1950;70.4;55.5;67.9;55.3;57.6;40.3;22.2;20.8;32.1;45.2;67.3;77.8;60.3;27.8;48.2;75.0;51.1
1951;74.5;72.6;70.4;58.8;51.7;45.7;33.6;27.3;46.7;69.3;70.4;69.1;60.3;35.5;62.2;71.2;57.5
1952;74.5;70.1;58.2;47.9;56.3;45.4;35.6;23.7;39.8;47.3;73.2;83.2;54.1;34.9;53.4;75.4;54.6
1953;78.4;64.5;57.8;55.8;63.0;52.8;34.0;34.3;36.4;63.6;69.3;75.4;58.9;40.4;56.4;79.6;57.1
1954;80.8;82.5;76.9;70.0;61.9;40.3;30.0;27.6;28.9;51.2;78.6;77.9;69.6;32.7;52.9;75.7;58.9
1955;83.9;65.3;67.0;69.5;47.0;43.3;32.0;39.4;52.6;63.7;75.0;70.9;61.2;38.2;63.8;76.5;59.1
1956;77.5;81.2;73.9;56.8;56.0;48.3;31.1;25.1;37.3;43.3;74.5;72.9;62.2;34.8;51.7;70.6;56.5
1957;76.6;62.2;59.9;58.9;69.4;43.7;34.0;29.4;43.4;62.3;74.8;78.2;62.8;35.7;60.2;70.3;57.8
1958;75.6;56.9;74.0;69.8;48.4;47.7;32.4;28.5;47.0;48.9;78.1;77.6;64.1;36.2;58.0;69.8;57.1
1959;74.6;57.0;68.7;63.3;61.2;51.5;36.9;34.0;45.3;46.9;75.1;75.7;64.4;40.8;55.8;74.5;57.5
1960;74.7;73.2;76.6;66.0;65.4;47.8;30.4;22.8;48.3;49.6;64.4;73.8;69.3;33.7;54.1;73.4;57.8
1961;79.0;67.5;52.6;54.5;58.6;49.4;30.1;24.2;25.6;52.6;68.4;78.6;55.2;34.6;48.9;77.4;53.4
1962;77.6;76.1;75.2;55.8;45.5;43.9;28.9;21.7;36.3;63.7;77.3;79.4;58.9;31.5;59.1;82.1;56.8
1963;83.1;83.9;65.4;65.4;67.1;46.7;36.6;21.7;36.9;62.2;63.4;75.4;66.0;35.0;54.2;72.7;59.0
1964;69.0;73.7;75.9;53.1;63.5;49.8;32.6;30.2;45.1;51.5;70.5;75.4;64.1;37.5;55.7;76.7;57.5
1965;77.3;77.3;65.3;69.4;58.0;43.5;28.0;34.4;33.1;38.9;64.6;73.6;64.2;35.3;45.6;73.1;55.3
1966;81.4;64.3;69.2;65.3;53.5;51.9;32.0;33.4;39.1;54.5;71.8;78.2;62.7;39.1;55.1;72.7;57.9
1967;71.7;68.2;62.9;62.2;56.7;47.3;38.0;31.6;44.4;49.0;63.8;73.7;60.6;39.0;52.4;74.1;55.8
1968;73.3;75.2;60.6;48.5;53.5;53.1;32.9;39.3;46.6;53.0;76.3;81.9;54.2;41.8;58.6;81.7;57.9
1969;84.4;78.7;82.7;63.9;49.5;53.9;42.2;31.5;48.0;47.3;58.7;81.7;65.4;42.5;51.3;80.4;60.2
1970;83.6;76.0;69.3;60.8;65.9;46.6;36.1;33.5;38.3;54.0;60.0;74.9;65.3;38.7;50.8;81.8;58.2
1971;88.2;82.3;76.0;60.3;57.2;48.5;47.8;24.2;46.3;48.5;62.6;67.1;64.5;40.2;52.5;82.1;59.1
1972;90.8;88.3;53.1;69.1;56.1;45.0;49.5;39.4;52.8;70.1;56.3;62.6;59.4;44.6;59.7;75.4;61.1
1973;79.9;83.6;69.3;63.8;57.1;54.5;41.6;36.9;32.5;54.0;56.7;65.1;63.4;44.3;47.7;74.1;57.9
1974;74.5;82.6;67.7;71.6;61.3;51.1;27.3;31.3;33.0;61.9;67.7;62.0;66.9;36.5;54.2;63.4;57.7
1975;61.4;66.8;68.6;59.8;62.2;52.0;36.2;37.9;33.2;55.0;73.2;74.2;63.5;42.1;53.8;71.3;56.7
1976;65.4;74.2;64.6;60.9;62.9;51.3;43.5;41.4;34.8;63.4;74.3;63.6;62.8;45.4;57.5;73.9;58.4
1977;75.4;82.5;55.7;58.1;57.6;49.3;33.8;26.3;39.6;38.6;68.2;61.0;57.1;36.4;48.8;74.1;53.8
1978;72.9;88.4;65.8;71.8;67.1;47.4;30.8;27.7;43.4;56.4;71.6;66.9;68.2;35.3;57.1;75.8;59.2
1979;77.0;83.6;60.4;66.1;62.4;51.6;38.6;39.2;34.7;69.1;73.6;59.4;63.0;43.1;59.2;71.7;59.6
1980;76.7;79.1;69.7;62.5;73.7;49.6;33.4;27.9;31.4;56.0;67.0;61.3;68.6;36.9;51.5;72.0;57.3
1981;78.8;75.8;60.7;50.7;59.4;43.7;35.8;28.5;35.7;49.4;63.8;69.3;56.9;36.0;49.6;69.6;54.3
1982;68.9;70.8;59.1;67.0;57.1;40.9;36.8;29.9;22.8;60.1;57.1;64.0;61.1;35.9;46.7;64.0;52.9
1983;61.6;66.4;53.8;52.1;51.9;53.1;38.2;33.6;28.9;42.7;62.9;66.8;52.6;41.6;44.8;78.0;51.0
1984;71.1;96.0;73.1;70.4;55.4;41.4;29.6;39.2;28.4;48.9;59.6;63.5;66.3;36.7;45.6;72.0;56.4
1985;82.4;70.0;76.5;59.3;58.9;48.6;29.2;21.6;22.6;47.3;73.3;58.9;64.9;33.1;47.8;75.3;54.1
1986;74.5;92.6;75.4;49.0;52.5;53.8;39.0;18.1;26.6;51.8;53.0;59.6;59.0;36.9;43.8;77.5;53.8
