Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Montenegro           : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;74.0;72.0;67.2;65.3;57.7;50.1;36.8;36.8;47.1;57.0;71.2;76.4;63.4;41.2;58.4;74.5;59.3
1902;74.5;72.5;67.0;65.5;58.9;50.4;36.7;36.5;46.9;57.6;71.4;76.3;63.8;41.2;58.6;74.0;59.5
1903;74.0;71.7;66.9;66.4;57.6;50.3;37.2;36.2;47.0;56.9;71.9;76.8;63.6;41.2;58.6;74.6;59.4
1904;74.7;72.3;67.2;65.8;57.9;49.9;37.2;35.9;47.7;57.7;71.7;76.4;63.6;41.0;59.0;74.4;59.5
1905;74.1;72.6;67.3;66.2;58.0;49.8;36.5;36.2;47.5;57.9;71.4;76.6;63.8;40.8;59.0;74.3;59.5
1906;74.2;72.2;67.2;65.0;58.1;51.0;37.3;36.4;47.7;57.1;71.4;76.6;63.5;41.6;58.7;74.6;59.5
1907;74.4;72.7;67.4;66.2;57.4;50.3;37.2;36.2;46.7;57.0;71.6;76.4;63.7;41.2;58.4;74.4;59.5
1908;74.1;72.5;66.9;66.2;58.2;50.0;37.0;36.9;47.1;57.1;71.6;76.7;63.7;41.3;58.6;74.5;59.5
1909;74.3;72.4;67.4;65.8;58.9;50.9;38.0;37.3;47.9;58.1;72.1;76.6;64.0;42.1;59.3;74.5;60.0
1910;74.5;72.3;67.4;66.3;58.9;50.9;37.8;37.3;48.2;57.6;71.9;76.7;64.2;42.0;59.2;74.5;60.0
1911;74.3;72.3;67.6;66.4;59.0;50.7;37.2;36.6;47.4;57.4;71.6;76.7;64.3;41.5;58.8;74.5;59.8
1912;74.4;72.5;67.4;66.4;59.2;50.9;37.5;37.3;48.6;57.8;72.1;76.4;64.3;41.9;59.5;74.4;60.0
1913;74.6;72.2;67.1;66.2;58.8;51.0;38.0;37.2;47.7;57.6;71.9;76.6;64.0;42.1;59.1;74.4;59.9
1914;74.3;72.4;67.6;65.6;58.9;50.8;37.8;36.9;47.7;57.8;72.0;76.7;64.0;41.8;59.2;74.6;59.9
1915;74.6;72.5;67.7;66.3;58.4;50.5;37.6;37.3;47.6;58.3;71.9;76.4;64.2;41.8;59.3;74.5;59.9
1916;74.4;72.7;67.4;66.2;58.5;50.8;37.6;37.1;48.0;57.7;71.9;76.4;64.0;41.8;59.2;74.4;59.9
1917;74.5;72.3;67.7;66.8;58.0;50.3;37.5;36.8;47.3;57.5;71.9;76.6;64.2;41.5;58.9;74.6;59.8
1918;74.4;72.6;67.2;66.2;58.5;50.9;37.9;37.3;47.4;58.0;72.1;76.6;64.0;42.0;59.2;74.5;59.9
1919;74.6;72.4;67.7;66.8;59.0;50.9;37.9;36.8;47.1;58.0;71.9;76.7;64.5;41.9;59.0;74.6;60.0
1920;74.6;72.5;67.2;66.2;58.7;51.2;37.5;37.5;48.2;57.3;71.7;76.7;64.0;42.0;59.1;74.6;59.9
1921;74.5;72.6;66.8;66.5;58.5;50.9;37.2;36.7;47.4;57.2;72.0;76.4;63.9;41.6;58.9;74.4;59.7
1922;74.4;72.4;67.5;66.3;58.6;50.8;37.3;36.9;48.2;58.5;71.9;76.7;64.2;41.7;59.6;74.7;60.0
1923;74.7;72.8;67.6;66.3;58.2;51.2;37.3;36.6;47.6;57.6;72.0;76.8;64.1;41.7;59.1;74.6;59.9
1924;74.4;72.7;67.4;66.6;58.8;51.0;37.8;37.3;47.8;57.3;72.0;76.9;64.3;42.0;59.1;74.6;60.0
1925;74.6;72.3;67.7;66.2;58.8;51.0;37.6;37.3;48.0;57.7;72.1;76.6;64.2;42.0;59.3;74.6;60.0
1926;74.5;72.8;67.7;65.8;59.0;51.1;38.2;37.0;47.6;57.5;71.7;76.9;64.2;42.1;58.9;74.7;60.0
1927;74.8;72.3;67.4;66.7;58.8;50.6;37.5;37.2;47.7;57.6;72.1;76.7;64.3;41.7;59.1;74.6;59.9
1928;74.5;72.5;67.3;66.3;59.0;50.8;37.2;37.0;47.8;57.5;71.9;76.7;64.2;41.7;59.1;74.3;59.9
1929;74.5;71.8;67.6;66.3;59.1;51.0;37.3;37.1;47.3;57.5;71.9;76.5;64.3;41.8;58.9;74.5;59.8
1930;74.8;72.2;67.7;66.4;58.6;50.5;37.6;37.2;47.8;57.9;71.6;76.7;64.3;41.8;59.1;75.0;59.9
1931;75.1;73.1;67.5;66.5;57.4;50.5;36.7;36.0;48.8;57.5;71.9;76.2;63.8;41.1;59.4;74.3;59.8
1932;75.0;71.7;67.6;65.3;57.3;49.1;35.6;34.5;45.9;55.1;72.4;76.9;63.4;39.7;57.8;74.7;58.9
1933;74.7;72.6;67.0;66.1;60.7;50.9;36.0;37.2;47.3;56.0;71.3;76.1;64.6;41.3;58.2;73.7;59.7
1934;74.4;70.6;66.3;62.5;56.6;48.6;34.8;37.7;48.8;57.1;72.0;77.1;61.8;40.4;59.3;74.6;58.9
1935;75.0;71.6;67.7;65.4;57.0;48.4;34.7;37.0;46.3;56.5;73.4;76.3;63.4;40.0;58.8;74.6;59.1
1936;74.1;73.3;67.3;66.7;61.6;52.6;39.2;38.7;46.8;61.7;73.4;76.6;65.2;43.5;60.6;74.1;61.0
1937;74.1;71.6;66.2;67.8;57.4;48.6;37.0;37.3;48.5;59.5;72.4;77.0;63.8;41.0;60.1;75.0;59.8
1938;74.9;72.9;66.0;67.3;58.3;48.4;37.2;38.4;48.4;56.2;71.8;77.8;63.9;41.3;58.8;74.5;59.8
1939;74.2;71.5;67.9;64.4;60.9;50.8;36.9;35.9;48.1;58.4;72.7;76.7;64.4;41.2;59.7;74.6;59.9
1940;74.8;72.4;67.4;67.3;61.8;51.5;38.3;37.9;48.7;60.3;72.5;77.3;65.5;42.6;60.5;74.9;60.9
1941;74.6;72.7;67.0;66.7;61.6;49.4;38.6;35.4;49.3;57.0;72.8;75.0;65.1;41.1;59.7;74.2;60.0
1942;74.5;73.2;68.0;67.5;57.6;50.3;37.5;36.1;46.9;57.4;72.7;77.4;64.4;41.3;59.0;74.3;59.9
1943;74.2;71.5;66.4;64.9;58.9;52.0;37.3;33.2;47.3;59.6;72.9;76.4;63.4;40.8;59.9;74.4;59.5
1944;74.2;72.5;68.7;67.0;59.9;50.2;38.0;37.8;48.1;59.7;72.3;77.7;65.2;42.0;60.1;75.1;60.5
1945;74.7;72.8;66.9;65.6;55.8;49.6;36.1;36.4;47.9;57.5;72.9;76.7;62.8;40.7;59.4;74.6;59.4
1946;74.9;72.1;68.0;63.7;57.4;49.4;35.9;35.6;46.8;58.2;73.6;77.4;63.0;40.3;59.5;75.0;59.4
1947;75.1;72.5;66.7;63.8;57.6;50.1;37.5;37.4;47.7;58.2;72.5;77.1;62.7;41.6;59.5;75.0;59.7
1948;74.3;73.5;66.3;65.6;59.6;52.3;37.5;36.7;47.4;56.2;71.4;75.9;63.9;42.2;58.3;73.0;59.7
1949;74.0;69.0;67.2;64.0;56.7;50.3;37.5;36.5;47.7;60.7;72.9;73.1;62.7;41.4;60.4;67.7;59.1
1950;68.3;61.8;67.5;65.4;58.1;46.8;29.9;29.8;46.3;56.7;71.7;76.6;63.7;35.5;58.2;74.1;56.6
1951;72.9;72.8;70.3;63.0;57.9;48.3;36.6;30.8;52.7;70.2;71.9;67.7;63.8;38.6;65.0;70.1;59.6
1952;71.8;70.9;59.7;54.2;58.6;47.5;37.1;26.9;49.0;55.2;75.2;78.5;57.5;37.2;59.8;72.5;57.0
1953;73.6;65.3;55.3;58.7;61.9;53.9;35.5;35.1;42.2;66.7;69.7;72.3;58.6;41.5;59.5;75.6;57.5
1954;75.0;79.5;74.2;69.5;63.7;44.4;32.4;30.1;35.6;53.7;78.2;73.8;69.1;35.6;55.8;73.2;59.2
1955;78.5;67.2;66.1;68.2;50.6;46.2;34.4;41.7;57.4;67.1;75.8;69.5;61.6;40.8;66.8;73.5;60.2
1956;73.5;77.4;71.5;62.2;56.2;50.9;33.9;28.9;41.8;49.4;75.5;70.0;63.3;37.9;55.6;68.6;57.6
1957;71.5;64.3;59.0;62.3;68.0;45.5;35.5;33.2;49.6;65.5;75.2;76.0;63.1;38.1;63.4;69.7;58.8
1958;71.5;61.6;72.5;72.5;50.2;50.1;34.1;31.4;49.2;53.5;79.9;74.5;65.1;38.5;60.8;68.8;58.4
1959;71.1;60.7;67.6;66.3;62.3;53.6;38.1;38.6;51.8;50.7;78.0;72.1;65.4;43.4;60.2;71.7;59.2
1960;72.3;70.7;75.0;67.2;65.3;48.7;32.5;26.0;53.4;56.2;67.3;73.9;69.2;35.8;59.0;71.6;59.1
1961;74.4;66.5;55.0;59.3;59.9;50.8;33.4;27.4;31.7;56.7;72.3;73.3;58.1;37.2;53.6;72.8;55.0
1962;74.3;70.7;74.3;62.1;48.9;48.0;33.0;27.2;42.4;63.0;77.2;77.5;61.8;36.1;60.9;77.2;58.2
1963;77.9;76.2;64.8;67.4;62.3;49.7;37.2;26.1;44.1;63.7;64.7;76.9;64.8;37.7;57.5;72.0;59.3
1964;69.6;69.5;73.5;59.8;62.6;52.3;38.2;35.9;47.9;60.7;75.3;76.7;65.3;42.1;61.3;75.4;60.2
1965;73.7;75.6;64.9;70.8;57.3;45.8;28.0;34.8;44.9;48.4;66.0;70.2;64.3;36.2;53.1;69.9;56.7
1966;74.0;65.4;68.4;66.1;58.1;52.1;34.8;35.1;48.0;60.3;72.1;74.8;64.2;40.6;60.1;70.5;59.1
1967;68.7;68.0;63.8;70.1;57.6;49.1;39.3;32.9;50.0;50.9;67.7;73.5;63.8;40.4;56.2;72.9;57.6
1968;71.9;73.3;62.0;52.6;58.3;58.4;34.2;41.5;50.9;54.9;75.4;82.1;57.6;44.7;60.4;77.7;59.6
1969;77.0;73.9;80.0;66.3;52.3;55.6;42.9;38.2;57.6;54.1;64.4;82.1;66.2;45.6;58.7;78.1;62.0
1970;78.5;73.7;69.4;65.6;65.4;50.5;37.9;37.0;46.4;58.7;64.7;73.1;66.8;41.8;56.6;76.2;60.1
1971;78.2;77.3;73.2;60.6;58.1;53.8;41.8;26.6;49.4;53.0;67.2;65.8;64.0;40.7;56.5;75.8;58.7
1972;82.8;78.7;54.5;71.8;61.9;48.7;48.9;41.5;55.1;69.0;64.9;66.6;62.7;46.3;63.0;71.9;62.0
1973;73.1;76.0;69.2;69.8;60.8;57.0;42.7;42.1;39.6;55.2;59.9;64.2;66.6;47.3;51.5;70.0;59.1
1974;71.2;74.6;64.3;71.7;64.5;56.9;33.2;35.2;41.2;69.2;67.6;62.8;66.8;41.8;59.3;60.1;59.4
1975;59.4;58.1;70.2;61.8;63.4;57.0;36.2;42.6;42.4;59.4;72.1;73.3;65.1;45.3;57.9;69.3;58.0
1976;64.8;69.6;60.8;63.8;62.8;52.5;40.6;44.1;46.2;62.5;73.5;64.1;62.5;45.7;60.7;71.5;58.8
1977;72.6;77.7;56.8;64.7;64.1;50.3;38.8;36.6;44.4;47.1;70.9;61.7;61.9;41.9;54.1;70.0;57.1
1978;67.9;80.4;65.0;73.9;69.6;51.8;33.7;34.0;47.7;57.3;75.6;68.4;69.5;39.8;60.2;71.9;60.4
1979;72.1;75.2;63.3;65.7;59.9;53.3;40.8;40.8;38.8;62.2;74.7;60.4;62.9;45.0;58.6;68.0;58.9
1980;71.6;71.9;69.0;67.4;73.9;53.9;39.7;33.2;39.0;60.9;69.2;61.7;70.1;42.2;56.4;67.4;59.3
1981;71.6;68.8;63.0;56.6;63.6;49.4;37.1;32.5;44.3;56.7;67.1;69.8;61.1;39.7;56.0;66.7;56.7
1982;66.8;63.4;59.9;67.9;58.8;45.0;36.7;36.1;31.0;63.8;60.4;66.2;62.2;39.3;51.7;64.2;54.7
1983;60.2;66.2;58.2;60.9;55.5;55.3;34.5;35.3;35.7;47.4;64.0;65.7;58.2;41.7;49.0;73.1;53.3
1984;69.3;84.3;69.4;70.5;63.6;46.3;34.1;39.5;39.9;57.8;60.0;64.9;67.8;39.9;52.6;69.0;58.3
1985;74.0;68.2;74.7;63.5;62.9;52.9;29.0;26.9;28.3;50.8;73.8;58.1;67.0;36.3;51.0;69.7;55.3
1986;70.1;80.7;73.6;59.8;55.5;54.3;41.8;25.4;33.2;52.4;56.8;63.8;63.0;40.5;47.5;74.0;55.6
1987;77.1;81.1;71.9;59.6;67.4;48.5;30.3;29.2;31.5;66.1;73.8;69.7;66.3;36.0;57.1;73.7;58.9
1988;77.4;73.9;67.4;67.8;64.8;52.6;28.0;23.9;43.8;54.1;72.5;63.7;66.7;34.8;56.8;67.0;57.5
1989;64.9;72.3;57.5;63.3;65.3;55.8;39.5;37.5;47.7;52.0;63.5;68.0;62.1;44.3;54.4;63.1;57.3
1990;67.5;53.8;50.2;66.5;60.2;49.2;34.1;29.7;42.1;56.8;73.4;72.9;58.9;37.7;57.4;70.8;54.7
1991;63.4;76.2;74.4;69.9;65.7;44.2;42.4;34.3;38.8;62.8;68.4;59.7;70.0;40.3;56.7;64.5;58.4
1992;69.9;64.0;63.1;64.0;58.1;55.5;36.7;21.2;33.6;73.1;67.7;68.5;61.8;37.8;58.1;65.5;56.3
1993;62.3;65.7;66.2;62.5;55.7;44.8;28.2;29.3;34.7;60.8;74.1;64.8;61.5;34.1;56.6;74.8;54.1
1994;75.3;84.4;48.7;72.7;55.4;46.2;36.0;25.4;32.1;62.9;69.1;57.4;58.9;35.8;54.7;65.1;55.4
1995;75.3;62.7;70.9;62.2;59.4;47.8;40.0;44.5;47.4;44.4;72.4;80.3;64.2;44.1;54.7;81.2;58.9
1996;80.9;82.5;73.6;66.8;63.9;39.5;32.0;37.1;61.5;76.5;67.8;78.2;68.1;36.2;68.6;71.0;63.4
1997;73.4;61.5;46.8;64.3;44.7;43.5;40.3;39.6;28.4;66.0;79.4;74.8;51.9;41.1;58.0;66.4;55.2
1998;70.4;53.8;48.0;67.6;67.5;40.3;30.4;30.1;50.0;64.7;80.9;60.8;61.0;33.6;65.2;68.7;55.4
1999;69.5;76.0;62.9;63.8;60.3;50.4;38.7;31.2;42.7;52.9;72.3;72.1;62.4;40.1;56.0;65.5;57.7
2000;60.6;63.9;56.3;60.1;44.7;37.4;32.3;21.3;50.7;64.9;63.4;60.6;53.7;30.3;59.7;70.3;51.4
2001;82.5;67.8;70.3;66.1;55.7;50.4;36.2;29.0;52.3;46.2;62.4;69.3;64.0;38.5;53.6;68.9;57.4
2002;67.4;70.1;58.2;68.1;60.3;47.0;44.4;48.0;54.6;64.6;73.4;81.2;62.2;46.5;64.2;73.5;61.4
2003;76.0;63.3;44.9;61.1;46.1;37.3;32.2;28.7;38.4;74.2;72.0;63.0;50.7;32.7;61.5;72.4;53.1
2004;76.6;77.5;68.4;74.8;58.3;52.9;35.1;29.0;41.4;66.4;72.1;69.5;67.2;39.0;60.0;70.8;60.2
2005;63.5;79.4;62.1;61.3;55.4;42.6;37.5;45.3;49.4;61.0;74.1;75.3;59.6;41.8;61.5;74.8;58.9
2006;70.3;78.9;77.7;67.7;54.1;52.0;32.5;42.1;36.0;47.0;59.4;60.0;66.5;42.2;47.4;69.3;56.5
2007;66.8;81.0;67.1;62.8;59.4;44.8;25.4;30.5;42.2;74.1;75.6;70.1;63.1;33.6;64.0;69.8;58.3
2008;74.8;64.6;68.3;70.4;49.5;49.2;34.5;25.7;53.9;56.0;72.7;72.9;62.7;36.5;60.8;78.7;57.7
2009;82.0;81.3;72.1;68.4;50.7;53.7;27.5;31.4;42.4;68.2;69.5;79.8;63.7;37.5;60.0;81.8;60.6
2010;78.8;86.7;66.1;63.6;65.9;55.1;31.1;25.5;46.2;72.6;72.7;72.3;65.2;37.2;63.8;76.5;61.4
2011;78.1;79.0;64.8;55.2;55.3;43.8;35.5;20.6;25.1;57.5;60.7;71.0;58.4;33.3;47.8;74.1;53.9
2012;66.4;84.9;45.4;67.6;58.7;32.8;24.2;17.9;39.2;59.6;76.7;72.3;57.2;24.9;58.5;79.8;53.8
2013;78.2;88.8;75.8;55.3;60.8;48.4;27.3;28.1;43.9;54.7;78.6;62.4;64.0;34.6;59.0;76.2;58.5
2014;83.7;82.5;56.3;71.3;61.5;47.6;40.4;28.2;55.9;65.3;77.4;67.9;63.0;38.8;66.2;72.5;61.5
2015;73.9;75.7;67.5;54.4;54.2;45.0;24.1;32.0;41.6;73.5;58.2;56.3;58.7;33.7;57.8;70.6;54.7
2016;76.2;79.5;72.0;56.0;61.0;48.1;28.9;28.1;40.4;70.6;73.9;55.0;63.0;35.0;61.6;70.7;57.5
2017;76.8;80.5;48.4;56.6;52.0;38.4;27.9;21.8;49.9;47.2;78.5;67.5;52.3;29.4;58.6;78.3;53.8
2018;77.4;90.2;79.3;47.3;50.2;56.6;36.9;31.0;29.0;57.9;72.3;69.8;58.9;41.5;53.1;71.6;58.2
2019;79.8;65.3;44.7;62.2;70.7;43.6;33.5;21.0;35.6;44.0;79.9;68.5;59.2;32.7;53.2;64.6;54.1
2020;58.7;66.8;61.3;59.0;61.9;53.7;30.3;28.5;31.9;63.8;65.0;74.8;60.8;37.5;53.6;72.9;54.6
2021;79.3;64.7;53.7;62.1;53.4;37.8;29.7;28.5;33.3;61.9;77.7;71.6;56.4;32.0;57.6;65.1;54.5
2022;58.0;65.6;51.5;58.0;47.7;39.0;25.6;36.1;42.1;44.9;72.3;73.7;52.4;33.6;53.1;67.5;51.2
2023;71.6;57.3;55.5;65.8;72.4;54.2;28.6;30.7;32.1;54.6;74.3;69.2;64.5;37.8;53.7;68.7;55.5
2024;66.2;70.7;60.5;53.6;59.1;42.7;24.6;25.4;45.8;50.9;64.4;69.5;57.7;30.9;53.7;-999.0;52.8
