Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Slovenia             : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;66.3;63.1;67.6;58.9;53.4;56.4;51.0;52.8;57.7;61.2;67.5;69.1;60.0;53.4;62.2;67.9;60.4
1902;69.4;65.2;63.1;58.4;64.2;57.8;47.2;51.6;52.2;66.1;65.9;66.7;61.9;52.2;61.4;63.4;60.7
1903;63.7;59.8;53.2;61.6;51.8;57.2;51.5;51.7;50.2;56.0;70.3;69.6;55.6;53.5;58.9;68.0;58.1
1904;67.4;67.1;62.9;56.4;55.1;56.1;42.7;45.7;58.4;63.7;70.0;68.8;58.1;48.2;64.1;67.4;59.5
1905;66.2;67.2;65.1;61.3;56.9;55.0;47.6;51.0;61.1;69.0;67.8;69.8;61.1;51.2;66.0;67.5;61.5
1906;66.4;66.2;60.6;55.7;59.5;59.1;52.2;45.8;54.6;52.6;65.4;69.5;58.6;52.4;57.5;67.8;59.0
1907;67.9;66.1;63.1;64.8;53.4;58.0;53.0;48.0;51.6;56.9;66.2;68.5;60.4;53.0;58.2;66.5;59.8
1908;63.5;67.7;63.6;68.3;56.8;55.8;48.1;53.5;54.3;49.5;67.1;71.0;62.9;52.5;57.0;67.6;59.9
1909;66.5;65.2;65.0;56.9;56.0;58.7;54.9;50.3;58.1;61.2;73.7;68.6;59.3;54.6;64.3;67.8;61.3
1910;70.0;64.7;62.2;60.5;59.9;58.2;54.6;53.6;63.1;58.9;72.0;69.8;60.9;55.5;64.7;67.4;62.3
1911;68.1;64.4;63.2;58.8;63.4;57.5;44.9;44.0;49.3;57.2;65.8;71.1;61.8;48.8;57.5;67.4;59.0
1912;68.9;62.0;65.0;62.8;61.6;58.8;52.5;56.9;68.0;63.5;73.3;68.4;63.1;56.1;68.3;66.4;63.5
1913;69.1;61.6;58.9;62.9;60.4;59.9;59.8;54.3;56.7;57.2;71.8;71.3;60.7;58.0;61.9;66.5;62.0
1914;67.9;60.4;66.5;54.7;67.3;59.2;55.9;49.4;56.0;65.8;72.3;68.1;62.8;54.8;64.7;68.3;62.0
1915;70.6;66.1;68.8;62.0;56.7;54.3;50.8;54.0;53.2;71.4;69.2;68.8;62.5;53.0;64.6;67.1;62.2
1916;68.6;64.0;64.1;56.7;53.8;60.3;52.9;52.8;57.3;62.1;69.5;69.1;58.2;55.3;63.0;67.0;60.9
1917;69.3;62.7;65.8;69.4;47.2;53.9;49.0;48.8;48.0;61.4;70.1;68.4;60.8;50.6;59.8;65.4;59.5
1918;65.3;62.5;58.0;63.9;55.1;58.4;54.5;53.5;54.6;65.1;69.7;71.9;59.0;55.5;63.1;69.6;61.0
1919;72.0;64.8;66.6;71.0;57.9;56.8;57.3;47.0;49.3;67.0;71.4;69.0;65.2;53.7;62.6;66.7;62.5
