Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Spain                : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;63.9;61.2;63.0;58.6;50.2;40.4;31.1;35.7;55.6;57.5;57.9;61.7;57.2;35.7;57.0;62.5;53.1
1902;60.8;65.0;58.1;63.8;51.2;48.0;36.3;35.6;47.7;54.2;60.4;66.8;57.7;40.0;54.1;62.8;54.0
1903;62.8;58.9;58.3;54.0;57.5;48.6;38.5;35.7;49.0;55.4;57.1;66.0;56.6;41.0;53.8;65.6;53.5
1904;64.9;66.0;61.5;52.9;49.1;45.0;35.7;36.7;49.5;48.3;56.0;66.8;54.5;39.1;51.3;62.7;52.7
1905;62.3;59.2;63.5;58.3;52.6;49.9;34.0;38.5;49.9;51.2;64.2;62.6;58.1;40.8;55.1;63.5;53.8
1906;64.8;63.2;58.1;61.4;50.9;41.7;34.4;31.5;46.4;55.7;59.1;65.6;56.8;35.9;53.7;63.1;52.7
1907;62.6;61.0;51.1;61.3;54.5;45.5;36.1;30.9;45.5;63.8;65.8;69.6;55.6;37.5;58.4;65.2;54.0
1908;65.3;60.7;61.4;61.1;48.9;47.6;34.4;37.5;45.9;54.2;62.5;67.4;57.1;39.8;54.2;64.1;53.9
1909;64.5;60.4;69.7;54.2;50.6;49.5;32.6;36.7;49.5;53.1;64.2;68.2;58.2;39.6;55.6;65.0;54.4
1910;63.0;63.9;63.2;63.8;60.9;50.4;39.9;40.9;52.6;58.7;64.8;67.8;62.6;43.7;58.7;63.3;57.5
1911;64.0;58.1;68.9;58.1;59.0;52.8;34.2;35.6;45.6;61.6;62.7;66.0;62.0;40.8;56.6;65.0;55.6
1912;66.8;62.3;63.1;60.7;52.4;51.2;43.1;41.5;51.9;58.1;60.4;59.1;58.7;45.3;56.8;62.2;55.9
1913;67.1;60.3;62.4;66.1;55.9;41.6;36.5;40.4;54.0;57.9;66.2;66.0;61.5;39.5;59.4;64.2;56.2
1914;64.1;62.4;66.6;58.6;54.3;49.1;40.2;36.2;46.1;54.8;62.3;67.1;59.8;41.9;54.4;66.7;55.1
1915;68.9;64.2;64.6;61.3;60.3;49.4;35.1;35.5;47.3;56.6;64.5;69.2;62.1;40.0;56.1;65.1;56.4
1916;63.1;63.0;67.2;61.4;55.6;46.9;39.5;40.4;47.6;52.2;60.7;67.2;61.4;42.3;53.5;66.3;55.4
1917;68.1;63.7;63.9;60.3;60.1;44.6;32.5;36.8;42.5;50.3;59.7;64.4;61.4;38.0;50.8;64.0;53.9
1918;67.7;60.0;64.4;65.0;54.6;44.8;36.2;35.1;52.5;56.3;66.8;67.8;61.3;38.7;58.5;67.8;55.9
1919;66.1;69.4;69.7;59.1;52.7;40.5;37.6;32.6;49.2;56.8;62.8;67.7;60.5;36.9;56.3;65.1;55.4
1920;66.4;61.3;59.1;61.6;52.3;47.3;36.0;34.9;47.1;63.1;61.8;68.3;57.7;39.4;57.4;63.9;54.9
1921;62.6;60.8;55.3;56.4;53.0;43.1;32.7;34.9;47.4;55.5;58.8;62.3;54.9;36.9;53.9;61.1;51.9
1922;62.2;58.7;61.9;65.3;45.3;43.2;32.4;30.9;45.3;53.8;57.6;58.6;57.5;35.5;52.2;61.6;51.3
1923;64.5;61.7;59.7;61.1;53.1;40.8;32.6;32.5;44.4;53.8;59.9;65.7;58.0;35.3;52.7;62.6;52.5
1924;62.9;59.3;62.2;56.1;50.8;39.9;32.6;35.2;47.5;53.5;57.6;60.4;56.4;35.9;52.9;59.6;51.5
1925;58.9;59.4;55.2;62.1;54.5;43.0;36.6;32.4;41.7;45.9;58.9;63.9;57.2;37.4;48.9;61.2;51.1
1926;61.5;58.3;55.5;58.3;53.5;43.6;33.2;28.3;38.4;47.4;59.4;62.8;55.7;35.0;48.4;60.1;50.0
1927;58.7;58.9;60.4;52.1;52.2;39.5;37.9;35.3;40.8;43.3;52.9;61.8;54.9;37.6;45.6;59.6;49.5
1928;58.6;58.4;62.7;58.5;51.7;39.2;24.3;28.7;43.7;51.7;56.1;60.5;57.6;30.7;50.5;61.1;49.5
1929;62.6;60.4;57.2;52.5;52.9;43.9;32.9;32.6;47.8;52.1;62.7;63.3;54.2;36.5;54.2;64.0;51.7
1930;67.9;60.8;61.4;64.1;57.1;52.0;39.4;35.6;46.4;55.7;57.3;69.1;60.9;42.3;53.1;65.7;55.6
1931;66.8;61.3;64.2;60.4;55.7;41.2;36.5;38.7;47.3;53.6;61.7;59.8;60.1;38.8;54.2;59.3;53.9
1932;60.8;57.5;63.9;58.8;54.3;49.9;38.7;37.8;50.8;55.6;61.3;67.2;59.0;42.1;55.9;63.3;54.7
1933;65.4;57.3;62.8;52.6;53.5;50.6;32.2;31.5;48.7;55.2;60.4;64.6;56.3;38.1;54.8;59.6;52.9
1934;60.3;53.8;61.4;61.0;52.7;42.7;32.1;36.1;45.2;48.3;56.0;64.1;58.4;37.0;49.8;61.3;51.1
1935;63.1;56.8;59.0;51.2;59.2;41.6;34.8;35.3;45.7;51.1;58.1;65.5;56.5;37.2;51.6;63.9;51.8
1936;63.1;63.1;65.0;65.6;59.0;48.5;38.7;33.6;49.5;48.3;60.4;59.0;63.2;40.3;52.7;60.1;54.5
1937;60.2;61.2;64.1;59.7;48.0;46.6;31.8;31.6;45.7;57.3;63.1;67.4;57.3;36.7;55.4;61.0;53.1
1938;59.2;56.3;45.4;53.6;54.9;41.2;33.1;36.9;51.3;52.5;58.5;67.2;51.3;37.1;54.1;63.7;50.8
1939;66.4;57.6;58.8;60.2;51.2;46.4;34.7;36.2;49.7;58.3;60.8;64.2;56.7;39.1;56.3;63.6;53.7
1940;65.0;61.7;59.3;57.4;51.5;44.4;35.4;33.3;45.9;52.3;57.4;58.6;56.1;37.7;51.9;64.1;51.9
