Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Sweden               : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;68.8;66.6;66.0;65.0;58.8;61.6;60.3;63.7;66.4;70.6;67.4;68.7;63.3;61.9;68.1;68.1;65.3
1902;69.3;66.3;65.5;63.7;62.3;58.7;63.5;65.7;67.0;70.2;69.2;68.9;63.8;62.6;68.8;68.5;65.9
1903;69.1;67.6;65.4;66.0;61.2;60.2;63.9;67.1;67.1;71.8;70.5;70.1;64.2;63.8;69.8;69.7;66.7
1904;69.5;69.5;65.6;65.5;61.4;59.7;60.7;64.2;66.6;70.7;71.2;68.6;64.2;61.5;69.5;68.5;66.1
1905;68.9;68.0;65.7;67.1;58.4;58.2;62.6;64.2;68.5;70.6;71.2;69.3;63.7;61.7;70.1;69.3;66.1
1906;69.1;69.6;65.9;63.1;59.6;59.5;61.9;64.6;67.1;70.7;70.9;68.3;62.9;62.0;69.6;68.7;65.8
1907;69.2;68.5;64.3;64.8;60.0;62.5;64.4;66.6;67.2;70.1;69.7;69.1;63.0;64.5;69.0;68.8;66.4
1908;69.0;68.4;64.5;66.4;60.5;58.8;59.2;64.9;67.4;67.8;68.3;67.2;63.8;61.0;67.8;67.7;65.2
1909;69.1;66.8;64.7;60.6;59.2;57.8;62.7;65.2;66.7;69.9;65.2;64.6;61.5;61.9;67.3;67.6;64.4
1910;69.2;69.0;67.3;66.9;60.3;58.3;63.6;64.0;67.0;66.9;70.7;64.9;64.9;62.0;68.2;67.2;65.7
1911;69.4;67.3;64.8;64.3;57.2;60.0;63.1;60.8;66.0;66.0;68.6;69.3;62.1;61.3;66.9;68.5;64.7
1912;68.8;67.5;67.9;58.7;62.7;61.5;59.5;65.2;68.3;70.5;68.0;69.3;63.1;62.1;68.9;68.7;65.7
1913;69.4;67.5;61.2;63.7;59.5;59.8;60.5;63.9;65.6;69.9;70.0;67.3;61.5;61.4;68.5;67.8;64.9
1914;69.1;67.1;64.4;64.3;60.5;60.1;62.1;64.1;67.1;72.6;68.9;69.2;63.1;62.1;69.5;69.0;65.8
1915;69.3;68.4;63.8;62.8;59.8;59.4;65.3;66.5;66.9;71.6;67.6;68.6;62.2;63.7;68.7;68.8;65.8
1916;69.2;68.6;65.1;63.0;63.0;62.4;62.1;67.2;66.3;70.2;70.6;70.1;63.7;63.9;69.0;68.7;66.5
1917;69.3;66.7;62.2;65.5;58.3;57.2;62.3;64.2;68.4;71.5;68.8;68.8;62.0;61.2;69.6;68.6;65.3
1918;68.7;68.2;60.3;65.8;56.9;64.5;64.2;64.6;69.1;73.1;70.6;70.8;61.0;64.4;70.9;69.2;66.4
1919;69.5;67.4;63.7;65.6;55.4;63.0;62.2;67.1;64.3;68.3;67.0;67.5;61.5;64.1;66.5;67.9;65.1
1920;69.1;67.2;67.2;71.6;64.2;62.3;66.2;67.9;68.2;64.5;67.5;70.1;67.6;65.4;66.7;68.8;67.1
1921;69.0;67.3;64.1;60.8;56.9;62.9;61.5;64.9;64.9;64.9;65.8;68.4;60.6;63.1;65.2;68.1;64.3
1922;69.0;67.1;65.9;64.3;61.7;59.7;67.3;66.5;66.1;67.1;64.1;67.7;64.0;64.5;65.8;68.9;65.5
1923;69.7;69.2;65.7;64.0;67.5;71.7;65.4;71.4;70.8;73.4;69.1;69.8;65.7;69.5;71.1;68.7;69.0
1924;69.0;67.3;62.9;68.0;66.8;68.9;64.6;65.1;68.3;72.6;68.3;70.7;65.9;66.2;69.7;69.9;67.7
1925;69.6;69.5;65.0;62.3;64.1;65.5;61.8;66.7;68.6;70.5;66.3;68.5;63.8;64.7;68.5;69.5;66.5
1926;69.4;70.6;68.3;64.8;69.9;67.2;62.2;65.9;68.3;71.2;71.0;68.7;67.6;65.1;70.2;69.2;68.1
1927;69.6;69.2;69.7;71.5;69.0;68.6;66.5;69.2;68.6;71.1;69.8;68.0;70.1;68.1;69.8;68.8;69.2
1928;69.6;68.7;63.2;65.3;63.6;69.4;69.9;68.7;66.8;70.3;70.0;69.4;64.1;69.3;69.1;67.9;67.9
1929;68.9;65.3;63.1;65.0;62.4;65.4;67.3;67.1;66.6;72.7;72.8;71.9;63.5;66.6;70.7;69.9;67.4
1930;69.7;68.1;66.1;68.1;64.3;59.8;63.4;67.5;70.4;72.2;69.2;70.3;66.2;63.6;70.6;69.9;67.4
1931;69.6;69.8;58.5;69.7;66.1;69.4;69.1;66.6;67.3;69.5;75.6;69.9;64.8;68.4;70.8;68.5;68.4
1932;69.4;66.3;64.1;68.1;65.6;63.5;62.8;65.0;68.5;73.1;71.1;70.8;66.0;63.8;70.9;69.6;67.4
1933;69.5;68.5;64.6;64.1;65.3;60.5;65.1;64.6;66.7;72.9;69.9;67.6;64.7;63.4;69.8;68.4;66.6
1934;69.6;67.9;73.2;62.9;59.5;61.3;64.1;66.5;66.3;73.7;69.8;72.0;65.2;63.9;69.9;70.0;67.2
1935;69.4;68.5;62.6;68.0;63.4;63.2;65.6;62.5;71.6;73.9;75.4;71.3;64.6;63.8;73.6;69.9;67.9
1936;69.7;68.7;67.0;70.6;62.3;58.7;69.7;67.6;63.9;71.5;72.4;71.2;66.7;65.3;69.3;69.7;67.8
