Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Switzerland          : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;71.6;68.4;76.5;67.8;57.2;59.6;55.4;61.3;68.0;70.9;72.7;76.0;67.2;58.8;70.5;75.4;67.1
1902;76.4;73.7;67.7;69.2;77.4;64.4;52.0;63.4;60.5;75.4;75.0;72.7;71.5;60.0;70.3;69.0;69.0
1903;70.7;63.4;58.7;77.2;60.7;64.3;61.5;59.8;58.1;68.4;77.4;79.9;65.6;61.9;68.0;77.6;66.7
1904;76.0;77.0;71.9;66.4;63.0;59.0;42.2;52.0;67.8;71.0;74.3;75.2;67.1;51.1;71.0;74.6;66.3
1905;72.1;76.5;72.2;70.2;68.5;57.1;49.6;60.5;70.7;75.1;74.3;76.9;70.3;55.7;73.4;74.4;68.6
1906;71.7;74.8;66.1;63.6;67.9;63.9;58.6;51.7;54.0;59.4;72.6;74.1;65.9;58.1;62.0;74.9;64.9
1907;73.8;76.8;66.1;70.1;60.4;64.8;60.3;51.4;52.7;66.5;73.2;73.4;65.5;58.8;64.1;72.7;65.8
1908;68.3;76.4;71.1;74.7;65.0;57.9;55.3;62.7;59.8;53.0;70.9;77.8;70.3;58.6;61.2;73.4;66.1
1909;71.0;71.3;71.9;58.2;58.9;66.2;67.6;57.7;63.4;66.3;76.6;74.5;63.0;63.8;68.8;73.8;67.0
1910;75.3;71.5;63.7;67.2;68.6;65.8;65.8;61.5;68.5;67.0;75.5;75.3;66.5;64.3;70.3;74.0;68.8
1911;76.6;70.0;66.5;62.2;69.4;62.9;42.1;47.8;50.8;65.3;73.1;74.7;66.1;50.9;63.1;72.2;63.5
1912;76.6;65.2;69.5;63.6;65.6;64.1;56.6;70.6;71.4;67.6;77.2;72.0;66.2;63.8;72.0;70.7;68.3
1913;76.8;63.4;63.5;70.0;66.0;69.3;69.8;60.6;63.4;63.7;78.3;76.2;66.5;66.6;68.5;70.6;68.4
1914;73.9;61.6;74.3;55.6;78.5;65.6;64.3;57.2;61.6;70.6;77.2;72.6;69.4;62.4;69.8;74.5;67.7
1915;77.7;73.2;75.6;66.6;66.4;54.9;58.7;62.5;59.6;75.8;75.8;73.8;69.5;58.7;70.4;73.7;68.4
1916;75.0;72.4;69.4;65.7;65.0;70.9;61.4;60.6;65.1;71.3;75.2;75.4;66.7;64.3;70.5;74.6;69.0
1917;81.0;67.2;74.8;77.2;58.9;53.3;58.9;62.1;53.2;69.8;76.5;73.1;70.3;58.1;66.5;70.9;67.2
1918;69.2;70.3;58.9;77.3;62.8;63.0;58.2;57.6;60.4;73.4;76.0;75.6;66.4;59.6;69.9;75.4;66.9
1919;80.5;70.0;73.8;78.0;58.0;58.2;65.7;48.9;51.0;72.7;77.0;73.1;69.9;57.6;66.9;70.2;67.3
1920;74.3;63.1;60.0;73.5;63.8;64.7;53.7;63.2;67.4;65.4;70.9;77.6;65.8;60.5;67.9;75.3;66.5
1921;76.2;72.1;52.7;61.7;62.2;58.8;43.1;52.0;51.6;52.4;76.1;72.4;58.9;51.3;60.0;70.9;61.0
1922;74.7;65.7;69.6;75.2;57.3;63.5;58.8;57.4;71.4;79.8;75.0;76.9;67.4;59.9;75.4;78.7;68.8
1923;80.8;78.5;71.1;66.1;66.6;73.2;51.0;49.4;56.4;69.6;76.8;76.3;67.9;57.9;67.6;75.0;68.0
1924;72.4;76.4;67.0;73.0;67.4;67.1;61.1;68.5;62.7;67.6;75.8;75.8;69.1;65.6;68.7;74.2;69.6
1925;75.1;71.6;76.9;71.6;67.6;58.4;60.3;63.6;68.2;65.5;80.9;71.0;72.0;60.8;71.6;72.2;69.2
1926;74.4;71.3;74.2;57.5;75.6;72.4;67.7;53.5;53.3;68.0;69.6;77.8;69.1;64.5;63.6;73.8;67.9
1927;78.4;65.1;64.8;70.4;59.9;60.5;58.0;61.9;65.1;62.5;77.3;77.0;65.1;60.1;68.3;72.9;66.7
1928;74.9;67.0;65.8;65.8;68.3;57.9;40.8;56.3;54.3;61.7;75.0;77.6;66.6;51.7;63.7;68.8;63.8
1929;71.9;57.0;58.4;65.4;60.9;62.8;48.0;53.2;42.5;65.4;70.3;69.4;61.6;54.7;59.4;69.0;60.4
1930;73.1;64.5;61.8;68.7;72.7;53.4;63.5;56.7;63.5;67.3;67.8;76.3;67.7;57.9;66.2;74.6;65.8
1931;75.0;72.6;60.4;67.8;59.3;53.1;58.9;66.7;66.2;53.5;71.9;72.0;62.5;59.6;63.9;69.8;64.8
1932;72.5;64.9;62.8;68.7;67.1;60.3;62.7;48.5;60.3;66.6;75.6;76.1;66.2;57.2;67.5;73.3;65.5
1933;75.0;69.0;56.1;60.9;73.7;66.1;49.0;47.2;52.7;63.8;78.7;74.7;63.5;54.1;65.1;72.5;63.9
1934;76.8;65.9;67.1;50.8;55.5;53.7;45.9;60.5;48.7;63.7;71.9;75.5;57.8;53.4;61.5;75.6;61.3
1935;79.2;72.1;61.1;77.9;63.7;54.4;46.9;51.1;55.1;74.8;72.8;75.2;67.6;50.8;67.6;71.7;65.4
1936;73.1;66.8;58.9;70.6;66.9;64.1;64.3;55.3;63.6;71.6;77.8;75.0;65.5;61.2;71.0;73.9;67.3
1937;73.0;73.7;73.1;74.9;56.8;57.6;54.0;55.8;61.6;64.4;73.9;77.2;68.3;55.8;66.6;72.6;66.3
1938;74.6;66.0;52.2;66.3;63.1;55.6;56.3;63.4;54.2;64.7;68.5;73.4;60.5;58.4;62.4;70.9;63.2
1939;75.2;64.0;73.8;66.3;84.2;59.6;55.8;57.8;64.6;79.6;71.6;75.7;74.8;57.8;71.9;70.0;69.0
1940;70.2;64.2;65.4;66.1;64.5;58.0;60.7;58.4;60.0;72.6;70.4;72.5;65.3;59.0;67.6;72.4;65.2
1941;73.8;70.7;61.1;72.9;67.2;57.6;53.9;62.8;49.6;74.5;76.5;72.7;67.1;58.1;66.9;72.3;66.1
1942;72.1;72.0;64.7;66.3;61.9;55.4;60.2;49.4;53.0;62.4;78.6;70.3;64.3;55.0;64.7;67.2;63.9
1943;70.0;61.1;51.8;58.9;58.0;65.3;45.1;49.0;57.6;60.6;75.4;79.4;56.2;53.1;64.5;76.0;61.0
1944;73.9;74.7;72.2;61.8;58.3;66.6;62.2;49.4;64.4;73.9;74.5;73.1;64.1;59.4;70.9;71.0;67.1
1945;69.6;70.2;64.3;53.3;52.3;49.3;43.6;58.6;59.4;59.2;77.7;71.8;56.6;50.5;65.4;73.5;60.8
1946;70.3;78.4;67.5;46.5;63.3;69.9;52.9;57.3;52.5;65.3;71.6;75.5;59.1;60.0;63.1;72.7;64.3
1947;70.9;71.8;67.1;51.8;60.2;50.4;46.2;45.3;42.7;50.6;71.2;75.9;59.7;47.3;54.8;73.8;58.7
1948;73.6;71.9;52.0;58.7;61.8;63.2;68.5;64.3;52.6;57.3;69.0;70.8;57.5;65.3;59.6;67.0;63.6
1949;72.4;57.9;58.4;49.1;74.0;55.0;39.7;51.2;49.4;55.0;73.3;72.6;60.5;48.6;59.2;70.1;59.0
1950;73.2;64.5;56.6;72.4;57.2;49.1;51.3;54.2;68.8;64.2;72.4;76.5;62.1;51.5;68.5;75.7;63.4
1951;77.1;73.4;71.9;61.1;69.1;66.0;51.9;60.4;58.2;54.9;70.9;70.2;67.4;59.4;61.3;72.0;65.4
1952;72.6;73.1;69.7;58.2;64.7;58.0;42.4;50.7;68.6;71.3;74.5;76.8;64.2;50.4;71.5;73.5;65.0
1953;74.6;69.0;47.0;56.3;57.4;71.6;61.4;52.0;52.3;64.5;64.8;75.6;53.6;61.7;60.5;73.2;62.2
1954;73.9;70.0;58.5;72.9;66.4;66.4;70.3;62.3;61.3;58.1;65.7;74.8;65.9;66.3;61.7;75.0;66.7
1955;75.1;75.2;67.3;58.7;65.1;70.3;69.3;60.4;59.7;62.1;70.8;72.7;63.7;66.7;64.2;68.3;67.2
1956;73.9;58.3;64.9;72.3;60.7;79.6;60.9;66.8;53.7;64.8;77.5;72.2;66.0;69.1;65.3;69.5;67.1
1957;64.8;71.5;59.4;62.2;69.8;63.4;61.9;63.8;65.4;51.1;75.4;72.5;63.8;63.0;63.9;72.3;65.1
1958;70.9;73.4;68.6;70.8;65.7;68.9;57.9;61.4;53.7;69.6;83.4;70.4;68.4;62.7;68.9;64.7;67.9
1959;69.1;54.7;64.9;60.0;65.4;67.2;47.3;60.7;40.1;45.4;73.0;73.0;63.4;58.4;52.8;72.0;60.1
1960;73.4;69.5;71.0;66.2;62.6;64.4;65.2;68.2;61.8;70.6;71.5;77.2;66.6;65.9;68.0;71.1;68.5
1961;75.0;61.0;53.6;73.1;76.9;65.7;58.6;58.5;44.4;59.4;70.1;68.0;67.9;60.9;57.9;70.0;63.7
1962;72.1;69.8;73.0;67.5;78.2;60.8;58.4;48.1;51.0;52.4;73.7;68.7;72.9;55.7;59.0;67.3;64.5
1963;70.5;62.7;66.2;71.3;72.5;71.9;52.8;68.9;62.3;55.5;69.8;73.5;70.0;64.5;62.5;71.9;66.5
1964;75.1;67.1;79.7;70.5;67.1;60.5;40.5;57.4;51.1;73.0;77.3;76.1;72.5;52.8;67.2;74.5;66.3
1965;78.9;68.4;67.6;75.1;78.5;71.7;69.2;62.9;63.8;58.7;74.6;74.5;73.7;67.9;65.7;73.6;70.3
1966;72.4;73.8;69.4;72.1;67.6;66.7;70.1;70.1;54.5;72.9;75.4;73.7;69.7;69.0;67.6;69.7;69.9
1967;74.4;61.0;70.5;65.5;69.5;68.3;48.5;60.6;62.3;53.8;71.6;73.6;68.5;59.1;62.5;73.0;65.0
1968;71.2;74.0;61.3;59.8;77.6;70.9;59.0;74.4;64.7;65.2;74.2;74.7;66.2;68.1;68.0;74.0;68.9
1969;75.1;72.2;75.1;69.7;69.6;76.0;56.1;65.5;56.0;53.4;66.8;74.0;71.4;65.8;58.8;76.1;67.4
1970;78.6;75.8;76.1;79.9;75.6;65.3;59.7;63.2;48.2;65.0;68.2;75.1;77.2;62.7;60.4;70.7;69.2
