Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Austria              : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;7.1;7.6;7.5;9.7;11.2;10.2;10.6;9.2;8.7;8.0;6.5;5.7;9.5;10.0;7.7;6.1;8.5
1902;5.8;6.8;8.3;9.8;8.9;10.0;10.6;9.2;9.5;7.0;6.8;6.4;9.0;10.0;7.8;7.5;8.3
1903;7.6;8.4;10.3;8.6;11.1;10.6;9.9;9.4;9.8;8.5;5.4;5.0;10.0;10.0;7.9;5.7;8.7
1904;6.0;6.0;8.1;9.8;10.5;10.9;12.0;10.9;8.2;7.1;5.8;5.8;9.5;11.3;7.1;6.3;8.4
1905;7.0;6.2;7.8;8.8;10.3;11.1;10.7;9.6;7.7;6.4;6.3;5.4;9.0;10.5;6.8;6.2;8.1
1906;6.8;6.4;8.6;10.6;9.9;9.1;9.7;10.4;8.8;9.1;6.8;5.7;9.7;9.8;8.2;6.0;8.5
1907;6.2;6.1;8.1;8.7;11.0;9.9;9.3;10.1;9.9;8.6;6.6;5.8;9.3;9.7;8.4;6.5;8.4
1908;7.6;6.1;8.2;8.0;10.0;10.5;10.5;8.8;9.1;10.1;6.6;5.1;8.7;9.9;8.6;6.2;8.4
1909;6.7;6.9;7.9;10.1;10.4;9.5;8.8;9.3;8.1;7.7;5.1;5.8;9.5;9.2;7.0;6.1;8.0
1910;5.7;6.9;8.6;9.3;9.5;9.7;8.9;8.8;7.4;8.2;5.5;5.4;9.2;9.1;7.0;6.2;7.8
1911;6.1;7.0;8.2;9.6;9.2;10.1;11.3;10.9;10.1;8.4;6.5;5.2;9.0;10.8;8.3;6.3;8.6
1912;6.1;7.6;7.9;9.1;9.3;9.4;10.0;7.9;6.6;7.6;5.2;6.0;8.8;9.1;6.5;6.6;7.7
1913;5.9;7.9;9.2;9.1;9.7;9.1;8.5;8.8;8.5;8.4;5.6;5.1;9.3;8.8;7.5;6.5;8.0
1914;6.4;8.1;7.5;10.5;8.4;9.3;9.2;9.8;8.6;6.9;5.3;5.9;8.8;9.4;6.9;6.0;8.0
1915;5.5;6.6;7.0;9.0;10.4;11.2;9.9;8.6;9.1;6.0;5.8;6.1;8.8;9.9;7.0;6.3;7.9
1916;6.1;6.8;7.9;9.8;10.4;9.2;9.4;8.9;8.3;7.5;5.9;5.6;9.4;9.2;7.2;6.2;8.0
1917;5.7;7.4;7.3;7.8;11.5;11.7;10.2;9.4;9.9;7.7;5.8;5.8;8.9;10.4;7.8;6.6;8.3
1918;7.1;7.1;9.3;8.8;10.4;9.5;9.4;8.8;8.8;7.0;5.6;5.2;9.5;9.2;7.1;5.7;8.1
1919;5.1;6.8;7.4;7.6;10.0;9.7;8.7;10.2;10.1;6.7;5.5;5.7;8.3;9.5;7.4;6.4;7.8
1920;5.9;7.6;9.2;8.5;10.0;9.0;10.4;8.5;7.4;8.7;6.8;5.0;9.3;9.3;7.6;5.8;8.1
1921;6.0;6.3;10.7;9.5;10.4;9.8;11.4;10.7;10.1;9.7;5.8;6.4;10.2;10.6;8.5;6.8;8.9
1922;6.5;7.5;7.9;8.4;10.6;9.9;9.7;9.5;7.1;6.0;5.7;5.1;8.9;9.7;6.2;5.4;7.8
1923;5.0;6.0;7.7;9.2;10.0;8.1;10.5;10.5;9.0;7.7;6.0;5.3;9.0;9.7;7.6;6.1;7.9
1924;6.9;6.2;8.4;8.3;9.6;9.3;9.6;8.2;8.5;8.4;6.0;5.6;8.8;9.0;7.6;6.3;7.9
1925;5.9;7.3;6.9;9.0;10.1;9.9;9.6;8.4;7.4;7.9;4.9;6.2;8.7;9.3;6.7;6.3;7.8
1926;6.2;6.5;7.3;10.6;8.6;8.2;8.3;9.4;9.3;7.7;6.8;4.4;8.8;8.6;8.0;5.6;7.8
1927;5.1;7.2;8.5;8.1;9.9;10.1;9.6;8.5;8.2;8.0;5.4;5.3;8.8;9.4;7.2;6.1;7.8
1928;5.8;7.0;8.9;9.0;9.2;10.3;11.6;9.6;9.2;8.3;5.6;5.0;9.0;10.5;7.7;6.8;8.3
1929;6.7;8.9;8.7;8.9;9.7;9.3;10.5;9.7;10.9;8.0;6.2;6.1;9.1;9.9;8.4;6.6;8.6
1930;6.1;7.5;8.7;8.4;9.4;11.3;9.5;9.2;8.0;7.6;6.7;5.0;8.8;10.0;7.5;5.7;8.1
1931;5.7;6.4;8.8;8.8;10.8;10.6;9.6;8.1;7.3;9.0;6.2;6.0;9.4;9.4;7.5;6.7;8.1
1932;6.4;7.6;8.4;9.1;9.8;9.9;9.3;10.3;9.0;7.7;5.8;5.5;9.1;9.8;7.5;6.1;8.2
1933;5.9;6.9;9.9;9.0;8.9;9.2;10.5;10.1;9.4;8.4;5.2;5.7;9.3;9.9;7.7;6.2;8.3
1934;5.7;7.2;8.2;11.1;10.9;11.1;11.1;8.9;10.1;7.8;6.2;5.1;10.1;10.3;8.0;5.7;8.6
1935;5.2;6.9;9.1;7.6;10.3;11.1;11.0;10.5;9.3;7.0;6.1;5.4;9.0;10.8;7.4;6.2;8.3
1936;6.4;6.7;9.2;9.0;8.9;9.4;8.9;9.2;8.4;6.4;5.5;5.6;9.0;9.2;6.8;6.1;7.8
1937;6.4;6.4;7.4;7.4;10.8;10.2;9.6;9.2;8.7;8.1;5.7;5.2;8.5;9.7;7.5;6.1;7.9
1938;6.0;7.2;9.8;7.9;10.3;10.2;9.9;8.4;9.9;7.6;6.5;6.0;9.3;9.5;8.0;6.6;8.3
1939;6.1;7.6;6.9;9.3;7.2;10.2;10.0;9.7;7.9;6.3;6.3;5.8;7.8;10.0;6.8;7.1;7.8
1940;7.4;8.2;8.2;9.6;9.1;10.2;9.3;8.4;8.4;7.6;6.7;5.9;8.9;9.3;7.6;6.4;8.2
1941;6.5;6.8;8.4;8.1;9.4;10.5;9.9;9.1;9.9;6.8;5.7;5.9;8.6;9.8;7.5;6.6;8.1
1942;7.0;6.8;8.8;8.9;10.3;10.3;9.6;11.0;9.8;8.8;4.9;6.3;9.3;10.3;7.9;7.1;8.6
1943;7.0;8.1;10.8;9.7;11.6;9.2;11.5;10.9;9.0;9.1;5.9;5.0;10.7;10.6;8.0;5.7;9.0
1944;5.9;6.1;6.2;9.2;10.2;9.2;9.5;10.8;9.2;7.2;5.7;5.9;8.5;9.9;7.4;6.5;7.9
1945;7.1;6.4;8.1;10.2;11.0;10.7;10.4;9.0;8.8;8.0;5.3;5.9;9.8;10.0;7.4;6.4;8.4
1946;7.3;6.1;8.0;12.0;10.5;8.9;10.4;9.2;9.9;7.7;6.2;5.6;10.2;9.5;8.0;6.5;8.5
1947;6.8;7.2;8.7;10.7;10.6;10.9;10.7;10.9;11.4;10.6;6.2;5.1;10.0;10.8;9.4;6.2;9.1
1948;6.6;6.8;10.1;10.2;10.4;9.9;8.8;8.8;9.7;9.0;6.8;6.3;10.2;9.2;8.5;6.9;8.6
1949;6.3;8.2;9.3;11.2;9.1;9.8;11.6;10.7;10.9;10.4;6.1;5.8;9.9;10.7;9.1;6.7;9.1
1950;6.6;7.7;9.2;8.6;11.0;11.8;10.7;10.5;7.9;8.0;5.8;5.4;9.6;11.0;7.3;5.8;8.6
1951;5.5;6.4;7.7;10.4;9.4;9.6;10.6;10.0;9.4;10.5;6.7;5.5;9.2;10.0;8.8;5.7;8.5
1952;5.9;5.8;8.6;10.8;9.6;10.3;12.0;11.1;7.3;7.0;5.5;5.3;9.6;11.1;6.6;5.8;8.3
1953;5.5;6.6;11.0;11.4;10.9;9.5;10.1;10.7;10.4;8.7;7.0;5.5;11.1;10.1;8.7;6.5;8.9
1954;6.2;7.9;9.2;7.9;10.0;9.8;7.8;9.4;8.7;8.7;6.8;5.2;9.1;9.0;8.1;6.1;8.1
1955;6.5;6.5;8.3;9.2;10.6;9.4;8.6;9.4;8.9;8.1;6.2;6.2;9.3;9.1;7.7;7.3;8.1
1956;6.3;9.3;8.6;8.4;10.6;8.2;9.5;9.2;10.8;7.8;5.5;5.6;9.2;8.9;8.1;6.4;8.3
1957;7.0;6.7;9.9;10.0;9.4;11.1;9.2;9.0;7.9;9.4;5.7;5.6;9.8;9.8;7.6;6.6;8.4
1958;6.8;7.5;8.0;8.2;10.6;9.7;9.9;9.7;9.8;6.8;4.1;6.2;8.9;9.8;6.9;7.4;8.1
1959;6.8;9.1;10.1;11.0;10.3;10.2;10.4;9.4;11.8;11.5;6.0;5.3;10.5;10.0;9.8;6.3;9.3
1960;6.4;7.3;8.0;9.2;10.6;10.3;9.3;8.9;9.2;7.5;6.6;5.1;9.2;9.5;7.8;6.3;8.2
1961;6.5;7.3;9.3;9.8;8.2;10.1;9.8;9.8;11.3;9.4;6.7;7.3;9.1;9.9;9.1;6.6;8.8
1962;6.2;6.3;7.8;9.9;8.8;10.5;9.6;11.1;10.6;10.0;5.6;7.0;8.8;10.4;8.7;7.5;8.6
1963;6.9;8.6;8.7;9.5;9.3;10.1;11.3;9.3;9.0;8.7;7.2;6.2;9.2;10.2;8.3;6.5;8.7
1964;6.8;6.6;6.7;9.3;10.5;10.9;12.2;10.4;9.9;7.4;5.3;5.0;8.8;11.2;7.5;5.6;8.4
1965;5.2;6.7;8.4;8.0;8.2;9.3;8.6;9.9;9.2;10.6;6.5;5.4;8.2;9.3;8.8;6.3;8.0
1966;6.3;7.1;7.2;9.3;10.0;10.2;8.7;8.4;8.9;7.0;5.5;5.3;8.8;9.1;7.1;6.4;7.8
1967;5.7;8.1;7.4;8.9;10.0;9.8;11.1;9.8;8.7;9.6;6.8;5.4;8.8;10.2;8.4;5.9;8.4
1968;6.4;5.9;9.1;11.1;9.9;9.9;9.7;8.0;8.0;7.5;5.1;5.2;10.0;9.2;6.9;5.7;8.0
1969;5.6;6.2;7.0;9.2;10.6;8.6;10.7;8.8;9.8;10.0;7.1;5.5;9.0;9.4;9.0;5.8;8.3
1970;5.8;6.1;7.0;7.2;8.4;10.2;9.5;9.3;9.9;7.3;5.9;4.9;7.5;9.7;7.7;6.1;7.6
1971;7.7;5.8;8.2;11.1;9.7;8.4;11.6;10.8;9.2;10.6;6.2;5.5;9.6;10.3;8.6;5.9;8.7
1972;5.7;6.6;10.8;7.0;8.4;9.6;9.5;9.2;8.8;9.4;6.5;6.1;8.7;9.4;8.3;5.5;8.1
1973;5.2;5.0;8.6;7.8;10.7;9.6;8.8;11.4;10.4;8.2;7.1;5.7;9.0;10.0;8.6;5.7;8.2
1974;5.7;5.8;9.1;10.6;9.1;8.9;9.0;9.8;9.4;5.7;6.2;5.5;9.6;9.3;7.1;6.6;7.9
1975;5.9;8.5;7.9;8.2;9.7;8.9;9.9;9.5;9.7;7.0;6.1;5.4;8.6;9.4;7.6;5.9;8.0
1976;5.8;6.5;9.1;10.6;11.1;11.5;11.1;10.1;8.4;7.4;5.3;5.7;10.2;10.9;7.0;6.0;8.5
1977;5.4;6.8;9.2;8.1;10.3;9.7;10.1;8.5;7.9;8.1;6.3;5.6;9.2;9.4;7.5;6.0;8.0
1978;5.3;7.0;7.7;9.5;8.4;10.0;9.4;9.2;7.7;7.1;5.9;5.9;8.5;9.5;6.9;6.2;7.8
1979;6.5;6.3;7.7;8.1;11.8;9.7;8.4;9.1;9.4;9.3;5.2;6.2;9.2;9.1;8.0;6.5;8.1
1980;5.7;7.4;7.5;7.7;9.9;8.5;8.1;9.4;8.9;7.5;6.2;6.4;8.3;8.7;7.5;6.7;7.8
1981;6.7;6.9;8.2;10.7;9.6;9.6;8.7;9.5;8.5;7.2;5.8;6.1;9.5;9.3;7.2;6.8;8.1
1982;7.0;7.1;8.8;9.7;10.9;10.1;10.2;9.2;10.7;7.0;6.9;5.6;9.8;9.8;8.2;6.2;8.6
1983;5.7;7.3;7.8;8.9;9.2;10.3;12.7;10.2;10.2;8.8;7.4;7.2;8.7;11.0;8.8;6.7;8.8
1984;6.3;6.7;8.9;9.8;8.7;9.7;9.7;9.8;7.1;8.1;6.3;5.1;9.1;9.7;7.2;7.0;8.0
1985;7.5;8.3;7.0;9.5;9.4;8.9;10.6;10.7;9.8;9.2;6.0;6.2;8.7;10.1;8.3;6.8;8.6
1986;6.4;7.8;7.7;8.8;10.0;9.7;10.6;9.5;9.9;9.5;7.7;5.9;8.9;9.9;9.0;6.2;8.6
1987;6.4;6.4;8.4;9.7;8.6;8.7;9.6;8.6;9.0;8.0;5.4;5.5;8.9;9.0;7.5;5.7;7.9
1988;5.9;5.9;6.5;10.6;10.3;9.0;10.6;10.5;7.9;7.3;6.6;4.9;9.1;10.0;7.3;5.6;8.0
1989;5.7;6.3;9.7;8.4;11.2;9.6;9.7;9.6;8.4;9.4;7.3;6.7;9.8;9.6;8.4;7.7;8.5
1990;6.8;9.5;9.9;8.4;11.5;9.2;10.9;11.6;7.9;9.3;5.5;5.2;9.9;10.6;7.6;6.8;8.8
1991;6.5;8.6;8.1;9.5;8.5;9.4;10.1;9.9;10.0;7.9;5.6;6.4;8.7;9.8;7.8;6.5;8.4
1992;6.0;7.0;8.3;9.3;11.1;9.8;10.4;11.6;9.3;6.5;6.1;4.9;9.6;10.6;7.3;6.3;8.4
1993;7.4;6.7;8.8;10.1;10.4;9.4;9.4;10.2;8.4;6.8;5.3;5.8;9.8;9.7;6.8;6.2;8.2
1994;5.6;7.0;7.9;8.9;9.5;10.1;11.7;9.8;7.8;8.5;6.0;5.5;8.7;10.5;7.4;6.4;8.2
1995;6.3;7.4;8.1;8.3;10.0;8.3;11.0;9.5;7.6;8.2;5.7;4.9;8.8;9.6;7.1;5.9;7.9
1996;5.2;7.6;8.1;10.5;8.3;10.1;9.9;8.9;6.9;7.7;6.0;6.1;9.0;9.6;6.9;6.8;7.9
1997;6.1;8.2;8.6;9.8;11.0;9.9;9.2;10.9;11.8;8.0;6.6;5.0;9.8;10.0;8.8;7.1;8.7
1998;6.7;9.5;8.6;9.3;10.8;10.1;9.1;10.8;7.6;6.4;5.7;6.5;9.5;10.0;6.6;6.5;8.4
1999;6.7;6.2;8.2;9.3;9.6;9.4;9.6;9.4;10.5;8.0;5.8;6.1;9.1;9.5;8.1;6.6;8.2
2000;6.2;7.6;7.5;10.9;11.6;12.1;8.8;10.9;8.7;7.2;6.8;5.8;10.0;10.6;7.6;6.6;8.7
2001;6.3;7.7;7.4;8.8;11.0;9.7;10.9;11.0;6.6;9.0;6.2;6.5;9.1;10.5;7.2;7.1;8.4
2002;7.3;7.7;9.9;9.8;10.1;10.9;10.4;9.2;8.8;7.7;6.2;5.5;9.9;10.2;7.6;7.0;8.6
2003;6.3;9.1;10.9;11.4;11.1;12.2;11.4;12.0;11.9;8.0;7.1;6.8;11.1;11.9;9.0;6.6;9.9
2004;6.1;6.9;8.9;10.6;9.8;10.1;10.3;10.3;10.0;8.4;5.6;5.4;9.8;10.2;8.0;6.4;8.5
2005;6.8;7.0;9.7;10.2;11.0;10.9;10.0;8.6;9.8;9.7;6.4;5.2;10.3;9.9;8.6;6.5;8.8
2006;7.4;6.7;8.0;9.4;9.9;11.3;12.7;8.1;11.1;10.3;7.5;6.7;9.1;10.7;9.6;6.8;9.1
