Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belgium              : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;6.1;6.9;6.6;9.5;12.0;10.9;11.1;10.0;8.6;7.5;6.3;5.0;9.4;10.7;7.5;5.4;8.4
1902;4.8;6.4;7.9;9.4;9.1;10.5;10.5;9.3;9.1;6.8;5.9;5.6;8.8;10.1;7.3;6.1;7.9
1903;5.6;7.1;9.0;7.7;10.6;10.2;9.7;9.2;9.4;7.0;5.2;4.4;9.1;9.7;7.2;5.0;7.9
1904;5.1;5.3;7.3;9.3;10.4;10.7;11.8;11.2;8.9;7.6;5.7;5.4;9.0;11.2;7.4;5.7;8.2
1905;5.9;5.8;7.4;8.5;10.7;11.0;10.6;9.8;7.8;6.7;5.7;4.9;8.9;10.5;6.7;5.4;7.9
1906;5.5;5.7;7.6;10.4;9.5;9.6;10.0;10.2;9.9;8.4;5.6;5.6;9.2;9.9;8.0;5.5;8.2
1907;5.2;5.6;8.3;9.2;10.7;9.1;9.0;9.8;10.2;7.5;6.1;5.2;9.4;9.3;7.9;5.7;8.0
1908;6.4;5.4;7.2;8.3;9.5;10.6;9.7;8.8;9.1;9.8;7.0;4.8;8.3;9.7;8.6;5.8;8.0
1909;6.0;6.7;6.9;10.3;11.7;9.5;8.3;9.8;8.2;7.7;5.6;5.5;9.6;9.2;7.2;5.5;8.0
1910;5.1;6.0;8.9;9.2;10.0;9.6;8.3;9.2;8.1;7.8;5.5;5.2;9.3;9.0;7.1;5.4;7.7
1911;4.5;6.4;7.9;9.8;10.6;10.2;12.1;11.8;10.9;7.8;5.7;5.2;9.5;11.3;8.1;5.9;8.6
1912;5.2;7.3;7.2;10.0;10.6;9.7;10.4;7.8;7.7;8.2;5.0;5.6;9.3;9.3;7.0;6.0;7.9
1913;4.9;7.4;8.1;9.4;10.3;9.2;8.4;9.6;9.1;8.3;5.2;4.8;9.3;9.1;7.5;6.0;7.9
1914;5.5;7.8;6.8;10.8;9.0;9.8;9.3;10.1;9.1;6.8;5.2;5.6;8.9;9.8;7.0;5.4;8.0
1915;4.5;6.2;6.6;9.6;11.0;11.8;9.7;9.0;9.5;6.7;5.6;5.6;9.1;10.2;7.3;5.6;8.0
1916;5.0;6.2;7.5;9.5;10.4;8.8;9.1;9.2;8.7;6.7;5.7;4.9;9.1;9.0;7.1;5.4;7.7
1917;4.1;7.0;6.7;8.0;12.0;11.8;9.9;8.6;9.8;7.5;5.2;5.5;8.9;10.1;7.5;6.0;8.0
1918;6.0;6.4;9.1;7.9;11.1;10.1;9.7;9.6;8.2;6.7;5.7;5.0;9.4;9.8;6.9;5.3;8.0
1919;4.4;6.4;6.9;8.2;11.9;11.1;8.7;10.9;10.4;7.6;5.4;5.7;9.0;10.2;7.8;6.4;8.1
1920;5.5;8.0;9.2;8.0;10.4;10.3;10.0;8.9;8.2;9.0;6.7;5.1;9.2;9.8;8.0;5.6;8.3
1921;5.1;6.5;10.2;10.5;10.9;10.2;11.7;10.7;10.5;10.0;5.9;5.6;10.5;10.8;8.8;6.2;9.0
1922;5.6;7.6;7.2;8.0;11.8;9.8;9.0;9.4;7.5;7.1;5.6;4.7;9.0;9.4;6.7;4.8;7.8
1923;4.4;5.4;7.6;9.6;8.8;8.0;10.4;10.2;9.2;7.0;5.1;5.3;8.7;9.5;7.1;5.6;7.6
1924;5.8;5.6;8.0;8.3;9.8;9.5;9.6;8.1;8.0;7.3;5.9;5.1;8.7;9.1;7.1;5.4;7.6
1925;5.2;6.0;6.6;9.2;10.3;10.3;9.7;8.5;7.7;8.2;5.0;6.1;8.7;9.5;7.0;5.7;7.7
1926;5.2;5.9;7.3;10.3;8.6;8.6;8.6;9.7;9.6;7.0;5.9;4.8;8.7;8.9;7.5;5.3;7.6
1927;4.5;6.6;7.8;8.1;10.5;9.4;8.9;8.6;7.7;8.0;4.8;5.1;8.8;8.9;6.8;5.8;7.5
1928;5.2;7.0;8.7;9.1;9.6;9.9;11.3;9.5;10.5;7.9;5.5;4.7;9.1;10.2;8.0;6.2;8.2
1929;5.4;8.3;9.0;9.0;11.2;9.5;10.2;10.7;11.3;7.1;6.4;5.8;9.8;10.1;8.3;6.1;8.7
1930;5.8;6.7;8.8;8.7;9.2;11.1;8.5;9.9;7.6;7.5;6.0;5.1;8.9;9.9;7.0;5.2;7.9
1931;4.8;5.9;9.2;8.8;10.4;10.6;8.9;8.4;8.2;9.0;6.0;5.8;9.4;9.3;7.8;6.2;8.0
1932;5.8;7.0;9.0;8.2;9.4;10.7;9.4;10.9;8.3;7.2;5.6;5.8;8.9;10.4;7.0;6.0;8.1
1933;5.7;6.6;10.1;9.8;9.6;10.0;10.4;11.1;10.2;7.6;5.1;5.5;9.8;10.5;7.7;5.6;8.5
1934;4.8;6.5;7.7;11.1;11.1;11.5;11.2;10.0;10.7;7.0;5.6;4.9;10.0;10.9;7.8;5.3;8.5
1935;4.5;6.4;9.0;7.7;10.8;10.6;10.7;11.1;9.1;7.4;6.0;4.9;9.2;10.8;7.5;5.6;8.2
1936;5.3;6.5;8.8;8.3;9.8;10.5;8.6;9.9;8.8;7.3;5.0;5.4;9.0;9.7;7.0;5.6;7.9
1937;5.5;6.0;6.9;7.6;11.0;10.6;9.7;10.6;9.6;8.4;6.0;5.1;8.5;10.3;8.0;5.9;8.1
1938;5.3;7.3;10.2;9.1;10.9;10.9;10.1;9.9;10.2;7.5;6.1;5.7;10.1;10.3;7.9;5.9;8.6
1939;4.7;7.2;7.3;9.1;9.2;11.5;9.9;10.2;9.0;6.5;6.2;5.2;8.6;10.5;7.2;6.4;8.0
1940;6.6;7.4;8.2;9.1;10.6;11.2;9.3;9.6;9.1;7.8;6.1;5.6;9.3;10.0;7.7;5.7;8.4
1941;5.2;6.3;8.3;8.4;10.0;11.1;11.1;8.5;10.5;7.2;5.6;5.5;8.9;10.2;7.7;5.9;8.1
1942;5.9;6.1;8.7;10.1;10.5;11.1;9.2;11.1;9.8;7.5;5.2;5.9;9.8;10.5;7.5;6.3;8.4
1943;5.8;7.2;10.6;10.0;11.9;9.8;11.7;10.2;9.9;9.1;6.1;5.0;10.8;10.6;8.4;5.3;8.9
1944;5.0;5.8;7.4;10.0;11.5;9.2;9.3;11.8;9.1;6.8;5.7;5.6;9.6;10.1;7.2;6.0;8.1
1945;5.8;6.5;8.5;10.8;11.2;10.9;10.9;9.2;9.0;8.6;5.2;5.9;10.2;10.3;7.6;5.8;8.6
1946;5.9;5.6;7.5;11.7;10.6;9.1;10.6;9.8;9.5;7.8;5.8;5.5;9.9;9.8;7.7;5.9;8.3
1947;5.9;6.2;8.0;10.5;11.5;11.3;11.3;12.1;11.0;10.4;6.0;5.3;10.0;11.6;9.1;5.7;9.1
1948;5.3;6.5;10.3;10.3;10.9;10.0;8.9;8.9;9.3;8.9;6.7;6.2;10.5;9.3;8.3;6.6;8.5
1949;5.8;8.0;9.3;11.3;10.4;11.5;12.3;11.3;10.7;9.1;6.4;5.7;10.3;11.7;8.7;6.2;9.3
1950;5.8;7.2;9.2;8.8;11.0;11.9;10.6;11.2;7.6;8.2;5.8;5.0;9.7;11.2;7.2;5.4;8.5
1951;4.7;6.3;7.7;10.4;10.2;10.3;11.0;9.9;9.6;10.1;6.3;6.1;9.4;10.4;8.7;5.7;8.5
1952;4.8;6.1;7.9;11.5;11.4;11.1;11.3;10.7;8.4;7.6;5.5;5.2;10.3;11.0;7.2;5.4;8.5
1953;4.4;6.5;10.5;11.1;11.6;9.4;9.4;11.1;10.6;8.2;6.5;5.3;11.1;9.9;8.4;6.0;8.7
1954;5.8;6.9;8.7;10.2;11.3;9.8;8.5;9.0;8.6;7.9;7.0;5.5;10.1;9.1;7.8;5.9;8.3
1955;5.5;6.5;8.3;10.5;10.5;10.1;9.5;10.6;9.8;8.6;6.8;6.2;9.8;10.0;8.4;6.7;8.6
1956;5.9;8.1;8.9;9.1;11.6;8.2;8.9;9.0;9.6;7.2;5.8;4.9;9.9;8.7;7.5;5.8;8.1
1957;6.1;6.4;9.1;10.7;10.5;11.9;9.2;9.0;8.0;8.4;4.9;5.7;10.1;10.0;7.1;6.1;8.3
1958;5.7;7.0;7.8;9.3;10.1;9.7;9.6;9.3;9.5;6.8;4.4;5.8;9.1;9.6;6.9;6.5;7.9
