Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Czech_Republic       : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;6.4;6.9;7.2;10.2;11.7;10.7;11.6;10.1;9.6;8.0;5.9;4.9;9.7;10.8;7.8;5.4;8.6
1902;5.0;6.4;7.7;10.1;9.7;10.7;10.8;9.9;9.8;7.3;6.4;5.5;9.2;10.4;7.8;6.4;8.3
1903;6.4;7.3;9.6;9.0;11.2;10.9;10.7;9.9;10.2;8.2;4.6;4.1;9.9;10.5;7.7;4.7;8.5
1904;5.0;5.1;7.9;10.1;11.0;11.2;12.7;11.7;9.1;7.2;5.0;5.1;9.7;11.9;7.1;5.6;8.4
1905;6.2;5.6;7.5;8.8;11.0;11.7;11.0;10.4;8.2;6.5;5.4;4.5;9.1;11.0;6.7;5.3;8.1
1906;5.9;5.5;7.9;11.2;10.5;9.7;10.3;10.8;8.7;8.6;6.0;5.0;9.9;10.3;7.8;5.2;8.3
1907;5.3;5.3;7.6;9.2;11.4;10.3;9.4;10.1;10.2;8.5;6.1;4.8;9.4;9.9;8.2;5.5;8.2
1908;6.4;5.2;7.7;8.4;10.0;11.0;10.9;9.4;9.6;10.3;6.4;4.5;8.7;10.4;8.8;5.5;8.3
1909;5.8;6.3;7.7;10.5;11.0;10.1;9.1;9.9;8.4;8.0;4.6;5.3;9.7;9.7;7.0;5.4;8.1
1910;5.0;5.9;8.6;9.9;10.2;10.6;9.4;9.4;8.3;8.4;4.8;4.6;9.6;9.8;7.2;5.3;7.9
1911;5.1;6.3;7.9;10.1;10.4;10.9;12.0;11.9;10.8;8.3;5.7;4.4;9.5;11.6;8.3;5.7;8.7
1912;5.7;6.9;7.7;9.8;9.9;9.8;11.0;8.6;7.5;7.8;4.7;5.3;9.1;9.8;6.7;5.9;7.9
1913;5.1;7.2;9.0;9.9;10.5;9.8;9.4;9.7;9.2;8.5;5.1;4.4;9.8;9.6;7.6;5.9;8.2
1914;5.7;7.5;7.3;10.9;9.3;9.8;10.0;10.8;9.4;6.5;4.6;5.1;9.2;10.2;6.8;5.4;8.1
1915;4.9;6.2;6.8;9.6;11.7;12.3;10.6;9.2;9.8;6.0;5.2;5.6;9.4;10.7;7.0;5.7;8.2
1916;5.4;6.0;7.2;10.4;11.0;9.8;9.7;9.5;9.2;7.7;5.5;4.6;9.5;9.7;7.4;5.5;8.0
1917;5.1;6.8;7.1;8.4;12.4;12.6;11.0;10.2;10.5;7.8;5.5;5.2;9.3;11.3;8.0;5.9;8.6
1918;6.2;6.2;9.1;9.7;11.5;10.3;10.0;9.5;9.3;7.2;5.1;4.6;10.1;9.9;7.2;5.1;8.2
1919;4.7;6.0;7.1;8.5;10.6;10.4;9.4;10.8;10.9;6.8;4.9;5.2;8.7;10.2;7.5;5.8;7.9
1920;5.2;7.1;9.1;8.9;10.7;9.9;11.1;9.4;8.0;9.4;6.5;4.5;9.5;10.1;7.9;5.3;8.3
1921;5.5;5.8;10.4;10.0;11.2;10.1;12.1;11.8;10.8;9.8;5.3;5.7;10.6;11.3;8.6;6.3;9.0
1922;6.0;7.1;7.4;8.8;11.2;10.6;10.1;9.9;7.7;6.6;5.1;4.4;9.1;10.2;6.5;4.8;7.9
1923;4.5;5.6;7.8;9.7;10.1;8.1;11.0;10.8;9.3;7.6;5.4;4.7;9.2;9.9;7.5;5.6;7.9
1924;6.2;5.8;8.1;8.8;10.2;10.1;10.3;9.2;8.9;8.6;5.8;5.1;9.0;9.9;7.8;5.7;8.1
1925;5.2;6.7;6.9;9.9;11.0;10.3;10.4;8.9;7.8;8.0;4.6;5.6;9.3;9.9;6.8;5.5;7.9
1926;5.5;5.5;7.3;11.1;9.3;8.6;9.1;9.7;9.8;7.4;5.9;4.0;9.2;9.1;7.7;4.8;7.8
