Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Denmark              : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;4.7;5.4;4.5;6.8;9.2;7.6;9.2;7.7;7.1;5.3;5.5;4.4;6.8;8.2;6.0;4.6;6.4
1902;3.9;5.5;4.9;7.3;7.2;8.9;7.4;6.5;6.7;5.4;5.0;4.3;6.5;7.6;5.7;4.3;6.1
1903;4.0;4.6;5.4;5.9;7.9;8.3;7.4;5.8;6.9;4.6;4.1;3.3;6.4;7.2;5.2;3.4;5.7
1904;3.3;3.5;5.1;6.5;7.8;8.5;9.3;8.0;7.2;5.2;4.0;4.5;6.5;8.6;5.5;4.5;6.1
1905;4.7;4.4;5.1;5.4;9.4;9.3;8.0;7.6;5.9;5.1;4.2;4.0;6.7;8.3;5.1;3.8;6.1
1906;4.1;3.4;4.7;8.3;8.5;8.5;8.4;7.4;6.8;5.3;4.2;5.0;7.1;8.1;5.4;4.4;6.2
1907;4.2;4.1;5.8;7.0;8.7;7.1;7.0;6.1;7.0;5.7;4.9;4.1;7.2;6.7;5.8;4.2;6.0
1908;4.4;4.1;4.8;6.5;7.0;8.6;8.0;7.0;6.2;6.6;5.7;4.2;6.1;7.9;6.2;4.5;6.1
1909;4.2;5.2;4.9;7.1;8.7;8.1;6.3;6.8;5.5;5.0;4.9;4.4;6.9;7.0;5.1;4.1;5.9
1910;4.0;3.8;6.1;6.9;8.4;9.1;7.2;6.5;6.3;5.4;4.2;3.8;7.1;7.6;5.3;4.2;6.0
1911;3.8;4.8;5.4;7.2;9.1;8.5;8.7;9.0;7.8;5.7;4.1;3.6;7.3;8.7;5.8;4.4;6.5
1912;4.9;4.8;5.0;7.9;7.5;7.4;8.5;6.2;6.1;5.6;4.1;4.2;6.8;7.4;5.3;4.2;6.0
1913;3.6;4.7;6.1;8.0;9.0;8.2;7.6;7.1;7.1;6.0;4.4;4.3;7.7;7.6;5.8;4.6;6.3
1914;4.5;4.9;5.0;7.8;8.1;8.1;8.0;7.7;7.1;3.8;3.8;3.9;6.9;7.9;4.9;4.0;6.1
1915;3.8;4.2;4.7;7.4;9.4;9.3;6.9;6.4;7.3;4.0;4.4;4.7;7.2;7.5;5.2;4.3;6.0
1916;4.0;4.1;3.9;7.8;8.1;7.1;7.2;6.5;6.9;5.1;4.0;3.6;6.6;7.0;5.4;4.2;5.7
1917;3.7;5.3;4.8;6.1;10.6;10.0;8.3;7.1;6.4;5.3;4.6;4.5;7.2;8.5;5.4;4.7;6.4
1918;5.2;4.3;6.3;7.2;9.9;8.0;7.7;7.0;5.6;4.4;4.3;4.0;7.8;7.6;4.7;4.0;6.2
1919;3.4;4.6;5.2;6.3;9.8;8.0;7.2;7.2;7.7;5.4;4.4;4.7;7.1;7.4;5.8;4.8;6.1
1920;4.5;5.1;6.1;5.7;7.6;8.5;7.4;6.3;5.9;7.1;5.0;3.6;6.5;7.4;6.0;4.2;6.1
1921;4.4;4.7;6.6;8.2;9.6;8.1;8.9;7.9;7.6;6.9;4.4;4.5;8.1;8.3;6.3;4.7;6.8
1922;4.3;5.1;5.0;6.6;8.5;8.3;6.4;7.0;6.0;6.2;4.8;3.9;6.7;7.2;5.7;3.8;6.0
1923;3.8;3.7;6.3;7.5;6.9;6.2;8.0;6.2;5.9;4.6;4.4;4.3;6.9;6.8;5.0;4.6;5.7
1924;4.7;4.8;5.8;5.7;7.6;7.5;7.5;7.1;6.0;5.2;4.8;3.8;6.4;7.4;5.3;3.9;5.9
1925;3.9;4.1;5.0;8.0;8.8;8.1;8.5;6.9;6.1;5.4;4.6;5.3;7.3;7.9;5.4;4.0;6.2
1926;3.7;3.1;5.5;7.5;7.2;7.0;8.3;7.4;6.7;5.1;4.0;4.4;6.7;7.6;5.3;4.0;5.8
1927;3.3;4.1;5.3;5.8;7.5;7.2;7.5;6.6;6.2;5.1;3.8;4.5;6.2;7.1;5.0;4.1;5.6
1928;3.6;4.3;7.1;7.3;8.5;7.3;7.5;7.0;8.1;5.4;4.0;3.6;7.6;7.3;5.9;4.9;6.2
1929;4.8;6.4;6.7;6.8;9.0;7.7;8.1;8.1;8.4;5.0;4.4;4.0;7.5;8.0;5.9;4.1;6.6
1930;3.7;4.7;5.9;6.4;8.1;9.4;7.7;7.6;5.6;5.4;4.8;3.4;6.8;8.2;5.3;3.6;6.1
1931;3.9;3.5;7.0;6.7;8.3;7.6;7.0;7.8;6.6;6.0;3.9;5.0;7.3;7.5;5.5;5.0;6.1
1932;4.5;5.5;6.5;7.0;8.1;9.0;8.4;8.4;6.4;5.0;4.5;3.9;7.2;8.6;5.3;4.0;6.4
1933;3.7;4.5;6.7;7.6;8.0;9.2;8.1;8.3;7.5;5.1;3.9;4.6;7.4;8.5;5.5;4.3;6.4
1934;3.6;4.6;4.3;8.2;9.1;9.4;9.1;7.5;8.1;5.0;4.4;2.9;7.2;8.7;5.8;3.9;6.4
1935;4.3;4.4;6.7;7.0;9.4;8.7;8.5;8.8;6.5;5.2;3.7;3.4;7.7;8.6;5.1;3.7;6.4
1936;3.7;4.2;5.4;6.1;8.1;9.5;7.3;7.4;7.8;5.8;4.0;4.2;6.5;8.1;5.9;4.0;6.1
1937;3.4;4.3;4.3;5.8;8.7;7.9;7.7;7.9;6.8;5.2;4.6;4.1;6.3;7.8;5.6;4.8;5.9
