Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Finland              : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;7.8;9.0;10.2;8.8;10.6;10.5;10.3;9.4;7.7;5.5;6.6;8.0;9.9;10.1;6.6;8.3;8.7
1902;7.8;9.1;9.5;8.7;9.8;10.1;9.5;8.6;7.2;5.7;6.4;8.0;9.3;9.4;6.4;7.9;8.4
1903;7.7;8.1;9.0;8.6;10.0;10.4;9.6;8.5;7.4;5.3;5.5;7.2;9.2;9.5;6.1;7.5;8.1
1904;7.3;8.0;9.8;9.1;9.6;10.2;9.6;8.6;7.4;5.5;5.9;7.6;9.5;9.4;6.2;8.0;8.2
1905;8.4;8.2;8.7;8.8;10.1;10.2;9.6;8.9;6.8;5.2;5.5;7.4;9.2;9.6;5.8;7.7;8.1
1906;7.8;8.0;9.4;9.4;10.8;10.3;10.0;8.7;7.4;5.5;5.6;7.4;9.9;9.7;6.2;7.7;8.4
1907;7.8;8.0;9.5;8.7;9.7;10.4;9.8;8.6;7.5;5.6;5.6;7.6;9.3;9.6;6.3;9.0;8.3
1908;9.5;10.0;10.1;8.4;10.6;10.7;10.8;8.7;7.2;6.1;6.0;7.9;9.7;10.1;6.5;8.8;8.8
1909;8.6;10.0;9.3;10.3;10.3;11.3;10.6;8.8;8.5;6.0;8.1;8.8;10.0;10.3;7.5;7.9;9.2
1910;7.9;6.8;7.4;8.3;10.1;10.3;10.0;9.4;7.9;7.1;5.6;8.8;8.6;9.9;6.9;9.1;8.3
1911;9.6;8.9;9.6;8.6;10.8;10.2;9.4;9.7;6.9;7.4;7.2;7.1;9.7;9.8;7.2;8.8;8.8
1912;10.8;8.5;7.4;10.5;9.7;10.4;10.5;9.4;6.8;5.3;6.1;7.0;9.2;10.1;6.1;8.4;8.5
1913;8.9;9.2;10.4;8.3;9.5;9.9;10.5;9.4;7.8;5.5;5.2;8.4;9.4;9.9;6.2;8.7;8.6
1914;8.8;8.8;9.3;8.2;9.7;10.3;10.0;8.0;6.9;5.3;6.3;7.1;9.1;9.4;6.2;7.6;8.2
1915;7.9;7.8;10.1;9.0;9.1;9.3;9.2;8.0;6.4;5.3;6.1;7.6;9.4;8.8;5.9;7.4;8.0
1916;7.3;7.5;9.9;8.7;8.8;9.9;10.0;7.3;7.1;5.3;5.2;6.3;9.2;9.1;5.9;8.3;7.8
1917;9.1;9.6;11.0;8.0;8.9;10.2;9.0;9.1;6.3;4.5;4.6;6.8;9.3;9.5;5.1;7.8;8.1
1918;8.6;8.0;9.4;8.2;9.2;8.8;8.9;8.7;6.8;4.9;4.7;6.1;8.9;8.8;5.5;7.3;7.7
1919;6.6;9.2;9.5;8.1;9.6;9.5;9.7;7.7;7.3;5.8;5.9;7.4;9.1;9.0;6.3;7.7;8.0
1920;7.8;7.8;8.0;6.8;9.7;9.0;9.2;8.6;7.1;6.0;5.2;6.5;8.2;9.0;6.1;8.0;7.6
1921;8.4;9.0;8.4;8.5;10.3;9.2;9.2;8.4;6.9;6.1;6.8;7.3;9.0;8.9;6.6;7.8;8.2
1922;7.9;8.1;8.2;8.7;9.3;9.7;9.0;8.2;7.2;5.7;7.0;8.3;8.7;9.0;6.7;7.4;8.1
1923;6.4;7.4;8.8;8.3;9.1;8.3;9.0;7.7;6.9;4.8;5.4;6.9;8.7;8.3;5.7;7.6;7.4
1924;8.0;8.0;9.3;8.0;8.7;8.6;10.0;9.6;7.4;4.7;5.8;6.6;8.7;9.4;6.0;6.6;7.9
1925;6.2;7.0;9.5;8.6;8.9;8.4;10.4;8.5;6.9;5.4;6.4;7.2;9.0;9.1;6.2;7.8;7.8
1926;7.9;8.2;8.1;8.7;8.7;9.7;9.8;8.4;7.3;5.2;5.2;7.7;8.5;9.3;5.9;7.8;7.9
1927;7.9;7.9;8.2;7.0;8.3;9.1;9.7;8.4;7.0;5.4;6.1;7.8;7.8;9.1;6.2;7.6;7.7
1928;7.0;7.9;9.0;8.4;8.8;8.4;8.4;8.2;6.9;5.8;5.8;7.1;8.7;8.3;6.2;8.4;7.6
1929;8.8;9.3;9.8;9.4;10.1;9.3;8.9;8.3;7.1;4.9;4.2;5.3;9.7;8.8;5.4;6.8;7.9
1930;6.3;8.7;8.7;8.3;9.5;9.8;10.0;7.9;6.8;4.9;5.1;6.8;8.8;9.3;5.6;7.0;7.7
1931;7.3;7.0;10.2;7.5;9.6;8.5;9.5;8.6;7.4;5.5;3.9;6.6;9.1;8.9;5.6;7.9;7.6
1932;7.7;9.5;9.1;7.5;8.8;9.1;9.9;8.8;7.1;5.0;4.8;6.1;8.4;9.3;5.6;6.9;7.8
1933;6.6;7.9;9.4;8.6;9.0;10.4;9.4;8.8;7.4;4.9;6.3;8.6;9.0;9.5;6.2;8.2;8.1
