Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Iceland              : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1902;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1903;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1904;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1905;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1906;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1907;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1908;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1909;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1910;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1911;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1912;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1913;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1914;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1915;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1916;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1917;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1918;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1919;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
1920;5.3;5.2;5.4;5.7;5.9;6.0;6.0;5.8;5.4;4.7;5.0;5.4;5.7;5.9;5.0;5.3;5.5
