Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ireland              : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;5.1;5.6;6.2;8.8;10.2;8.2;8.2;8.1;6.7;6.9;5.9;5.4;8.4;8.2;6.5;5.4;7.1
1902;5.4;5.5;6.6;8.3;7.4;7.1;7.3;7.6;7.7;5.8;5.6;4.6;7.4;7.3;6.4;5.2;6.6
1903;5.3;5.7;6.5;7.3;7.6;7.7;7.2;7.6;7.4;5.5;6.1;4.6;7.2;7.5;6.3;5.0;6.5
1904;5.5;5.0;6.3;7.3;7.6;8.0;7.9;7.9;7.7;6.8;6.0;5.2;7.1;7.9;6.8;5.3;6.8
1905;5.1;5.6;7.2;6.8;9.0;8.2;7.9;7.1;6.9;6.9;6.2;4.2;7.7;7.7;6.7;5.3;6.8
1906;5.3;6.3;6.7;9.4;6.8;8.7;8.4;7.9;8.9;6.7;5.6;5.2;7.6;8.3;7.1;5.5;7.2
1907;5.2;6.2;8.4;7.7;7.4;6.6;7.7;7.2;8.2;5.9;6.2;4.8;7.8;7.2;6.8;5.3;6.8
1908;5.9;5.2;6.7;7.8;7.6;8.7;7.6;7.6;6.9;6.8;6.4;5.5;7.4;8.0;6.7;5.5;6.9
1909;5.1;5.9;6.3;8.5;9.4;7.5;6.5;8.2;7.6;6.4;6.3;5.3;8.1;7.4;6.7;5.7;6.9
1910;5.7;6.2;7.2;7.4;8.1;7.4;7.2;6.7;7.6;5.8;6.6;4.6;7.6;7.1;6.7;5.4;6.7
1911;5.3;6.4;6.2;7.4;8.9;8.6;9.6;8.9;8.9;6.8;5.9;5.3;7.5;9.0;7.2;5.6;7.3
1912;5.4;6.1;6.5;9.1;8.1;7.0;7.4;6.8;7.1;7.7;5.5;6.0;7.9;7.1;6.7;5.9;6.9
1913;5.5;6.1;7.0;7.4;7.5;8.0;7.6;9.0;7.5;6.3;6.4;4.8;7.3;8.2;6.7;5.4;6.9
1914;4.9;6.6;7.0;9.1;8.1;9.1;7.4;8.4;8.6;6.5;6.7;5.4;8.1;8.3;7.3;5.5;7.3
