Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Italy                : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;6.8;7.4;7.5;8.7;9.8;10.2;10.3;9.7;8.6;7.7;7.0;6.5;8.7;10.1;7.8;6.7;8.4
1902;6.8;6.8;8.0;8.4;8.9;9.7;10.7;9.9;9.1;7.4;6.8;6.3;8.4;10.1;7.8;7.0;8.2
1903;6.9;7.9;8.4;8.4;9.6;9.6;9.9;10.1;9.2;7.8;6.8;5.9;8.8;9.9;8.0;6.4;8.4
1904;6.5;6.9;7.7;8.7;9.8;9.9;10.9;10.3;8.6;7.8;7.1;6.4;8.8;10.4;7.8;6.8;8.4
1905;6.9;7.3;7.9;8.6;9.2;10.2;10.8;9.8;8.6;7.8;6.9;6.3;8.6;10.3;7.8;6.8;8.4
1906;6.9;7.1;8.2;8.8;9.7;10.2;10.4;10.5;9.3;8.4;7.2;6.3;8.9;10.4;8.3;6.8;8.6
1907;6.8;7.2;8.3;8.6;9.8;10.0;10.3;10.5;9.4;7.8;6.8;6.4;8.9;10.3;8.0;6.9;8.5
1908;7.1;7.3;7.8;8.4;9.8;10.2;10.5;10.1;9.3;8.5;7.3;6.3;8.7;10.3;8.4;6.8;8.6
1909;7.0;7.2;7.9;9.1;9.8;9.5;10.3;10.3;9.1;8.1;6.9;6.3;8.9;10.1;8.0;6.7;8.5
1910;6.8;7.1;8.0;8.5;9.1;9.8;10.1;9.8;8.6;7.9;6.8;6.1;8.5;9.9;7.8;6.7;8.2
1911;6.6;7.4;7.8;8.7;9.0;9.8;10.7;10.3;9.5;7.9;6.9;6.4;8.5;10.2;8.1;6.7;8.4
1912;6.3;7.5;8.2;8.6;9.3;9.7;10.1;9.4;8.5;7.6;6.8;6.7;8.7;9.7;7.6;6.9;8.2
1913;6.4;7.6;8.1;8.4;9.4;9.5;9.8;9.8;8.8;7.8;6.8;6.4;8.6;9.7;7.8;6.9;8.2
1914;6.7;7.4;7.7;9.2;8.8;9.5;9.6;9.9;9.0;7.6;6.6;6.5;8.5;9.7;7.7;6.6;8.2
1915;6.3;6.9;7.6;8.5;9.1;9.7;10.2;9.9;9.0;7.4;6.8;6.3;8.4;9.9;7.7;6.6;8.1
1916;6.7;6.9;7.8;8.7;9.5;9.5;10.2;9.9;8.7;8.0;6.9;6.4;8.7;9.9;7.9;6.7;8.3
1917;6.2;7.4;7.7;8.2;9.5;10.1;10.4;10.0;9.6;7.9;6.7;6.5;8.5;10.2;8.1;7.1;8.4
1918;7.0;7.7;8.2;8.1;9.6;9.5;10.3;10.1;9.2;7.6;6.9;6.6;8.7;10.0;7.9;6.6;8.4
1919;6.2;7.0;7.7;8.2;9.8;9.8;10.0;10.4;9.4;7.5;6.7;6.3;8.6;10.1;7.9;6.8;8.3
1920;6.7;7.5;8.4;8.5;9.8;9.6;10.4;10.0;8.6;7.5;6.8;6.2;8.9;10.0;7.6;6.7;8.3
1921;6.8;7.2;8.8;8.6;9.5;10.0;10.7;10.1;9.4;8.6;6.8;6.6;9.0;10.3;8.2;6.9;8.6
1922;6.5;7.5;7.9;8.5;9.9;9.8;10.4;10.3;8.7;7.4;6.9;6.4;8.8;10.2;7.7;6.5;8.4
1923;6.2;6.9;7.8;8.6;9.7;9.6;10.6;10.4;9.3;7.9;6.9;6.1;8.7;10.2;8.0;6.7;8.3
1924;6.8;7.1;8.0;8.6;9.7;9.8;10.2;9.5;9.1;8.0;6.9;6.5;8.8;9.8;8.0;7.0;8.3
1925;6.8;7.6;7.7;8.4;9.2;10.2;10.2;10.0;8.8;8.2;6.6;6.8;8.4;10.1;7.9;7.0;8.4
1926;6.8;7.3;7.8;9.2;9.0;9.5;9.9;10.2;9.5;8.2;7.1;6.3;8.7;9.9;8.3;6.8;8.4
1927;6.6;7.7;8.0;8.8;9.8;10.1;10.3;10.1;9.0;8.1;6.9;6.1;8.8;10.2;8.0;6.8;8.5
1928;6.7;7.6;7.6;8.6;9.3;10.2;10.7;10.1;9.1;8.1;6.8;6.1;8.5;10.3;8.0;6.9;8.4
1929;6.7;7.8;8.0;8.8;9.6;10.0;10.7;10.2;9.7;8.0;7.2;6.8;8.8;10.3;8.3;6.8;8.6
1930;6.5;7.1;8.0;8.3;8.9;10.1;9.9;10.0;8.9;7.9;7.4;6.1;8.4;10.0;8.1;6.6;8.3
1931;6.5;7.2;8.1;8.7;9.7;10.4;10.3;9.7;8.8;8.3;6.7;6.6;8.8;10.1;7.9;7.1;8.4
1932;7.0;7.7;7.8;8.4;9.3;9.7;9.8;10.4;9.0;7.9;6.9;6.1;8.5;10.0;7.9;6.6;8.3
1933;6.4;7.2;8.2;9.0;9.1;9.4;10.6;10.5;9.2;7.9;6.5;6.2;8.8;10.2;7.9;6.9;8.4
1934;6.6;7.8;7.8;9.0;9.9;10.1;10.6;9.5;9.5;8.2;7.1;6.2;8.9;10.1;8.3;6.7;8.5
1935;6.5;7.3;8.3;8.4;9.3;10.4;10.8;10.0;9.4;7.4;6.9;6.3;8.7;10.4;7.9;6.7;8.4
1936;6.6;7.1;8.2;8.3;9.2;9.6;9.8;10.1;8.7;7.8;6.9;6.5;8.6;9.9;7.8;6.7;8.2
1937;6.7;7.0;7.5;8.4;9.8;9.8;10.5;10.1;8.8;7.8;6.9;6.2;8.6;10.1;7.8;6.8;8.3
1938;6.8;7.5;8.9;9.0;9.1;10.0;10.2;9.5;8.9;7.9;7.2;6.2;9.0;9.9;8.0;6.8;8.4
1939;6.5;7.7;7.5;8.5;8.5;9.8;10.2;9.8;8.7;7.1;6.9;6.1;8.1;9.9;7.6;6.8;8.1
1940;6.8;7.4;8.0;8.4;9.1;9.7;9.9;9.8;8.8;7.3;7.1;6.6;8.5;9.8;7.7;6.8;8.2
1941;6.6;7.1;8.3;8.3;9.1;9.9;10.1;9.7;9.5;7.6;6.7;6.6;8.6;9.9;7.9;6.7;8.3
1942;6.6;6.9;7.8;8.4;9.6;10.0;10.1;10.3;9.2;8.3;6.8;6.7;8.6;10.1;8.1;7.1;8.4
1943;6.8;7.9;8.5;9.1;9.6;9.8;10.5;10.6;8.9;7.8;6.6;6.0;9.1;10.3;7.8;6.6;8.5
1944;6.9;7.0;7.8;8.9;9.7;9.7;9.9;10.2;8.6;7.4;6.8;6.4;8.8;9.9;7.6;6.9;8.3
1945;7.0;7.4;8.2;9.3;10.2;10.3;10.7;9.8;9.0;8.2;6.8;6.4;9.2;10.3;8.0;6.8;8.6
1946;6.7;7.1;7.7;9.3;9.2;9.4;10.4;9.8;9.5;8.0;7.1;6.3;8.7;9.9;8.2;6.7;8.4
1947;6.9;7.0;7.9;9.5;9.4;10.3;10.4;10.2;9.6;8.1;7.1;6.4;8.9;10.3;8.3;6.8;8.6
1948;6.8;7.2;8.5;8.7;9.3;9.5;9.6;9.6;9.2;8.2;7.1;6.6;8.8;9.6;8.2;7.0;8.4
1949;6.9;7.6;8.3;9.5;8.9;10.1;10.8;10.1;9.4;8.0;7.0;6.6;8.9;10.3;8.1;7.1;8.6
1950;7.0;7.8;8.4;8.3;9.6;10.2;10.6;9.9;8.6;7.9;7.0;6.1;8.8;10.3;7.8;6.3;8.5
1951;6.3;6.5;7.1;8.7;8.4;10.0;10.1;10.0;8.4;6.8;6.6;7.0;8.1;10.0;7.3;7.1;8.0
1952;6.9;7.3;8.3;8.9;9.3;10.1;10.3;10.0;8.1;7.4;6.5;5.5;8.8;10.1;7.3;6.7;8.2
1953;6.6;7.9;9.7;8.9;9.3;8.5;9.8;9.7;8.8;6.6;7.4;5.8;9.3;9.3;7.6;6.1;8.2
1954;6.4;6.0;7.2;7.9;8.3;9.4;9.7;9.6;9.3;8.5;6.6;6.8;7.8;9.6;8.1;6.2;8.0
1955;5.4;6.5;7.5;9.3;9.6;9.4;9.5;9.2;8.0;7.3;6.3;6.0;8.8;9.4;7.2;6.6;7.8
1956;6.4;7.2;7.4;7.9;9.6;9.1;10.0;10.0;9.4;8.6;6.0;6.8;8.3;9.7;8.0;7.1;8.2
1957;7.2;7.4;8.9;8.4;8.4;9.6;10.0;9.8;9.1;7.6;6.4;6.1;8.6;9.8;7.7;6.8;8.2
1958;6.7;7.6;7.2;7.6;9.8;9.2;9.8;9.7;8.9;7.7;5.6;5.8;8.2;9.6;7.4;7.2;8.0
1959;7.1;8.7;7.3;8.5;8.6;9.2;10.0;9.2;8.3;8.6;6.2;6.1;8.1;9.5;7.7;6.4;8.2
1960;6.4;6.7;6.6;8.4;9.1;9.6;9.8;10.2;8.5;7.5;7.0;5.7;8.0;9.8;7.7;6.8;7.9
1961;6.0;8.8;9.9;8.9;9.3;9.5;10.0;10.5;10.5;7.9;6.4;6.6;9.4;10.0;8.3;7.0;8.7
1962;6.8;7.7;6.7;9.0;9.6;9.7;10.4;10.8;9.5;7.7;6.2;6.7;8.4;10.3;7.8;6.3;8.4
1963;5.9;6.4;8.1;8.4;8.8;9.3;9.9;9.8;8.4;8.0;7.2;5.8;8.4;9.7;7.9;6.8;8.0
1964;7.2;7.3;6.4;8.6;9.4;9.6;10.2;9.6;9.3;7.1;6.2;6.0;8.1;9.8;7.6;6.6;8.1
1965;6.4;7.3;7.7;8.1;9.4;10.1;10.3;9.6;8.1;8.2;6.5;6.6;8.4;10.0;7.6;6.7;8.2
1966;6.4;7.0;7.8;8.2;8.9;9.6;9.5;9.5;8.8;6.8;6.4;6.3;8.3;9.5;7.4;6.8;7.9
1967;6.8;7.2;8.0;8.3;9.3;9.5;10.2;9.6;8.6;9.1;7.1;6.5;8.6;9.8;8.2;6.6;8.3
1968;7.1;6.1;8.5;9.2;8.7;8.4;9.7;8.6;8.4;8.2;6.4;5.1;8.8;8.9;7.7;6.0;7.9
1969;6.3;6.4;5.8;8.1;9.1;8.7;9.4;9.0;8.0;8.5;7.1;5.5;7.7;9.0;7.9;5.9;7.7
1970;5.6;6.5;7.1;8.3;8.8;9.2;9.8;9.3;9.1;8.4;7.7;6.3;8.1;9.5;8.4;6.4;8.0
1971;6.1;7.0;6.9;7.9;8.7;8.8;9.9;9.9;8.5;8.6;6.9;6.6;7.8;9.5;8.0;5.8;8.0
1972;5.1;5.8;8.0;7.3;8.8;9.1;9.0;9.1;7.4;7.4;7.1;5.5;8.0;9.1;7.3;6.0;7.5
1973;5.6;6.9;7.5;8.3;9.6;9.2;9.4;9.6;8.6;7.7;7.6;6.4;8.5;9.4;8.0;6.4;8.0
1974;6.5;6.4;7.2;7.5;8.7;9.2;10.1;10.0;8.7;7.2;7.0;7.6;7.8;9.8;7.6;7.6;8.0
1975;7.5;7.7;7.1;8.9;8.8;9.0;10.1;8.8;8.8;8.2;6.3;6.5;8.3;9.3;7.8;6.8;8.1
1976;7.3;6.7;7.9;8.4;9.1;9.8;9.2;8.7;8.4;6.9;6.1;5.7;8.5;9.2;7.1;6.1;7.9
1977;5.8;6.9;8.6;8.8;9.0;9.3;9.6;9.1;8.7;7.8;7.3;6.8;8.8;9.3;7.9;6.6;8.1
1978;6.6;6.3;7.8;7.1;7.9;9.6;10.1;9.7;9.4;7.8;8.1;5.9;7.6;9.8;8.4;5.9;8.0
1979;6.1;5.7;7.4;7.5;9.9;9.3;9.3;9.1;8.7;6.7;6.4;6.8;8.3;9.2;7.3;6.7;7.7
1980;6.0;7.4;7.2;8.1;7.6;9.0;9.9;9.6;9.2;7.9;6.0;6.7;7.6;9.5;7.7;7.0;7.9
1981;6.9;7.3;7.7;8.8;9.2;9.8;9.5;9.9;8.2;8.0;7.9;6.2;8.6;9.7;8.1;6.4;8.3
1982;6.2;6.9;7.9;8.5;9.6;10.1;9.8;9.3;8.8;6.7;6.5;6.1;8.7;9.8;7.3;7.0;8.0
1983;7.8;7.2;7.9;8.7;9.2;9.5;10.5;9.1;9.1;8.3;6.7;6.4;8.6;9.7;8.0;6.4;8.4
1984;6.7;6.2;7.0;7.8;7.8;9.2;10.5;8.8;8.3;7.2;6.5;5.8;7.5;9.5;7.3;6.2;7.7
1985;6.0;6.9;6.6;8.4;8.4;9.3;10.2;10.2;10.0;8.2;6.0;6.6;7.8;9.9;8.0;6.3;8.1
1986;6.6;5.6;6.7;7.9;9.1;9.0;9.3;9.6;9.1;8.2;7.0;7.2;7.9;9.3;8.1;6.5;7.9
1987;6.4;5.9;7.3;8.9;8.7;9.3;9.5;9.4;9.3;6.7;6.2;6.0;8.3;9.4;7.4;6.4;7.8
1988;5.8;7.5;7.6;8.4;8.5;8.9;10.2;10.0;8.8;7.4;6.9;6.7;8.2;9.7;7.7;7.5;8.1
1989;7.6;8.3;9.2;8.2;9.5;9.2;9.3;9.5;8.2;8.5;6.9;6.6;9.0;9.4;7.9;7.6;8.4
1990;7.5;8.7;9.5;7.9;9.3;9.3;10.1;9.9;8.9;7.1;6.5;5.8;8.9;9.8;7.5;6.6;8.4
1991;6.8;7.2;7.2;8.5;8.5;9.5;10.0;9.7;8.6;7.0;6.5;6.9;8.1;9.7;7.4;7.2;8.0
1992;6.8;7.8;7.8;8.2;9.2;8.5;9.3;10.1;9.1;6.5;7.0;5.7;8.4;9.3;7.6;7.0;8.0
1993;7.4;8.0;8.5;8.7;9.2;9.6;10.0;10.2;8.6;7.0;5.7;6.4;8.8;9.9;7.1;6.6;8.3
1994;6.5;6.7;9.1;8.0;9.2;9.4;9.8;10.1;8.4;7.5;6.6;6.5;8.8;9.8;7.5;7.1;8.2
1995;6.9;7.8;8.2;8.6;9.0;9.0;9.8;8.7;8.0;8.6;6.8;5.2;8.6;9.2;7.8;5.8;8.1
1996;5.6;6.5;7.0;8.4;8.6;9.3;9.9;9.1;7.9;7.1;6.6;5.8;8.0;9.4;7.2;6.8;7.6
1997;6.3;8.3;9.2;9.1;9.9;9.0;9.8;9.1;9.0;7.3;6.0;5.9;9.4;9.3;7.4;7.2;8.2
1998;6.8;8.9;8.6;8.4;8.9;9.7;10.2;9.8;8.1;7.4;6.8;6.9;8.6;9.9;7.4;7.3;8.4
1999;7.2;7.7;8.1;8.5;8.8;9.6;9.4;9.4;8.6;7.9;6.5;6.3;8.4;9.5;7.7;7.0;8.2
2000;7.2;7.7;8.1;8.4;9.0;9.7;9.8;10.2;8.7;6.8;6.6;6.2;8.5;9.9;7.4;6.4;8.2
2001;5.6;7.4;7.3;8.3;8.7;9.9;9.7;9.8;8.1;8.2;6.8;6.6;8.1;9.8;7.7;7.1;8.0
2002;7.6;7.0;8.2;8.1;8.6;9.7;9.3;8.6;7.8;7.5;6.1;4.9;8.3;9.2;7.1;6.1;7.8
2003;6.1;7.3;8.8;8.3;9.8;10.2;10.1;10.2;8.8;7.0;6.3;6.4;9.0;10.2;7.3;6.7;8.3
