Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Lithuania            : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;5.1;6.9;7.3;8.9;11.5;11.5;11.4;10.4;9.7;8.2;5.5;5.9;9.2;11.1;7.8;6.5;8.5
1902;6.1;7.4;7.2;8.4;9.6;10.0;9.1;9.2;8.0;6.4;5.0;5.5;8.4;9.4;6.5;5.5;7.7
1903;4.2;6.7;7.2;8.3;10.1;10.6;9.9;8.7;9.2;5.4;4.3;4.5;8.5;9.7;6.3;4.6;7.4
1904;4.4;4.8;8.5;8.9;9.8;10.3;9.6;9.5;9.3;6.4;4.5;5.6;9.1;9.8;6.7;6.0;7.6
1905;6.6;5.9;6.1;7.9;10.2;10.2;9.4;10.3;8.6;5.3;3.8;4.0;8.1;9.9;5.9;4.5;7.3
1906;4.8;4.8;6.5;9.6;11.6;10.4;9.1;8.7;8.2;6.3;3.9;4.9;9.2;9.4;6.1;5.4;7.4
1907;6.4;4.9;7.7;6.6;9.6;9.6;9.2;8.6;10.1;7.4;5.0;6.0;8.0;9.1;7.5;5.4;7.6
1908;5.8;4.5;7.6;6.8;8.9;10.6;10.2;8.3;7.1;7.1;5.7;4.9;7.8;9.7;6.6;5.5;7.3
1909;5.0;6.6;4.9;6.4;8.8;10.5;8.2;9.6;8.6;8.1;5.1;4.0;6.7;9.4;7.3;4.4;7.2
1910;5.2;3.9;5.8;8.8;10.9;10.9;10.3;10.1;10.9;9.0;4.4;3.8;8.5;10.4;8.1;5.2;7.8
1911;4.9;6.8;6.9;8.2;11.1;10.3;10.2;10.7;8.5;7.6;5.3;4.2;8.7;10.4;7.2;6.1;7.9
1912;7.3;6.9;3.5;7.8;9.1;10.6;10.1;9.9;7.2;6.3;4.2;3.6;6.8;10.2;5.9;4.7;7.2
1913;4.5;6.0;6.4;8.9;10.6;10.0;9.3;10.1;9.5;8.1;5.3;5.9;8.6;9.8;7.6;5.4;7.9
1914;6.8;3.5;5.1;8.3;11.2;12.1;11.6;9.8;9.1;6.2;5.2;3.8;8.2;11.2;6.9;4.3;7.7
