Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Luxembourg           : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;6.3;7.2;7.1;10.2;13.1;12.4;12.3;10.8;9.7;8.0;6.3;4.9;10.1;11.8;8.0;5.5;9.0
1902;4.7;6.8;8.6;10.1;9.9;11.9;11.8;10.1;10.1;7.4;6.1;5.7;9.5;11.3;7.9;6.4;8.6
1903;6.0;7.4;10.0;8.2;11.8;11.6;11.0;9.7;10.6;7.3;5.2;4.4;10.0;10.8;7.7;5.2;8.6
1904;5.5;5.6;7.8;10.3;11.6;12.0;13.5;12.1;9.8;7.8;5.4;5.2;9.9;12.5;7.7;5.7;8.9
1905;5.9;5.8;7.9;9.3;11.5;12.3;11.8;10.7;8.5;6.4;5.5;4.8;9.6;11.6;6.8;5.4;8.4
1906;5.6;5.8;8.3;11.2;10.8;10.9;11.2;11.3;10.8;9.1;5.8;5.4;10.1;11.1;8.6;5.4;8.9
1907;5.2;5.7;8.7;9.9;11.9;10.8;10.3;11.1;11.5;7.9;6.1;5.4;10.2;10.7;8.5;6.0;8.7
1908;6.8;5.6;7.9;8.9;10.4;11.9;11.3;9.6;10.5;10.6;7.2;4.7;9.1;10.9;9.4;6.0;8.8
1909;6.3;7.0;7.6;11.1;12.8;10.9;9.5;10.8;9.4;8.3;5.6;5.6;10.5;10.4;7.8;5.8;8.7
1910;5.2;6.4;9.8;10.2;11.0;10.7;9.5;10.2;9.2;8.5;5.5;5.5;10.4;10.1;7.7;5.5;8.5
1911;4.5;6.6;8.7;11.1;11.3;11.5;13.6;12.8;12.0;8.4;5.7;5.2;10.4;12.6;8.7;6.1;9.3
1912;5.3;7.8;7.9;10.9;11.9;11.2;12.0;8.3;8.4;8.8;4.9;5.8;10.2;10.5;7.4;6.3;8.6
1913;5.2;8.0;8.7;10.0;11.2;10.3;9.6;10.5;10.2;8.9;5.1;4.6;10.0;10.1;8.1;6.2;8.5
