Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Montenegro           : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;7.0;7.5;8.5;9.1;10.1;10.3;11.3;11.4;10.7;9.3;7.6;6.6;9.2;11.0;9.2;7.0;9.1
1902;7.0;7.4;8.5;9.1;10.0;10.3;11.3;11.5;10.7;9.3;7.6;6.7;9.2;11.0;9.2;7.1;9.1
1903;7.0;7.5;8.5;9.0;10.1;10.3;11.2;11.5;10.7;9.3;7.5;6.6;9.2;11.0;9.2;7.0;9.1
1904;6.9;7.5;8.5;9.1;10.1;10.4;11.2;11.5;10.6;9.3;7.5;6.6;9.2;11.0;9.1;7.0;9.1
1905;7.0;7.4;8.5;9.1;10.0;10.4;11.3;11.5;10.6;9.2;7.6;6.6;9.2;11.1;9.1;7.0;9.1
1906;7.0;7.5;8.5;9.1;10.0;10.2;11.2;11.5;10.6;9.3;7.6;6.6;9.2;11.0;9.2;7.0;9.1
1907;7.0;7.4;8.5;9.1;10.1;10.3;11.2;11.5;10.7;9.3;7.5;6.6;9.2;11.0;9.2;7.0;9.1
1908;7.0;7.4;8.5;9.1;10.0;10.3;11.3;11.4;10.6;9.3;7.5;6.6;9.2;11.0;9.2;7.0;9.1
1909;7.0;7.5;8.5;9.1;10.0;10.3;11.2;11.4;10.6;9.2;7.5;6.6;9.2;10.9;9.1;7.0;9.1
1910;7.0;7.5;8.5;9.1;10.0;10.3;11.2;11.4;10.6;9.3;7.5;6.6;9.2;11.0;9.1;7.0;9.1
1911;7.0;7.5;8.5;9.0;10.0;10.3;11.2;11.5;10.6;9.3;7.5;6.6;9.2;11.0;9.1;7.0;9.1
