Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Norway               : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;6.1;6.6;7.1;6.9;7.8;7.7;8.0;7.6;6.4;5.0;5.6;6.0;7.2;7.8;5.7;6.2;6.7
1902;6.0;6.6;7.2;7.2;7.3;8.2;7.6;7.2;6.3;5.1;5.3;5.9;7.2;7.7;5.6;6.0;6.7
1903;6.0;6.2;7.0;6.8;7.5;8.0;7.6;7.0;6.3;4.7;5.1;5.7;7.1;7.5;5.4;5.9;6.5
1904;5.9;6.0;7.1;6.8;7.4;8.1;7.9;7.4;6.3;4.9;5.0;6.0;7.1;7.8;5.4;6.2;6.6
1905;6.2;6.3;7.1;6.5;7.9;8.3;7.7;7.4;5.9;5.0;5.0;5.8;7.2;7.8;5.3;5.9;6.6
1906;5.9;6.0;7.0;7.1;7.6;7.9;7.7;7.3;6.2;4.8;5.0;6.2;7.2;7.7;5.3;6.2;6.6
1907;6.1;6.2;7.2;6.9;7.5;7.6;7.5;6.9;6.0;4.9;5.2;5.9;7.2;7.3;5.4;6.8;6.5
1908;7.1;7.5;7.4;6.5;7.7;8.1;8.3;7.3;6.1;5.4;5.4;6.4;7.2;7.9;5.6;6.9;6.9
1909;6.7;7.6;7.3;8.0;7.7;8.4;7.8;7.2;6.5;5.0;6.9;7.1;7.7;7.8;6.1;6.2;7.2
1910;6.0;5.5;6.3;6.2;7.6;8.1;7.6;7.6;6.2;5.8;5.1;7.1;6.7;7.8;5.7;6.8;6.6
1911;7.2;6.3;7.2;6.9;8.1;7.9;7.5;8.2;6.2;6.2;6.1;5.9;7.4;7.8;6.2;6.7;7.0
1912;7.8;6.2;6.4;8.4;7.0;7.8;8.4;7.4;5.9;5.0;5.7;6.2;7.3;7.8;5.5;6.5;6.9
1913;6.6;6.6;7.9;7.0;7.6;8.0;8.2;7.6;6.6;5.0;5.1;6.9;7.5;7.9;5.5;6.6;6.9
1914;6.3;6.7;7.4;6.7;7.5;7.9;7.8;7.4;6.1;4.7;5.5;6.0;7.2;7.7;5.4;6.3;6.7
1915;6.5;6.2;7.6;7.3;7.5;7.9;7.3;7.1;6.2;5.0;5.8;6.0;7.4;7.4;5.6;6.1;6.7
1916;6.1;6.2;7.3;7.1;6.9;7.6;7.9;6.8;6.4;5.1;5.1;6.1;7.1;7.5;5.5;6.7;6.6
1917;6.8;7.3;8.0;6.8;7.9;8.4;7.7;7.5;5.8;4.6;5.3;6.0;7.5;7.9;5.2;6.5;6.8
1918;7.3;6.2;8.1;6.6;8.0;7.3;7.5;7.7;6.0;4.4;5.1;5.8;7.6;7.5;5.2;6.3;6.7
1919;5.6;7.3;7.6;7.0;8.3;7.5;8.0;6.8;6.7;5.8;5.8;6.7;7.6;7.4;6.1;6.6;6.9
1920;6.6;6.4;6.4;5.5;7.0;7.6;7.1;7.1;6.1;6.3;5.6;5.8;6.3;7.3;6.0;6.6;6.5
1921;7.0;7.1;7.2;7.6;8.0;7.5;7.7;7.3;6.5;6.3;6.3;6.6;7.6;7.5;6.4;6.6;7.1
1922;6.7;6.5;7.1;7.3;7.3;8.0;7.3;7.2;6.5;6.1;6.7;6.9;7.2;7.5;6.5;6.1;7.0
1923;5.9;5.6;7.0;7.3;6.5;6.4;7.4;6.3;5.5;4.4;5.5;6.1;6.9;6.7;5.1;6.2;6.2
1924;6.1;6.4;7.6;6.6;6.6;6.6;7.8;7.6;6.2;4.4;5.7;5.5;6.9;7.3;5.5;5.6;6.4
1925;5.8;5.6;7.6;7.6;6.9;7.2;8.1;7.3;6.2;5.1;6.0;6.9;7.3;7.5;5.8;6.4;6.7
1926;6.1;6.1;6.5;7.2;6.2;7.2;8.1;7.4;6.0;5.0;5.1;6.7;6.7;7.5;5.3;6.1;6.5
1927;5.8;5.9;6.5;5.9;6.4;6.9;7.2;6.8;6.0;5.0;5.6;6.5;6.3;7.0;5.5;6.2;6.2
1928;5.7;6.3;7.5;7.2;7.2;6.8;6.7;7.0;6.3;5.3;5.5;6.0;7.3;6.8;5.7;6.6;6.5
1929;6.8;7.1;7.7;7.4;7.4;7.5;7.1;7.0;6.2;4.6;4.5;4.9;7.5;7.2;5.1;5.7;6.5
1930;5.3;6.8;7.2;6.3;7.1;8.1;8.1;7.1;5.8;4.7;5.2;5.4;6.9;7.8;5.2;5.6;6.4
1931;6.0;5.2;8.3;6.2;6.8;6.7;7.0;7.2;6.4;5.4;3.9;6.0;7.1;7.0;5.2;6.5;6.3
1932;6.4;7.1;7.2;6.2;6.8;7.6;7.8;7.4;6.1;4.6;5.0;5.5;6.8;7.6;5.2;5.7;6.5
1933;5.4;6.2;7.3;7.3;7.1;8.2;7.5;7.6;6.4;4.6;5.5;6.9;7.2;7.8;5.5;6.4;6.7
1934;5.7;6.7;5.7;7.2;7.8;7.8;7.7;7.2;6.2;4.4;5.2;4.5;6.9;7.6;5.3;5.6;6.3
1935;6.5;5.7;7.6;6.4;7.0;7.6;7.6;8.0;5.5;4.3;4.1;5.3;7.0;7.7;4.6;5.7;6.3
1936;5.7;6.1;7.0;5.9;7.5;8.2;6.8;6.9;6.9;5.0;4.8;5.4;6.8;7.3;5.6;5.6;6.3
1937;5.2;6.1;5.9;6.3;7.7;7.3;7.8;7.5;6.0;5.0;4.8;5.8;6.6;7.5;5.2;6.2;6.3
1938;6.1;6.6;7.0;7.0;7.4;7.1;7.5;8.6;6.9;4.7;4.9;4.7;7.1;7.8;5.5;5.4;6.6
1939;5.7;5.9;7.1;7.4;8.2;8.0;7.7;8.1;7.2;5.6;4.9;6.3;7.6;7.9;5.9;7.0;6.8
1940;7.3;7.5;8.1;7.7;9.1;9.0;7.3;7.2;5.9;5.1;5.3;6.2;8.3;7.8;5.4;6.7;7.1
1941;7.5;6.4;7.9;7.8;8.6;8.5;8.5;6.6;6.2;5.2;5.0;7.2;8.1;7.9;5.5;6.9;7.1
1942;6.9;6.8;8.7;8.6;7.5;7.5;7.9;7.3;6.4;5.0;5.5;5.7;8.3;7.6;5.6;5.9;7.0
1943;6.1;6.0;7.9;6.3;7.8;8.2;7.9;7.0;6.2;4.8;4.8;6.1;7.4;7.7;5.3;6.4;6.6
1944;6.9;6.1;6.9;7.5;7.0;7.2;8.3;8.0;5.7;4.5;4.7;5.1;7.1;7.8;5.0;5.7;6.5
1945;6.6;5.6;7.8;6.5;7.2;7.4;8.5;8.0;6.2;5.2;5.7;6.2;7.2;8.0;5.7;6.2;6.7
1946;6.1;6.4;7.7;7.3;8.0;6.8;7.9;7.6;5.8;6.2;5.1;4.8;7.7;7.5;5.7;5.9;6.6
1947;5.3;7.5;8.6;6.6;9.2;8.4;8.0;9.0;7.0;5.7;5.3;6.3;8.1;8.5;6.0;6.6;7.2
1948;6.5;7.0;8.3;7.2;8.4;7.7;8.4;7.4;5.9;5.6;5.8;6.2;8.0;7.8;5.8;6.4;7.0
1949;6.9;6.2;7.9;6.7;7.7;7.5;8.3;7.8;6.3;5.4;4.2;5.8;7.4;7.9;5.3;6.4;6.7
1950;7.0;6.4;7.8;6.4;7.8;8.0;7.8;7.7;6.0;4.8;4.9;5.8;7.3;7.8;5.2;5.9;6.7
1951;6.7;5.1;7.6;5.9;7.8;7.7;7.2;7.0;6.0;5.6;5.5;6.3;7.1;7.3;5.7;6.2;6.5
1952;6.3;5.9;7.8;7.3;7.3;7.5;7.5;7.2;6.2;4.3;4.8;5.9;7.5;7.4;5.1;6.5;6.5
1953;6.8;6.9;8.1;7.1;7.2;8.6;7.2;7.0;6.5;4.4;4.8;5.0;7.4;7.6;5.2;6.1;6.6
1954;7.2;6.1;6.2;7.0;8.1;7.3;6.8;7.0;5.7;5.1;4.9;4.7;7.1;7.0;5.2;6.3;6.3
1955;7.1;7.1;8.0;7.8;6.4;7.9;9.0;9.6;6.1;5.3;6.2;6.5;7.4;8.8;5.9;6.7;7.3
1956;6.0;7.6;8.3;8.1;7.8;7.3;8.0;6.9;6.4;5.3;5.8;5.5;8.1;7.4;5.8;5.7;6.9
1957;6.2;5.2;7.5;7.2;7.1;7.4;7.3;7.2;5.4;5.0;5.2;6.4;7.3;7.3;5.2;6.8;6.4
1958;6.7;7.1;9.0;7.2;6.6;8.4;7.3;7.2;6.8;4.8;4.8;6.0;7.6;7.6;5.4;6.3;6.8
1959;6.4;6.6;6.8;6.7;8.2;8.9;8.7;8.5;6.9;5.6;4.3;4.4;7.2;8.7;5.6;5.9;6.8
1960;6.8;6.6;6.9;6.9;8.5;7.8;7.1;7.1;6.1;4.8;4.6;5.4;7.4;7.3;5.2;5.9;6.5
1961;6.0;6.3;6.8;9.0;6.4;7.9;6.7;6.9;6.4;3.9;4.6;6.4;7.4;7.2;4.9;6.7;6.4
1962;6.5;7.1;10.5;6.9;5.7;7.2;7.2;6.2;5.6;5.9;4.5;7.0;7.7;6.9;5.3;7.7;6.7
1963;8.1;7.9;8.4;6.8;8.0;7.7;8.0;6.5;6.4;4.6;4.3;6.1;7.7;7.4;5.1;6.2;6.9
1964;5.8;6.6;8.9;7.6;7.6;7.0;6.8;6.9;6.4;4.9;4.9;5.9;8.1;6.9;5.4;6.0;6.6
1965;5.6;6.5;9.0;6.3;7.3;7.3;7.5;7.3;5.4;5.8;5.5;6.3;7.5;7.4;5.5;6.5;6.6
1966;6.5;6.6;7.4;7.5;7.2;8.8;7.7;7.5;5.7;4.7;5.0;4.5;7.4;8.0;5.1;5.6;6.6
1967;7.2;5.0;5.2;6.5;6.7;8.0;7.8;6.9;7.0;4.7;4.0;6.5;6.1;7.6;5.2;7.1;6.3
1968;7.1;7.6;7.6;7.8;6.5;8.5;7.9;9.4;6.2;5.5;5.4;4.8;7.3;8.6;5.7;5.5;7.0
1969;5.0;6.7;10.4;7.1;7.4;9.1;7.7;9.8;6.7;5.1;6.1;6.4;8.3;8.9;6.0;6.9;7.3
1970;6.2;8.0;6.3;6.6;8.5;10.3;6.6;8.7;5.8;4.3;5.4;5.8;7.1;8.5;5.2;5.6;6.9
1971;5.8;5.1;8.2;6.7;7.9;7.9;8.2;7.9;7.0;6.0;6.7;6.0;7.6;8.0;6.6;5.5;7.0
1972;5.2;5.2;6.1;5.4;7.0;7.6;8.7;7.9;6.7;5.5;4.9;4.5;6.2;8.1;5.7;4.8;6.2
1973;4.3;5.7;6.9;6.0;6.5;8.6;8.4;8.0;6.1;6.7;6.6;7.3;6.5;8.3;6.5;5.6;6.8
1974;4.8;4.8;8.0;7.8;9.2;8.7;6.3;7.4;5.4;3.4;3.8;6.0;8.3;7.5;4.2;6.1;6.3
1975;5.7;6.6;6.5;7.8;7.5;8.2;8.8;8.6;6.2;5.0;4.7;7.3;7.3;8.5;5.3;6.8;6.9
1976;7.7;5.4;8.6;7.0;8.8;8.0;8.4;10.3;7.3;3.8;5.2;5.3;8.1;8.9;5.4;5.5;7.1
1977;5.1;6.1;6.7;6.1;7.1;7.4;7.1;8.1;6.5;4.0;4.7;5.4;6.6;7.5;5.1;6.0;6.2
1978;6.2;6.3;6.1;7.6;8.8;8.2;7.3;6.9;4.9;5.8;5.7;6.3;7.5;7.5;5.5;6.7;6.7
1979;6.3;7.5;5.0;5.4;6.6;8.0;6.8;6.7;5.8;5.3;4.7;5.3;5.7;7.2;5.3;6.4;6.1
1980;6.7;7.2;7.8;7.0;8.0;7.5;8.7;6.4;5.4;4.8;6.5;6.8;7.6;7.5;5.6;6.8;6.9
1981;7.4;6.3;8.1;7.4;9.2;6.2;6.9;7.0;6.0;4.2;5.4;6.4;8.2;6.7;5.2;6.6;6.7
1982;6.8;6.4;5.1;6.6;6.5;8.0;8.7;8.0;6.2;4.1;5.0;5.8;6.1;8.3;5.1;6.4;6.4
1983;6.0;7.4;6.1;5.1;6.0;7.2;8.0;8.7;4.8;4.7;6.3;6.2;5.7;8.0;5.3;5.5;6.4
1984;6.1;4.4;7.7;6.8;8.3;6.8;6.6;7.5;4.9;4.1;4.4;3.9;7.6;7.0;4.5;6.0;6.0
1985;6.5;7.7;5.3;7.2;7.4;7.2;7.2;6.1;5.5;5.7;5.1;6.7;6.7;6.8;5.5;7.0;6.5
1986;5.9;8.3;5.1;6.6;7.4;8.9;7.2;5.7;6.5;4.8;4.4;5.5;6.3;7.3;5.3;6.4;6.4
1987;6.9;6.8;7.8;7.3;6.7;5.3;7.5;6.3;5.9;3.8;3.6;6.7;7.2;6.4;4.4;5.0;6.2
1988;4.4;3.8;5.8;7.6;8.6;9.0;6.7;6.4;5.5;5.3;6.2;7.3;7.3;7.4;5.7;5.8;6.4
1989;5.2;4.9;5.0;6.0;7.9;8.2;8.5;7.1;7.1;4.9;4.6;6.0;6.3;7.9;5.5;4.7;6.3
1990;5.0;3.1;6.4;7.3;8.5;7.6;6.8;7.2;5.5;5.1;5.1;5.2;7.4;7.2;5.2;5.5;6.1
1991;5.6;5.8;5.5;7.3;6.5;5.9;8.0;7.6;6.6;4.3;4.6;6.0;6.5;7.1;5.2;5.7;6.1
1992;5.7;5.3;4.8;6.0;9.0;10.2;7.2;5.9;5.4;5.2;5.1;5.2;6.6;7.8;5.2;5.4;6.2
1993;5.6;5.5;7.5;7.8;8.5;7.1;6.6;6.0;6.7;5.1;3.7;5.2;7.9;6.6;5.2;6.2;6.3
1994;6.2;7.3;7.0;6.4;7.9;7.0;9.9;8.1;6.5;5.2;5.1;4.8;7.1;8.3;5.6;5.3;6.8
1995;5.8;5.3;4.6;6.6;7.4;6.8;7.7;8.4;6.1;5.2;6.2;5.8;6.2;7.6;5.8;6.0;6.3
1996;5.1;7.2;7.6;7.9;6.8;7.1;7.1;8.8;7.1;4.1;5.3;6.2;7.5;7.6;5.5;6.3;6.7
1997;7.2;5.6;6.7;7.6;6.7;8.6;9.2;9.3;6.3;4.8;3.6;4.6;7.0;9.0;4.9;5.1;6.7
1998;4.8;6.0;6.9;6.5;7.6;6.1;6.4;5.7;5.2;4.3;4.1;5.0;7.0;6.1;4.5;5.2;5.7
1999;5.0;5.6;4.8;6.6;7.6;7.3;7.8;8.1;6.0;4.4;4.1;5.8;6.3;7.7;4.8;6.0;6.1
2000;6.3;5.9;6.7;6.1;7.6;6.7;6.7;6.9;6.7;3.5;2.6;3.9;6.8;6.8;4.3;5.0;5.8
2001;4.2;6.9;8.6;6.7;7.4;7.9;7.2;7.2;5.2;4.4;5.6;5.4;7.5;7.4;5.1;5.8;6.4
2002;6.5;5.5;7.7;7.0;8.3;8.1;7.0;9.2;7.2;4.6;4.7;5.6;7.7;8.1;5.5;6.5;6.8
2003;7.2;6.7;6.9;8.1;7.3;7.7;8.1;7.5;7.2;6.2;4.3;6.4;7.4;7.8;5.9;6.2;7.0
2004;5.5;6.8;7.0;8.0;7.9;7.8;7.5;7.5;6.0;4.5;5.8;6.2;7.6;7.6;5.4;5.6;6.7
2005;5.1;5.7;8.9;8.0;6.9;7.7;8.4;7.2;6.9;5.7;4.7;5.3;7.9;7.8;5.8;5.6;6.7
2006;5.3;6.2;8.8;6.2;8.0;8.3;8.9;8.6;6.3;4.4;4.4;4.8;7.7;8.6;5.1;5.7;6.7
2007;6.8;5.6;7.0;8.2;6.8;8.8;6.6;7.5;6.2;5.4;5.2;4.7;7.3;7.6;5.6;4.9;6.6
2008;4.7;5.4;6.8;7.1;8.4;8.2;8.4;6.4;6.4;4.8;5.7;4.8;7.5;7.6;5.6;5.2;6.4
2009;5.1;5.8;6.2;8.1;8.5;8.1;6.8;7.9;6.6;5.6;3.2;5.4;7.6;7.6;5.1;6.0;6.4
2010;6.0;6.7;7.9;7.1;7.5;8.0;7.5;6.6;6.9;5.3;5.4;7.0;7.5;7.4;5.9;6.7;6.8
2011;6.5;6.6;7.8;8.0;7.6;7.9;7.0;7.2;5.7;5.2;4.6;5.0;7.8;7.4;5.2;5.8;6.6
2012;5.3;7.0;7.2;7.1;7.7;6.9;6.7;7.9;6.3;4.9;4.2;5.4;7.3;7.2;5.2;5.7;6.4
2013;6.1;5.5;10.0;7.7;8.5;7.7;8.7;8.5;7.3;6.1;5.9;5.9;8.7;8.3;6.4;4.9;7.3
2014;4.7;4.2;6.6;7.5;7.9;7.8;8.7;7.4;7.1;4.7;4.5;5.6;7.3;8.0;5.4;5.6;6.4
