Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Poland               : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;5.9;6.4;6.9;9.7;11.3;10.5;11.2;10.3;9.5;7.8;5.5;4.7;9.3;10.6;7.6;5.4;8.3
1902;5.2;6.3;7.2;9.6;10.1;10.6;10.1;9.8;9.3;7.4;5.8;5.1;9.0;10.2;7.5;5.8;8.0
1903;5.8;6.5;8.3;8.9;10.8;10.6;10.4;9.7;9.8;7.6;4.6;4.1;9.3;10.2;7.4;4.8;8.1
1904;5.0;5.1;7.4;9.6;10.8;10.8;11.6;11.1;9.3;7.2;4.8;5.0;9.3;11.2;7.1;5.5;8.2
1905;5.9;5.7;7.2;8.6;11.1;11.2;10.4;10.5;8.6;6.8;5.0;4.4;9.0;10.7;6.8;5.1;8.0
1906;5.6;5.3;7.2;10.7;10.9;10.2;10.3;10.4;8.6;7.9;5.4;4.8;9.6;10.3;7.3;5.2;8.1
1907;5.5;5.1;7.4;8.7;11.0;10.1;9.4;9.8;10.1;8.1;5.8;4.9;9.1;9.8;8.0;5.3;8.0
1908;5.8;5.1;7.3;8.2;9.9;10.9;10.5;9.5;9.2;9.4;6.3;4.8;8.5;10.3;8.3;5.6;8.1
1909;5.7;6.3;6.9;9.5;10.8;10.4;9.1;10.2;8.8;8.5;5.1;5.0;9.1;9.9;7.5;5.3;8.0
1910;5.2;5.6;8.2;9.8;10.7;10.9;9.7;9.8;9.4;8.6;5.0;4.5;9.6;10.2;7.6;5.2;8.1
1911;5.1;6.2;7.5;9.6;11.1;10.9;11.3;11.2;10.4;8.2;5.7;4.4;9.4;11.1;8.1;5.7;8.5
1912;6.2;6.5;6.7;9.5;10.2;10.1;11.0;9.4;8.2;7.9;4.9;4.8;8.8;10.1;7.0;5.4;7.9
1913;5.1;6.4;8.0;9.9;10.8;10.1;9.6;10.1;9.5;8.5;5.3;4.7;9.6;9.9;7.8;5.5;8.2
1914;5.8;6.1;6.9;10.1;10.3;10.5;10.5;10.8;9.6;6.5;4.9;4.6;9.1;10.6;7.0;5.2;8.0
1915;5.1;5.8;7.0;9.7;12.1;11.9;10.5;9.6;9.6;6.6;5.1;5.3;9.6;10.6;7.1;5.4;8.2
1916;5.2;5.6;6.3;9.9;10.8;10.0;9.6;9.6;9.5;7.6;5.4;4.4;9.0;9.7;7.5;5.6;7.8
1917;5.7;6.8;7.2;8.6;12.2;12.1;10.3;10.2;9.9;7.7;5.4;4.9;9.4;10.8;7.7;5.7;8.4
1918;6.2;6.0;8.5;9.9;12.2;10.4;9.9;9.7;9.1;7.7;5.1;4.7;10.2;10.0;7.3;5.1;8.3
1919;4.9;5.9;7.0;9.1;11.2;10.7;9.7;10.3;10.9;7.6;5.3;5.3;9.1;10.2;7.9;5.7;8.1
1920;5.5;6.4;8.3;9.1;11.2;10.4;10.7;9.9;8.4;8.9;5.8;4.8;9.5;10.3;7.7;5.6;8.3
1921;5.8;6.2;9.5;10.4;11.5;10.2;11.1;11.5;10.3;9.4;5.4;5.4;10.4;10.9;8.4;5.9;8.9
1922;5.9;6.5;7.0;8.8;11.1;10.5;9.4;9.7;8.3;7.0;5.1;4.6;8.9;9.9;6.8;4.9;7.8
1923;4.3;5.8;7.1;9.4;9.9;8.2;10.3;9.6;9.0;7.3;5.2;4.4;8.8;9.4;7.2;5.3;7.5
1924;6.0;5.6;7.3;8.3;10.4;10.1;9.8;9.4;9.1;8.1;5.1;4.7;8.7;9.8;7.4;4.9;7.8
1925;4.6;5.4;6.4;10.0;11.7;9.7;10.3;8.8;8.0;7.6;5.1;5.3;9.3;9.6;6.9;5.1;7.7
1926;5.2;4.7;7.0;9.9;9.5;8.9;9.6;9.2;9.2;7.0;5.2;4.6;8.8;9.2;7.1;5.0;7.5
1927;4.9;5.4;6.5;8.0;9.6;10.0;9.9;9.2;8.8;7.4;4.7;5.1;8.0;9.7;7.0;5.2;7.5
1928;4.7;5.8;8.2;9.0;10.0;9.8;10.6;9.4;9.7;7.6;4.7;4.1;9.1;9.9;7.3;5.9;7.8
1929;6.0;7.7;7.7;8.8;10.8;10.1;10.3;10.7;10.8;7.8;5.2;4.4;9.1;10.4;7.9;5.0;8.4
1930;4.6;6.0;7.4;9.3;10.3;11.7;9.7;9.5;8.1;7.8;5.3;4.2;9.0;10.3;7.1;4.8;7.8
1931;4.9;5.2;8.2;8.9;11.0;9.9;10.0;9.2;8.1;7.8;5.0;4.9;9.4;9.7;6.9;5.8;7.8
1932;5.1;7.2;8.3;9.2;10.3;10.1;10.4;10.3;9.2;7.2;5.1;4.2;9.3;10.3;7.1;5.1;8.1
1933;5.0;6.0;8.3;8.7;10.0;9.9;10.2;9.9;9.3;7.7;4.7;5.5;9.0;10.0;7.2;5.2;7.9
1934;4.8;5.4;6.8;11.1;11.4;11.5;10.7;10.2;10.6;7.4;4.9;4.1;9.8;10.8;7.6;4.9;8.2
1935;5.0;5.8;8.0;9.0;10.9;11.1;9.8;10.3;9.0;7.1;5.1;3.8;9.3;10.4;7.1;4.6;7.9
1936;4.7;5.4;7.2;9.0;10.3;10.7;9.9;9.5;9.2;6.6;4.5;4.1;8.8;10.0;6.8;4.7;7.6
1937;4.7;5.4;5.8;8.2;11.5;11.0;9.6;9.9;9.2;7.6;4.5;4.6;8.5;10.2;7.1;4.8;7.7
1938;4.2;5.5;7.6;8.2;11.0;10.7;10.3;10.7;10.6;6.9;5.2;4.0;8.9;10.6;7.5;4.7;7.9
1939;4.6;5.5;6.7;9.5;9.4;11.4;10.7;11.4;9.3;6.8;5.0;5.0;8.5;11.2;7.1;6.6;7.9
1940;6.9;7.7;7.4;10.0;10.7;11.6;10.0;8.9;8.5;7.4;5.5;4.9;9.4;10.2;7.1;5.4;8.3
1941;5.9;5.5;6.2;7.8;9.8;11.3;10.4;9.4;9.3;7.3;4.7;5.1;7.9;10.4;7.1;6.0;7.7
1942;6.3;6.5;8.8;9.7;10.6;10.3;9.8;11.2;9.6;8.1;4.8;4.8;9.7;10.5;7.5;5.3;8.4
1943;5.5;5.6;9.0;9.7;11.4;9.9;10.3;10.3;8.9;8.5;5.1;4.0;10.1;10.2;7.5;4.6;8.2
1944;4.8;5.0;5.9;9.4;10.3;9.9;10.5;11.7;10.5;7.2;5.1;4.7;8.6;10.7;7.6;4.9;7.9
1945;5.5;4.6;7.4;8.8;10.7;10.5;10.1;9.4;9.0;7.4;4.6;4.7;8.9;10.0;7.0;5.4;7.7
1946;5.7;5.7;6.1;10.8;11.7;10.0;11.1;10.3;9.5;7.2;4.7;4.5;9.5;10.4;7.1;5.6;8.1
1947;5.6;6.7;7.6;10.1;12.3;11.8;11.1;10.6;10.8;8.9;5.1;4.3;10.0;11.2;8.3;4.9;8.7
1948;5.0;5.5;8.0;11.0;11.2;10.1;10.3;9.9;9.8;7.7;5.3;5.3;10.0;10.1;7.6;5.3;8.3
1949;5.0;5.6;7.9;10.1;11.6;9.4;10.0;10.8;11.3;10.0;5.0;4.2;9.8;10.1;8.8;5.5;8.4
1950;6.8;5.5;7.5;9.3;11.2;11.7;10.5;10.8;8.7;7.0;4.5;4.1;9.4;11.0;6.7;4.7;8.1
1951;5.0;5.0;6.8;10.2;9.9;10.9;10.9;11.3;10.4;9.1;5.2;4.5;9.0;11.0;8.2;4.5;8.3
1952;4.4;4.6;9.1;11.3;10.0;10.2;11.5;11.0;8.1;6.2;4.2;4.2;10.1;10.9;6.2;4.8;7.9
1953;4.5;5.7;9.0;10.9;11.1;10.3;10.9;10.6;9.8;8.3;6.0;4.2;10.4;10.6;8.0;6.1;8.4
1954;6.1;7.8;6.1;8.4;11.0;10.7;8.7;9.8;9.2;7.3;5.2;3.9;8.5;9.7;7.2;5.2;7.9
1955;5.6;6.2;8.0;8.6;10.0;10.4;9.9;10.9;9.5;8.1;5.4;5.1;8.9;10.4;7.6;6.3;8.1
1956;5.4;8.4;8.0;7.7;10.9;9.8;9.9;9.5;10.3;7.2;5.0;4.1;8.9;9.7;7.5;4.5;8.0
1957;4.6;4.9;8.8;10.5;10.3;11.6;10.2;9.6;8.5;7.9;4.9;5.0;9.9;10.5;7.1;5.6;8.1
1958;5.5;6.3;6.9;7.6;10.7;9.7;10.2;9.8;9.5;7.1;4.1;4.7;8.4;9.9;6.9;5.3;7.7
1959;5.3;5.8;8.6;10.4;11.0;11.5;11.4;10.5;10.6;9.7;4.6;3.7;10.0;11.2;8.3;5.3;8.6
1960;5.4;6.7;7.8;9.5;10.8;10.4;9.9;9.5;9.4;6.6;4.7;3.7;9.4;9.9;6.9;4.6;7.9
