Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Serbia               : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;6.9;7.7;9.7;11.0;11.5;11.4;12.3;12.4;12.3;10.9;7.9;6.0;10.7;12.0;10.3;6.7;10.0
1902;6.5;7.5;9.8;10.9;11.1;11.3;12.4;12.5;12.4;10.7;7.8;6.2;10.6;12.1;10.3;7.0;9.9
1903;7.0;7.9;9.9;10.7;11.6;11.4;12.4;12.7;12.5;11.1;7.7;5.9;10.7;12.2;10.4;6.7;10.1
1904;6.5;7.7;9.7;11.0;11.5;11.7;12.3;12.8;12.0;10.7;7.7;6.1;10.7;12.3;10.1;6.8;10.0
1905;6.8;7.4;9.6;10.7;11.4;11.6;12.5;12.6;12.1;10.5;7.8;6.0;10.6;12.2;10.1;6.8;9.9
1906;6.8;7.6;9.7;11.1;11.3;11.1;12.2;12.5;12.0;10.9;7.8;6.0;10.7;11.9;10.2;6.6;9.9
1907;6.6;7.3;9.6;10.7;11.6;11.4;12.2;12.6;12.4;10.9;7.7;6.1;10.6;12.0;10.3;6.8;9.9
1908;6.8;7.4;9.8;10.7;11.3;11.5;12.3;12.3;12.3;10.8;7.7;5.9;10.6;12.0;10.2;6.7;9.9
1909;6.6;7.5;9.6;10.8;11.1;11.1;11.9;12.2;11.9;10.5;7.5;6.0;10.5;11.7;10.0;6.7;9.7
1910;6.5;7.5;9.6;10.6;11.1;11.1;12.0;12.2;11.8;10.7;7.6;5.9;10.4;11.8;10.0;6.7;9.7
1911;6.6;7.6;9.5;10.6;11.0;11.2;12.2;12.5;12.2;10.8;7.7;5.9;10.4;11.9;10.2;6.7;9.8
1912;6.6;7.5;9.6;10.6;11.0;11.1;12.1;12.2;11.6;10.6;7.5;6.0;10.4;11.8;9.9;6.7;9.7
1913;6.5;7.6;9.8;10.7;11.1;11.1;11.9;12.2;12.0;10.7;7.5;6.0;10.5;11.7;10.1;6.7;9.7
1914;6.6;7.5;9.6;11.0;11.2;11.2;12.0;12.3;11.9;10.5;7.5;5.9;10.6;11.8;10.0;6.6;9.8
1915;6.5;7.4;9.4;10.7;11.3;11.3;12.1;12.2;12.1;10.4;7.6;6.2;10.5;11.9;10.0;6.7;9.8
1916;6.6;7.4;9.6;10.7;11.2;11.2;12.0;12.2;11.9;10.6;7.6;6.1;10.5;11.8;10.0;6.8;9.8
1917;6.5;7.7;9.5;10.5;11.4;11.4;12.1;12.4;12.3;10.7;7.5;6.0;10.5;12.0;10.2;6.7;9.8
