Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Albania              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;24.0;19.1;10.5;5.2;1.1;0.1;0.0;0.0;0.2;1.8;10.6;10.5;16.8;0.1;12.7;37.2;83.1
1902;14.8;11.9;13.7;5.5;3.4;0.2;0.0;0.0;0.1;2.1;13.3;20.6;22.7;0.2;15.5;51.8;85.6
1903;18.1;13.1;9.9;8.9;1.1;0.2;0.0;0.0;0.2;2.0;7.0;12.6;19.9;0.3;9.1;44.2;73.2
1904;19.9;11.7;12.9;5.0;0.9;0.0;0.0;0.0;0.5;2.1;12.2;16.2;18.7;0.1;14.9;58.8;81.4
1905;24.1;18.6;12.8;7.1;0.9;0.1;0.0;0.0;0.1;5.4;5.1;14.5;20.8;0.1;10.6;48.8;88.7
1906;18.7;15.6;11.4;4.9;1.1;0.1;0.0;0.0;0.5;2.8;5.0;18.2;17.4;0.2;8.3;60.3;78.3
1907;22.0;20.0;19.9;9.1;0.2;0.1;0.0;0.0;0.2;0.4;8.8;12.7;29.2;0.1;9.5;48.8;93.6
1908;19.8;16.3;14.4;7.5;0.1;0.0;0.0;0.0;0.5;3.6;15.0;18.0;22.0;0.0;19.0;62.3;95.1
1909;22.4;21.9;12.7;4.9;1.1;0.1;0.0;0.0;0.1;1.6;10.2;10.1;18.7;0.1;12.0;37.9;85.3
1910;16.6;11.2;13.3;6.2;1.4;0.1;0.0;0.0;0.4;2.4;9.1;10.3;20.9;0.1;11.9;48.7;71.0
1911;19.0;19.3;13.0;6.6;1.2;0.1;0.0;0.0;0.1;2.0;4.5;12.3;20.7;0.1;6.6;44.2;78.1
1912;20.8;11.1;8.0;8.8;1.3;0.1;0.0;0.0;1.3;4.2;11.6;13.2;18.2;0.1;17.2;50.1;80.5
1913;18.8;18.1;8.8;5.2;1.6;0.1;0.1;0.1;0.1;1.9;6.1;15.4;15.6;0.3;8.1;56.1;76.3
1914;23.5;17.3;10.6;4.3;1.4;0.2;0.0;0.0;0.6;3.7;10.2;12.0;16.3;0.3;14.4;41.5;83.7
1915;14.9;14.6;13.9;6.1;0.7;0.0;0.0;0.0;0.8;3.3;10.5;8.5;20.7;0.1;14.7;39.2;73.5
1916;14.8;15.9;7.4;5.4;0.8;0.0;0.0;0.0;0.6;2.4;5.3;8.9;13.6;0.1;8.3;46.2;61.6
1917;16.8;20.5;14.7;7.5;0.9;0.0;0.0;0.0;0.1;1.9;7.5;19.2;23.1;0.0;9.5;54.5;89.1
1918;17.3;17.9;13.9;4.4;0.8;0.3;0.0;0.0;0.0;2.4;9.6;14.2;19.2;0.3;12.0;44.4;81.0
