Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Austria              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;30.1;27.2;24.0;14.5;6.2;1.2;0.5;0.6;2.0;8.5;23.7;24.7;44.7;2.3;34.2;73.1;163.2
1902;24.2;24.2;23.6;13.6;13.2;2.6;0.7;0.6;3.0;11.0;24.6;28.5;50.4;3.9;38.7;79.7;169.8
1903;29.0;22.2;21.4;20.6;6.4;2.4;0.9;0.6;2.9;8.6;17.9;26.8;48.5;3.8;29.3;78.4;159.6
1904;28.2;23.4;22.4;12.6;5.7;1.3;0.3;0.6;4.1;9.6;21.9;25.5;40.7;2.1;35.6;78.9;155.6
1905;29.6;23.8;21.0;17.4;7.0;1.3;0.1;0.4;0.9;17.9;20.6;25.4;45.4;1.8;39.5;77.5;165.5
1906;27.6;24.5;24.5;15.5;5.1;2.2;0.5;0.6;4.3;9.6;16.3;28.4;45.1;3.3;30.2;82.0;159.1
1907;28.1;25.5;25.8;19.4;4.3;1.4;1.3;0.5;2.4;4.2;22.0;25.1;49.4;3.2;28.7;78.7;160.0
1908;29.3;24.3;25.0;17.5;2.5;0.6;0.7;1.2;4.7;13.7;25.2;27.4;45.0;2.6;43.6;83.1;172.1
1909;29.3;26.4;25.5;13.9;8.8;2.2;1.1;0.6;2.2;6.4;22.4;24.8;48.3;3.8;31.0;73.8;163.6
1910;26.4;22.6;22.8;16.2;6.7;1.1;1.2;0.7;3.8;9.1;21.9;22.5;45.7;3.0;34.9;75.6;155.0
1911;28.7;24.4;22.5;16.3;5.2;2.0;0.2;0.1;1.7;10.6;17.4;23.5;43.9;2.3;29.6;74.5;152.5
1912;28.3;22.7;17.9;17.9;5.1;1.1;0.7;1.4;6.1;14.8;24.0;24.8;40.8;3.1;44.9;77.8;164.7
1913;27.9;25.0;19.4;14.4;6.3;1.6;1.9;1.2;2.9;8.3;14.8;24.7;40.1;4.7;26.0;79.4;148.4
1914;30.0;24.7;20.5;12.2;6.2;2.3;0.9;0.4;3.5;10.3;21.0;24.2;38.9;3.7;34.8;74.4;156.3
1915;26.4;23.8;24.2;15.5;3.4;0.8;0.8;1.2;5.3;13.6;24.2;21.4;43.1;2.7;43.0;68.5;160.4
1916;22.7;24.4;18.1;15.1;4.6;2.9;0.7;0.6;4.4;10.7;17.5;22.9;37.8;4.3;32.5;78.1;144.6
1917;28.3;26.9;25.9;20.2;3.2;0.6;0.5;0.4;1.0;11.8;19.8;28.6;49.2;1.5;32.6;79.5;167.2
1918;27.1;23.8;22.8;9.8;4.2;3.8;0.7;0.7;1.5;10.9;21.6;22.6;36.7;5.2;34.1;72.1;149.4
1919;24.6;24.9;22.0;17.9;10.9;1.7;1.8;0.5;1.3;14.3;23.2;25.9;50.7;4.0;38.8;72.9;168.9
1920;23.9;23.2;19.3;9.0;2.2;1.9;0.5;1.0;1.3;14.4;24.9;25.2;30.5;3.5;40.6;70.5;146.8
1921;21.7;23.6;22.2;17.0;3.2;2.3;0.2;0.4;2.3;7.8;24.6;26.9;42.4;2.9;34.7;81.5;152.3
1922;28.9;25.7;20.7;16.7;4.4;1.1;0.8;0.5;3.7;13.7;23.1;25.2;41.8;2.4;40.5;74.3;164.5
1923;25.9;23.2;21.2;16.5;4.4;4.3;0.2;0.5;2.6;5.1;19.4;27.2;42.0;5.0;27.0;83.4;150.3
1924;29.2;26.9;25.2;15.2;3.1;1.5;0.5;1.6;1.5;10.2;21.9;26.4;43.5;3.7;33.6;73.4;163.3
1925;25.8;21.2;25.2;13.4;4.4;1.9;0.6;0.5;4.1;9.9;21.0;27.7;42.9;3.0;35.0;73.6;155.6
1926;27.6;18.3;21.9;12.4;6.3;2.8;0.6;0.8;1.1;8.6;12.0;25.9;40.7;4.2;21.7;75.6;138.3
1927;25.1;24.6;19.6;13.4;5.9;1.1;0.4;0.4;1.5;11.0;19.2;28.2;38.9;1.9;31.7;77.8;150.4
1928;25.9;23.8;24.7;13.0;10.0;1.9;0.1;0.2;2.6;9.7;14.6;27.1;47.6;2.1;26.8;85.3;153.4
1929;30.4;27.8;25.6;20.0;4.0;1.1;0.4;0.3;1.5;7.6;17.4;23.6;49.6;1.8;26.5;74.9;159.7
1930;25.9;25.4;20.4;11.5;6.2;0.4;0.6;0.7;1.6;10.3;15.8;26.0;38.1;1.7;27.7;77.9;144.8
1931;27.0;24.9;27.4;18.3;2.4;0.6;0.5;0.7;6.6;14.9;19.8;27.6;48.2;1.8;41.3;82.1;170.8
1932;26.4;28.0;27.3;15.4;5.1;2.3;0.3;0.1;0.2;9.2;19.1;25.7;47.7;2.7;28.5;79.6;159.1
1933;29.4;24.5;23.4;16.5;7.6;3.4;0.5;0.5;2.5;10.4;20.7;29.6;47.4;4.4;33.6;81.3;168.9
1934;27.2;24.5;20.1;10.0;3.7;1.9;0.4;0.6;1.3;9.8;18.7;18.4;33.8;2.9;29.7;71.0;136.4
1935;28.8;23.9;25.8;14.1;9.2;0.6;0.4;0.8;1.9;6.9;18.4;26.4;49.1;1.9;27.2;75.1;157.1
1936;24.1;24.6;19.6;13.6;4.1;1.5;0.4;0.8;2.0;16.7;20.3;25.8;37.3;2.7;39.0;76.4;153.5
1937;28.2;22.5;21.0;13.3;3.1;0.7;0.4;0.6;2.3;8.2;20.4;27.0;37.4;1.8;30.9;78.0;147.7
1938;26.8;24.2;18.6;20.4;8.7;0.7;0.6;0.4;2.9;7.8;15.6;28.1;47.7;1.6;26.3;77.0;154.7
1939;25.6;23.3;25.8;9.0;6.4;1.2;0.6;0.4;2.1;11.3;17.6;28.3;41.1;2.2;31.0;87.1;151.5
1940;30.9;28.0;25.0;14.0;6.6;1.6;0.9;1.3;2.1;9.7;17.4;29.8;45.6;3.9;29.2;83.6;167.4
1941;29.7;24.0;22.6;16.4;11.1;1.4;0.4;0.9;5.1;11.1;23.5;26.4;50.1;2.6;39.7;84.2;172.5
1942;31.0;26.9;24.8;16.1;5.4;1.7;0.7;0.6;0.5;5.0;21.2;25.1;46.3;2.9;26.6;76.2;158.8
1943;28.9;22.2;21.6;12.0;7.4;2.3;0.8;0.2;1.0;6.8;22.1;25.1;41.0;3.2;29.9;75.7;150.3
1944;24.3;26.3;26.2;12.6;7.4;2.1;0.5;0.0;2.5;9.0;20.5;27.5;46.2;2.6;32.0;79.2;159.0
1945;30.5;21.2;19.5;13.0;3.2;0.7;0.2;0.4;1.8;10.4;20.5;25.5;35.8;1.4;32.7;76.3;147.1
1946;29.2;21.6;19.7;10.6;2.3;1.1;0.2;0.3;1.2;15.1;20.8;28.4;32.6;1.6;37.1;85.7;150.5
1947;30.5;26.8;22.2;9.9;2.7;0.7;0.1;0.2;0.7;15.5;16.1;25.1;34.9;1.1;32.4;73.7;150.6
1948;23.5;25.1;21.1;11.6;2.8;2.1;1.1;0.3;1.8;9.8;19.9;27.3;35.6;3.6;31.5;77.1;146.6
1949;26.0;23.8;26.3;10.4;4.6;2.3;0.7;0.7;1.0;9.1;19.2;23.6;41.4;3.8;29.2;74.8;147.8
1950;28.6;22.6;20.4;14.0;3.1;0.5;0.1;0.3;1.6;12.6;19.3;26.9;37.5;0.9;33.4;73.9;149.9
1951;25.3;21.7;23.7;15.5;5.5;1.1;0.5;0.3;1.0;15.3;14.7;24.3;44.7;1.9;30.9;76.8;148.8
1952;27.2;25.3;25.2;9.3;5.6;1.0;0.1;0.2;4.5;11.4;22.3;27.0;40.1;1.3;38.2;78.9;159.1
1953;27.6;24.3;23.6;13.4;5.9;1.3;0.3;0.8;1.8;6.0;21.2;24.8;42.9;2.4;29.0;81.9;150.9
1954;29.9;27.2;21.5;17.2;7.3;0.9;1.0;0.7;1.2;10.5;21.4;22.4;45.9;2.7;33.1;74.8;161.3
1955;27.7;24.7;26.3;17.3;8.3;1.5;0.3;0.8;2.2;11.5;20.8;23.3;51.9;2.7;34.5;78.7;164.8
1956;26.3;29.0;25.4;15.9;5.9;2.4;0.4;0.7;1.6;11.2;23.2;25.7;47.2;3.4;36.0;73.8;167.8
1957;28.2;19.9;18.6;15.3;10.3;0.8;0.3;0.8;2.7;11.2;17.0;25.7;44.2;1.9;30.8;75.6;150.6
1958;27.8;22.2;27.6;18.0;1.7;1.8;0.3;0.3;1.4;7.9;15.2;24.6;47.3;2.4;24.5;77.1;148.8
1959;27.3;25.2;19.1;13.2;5.4;1.6;0.2;0.5;4.4;15.3;19.7;22.9;37.7;2.3;39.4;76.0;154.8
1960;27.9;25.2;21.2;14.4;5.5;1.0;1.2;0.5;3.3;7.9;16.1;24.2;41.0;2.7;27.3;73.1;148.3
1961;28.2;20.7;18.5;6.9;7.0;0.9;1.0;0.6;0.5;7.4;20.1;28.0;32.3;2.5;28.1;78.6;139.9
1962;26.4;24.2;26.7;13.2;8.1;3.0;0.8;0.3;3.6;11.4;20.7;29.8;48.0;4.1;35.7;88.1;168.2
1963;30.7;27.6;25.4;11.3;5.3;1.0;0.3;0.5;1.1;10.8;12.8;29.3;42.0;1.8;24.7;83.9;156.1
1964;29.9;24.8;25.5;11.0;4.4;0.6;0.5;0.9;2.2;12.1;15.3;26.4;40.9;2.0;29.6;78.4;153.5
1965;25.7;26.4;24.4;15.1;6.5;0.9;0.6;1.2;2.6;13.5;23.2;23.9;46.0;2.7;39.3;69.7;163.9
1966;29.4;16.5;22.8;9.5;4.9;0.9;0.8;0.7;1.2;2.6;21.9;25.1;37.2;2.4;25.7;75.3;136.3
1967;27.2;22.9;19.1;15.5;5.0;1.8;0.1;0.4;1.5;6.4;20.0;26.7;39.6;2.4;28.0;78.0;146.8
1968;28.4;22.9;22.1;12.2;5.4;1.1;0.6;0.6;2.0;6.6;16.9;28.2;39.8;2.4;25.4;80.4;147.1
1969;27.1;25.2;24.5;14.5;3.0;2.0;0.3;0.7;1.5;9.4;17.7;29.4;42.0;3.1;28.6;81.5;155.3
1970;27.7;24.4;24.9;15.5;7.5;0.8;0.6;0.3;2.2;9.8;14.4;26.2;48.0;1.7;26.4;77.9;154.4
1971;28.8;22.8;26.7;13.0;2.8;1.7;0.4;0.1;4.3;13.2;20.5;22.7;42.5;2.2;38.0;72.9;157.0
1972;27.9;22.2;20.6;12.0;5.0;1.3;0.4;0.6;6.1;17.0;20.2;26.5;37.6;2.3;43.3;75.9;159.8
1973;26.7;22.8;23.5;17.6;4.3;0.9;0.4;0.2;1.6;13.2;22.7;26.5;45.5;1.5;37.5;69.5;160.5
1974;23.7;19.2;18.0;16.0;6.4;2.3;0.6;0.1;2.1;15.4;19.7;21.3;40.4;3.0;37.2;67.9;144.9
1975;22.5;24.1;21.4;14.5;3.7;1.8;0.3;0.3;0.5;10.1;21.9;25.9;39.6;2.4;32.5;75.7;147.0
1976;25.5;24.3;26.3;15.7;5.4;1.0;0.2;1.7;3.2;6.1;16.6;27.4;47.4;3.0;26.0;74.3;153.5
1977;26.2;20.7;16.8;16.1;5.4;1.0;0.5;0.5;3.2;6.2;18.2;25.9;38.2;2.1;27.6;77.2;140.8
1978;26.1;25.2;19.9;16.4;6.4;2.0;0.9;0.9;2.2;8.5;21.7;25.8;42.8;3.7;32.5;79.0;156.1
1979;29.6;23.6;19.8;16.1;6.1;0.6;0.6;0.7;2.0;11.3;19.4;21.6;41.9;1.9;32.8;73.3;151.4
1980;28.7;23.0;22.3;18.0;9.3;1.6;0.8;0.2;1.5;10.7;22.4;27.3;49.7;2.5;34.5;80.8;165.8
