Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belarus              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.9;27.5;26.2;13.0;1.7;0.0;0.0;0.0;2.0;9.9;23.8;27.4;40.9;0.0;35.6;81.7;161.4
1902;27.0;27.3;26.3;20.3;4.3;0.0;0.0;0.0;3.3;16.0;26.3;30.8;50.9;0.0;45.5;83.3;181.5
1903;28.6;23.9;21.4;9.6;1.0;0.0;0.0;0.0;1.1;14.5;19.6;28.0;32.1;0.0;35.2;82.7;147.8
1904;29.3;25.4;28.4;14.1;5.7;0.6;0.0;0.0;4.2;9.5;23.1;27.2;48.3;0.6;36.8;83.7;167.6
1905;30.8;25.7;25.4;15.8;0.5;0.0;0.0;0.0;1.9;12.9;18.1;27.1;41.7;0.0;32.9;81.4;158.2
1906;28.6;25.7;25.3;8.9;0.0;0.0;0.0;0.0;3.5;11.8;15.1;28.7;34.2;0.0;30.4;86.9;147.6
1907;30.9;27.3;27.6;14.7;1.1;0.0;0.0;0.0;3.1;4.3;25.2;30.7;43.4;0.0;32.5;86.0;164.7
1908;29.5;25.9;27.8;13.7;2.3;0.0;0.0;0.0;1.6;14.7;26.9;29.5;43.8;0.0;43.2;87.7;171.9
1909;30.3;27.9;26.1;16.8;5.9;0.0;0.0;0.0;0.1;6.2;24.0;25.1;48.8;0.0;30.3;76.1;162.5
1910;28.1;22.9;23.9;8.7;0.4;0.0;0.0;0.0;2.8;17.4;22.7;24.2;33.1;0.0;42.9;81.3;151.2
1911;29.1;27.9;26.2;12.2;0.8;0.1;0.0;0.0;1.5;10.8;19.2;27.1;39.2;0.1;31.4;86.7;154.9
1912;31.0;28.6;18.4;16.0;4.5;0.0;0.0;0.0;3.2;20.3;22.4;22.9;39.0;0.0;46.0;78.4;167.5
1913;29.5;26.0;21.7;7.0;3.6;0.1;0.0;0.0;1.1;13.8;16.0;25.8;32.3;0.1;31.0;77.1;144.6
1914;30.0;21.3;21.8;10.4;1.5;0.0;0.0;0.0;3.9;16.0;25.2;24.0;33.7;0.0;45.1;77.8;154.2
1915;28.3;25.5;29.6;12.6;3.8;0.1;0.0;0.0;1.8;17.6;23.1;28.4;46.0;0.1;42.5;81.2;170.7
1916;27.1;25.7;25.2;9.3;3.4;0.1;0.0;0.0;4.1;12.3;19.4;27.1;37.9;0.1;35.8;86.0;153.8
1917;30.9;28.0;30.4;13.8;6.0;0.0;0.0;0.0;1.4;8.7;16.0;28.5;50.2;0.0;26.0;83.4;163.6
1918;29.0;25.9;27.3;6.6;5.1;0.5;0.0;0.0;1.0;5.4;22.3;27.9;39.1;0.5;28.8;83.9;151.1
1919;29.0;27.0;27.6;12.2;5.3;0.0;0.0;0.0;0.4;13.7;27.5;28.8;45.1;0.1;41.6;85.4;171.5
1920;29.7;26.8;22.6;3.6;0.3;0.1;0.0;0.0;1.2;21.9;24.0;29.3;26.6;0.1;47.1;84.6;159.6
1921;27.9;27.5;21.7;6.9;0.1;0.0;0.0;0.0;4.4;13.1;26.9;29.7;28.7;0.0;44.4;87.7;158.1
1922;30.9;27.2;25.7;13.7;1.8;0.0;0.0;0.0;3.2;16.9;23.0;27.2;41.2;0.0;43.0;82.1;169.5
1923;26.9;27.9;24.5;18.0;1.3;0.4;0.0;0.0;0.5;5.5;15.3;28.0;43.8;0.4;21.2;87.5;148.2
1924;31.0;28.6;28.3;15.8;0.4;0.0;0.0;0.0;0.3;9.9;20.7;28.2;44.6;0.0;30.9;72.6;163.2
1925;24.3;20.1;24.8;9.7;0.4;0.1;0.0;0.0;1.8;13.4;23.4;28.5;34.8;0.1;38.6;84.8;146.4
1926;30.3;26.0;27.3;10.6;0.5;0.0;0.0;0.0;1.3;13.8;11.1;28.8;38.4;0.0;26.3;86.3;149.9
1927;30.6;26.8;21.0;12.0;4.6;0.0;0.0;0.0;0.5;9.8;23.9;30.8;37.6;0.0;34.2;87.8;160.1
1928;28.6;28.3;29.0;14.6;1.8;1.0;0.0;0.0;1.6;10.6;11.8;28.0;45.3;1.0;24.0;86.9;155.3
1929;31.0;28.0;29.2;23.2;0.2;0.5;0.0;0.0;3.0;4.6;16.1;24.9;52.6;0.5;23.6;77.8;160.6
1930;26.2;26.6;23.5;8.4;0.9;0.0;0.0;0.0;2.5;7.7;17.2;29.4;32.8;0.0;27.4;87.2;142.5
1931;30.0;27.8;29.2;17.9;0.0;0.0;0.0;0.0;3.7;12.8;23.1;27.4;47.2;0.0;39.6;82.8;172.0
1932;26.4;29.0;30.1;12.6;0.1;0.0;0.0;0.0;0.2;7.4;20.0;23.0;42.8;0.0;27.5;80.7;148.7
1933;30.8;26.8;26.2;16.9;3.2;0.0;0.0;0.0;1.7;9.3;23.8;30.9;46.2;0.0;34.8;85.0;169.5
1934;29.1;25.1;23.2;8.5;0.3;0.0;0.0;0.0;0.4;5.0;14.3;29.0;32.1;0.0;19.7;85.4;135.0
1935;30.9;25.5;26.9;12.2;4.7;0.0;0.0;0.0;0.8;4.1;23.3;25.8;43.9;0.0;28.2;79.9;154.2
1936;25.4;28.7;22.5;11.4;0.5;0.0;0.0;0.0;2.6;15.7;19.2;24.2;34.5;0.0;37.5;81.1;150.3
1937;30.9;26.1;23.8;9.6;0.2;0.0;0.0;0.0;0.0;8.8;18.4;29.0;33.6;0.0;27.3;83.1;146.8
1938;29.0;25.1;20.6;14.7;2.7;0.0;0.0;0.0;0.3;5.5;13.1;29.6;38.0;0.0;18.9;80.2;140.6
1939;27.9;22.7;26.3;11.1;2.1;0.0;0.0;0.0;2.2;16.5;19.0;28.6;39.6;0.0;37.7;88.6;156.5
1940;31.0;29.0;29.5;16.8;1.6;0.0;0.0;0.0;0.9;14.1;15.1;29.5;47.9;0.0;30.1;87.1;167.5
1941;31.0;26.6;27.2;16.5;6.4;0.4;0.0;0.0;3.7;17.4;26.8;29.3;50.1;0.4;47.9;88.3;185.3
1942;31.0;28.0;30.9;17.8;3.2;0.3;0.0;0.0;0.9;8.8;24.8;27.3;51.9;0.3;34.4;82.2;172.9
1943;31.0;24.0;24.8;9.5;2.8;0.0;0.0;0.0;0.7;7.6;20.5;25.8;37.2;0.0;28.7;78.3;146.6
1944;26.6;25.9;25.6;17.9;2.5;0.0;0.0;0.0;1.6;8.2;20.0;28.0;46.0;0.0;29.8;84.2;156.3
1945;30.6;25.7;26.6;12.5;4.4;0.0;0.0;0.0;1.3;13.1;22.7;29.2;43.5;0.0;37.1;85.4;166.0
1946;29.6;26.6;25.7;11.1;1.5;0.0;0.0;0.0;0.4;19.8;24.5;28.9;38.2;0.0;44.6;87.9;168.0
1947;30.9;28.0;27.6;11.6;2.5;0.0;0.0;0.0;0.7;16.0;21.5;25.2;41.7;0.0;38.3;81.0;164.1
1948;27.5;28.2;26.2;9.0;0.2;0.0;0.0;0.0;1.5;10.3;21.8;27.8;35.4;0.0;33.6;79.2;152.5
1949;26.7;24.8;26.9;11.4;0.3;0.0;0.0;0.0;1.1;12.9;15.7;23.4;38.6;0.0;29.7;78.6;143.2
1950;31.0;24.2;24.8;4.5;1.5;0.0;0.0;0.0;0.5;10.2;19.5;25.4;30.7;0.0;30.2;82.3;141.6
1951;29.9;27.0;27.0;9.1;3.6;0.0;0.0;0.0;0.9;17.1;20.6;23.8;39.7;0.0;38.6;76.6;159.1
1952;26.2;26.6;30.9;11.4;5.0;0.0;0.0;0.0;2.1;10.1;22.1;27.5;47.4;0.0;34.3;84.8;162.0
1953;29.6;27.8;26.3;10.7;2.2;0.0;0.0;0.0;1.3;8.0;24.3;27.6;39.2;0.0;33.6;86.6;157.7
1954;31.0;28.0;24.3;17.1;0.5;0.0;0.0;0.0;0.3;8.4;21.5;24.7;42.0;0.0;30.2;80.1;155.8
1955;29.1;26.4;28.6;19.3;3.9;0.1;0.0;0.0;0.1;7.7;22.9;29.3;51.8;0.1;30.7;87.9;167.4
1956;29.6;29.0;29.0;15.4;2.8;0.0;0.0;0.0;3.9;9.1;25.8;26.6;47.1;0.0;38.8;75.6;171.1
1957;27.4;21.6;27.8;11.4;2.0;0.0;0.0;0.0;1.5;8.7;18.6;27.8;41.1;0.0;28.8;82.9;146.8
1958;29.2;25.9;28.7;15.7;0.4;0.0;0.0;0.0;2.3;6.4;19.0;26.7;44.8;0.0;27.8;78.2;154.4
1959;26.9;24.6;24.0;10.9;2.6;0.0;0.0;0.0;4.3;14.5;22.6;29.3;37.5;0.0;41.4;87.3;159.8
1960;29.8;28.2;28.9;14.4;1.6;0.0;0.0;0.0;3.5;9.9;17.9;18.9;44.9;0.0;31.2;69.8;153.1
1961;28.5;22.4;20.4;11.7;2.2;0.0;0.0;0.0;1.6;8.8;18.4;29.0;34.4;0.0;28.8;81.6;143.2
1962;26.3;26.3;29.6;7.3;1.8;0.2;0.0;0.0;1.4;7.9;16.8;29.4;38.7;0.2;26.1;88.3;146.9
1963;31.0;27.9;30.3;15.4;0.0;0.1;0.0;0.0;0.7;8.4;18.2;30.4;45.7;0.1;27.3;88.9;162.4
1964;29.6;28.9;29.6;12.2;2.8;0.0;0.0;0.0;1.7;8.9;21.4;25.7;44.6;0.0;32.0;82.9;160.9
1965;29.4;27.8;27.5;16.6;5.7;0.0;0.0;0.0;0.5;11.7;26.6;25.4;49.8;0.0;38.8;82.6;171.1
1966;30.3;26.9;22.3;9.2;0.4;0.0;0.0;0.0;2.4;7.0;22.2;28.5;31.9;0.0;31.7;86.3;149.3
1967;31.0;26.7;20.1;8.8;0.2;0.0;0.0;0.0;0.7;3.2;14.9;29.7;29.1;0.0;18.9;88.5;135.4
1968;31.0;27.9;26.0;10.6;1.9;0.0;0.0;0.0;1.3;11.9;22.2;27.9;38.6;0.0;35.5;86.7;160.8
1969;31.0;27.8;30.2;13.4;1.3;0.0;0.0;0.0;2.9;12.4;15.3;30.6;44.9;0.0;30.6;89.4;164.9
1970;30.8;27.9;25.4;10.8;1.5;0.0;0.0;0.0;1.3;10.9;19.4;26.8;37.6;0.0;31.6;80.6;154.8
1971;28.1;25.6;27.9;13.4;1.4;0.0;0.0;0.0;2.1;9.7;22.7;23.5;42.7;0.0;34.6;81.0;154.6
1972;31.0;26.5;25.8;11.3;0.8;0.0;0.0;0.0;2.3;13.6;17.6;24.5;37.9;0.0;33.5;77.4;153.3
1973;30.1;22.9;25.1;10.8;1.3;0.0;0.0;0.0;4.3;14.7;23.4;28.2;37.2;0.0;42.4;79.5;160.8
1974;29.4;21.9;24.4;17.4;4.2;0.0;0.0;0.0;0.6;6.9;17.1;22.2;46.0;0.0;24.6;71.8;144.1
1975;24.7;24.8;21.0;7.6;0.1;0.0;0.0;0.0;0.6;11.0;24.4;25.6;28.7;0.0;36.0;85.1;139.8
1976;30.6;29.0;27.2;12.6;3.3;0.3;0.0;0.1;2.7;21.5;17.2;26.5;43.2;0.4;41.4;81.8;170.9
1977;30.2;25.1;23.6;11.2;0.9;0.0;0.0;0.0;3.9;10.7;15.4;29.2;35.7;0.0;29.9;86.5;150.1
1978;29.8;27.5;21.8;13.1;2.9;0.1;0.0;0.0;2.4;10.7;12.7;30.9;37.8;0.1;25.8;89.3;152.0
1979;30.5;27.9;24.3;14.8;0.3;0.0;0.0;0.0;0.8;17.0;21.2;25.9;39.4;0.0;39.1;85.0;162.8
1980;30.9;28.2;29.8;12.1;6.8;0.0;0.0;0.0;0.9;6.6;23.7;26.4;48.7;0.0;31.2;81.0;165.5
1981;29.2;25.3;26.2;17.7;0.6;0.0;0.0;0.0;0.9;6.3;20.2;28.0;44.6;0.0;27.3;84.7;154.4
1982;29.9;26.9;24.0;14.1;1.5;0.2;0.0;0.0;1.0;9.0;16.2;22.8;39.6;0.2;26.2;73.7;145.5
1983;24.4;26.5;24.7;5.8;0.0;0.0;0.0;0.0;0.4;8.6;22.5;26.5;30.6;0.0;31.6;81.3;139.5
1984;26.9;27.9;26.0;10.9;0.1;0.0;0.0;0.0;0.4;4.8;23.1;27.9;36.9;0.0;28.3;86.9;148.0
1985;31.0;28.0;26.6;12.9;0.5;0.0;0.0;0.0;2.1;6.1;24.1;27.3;39.9;0.0;32.3;83.6;158.5
1986;28.2;28.0;25.4;9.8;1.1;0.0;0.0;0.0;3.5;12.0;16.0;28.2;36.3;0.0;31.6;85.3;152.3
1987;31.0;26.1;30.3;16.7;1.9;0.0;0.0;0.0;2.1;13.6;20.9;27.8;48.9;0.0;36.6;81.7;170.5
1988;28.1;25.8;24.7;14.5;0.5;0.0;0.0;0.0;0.5;14.6;25.9;28.5;39.7;0.0;41.0;70.7;163.0
1989;23.1;19.2;17.8;7.2;1.5;0.0;0.0;0.0;0.6;7.1;23.5;26.7;26.5;0.0;31.3;68.5;126.7
1990;24.9;16.9;16.5;10.1;2.8;0.0;0.0;0.0;2.0;9.0;15.1;25.8;29.4;0.0;26.1;78.7;123.0
1991;27.1;25.8;23.4;11.0;2.5;0.0;0.0;0.0;0.6;9.1;16.0;26.4;36.9;0.0;25.7;77.6;141.9
1992;26.9;24.3;21.0;12.6;1.7;0.0;0.0;0.0;0.8;15.4;21.9;26.1;35.4;0.0;38.2;77.4;150.8
1993;27.0;24.4;25.5;9.8;0.1;0.1;0.0;0.0;3.4;11.0;27.7;24.3;35.5;0.1;42.1;76.7;153.4
1994;24.6;27.8;24.5;6.7;2.5;0.1;0.0;0.0;0.0;13.3;22.3;26.8;33.8;0.1;35.7;75.7;148.7
1995;28.6;20.4;21.6;10.7;1.4;0.0;0.0;0.0;1.0;8.3;24.6;30.4;33.7;0.0;33.9;90.1;146.9
1996;30.9;28.8;29.1;11.6;0.1;0.0;0.0;0.0;3.6;7.8;11.7;29.7;40.8;0.0;23.1;82.6;153.3
1997;29.6;23.2;24.8;16.8;1.8;0.0;0.0;0.0;2.3;11.9;18.5;28.5;43.5;0.0;32.7;77.1;157.5
1998;25.3;23.3;25.9;7.8;0.7;0.0;0.0;0.0;1.1;9.8;27.3;28.8;34.3;0.0;38.1;82.1;149.9
1999;27.2;26.0;23.1;5.9;4.8;0.0;0.0;0.0;0.5;7.7;23.6;24.6;33.8;0.0;31.8;75.8;143.4
2000;28.1;23.1;22.9;3.5;1.9;0.0;0.0;0.0;3.4;6.6;12.4;22.4;28.3;0.0;22.4;73.7;124.3
2001;25.6;25.7;25.0;6.8;1.6;0.0;0.0;0.0;1.0;6.4;21.1;30.7;33.4;0.0;28.5;78.5;143.9
2002;27.5;20.3;21.6;10.5;0.3;0.0;0.0;0.0;1.8;13.0;19.1;30.8;32.3;0.0;33.9;87.7;144.9
2003;29.5;27.4;26.0;15.5;0.1;0.0;0.0;0.0;1.9;11.5;15.0;24.5;41.6;0.0;28.5;80.9;151.4
2004;30.0;26.3;23.1;11.8;3.0;0.0;0.0;0.0;1.2;7.0;21.7;23.2;37.8;0.0;29.8;76.0;147.3
2005;25.6;27.2;28.6;9.9;0.8;0.0;0.0;0.0;0.6;10.3;19.4;26.2;39.3;0.0;30.3;84.3;148.6
2006;30.6;27.5;28.1;11.9;2.0;0.0;0.0;0.0;0.5;5.6;15.3;17.4;42.0;0.0;21.3;68.2;138.8
2007;23.4;27.4;16.2;12.4;0.3;0.0;0.0;0.0;1.6;8.2;22.2;23.9;28.9;0.0;32.0;72.4;135.6
2008;26.7;21.8;20.9;6.6;1.9;0.0;0.0;0.0;1.2;4.5;18.1;24.3;29.4;0.0;23.9;77.6;126.1
2009;28.3;25.0;23.3;10.5;1.5;0.0;0.0;0.0;0.3;10.6;13.3;27.4;35.4;0.0;24.2;84.2;140.3
2010;31.0;25.8;25.5;9.4;0.1;0.0;0.0;0.0;1.2;16.7;12.7;29.9;35.1;0.0;30.6;85.5;152.4
2011;28.0;27.6;25.9;9.5;1.0;0.0;0.0;0.0;0.3;10.4;18.0;20.7;36.5;0.0;28.7;78.2;141.5
2012;28.5;29.0;23.6;7.1;0.5;0.0;0.0;0.0;0.3;7.2;13.3;29.0;31.2;0.0;20.8;82.5;138.5
2013;29.9;23.5;28.9;11.0;0.0;0.0;0.0;0.0;1.1;5.9;11.5;23.0;40.0;0.0;18.4;75.6;134.9
2014;29.8;22.8;17.5;8.6;0.2;0.0;0.0;0.0;1.2;13.4;20.2;26.1;26.3;0.0;34.8;74.8;139.8
