Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belgium              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;25.0;23.7;16.4;6.6;2.3;0.0;0.0;0.0;0.1;2.9;14.4;16.3;25.3;0.0;17.4;49.4;107.7
1902;12.2;21.0;13.1;6.6;6.4;0.1;0.0;0.0;0.5;5.3;15.1;22.6;26.1;0.1;20.9;50.9;103.0
1903;17.6;10.7;9.7;13.1;1.4;0.2;0.0;0.0;0.2;1.3;8.9;20.1;24.3;0.2;10.4;57.0;83.2
1904;21.7;15.2;15.5;5.0;1.3;0.1;0.0;0.0;1.1;3.8;12.0;12.8;21.8;0.1;16.8;50.3;88.4
1905;22.9;14.6;10.6;10.2;2.5;0.0;0.0;0.0;0.2;9.9;12.8;16.5;23.2;0.0;22.9;49.9;100.1
1906;16.3;17.1;16.3;9.4;1.0;0.2;0.0;0.0;0.5;1.3;5.8;22.7;26.7;0.2;7.6;62.8;90.6
1907;19.8;20.3;15.4;9.8;1.3;0.1;0.1;0.0;0.3;1.0;10.0;14.4;26.5;0.2;11.3;53.8;92.6
1908;24.8;14.6;16.7;11.4;0.4;0.0;0.0;0.0;0.5;5.1;15.9;19.4;28.5;0.0;21.5;64.0;108.8
1909;22.9;21.7;17.4;7.2;3.9;0.4;0.0;0.0;0.3;1.4;14.5;14.9;28.5;0.4;16.2;43.1;104.7
1910;15.5;12.6;14.5;8.5;1.6;0.0;0.0;0.0;0.4;2.1;14.1;10.4;24.6;0.0;16.7;46.3;79.8
1911;20.8;15.1;13.0;9.7;0.7;0.1;0.0;0.0;0.1;2.8;8.6;9.9;23.3;0.1;11.5;42.7;80.7
1912;19.9;12.9;6.9;8.8;1.7;0.0;0.0;0.0;2.2;7.2;11.4;10.1;17.4;0.1;20.8;42.7;81.2
1913;16.6;16.0;8.4;6.9;1.2;0.0;0.0;0.0;0.3;1.9;3.6;13.6;16.5;0.1;5.7;49.4;68.5
