Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bosnia-Herzegovinia  : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;28.9;25.3;17.4;7.6;1.2;0.0;0.0;0.0;0.7;3.6;18.6;17.6;26.2;0.0;22.8;56.9;120.8
1902;20.1;19.1;19.0;8.3;5.9;0.2;0.0;0.0;0.7;5.4;21.2;26.8;33.2;0.2;27.3;71.0;126.7
1903;26.0;18.2;13.5;13.4;1.6;0.2;0.0;0.0;0.5;4.7;11.7;20.9;28.5;0.2;16.9;64.6;110.7
1904;25.6;18.1;17.3;6.4;1.3;0.0;0.0;0.0;1.2;4.6;18.3;22.2;25.1;0.0;24.1;72.3;115.1
1905;28.3;21.8;15.9;10.5;1.4;0.0;0.0;0.0;0.1;12.3;11.5;21.7;27.8;0.0;23.9;67.9;123.6
1906;25.1;21.0;17.9;6.9;0.9;0.1;0.0;0.0;1.4;5.9;8.9;25.2;25.8;0.1;16.3;75.8;113.5
1907;26.7;23.9;23.4;13.0;0.4;0.0;0.0;0.0;0.6;0.8;16.0;20.4;36.8;0.0;17.4;67.8;125.2
1908;26.6;20.8;20.2;10.3;0.1;0.0;0.0;0.0;1.5;7.3;22.6;24.6;30.6;0.0;31.4;77.2;134.1
1909;27.5;25.1;19.4;6.4;1.8;0.1;0.0;0.0;0.3;2.3;16.5;17.2;27.6;0.1;19.1;55.6;116.5
1910;22.5;15.9;16.0;8.1;1.4;0.0;0.0;0.0;1.0;4.8;15.9;15.8;25.4;0.0;21.7;63.8;101.3
1911;25.1;22.9;17.0;8.5;1.0;0.1;0.0;0.0;0.2;4.9;8.3;18.4;26.5;0.1;13.5;61.6;106.4
