Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bulgaria             : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;28.4;22.7;13.4;6.0;0.7;0.0;0.0;0.0;0.3;2.7;16.4;15.1;20.1;0.0;19.4;53.6;105.5
1902;21.3;17.3;18.3;8.4;2.5;0.1;0.0;0.0;0.2;3.4;21.7;27.7;29.2;0.1;25.4;71.8;120.9
1903;25.9;18.2;14.1;8.3;0.8;0.1;0.0;0.0;0.2;3.3;10.3;20.4;23.2;0.1;13.8;65.1;101.7
1904;27.5;17.2;20.1;8.8;1.0;0.1;0.0;0.0;0.5;2.9;17.4;22.1;29.9;0.1;20.8;73.1;117.4
1905;28.6;22.5;18.1;8.8;0.6;0.0;0.0;0.0;0.0;6.2;6.0;22.5;27.4;0.0;12.2;67.1;113.3
1906;25.0;19.6;13.7;4.9;0.6;0.1;0.0;0.0;0.5;5.3;7.5;22.9;19.2;0.1;13.3;75.3;100.0
1907;27.7;24.7;24.4;11.4;0.1;0.0;0.0;0.0;0.3;0.6;16.5;20.9;35.9;0.0;17.4;66.9;126.7
1908;26.2;19.7;17.4;8.0;0.1;0.0;0.0;0.0;0.5;6.8;22.1;25.0;25.5;0.0;29.3;78.7;125.8
1909;28.3;25.4;17.1;6.8;0.8;0.1;0.0;0.0;0.0;1.6;12.3;16.4;24.7;0.1;14.0;53.0;108.8
1910;23.0;13.6;17.6;5.9;0.7;0.0;0.0;0.0;0.2;4.9;10.7;17.1;24.1;0.0;15.8;68.2;93.6
1911;25.5;25.7;18.8;7.3;0.5;0.1;0.0;0.0;0.2;2.7;6.9;20.8;26.6;0.1;9.9;68.5;108.6
1912;28.3;19.4;11.1;10.0;1.5;0.0;0.0;0.0;1.1;8.3;13.8;18.5;22.5;0.0;23.2;66.9;111.9
1913;25.4;23.0;12.1;5.2;1.2;0.1;0.0;0.0;0.1;3.7;9.6;19.8;18.5;0.2;13.5;66.9;100.4
1914;27.5;19.5;12.6;5.0;0.9;0.1;0.0;0.0;0.7;5.2;17.5;19.3;18.5;0.1;23.3;56.9;108.3
1915;18.7;18.9;19.2;6.6;0.9;0.0;0.0;0.0;0.9;4.2;14.1;15.0;26.7;0.0;19.1;57.7;98.4
1916;22.8;20.0;10.4;5.8;0.7;0.0;0.0;0.0;0.6;3.1;8.4;16.3;16.9;0.0;12.1;66.0;88.1
1917;23.9;25.8;20.2;6.7;1.5;0.0;0.0;0.0;0.1;1.8;8.4;24.6;28.4;0.0;10.3;70.6;113.0
1918;23.4;22.5;19.2;5.6;1.1;0.1;0.0;0.0;0.0;1.1;12.8;20.8;25.8;0.1;14.0;63.2;106.7
1919;21.6;20.8;15.6;4.8;3.4;0.2;0.0;0.0;0.0;3.3;13.6;21.8;23.7;0.2;16.9;69.6;105.0
1920;23.2;24.6;14.1;2.1;0.3;0.1;0.0;0.0;0.3;11.3;21.7;23.3;16.5;0.1;33.2;67.0;120.9
1921;20.2;23.6;15.1;6.3;0.3;0.2;0.0;0.0;0.7;5.2;17.3;24.3;21.6;0.2;23.2;74.7;113.1
1922;27.0;23.4;11.4;6.6;0.7;0.0;0.0;0.0;0.3;5.5;16.4;23.5;18.7;0.0;22.2;68.4;114.8
1923;23.2;21.7;14.4;7.6;0.2;0.2;0.0;0.0;0.0;0.8;3.0;20.2;22.2;0.2;3.9;73.0;91.3
1924;29.1;23.7;19.9;6.4;0.2;0.0;0.0;0.0;0.0;3.4;16.5;24.1;26.4;0.0;19.9;59.5;123.3
1925;23.9;11.5;15.4;5.4;0.5;0.3;0.0;0.0;0.3;3.8;7.4;24.6;21.3;0.3;11.6;66.6;93.1
1926;24.4;17.6;18.8;3.7;0.8;0.0;0.0;0.0;0.2;2.2;2.3;21.2;23.2;0.1;4.7;68.7;91.2
1927;24.0;23.5;10.1;4.9;0.7;0.0;0.0;0.0;0.0;2.8;8.9;26.8;15.7;0.0;11.7;77.1;101.8
1928;25.9;24.5;23.0;4.9;1.8;0.1;0.0;0.0;0.0;4.0;5.9;22.8;29.7;0.1;10.0;77.4;112.9
1929;28.2;26.4;25.3;13.8;0.3;0.1;0.0;0.0;0.6;2.0;6.5;20.0;39.3;0.1;9.1;64.9;123.0
1930;23.7;21.2;13.5;4.3;0.9;0.1;0.0;0.0;0.1;3.0;8.0;21.8;18.7;0.1;11.1;67.6;96.7
1931;24.2;21.5;20.3;10.4;0.5;0.0;0.0;0.0;0.9;5.9;15.6;25.5;31.2;0.0;22.4;78.7;124.8
1932;26.0;27.3;24.7;7.5;0.9;0.2;0.0;0.0;0.1;1.5;12.4;21.2;33.1;0.2;14.0;70.9;121.6
1933;28.1;21.7;20.4;12.4;1.7;0.4;0.0;0.0;1.1;4.3;9.1;27.6;34.5;0.4;14.5;77.3;126.7
1934;26.4;23.4;12.6;4.8;0.4;0.1;0.0;0.0;0.1;3.3;7.6;20.5;17.8;0.1;11.1;70.3;99.3
1935;27.7;22.1;20.7;7.2;1.5;0.0;0.0;0.0;0.3;1.3;14.0;18.4;29.4;0.1;15.7;56.8;113.3
1936;17.6;20.8;12.4;5.1;0.6;0.1;0.0;0.0;0.6;5.9;10.7;23.6;18.1;0.1;17.2;72.9;97.4
1937;28.1;21.3;11.7;6.3;0.4;0.1;0.0;0.0;0.0;2.9;9.0;18.6;18.4;0.1;11.9;65.3;98.4
1938;25.8;20.9;16.5;8.6;1.3;0.0;0.0;0.0;0.2;3.0;9.6;23.2;26.4;0.0;12.8;64.5;109.2
1939;21.8;19.4;20.1;5.5;1.0;0.0;0.0;0.0;0.2;3.1;11.2;22.7;26.7;0.0;14.6;76.3;105.3
1940;29.1;24.5;22.4;7.5;1.4;0.1;0.0;0.0;0.2;2.8;5.9;26.5;31.3;0.1;8.9;68.0;120.4
1941;25.7;15.7;17.4;4.5;0.9;0.1;0.0;0.0;1.1;6.8;18.8;26.0;22.8;0.1;26.7;79.3;117.1
1942;30.2;23.1;23.5;9.0;0.7;0.0;0.0;0.0;0.0;2.3;15.0;23.1;33.2;0.0;17.3;73.1;127.0
1943;28.1;21.8;20.2;6.3;1.1;0.1;0.0;0.0;0.1;1.1;8.2;21.6;27.6;0.1;9.4;68.7;108.7
1944;25.6;21.4;18.7;7.2;1.3;0.0;0.0;0.0;0.2;1.3;9.8;22.5;27.2;0.0;11.2;72.2;108.0
1945;27.1;22.6;19.1;8.1;0.5;0.0;0.0;0.0;0.1;5.8;12.4;23.6;27.7;0.0;18.4;71.7;119.4
1946;27.2;20.9;15.3;5.3;0.4;0.0;0.0;0.0;0.0;8.7;8.4;24.8;21.0;0.0;17.1;76.3;111.0
1947;29.5;22.0;11.5;3.8;0.4;0.0;0.0;0.0;0.1;7.3;9.3;17.5;15.7;0.0;16.7;55.8;101.5
1948;16.0;22.2;20.1;4.8;0.4;0.1;0.0;0.0;0.3;3.4;16.4;28.1;25.3;0.1;20.0;74.8;111.8
1949;24.0;22.6;21.8;8.7;0.5;0.3;0.0;0.0;0.4;4.8;5.6;17.5;31.1;0.3;10.8;68.0;106.4
1950;29.2;21.3;15.7;2.8;0.4;0.0;0.0;0.0;0.1;5.7;10.5;14.4;18.9;0.1;16.3;55.4;100.2
1951;22.8;18.2;12.4;3.9;0.5;0.0;0.0;0.0;0.0;8.0;7.2;22.7;16.8;0.0;15.2;65.4;95.8
1952;21.9;20.8;24.3;5.2;1.4;0.1;0.0;0.0;0.0;3.0;9.7;18.3;30.9;0.1;12.7;64.4;104.7
1953;24.4;21.7;22.2;6.5;1.3;0.0;0.0;0.0;0.2;2.9;19.4;25.8;29.9;0.0;22.5;82.0;124.3
1954;29.8;26.4;16.1;10.6;0.8;0.0;0.0;0.0;0.1;3.6;10.0;18.8;27.5;0.0;13.6;57.4;116.2
1955;21.9;16.7;19.2;11.3;1.1;0.1;0.0;0.0;0.1;1.3;12.4;20.2;31.6;0.1;13.8;70.0;104.2
