Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Croatia              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;26.8;24.2;14.7;5.2;0.9;0.0;0.0;0.0;0.3;2.0;14.7;15.1;20.8;0.0;17.0;48.1;103.8
1902;16.2;16.8;15.2;5.5;4.4;0.1;0.0;0.0;0.4;3.5;16.8;23.6;25.0;0.1;20.6;62.4;102.4
1903;24.0;14.7;10.9;11.5;1.1;0.1;0.0;0.0;0.3;2.7;8.6;18.4;23.4;0.1;11.6;56.7;92.2
1904;22.8;15.4;13.7;4.6;1.0;0.0;0.0;0.0;0.6;2.9;13.7;18.2;19.3;0.0;17.1;63.0;92.8
1905;26.2;18.7;12.3;8.2;1.0;0.0;0.0;0.0;0.0;8.9;9.3;17.8;21.6;0.0;18.2;58.8;102.5
1906;22.0;19.0;15.4;5.5;0.7;0.1;0.0;0.0;0.7;3.7;6.4;22.8;21.5;0.1;10.8;68.2;96.2
1907;23.8;21.6;20.1;10.5;0.3;0.0;0.0;0.0;0.3;0.2;12.5;17.0;30.8;0.0;13.0;59.4;106.2
1908;24.6;17.8;17.4;8.2;0.1;0.0;0.0;0.0;0.8;5.0;18.4;21.3;25.7;0.0;24.1;70.1;113.6
1909;25.5;23.2;17.3;4.6;1.6;0.1;0.0;0.0;0.1;1.2;12.9;14.7;23.4;0.1;14.2;48.2;101.2
1910;19.3;14.2;12.7;6.4;1.0;0.0;0.0;0.0;0.5;2.8;12.6;12.5;20.1;0.0;15.8;55.5;82.0
1911;23.2;19.8;13.6;6.7;0.7;0.1;0.0;0.0;0.1;3.3;6.4;14.6;21.0;0.1;9.9;51.5;88.5
1912;22.8;14.1;8.0;8.9;0.8;0.0;0.0;0.0;1.7;6.1;16.1;16.8;17.7;0.0;24.0;59.2;95.5
1913;22.2;20.1;9.4;5.2;1.2;0.0;0.1;0.0;0.2;2.6;6.1;17.3;15.7;0.1;9.0;63.9;84.5
1914;26.7;19.9;11.2;3.8;1.0;0.1;0.0;0.0;0.6;3.7;11.8;15.6;15.9;0.1;16.1;52.3;94.3
1915;19.2;17.5;16.3;5.8;0.4;0.0;0.0;0.0;1.1;5.3;15.4;11.4;22.4;0.0;21.8;44.2;92.5
1916;14.8;18.0;7.7;5.8;0.7;0.1;0.0;0.0;0.7;3.6;7.0;12.9;14.2;0.1;11.3;58.4;71.2
1917;21.7;23.8;18.7;9.5;0.5;0.0;0.0;0.0;0.0;3.0;9.8;22.7;28.7;0.0;12.7;62.3;109.7
1918;20.3;19.2;14.0;2.7;0.5;0.2;0.0;0.0;0.1;2.8;12.2;15.6;17.2;0.2;15.0;50.7;87.5
1919;15.8;19.4;12.0;7.9;3.5;0.0;0.0;0.0;0.1;5.1;14.1;17.9;23.4;0.1;19.3;48.7;95.8
1920;15.4;15.4;9.1;1.7;0.1;0.1;0.0;0.0;0.1;6.8;18.0;17.1;11.0;0.1;24.8;47.2;83.7
1921;12.7;17.4;11.8;7.0;0.3;0.1;0.0;0.0;0.3;2.4;16.4;20.6;19.1;0.1;19.1;66.0;89.1
1922;23.8;21.6;10.1;7.2;0.6;0.0;0.0;0.0;0.5;5.2;15.2;18.1;17.9;0.0;20.9;53.8;102.3
1923;18.8;16.8;11.9;7.2;0.4;0.4;0.0;0.0;0.2;0.8;7.2;19.8;19.4;0.4;8.2;66.8;83.5
1924;24.9;22.1;17.1;6.0;0.2;0.0;0.0;0.1;0.1;3.1;13.0;19.4;23.3;0.1;16.2;50.4;106.0
1925;19.3;11.8;16.9;4.5;0.4;0.1;0.0;0.0;0.7;3.2;9.9;22.6;21.7;0.1;13.8;54.5;89.3
1926;21.7;10.2;13.4;3.7;1.1;0.1;0.0;0.0;0.0;2.2;2.6;18.2;18.1;0.2;4.8;55.5;73.2
1927;17.6;19.7;9.4;4.7;1.1;0.0;0.0;0.0;0.1;3.5;8.7;22.6;15.2;0.0;12.2;59.9;87.3
1928;19.9;17.5;17.2;4.3;3.0;0.1;0.0;0.0;0.1;3.0;5.4;20.6;24.5;0.1;8.6;73.7;91.1
1929;27.1;25.9;19.1;11.3;0.3;0.0;0.0;0.0;0.1;1.8;7.0;15.5;30.7;0.0;8.9;54.0;108.1
1930;18.9;19.7;10.2;3.5;1.0;0.0;0.0;0.0;0.0;3.1;6.3;18.4;14.7;0.0;9.4;57.8;81.0
1931;20.3;19.2;20.8;9.1;0.1;0.0;0.0;0.0;1.7;5.4;10.1;21.7;30.1;0.0;17.3;66.8;108.5
1932;20.2;24.9;21.5;6.2;0.6;0.1;0.0;0.0;0.0;2.3;9.0;17.5;28.2;0.1;11.3;60.5;102.2
1933;24.4;18.6;13.9;7.0;1.2;0.3;0.0;0.0;0.3;3.1;10.2;25.2;22.2;0.3;13.6;64.9;104.2
1934;21.2;18.5;9.2;2.2;0.3;0.0;0.0;0.0;0.0;3.1;8.4;9.2;11.6;0.0;11.5;51.6;72.1
1935;24.4;18.0;17.8;5.5;2.2;0.0;0.0;0.0;0.2;0.9;8.7;19.2;25.5;0.0;9.9;51.4;97.0
1936;14.5;17.7;9.2;4.6;0.3;0.0;0.0;0.0;0.2;7.7;10.7;18.5;14.0;0.0;18.6;56.9;83.3
1937;23.0;15.3;11.2;5.4;0.1;0.0;0.0;0.0;0.1;2.2;10.3;20.0;16.7;0.0;12.6;59.9;87.7
1938;21.4;18.5;8.5;11.1;1.8;0.0;0.0;0.0;0.4;1.8;7.0;21.7;21.4;0.0;9.2;55.4;92.2
