Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Czech_Republic       : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.8;26.8;23.1;11.6;2.4;0.0;0.0;0.0;1.5;5.9;21.7;23.3;37.1;0.0;29.1;69.3;146.1
1902;21.8;24.2;22.5;13.2;8.7;0.3;0.1;0.0;2.3;10.5;24.4;28.3;44.4;0.4;37.2;76.3;156.3
1903;27.7;20.4;18.5;17.9;2.4;0.2;0.0;0.0;1.5;6.8;14.8;25.5;38.8;0.3;23.0;75.0;135.6
1904;27.2;22.3;22.0;10.0;3.3;0.1;0.0;0.0;2.6;7.9;19.9;23.6;35.4;0.1;30.3;74.7;138.9
1905;28.8;22.3;19.3;15.5;2.9;0.0;0.0;0.0;0.4;16.1;18.0;24.0;37.6;0.0;34.5;72.9;147.2
1906;26.0;22.9;23.3;11.4;1.3;0.1;0.0;0.0;1.9;8.3;12.3;27.5;36.0;0.1;22.6;79.2;135.2
1907;27.0;24.7;24.3;16.9;1.2;0.1;0.0;0.0;1.8;2.1;21.5;24.2;42.4;0.1;25.4;75.2;143.8
1908;28.3;22.7;23.6;14.7;0.4;0.0;0.0;0.1;3.3;13.0;24.8;26.7;38.7;0.1;41.0;81.0;157.6
1909;28.3;26.0;24.6;12.4;5.8;0.2;0.0;0.0;0.6;4.7;21.1;23.8;42.8;0.2;26.4;69.5;147.6
1910;24.8;20.9;22.2;13.2;2.4;0.0;0.0;0.0;2.2;8.7;20.4;20.9;37.8;0.0;31.3;71.5;135.7
1911;27.1;23.5;21.3;13.3;1.9;0.2;0.0;0.0;0.9;9.3;15.1;22.1;36.5;0.2;25.3;73.4;134.7
1912;28.6;22.7;15.6;15.4;2.8;0.0;0.0;0.1;5.0;14.2;22.1;22.6;33.8;0.1;41.3;73.6;149.1
1913;27.2;23.8;17.2;11.4;3.1;0.1;0.2;0.1;1.6;8.0;11.7;22.3;31.7;0.3;21.3;75.0;126.7
1914;29.3;23.5;18.4;9.1;2.9;0.1;0.0;0.0;2.4;8.0;19.0;22.3;30.3;0.1;29.5;70.2;135.0
1915;25.1;22.8;24.2;12.8;1.9;0.0;0.0;0.1;4.1;11.2;22.8;20.1;38.9;0.1;38.1;64.5;145.1
1916;20.7;23.7;16.3;11.8;2.0;0.7;0.0;0.0;2.8;9.1;15.0;20.7;30.1;0.7;26.9;75.4;122.9
1917;27.8;26.9;25.7;18.2;1.2;0.0;0.0;0.0;0.4;9.1;16.1;27.4;45.2;0.0;25.5;76.0;152.7
1918;25.9;22.7;22.1;6.0;1.6;1.2;0.0;0.0;0.6;7.9;20.3;20.7;29.6;1.2;28.8;68.5;128.9
1919;23.9;23.9;21.2;15.2;7.2;0.1;0.1;0.0;0.4;11.6;22.9;24.9;43.6;0.2;34.9;70.5;151.4
1920;23.2;22.3;17.1;4.8;0.5;0.3;0.0;0.0;0.5;16.3;24.7;24.5;22.4;0.3;41.5;66.5;134.2
1921;19.2;22.8;20.2;13.3;0.7;0.3;0.0;0.0;2.0;6.8;24.0;26.0;34.2;0.3;32.8;80.3;135.3
1922;28.7;25.7;19.9;14.5;1.8;0.0;0.0;0.0;2.6;14.4;21.7;23.4;36.2;0.0;38.7;70.6;152.7
1923;24.2;23.0;19.5;14.8;1.6;1.4;0.0;0.0;1.1;3.6;17.5;26.5;35.9;1.4;22.2;82.2;133.1
1924;29.0;26.7;24.6;13.8;0.6;0.1;0.0;0.1;0.4;8.2;21.4;25.4;39.0;0.1;30.1;68.7;150.4
1925;24.0;19.3;24.1;10.7;1.0;0.3;0.0;0.0;2.4;9.0;19.2;26.6;35.8;0.3;30.6;70.7;136.7
1926;26.6;17.4;21.3;9.0;2.8;0.2;0.0;0.0;0.4;8.0;8.8;24.4;33.1;0.2;17.2;71.7;119.0
1927;23.7;23.6;16.2;10.9;4.1;0.1;0.0;0.0;0.4;8.8;18.3;28.2;31.3;0.1;27.4;75.9;134.3
1928;24.8;22.9;24.7;10.7;6.0;0.5;0.0;0.0;1.8;8.0;10.4;25.9;41.3;0.5;20.1;83.8;135.5
1929;30.1;27.8;25.2;19.1;1.1;0.1;0.0;0.0;0.9;5.0;14.5;21.4;45.4;0.1;20.4;70.5;145.2
1930;24.7;24.4;19.6;8.1;2.8;0.0;0.0;0.0;0.4;7.8;12.8;24.9;30.4;0.0;21.1;74.7;125.4
1931;25.8;24.1;26.8;16.8;0.1;0.0;0.0;0.0;4.4;12.8;18.7;25.9;43.7;0.0;35.9;78.8;155.5
1932;25.4;27.5;26.8;12.1;1.3;0.4;0.0;0.0;0.0;6.4;17.3;24.9;40.2;0.4;23.8;77.5;142.1
1933;29.0;23.6;22.9;15.2;3.9;0.7;0.0;0.0;1.7;8.5;19.1;29.3;42.0;0.7;29.3;78.8;153.8
1934;26.4;23.2;17.3;8.1;1.2;0.2;0.0;0.0;0.4;6.7;15.5;17.6;26.6;0.2;22.6;67.9;116.5
1935;27.6;22.7;24.9;10.7;6.1;0.0;0.0;0.0;0.8;5.2;15.8;24.8;41.8;0.0;21.8;71.3;138.7
1936;22.6;23.9;18.1;11.6;1.0;0.0;0.0;0.0;1.3;14.0;18.4;24.4;30.7;0.0;33.6;74.4;135.3
1937;28.3;21.8;19.2;9.2;0.3;0.0;0.0;0.0;0.7;5.9;17.9;25.7;28.7;0.0;24.5;73.7;128.9
1938;25.2;22.8;14.5;17.4;5.0;0.0;0.0;0.0;1.9;5.3;11.7;27.3;36.9;0.0;18.9;73.2;131.1
1939;24.0;21.9;24.5;6.5;3.0;0.0;0.0;0.0;0.8;10.6;15.1;27.3;33.9;0.0;26.5;86.7;133.7
1940;31.0;28.5;24.8;11.8;3.2;0.0;0.0;0.1;1.2;9.6;14.2;28.9;39.7;0.1;25.0;82.1;153.2
1941;29.9;23.4;21.9;14.6;7.2;0.0;0.0;0.0;3.7;9.5;23.1;24.4;43.7;0.1;36.3;82.1;157.7
1942;31.0;26.7;25.8;14.1;2.4;0.3;0.0;0.0;0.0;4.1;18.9;23.5;42.4;0.3;23.1;72.8;146.9
1943;28.3;21.0;20.6;8.5;4.8;0.3;0.0;0.0;0.3;6.6;20.4;24.7;33.9;0.3;27.4;71.7;135.6
1944;22.0;25.0;24.8;10.5;4.2;0.2;0.0;0.0;1.5;6.3;17.4;26.4;39.5;0.2;25.2;76.1;138.3
1945;29.8;19.9;17.3;10.4;1.1;0.0;0.0;0.0;0.9;7.7;17.8;24.3;28.7;0.0;26.4;73.7;129.1
