Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Denmark              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;25.5;24.4;21.3;10.4;2.1;0.0;0.0;0.0;0.1;1.2;16.0;22.0;33.8;0.0;17.4;61.8;123.0
1902;16.2;23.6;19.9;14.7;7.3;0.2;0.0;0.1;1.5;6.4;16.7;24.6;42.0;0.3;24.6;62.5;131.3
1903;23.3;14.6;12.9;13.2;1.9;0.0;0.0;0.0;0.3;4.6;12.6;21.0;28.0;0.0;17.6;63.4;104.5
1904;20.4;22.0;21.3;9.8;4.3;0.2;0.0;0.0;0.5;4.0;12.1;17.6;35.5;0.2;16.6;59.3;112.4
1905;23.3;18.3;17.3;14.5;3.3;0.0;0.0;0.0;0.3;10.6;14.0;17.8;35.1;0.0;24.8;56.5;119.3
1906;20.4;18.4;20.2;11.4;1.6;0.0;0.0;0.0;0.2;2.8;5.8;24.2;33.2;0.0;8.7;69.3;104.9
1907;23.5;21.6;19.5;12.8;4.9;0.3;0.0;0.0;0.6;0.6;12.6;21.5;37.2;0.3;13.8;60.9;117.9
1908;22.3;17.1;21.6;13.2;3.4;0.0;0.0;0.0;0.3;3.9;17.4;20.3;38.2;0.0;21.6;66.2;119.6
1909;22.3;23.6;24.1;15.9;8.4;0.2;0.0;0.0;0.2;0.8;18.1;20.1;48.4;0.2;19.1;56.8;133.7
1910;20.6;16.1;16.6;9.6;1.5;0.0;0.0;0.0;0.1;3.2;15.8;16.4;27.8;0.0;19.1;54.7;100.0
1911;19.5;18.8;18.3;11.7;0.8;0.1;0.0;0.0;0.1;5.7;9.5;15.0;30.8;0.1;15.4;64.9;99.6
1912;26.5;23.4;14.7;12.4;4.1;0.0;0.0;0.0;1.7;6.4;13.4;12.2;31.2;0.0;21.5;52.2;114.8
1913;22.6;17.4;15.2;10.0;2.7;0.1;0.0;0.0;0.3;4.2;5.8;17.6;27.9;0.1;10.3;55.5;95.9
1914;24.0;13.9;17.3;7.8;3.6;0.0;0.0;0.0;0.2;3.3;12.5;13.9;28.7;0.0;15.9;57.4;96.4
1915;24.1;19.4;23.4;11.7;6.0;0.3;0.0;0.0;0.7;7.0;16.7;25.0;41.1;0.3;24.4;61.6;134.3
1916;16.0;20.6;21.6;10.4;3.0;0.6;0.0;0.0;1.0;5.3;7.8;18.0;34.9;0.6;14.1;68.1;104.2
1917;26.6;23.5;25.6;16.9;4.9;0.0;0.0;0.0;0.0;4.7;9.4;23.2;47.4;0.0;14.2;68.3;134.9
1918;25.3;19.8;21.0;9.0;2.2;0.6;0.0;0.0;0.5;1.9;10.8;17.4;32.1;0.6;13.1;60.0;108.4
1919;19.7;22.8;22.7;11.5;2.6;0.2;0.0;0.0;0.2;7.1;21.5;24.3;36.8;0.2;28.9;63.9;132.7
1920;23.0;16.7;13.6;6.8;1.8;0.1;0.0;0.0;0.2;10.0;12.5;19.6;22.1;0.1;22.7;55.2;104.1
1921;17.6;18.1;13.3;7.3;1.4;0.2;0.0;0.0;0.8;3.3;19.5;18.3;22.1;0.2;23.6;67.6;99.8
1922;25.7;23.6;20.4;15.0;3.7;0.3;0.0;0.0;0.7;11.2;14.6;15.6;39.0;0.3;26.5;54.2;130.8
1923;16.4;22.2;18.6;15.2;5.2;1.3;0.0;0.0;0.3;1.8;15.5;25.0;39.0;1.3;17.6;75.8;121.5
1924;26.1;24.7;24.9;15.6;3.7;0.1;0.0;0.0;0.0;2.3;10.1;12.7;44.3;0.1;12.4;40.5;120.3
1925;14.2;13.7;21.9;10.0;1.5;0.0;0.0;0.0;0.4;6.1;18.7;25.2;33.4;0.0;25.2;66.7;111.6
1926;22.2;19.2;17.8;9.3;3.0;0.0;0.0;0.0;0.2;8.7;8.6;21.0;30.1;0.0;17.5;56.7;110.0
1927;16.8;18.8;13.1;11.7;7.5;0.9;0.0;0.0;0.1;3.7;16.9;27.2;32.3;0.9;20.7;67.2;116.8
1928;21.3;18.7;23.2;12.2;4.6;1.2;0.0;0.0;0.9;3.9;7.9;20.4;40.0;1.2;12.7;74.0;114.2
1929;26.7;26.9;21.5;19.0;3.6;0.8;0.0;0.0;0.3;2.1;8.9;12.6;44.1;0.8;11.3;48.3;122.4
1930;14.4;21.4;19.0;7.9;2.6;0.0;0.0;0.0;0.2;2.7;9.7;16.1;29.4;0.0;12.6;60.1;93.8
1931;22.9;21.2;26.3;14.8;1.3;0.6;0.0;0.0;1.6;5.8;8.7;20.1;42.4;0.6;16.2;56.8;123.3
1932;15.6;21.0;24.2;11.7;2.0;0.3;0.0;0.0;0.1;5.6;11.0;15.0;37.9;0.3;16.7;59.2;106.5
1933;23.2;21.0;19.0;12.2;2.5;0.0;0.0;0.0;0.1;2.2;13.3;23.9;33.8;0.0;15.7;55.5;117.5
1934;17.6;14.0;14.2;9.5;2.3;0.1;0.0;0.0;0.0;1.4;8.9;9.4;26.0;0.1;10.3;49.7;77.4
1935;23.0;17.3;20.8;9.5;5.7;0.0;0.0;0.0;0.1;3.1;7.5;18.4;36.0;0.0;10.8;58.9;105.5
