Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Estonia              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;27.5;27.7;28.8;17.4;6.1;0.0;0.0;0.0;0.9;5.1;24.7;29.4;52.2;0.0;30.7;85.2;167.5
1902;28.5;27.3;28.4;23.8;10.0;1.5;0.1;0.1;2.8;15.6;24.1;29.8;62.2;1.6;42.4;81.2;191.8
1903;27.9;23.6;22.4;15.6;4.2;0.1;0.0;0.0;0.9;14.3;19.0;25.4;42.1;0.1;34.2;78.7;153.3
1904;25.7;27.6;29.1;18.8;9.7;1.4;0.0;0.0;2.1;8.0;23.3;27.7;57.6;1.4;33.3;82.6;173.2
1905;29.9;25.0;25.2;20.9;4.0;0.0;0.0;0.0;1.6;12.6;18.8;25.1;50.1;0.0;33.0;76.0;163.2
1906;26.6;24.3;28.0;15.4;1.6;0.0;0.0;0.0;2.9;10.1;16.0;27.3;45.0;0.0;29.1;83.6;152.3
1907;30.2;26.0;26.9;18.9;8.6;0.3;0.0;0.1;3.0;3.1;20.3;30.4;54.4;0.4;26.4;84.8;167.8
1908;28.6;25.8;28.6;18.1;7.2;0.5;0.0;0.0;1.2;9.0;24.8;26.2;53.9;0.5;35.0;80.5;170.1
1909;26.7;27.6;27.3;22.1;13.2;0.4;0.0;0.0;0.5;2.8;24.5;25.1;62.6;0.4;27.8;74.3;170.1
1910;27.3;21.9;23.0;14.3;3.2;0.1;0.0;0.0;1.2;12.5;22.1;23.2;40.5;0.1;35.9;77.9;148.9
1911;27.4;27.3;26.8;18.7;3.4;0.6;0.0;0.0;0.5;11.8;15.3;24.0;48.9;0.6;27.5;83.2;155.6
1912;30.7;28.6;22.4;20.5;9.2;0.0;0.0;0.0;3.1;16.8;20.6;21.7;52.1;0.0;40.5;75.3;173.6
1913;28.5;25.1;24.3;13.8;6.6;0.4;0.0;0.0;1.2;11.3;14.2;27.2;44.6;0.4;26.8;78.7;152.6
1914;29.6;21.9;25.6;14.6;5.8;0.0;0.0;0.0;1.8;14.0;21.8;20.5;46.0;0.0;37.5;75.1;155.6
1915;29.1;25.5;30.1;17.2;9.4;1.6;0.0;0.0;1.8;15.7;23.4;30.3;56.7;1.6;40.9;82.9;184.1
1916;27.0;25.6;27.9;14.7;8.9;1.1;0.0;0.0;3.3;14.3;14.0;25.6;51.6;1.1;31.6;84.0;162.5
1917;30.5;27.9;30.7;21.4;9.9;0.0;0.0;0.0;0.6;5.8;15.9;27.0;62.1;0.0;22.3;83.4;169.7
1918;30.2;26.2;27.7;13.5;8.7;1.4;0.0;0.0;1.6;5.1;15.5;26.4;49.8;1.4;22.2;80.7;156.1
1919;27.1;27.2;29.0;19.8;5.2;0.2;0.0;0.0;0.6;12.4;26.3;28.9;54.1;0.2;39.4;82.7;176.9
1920;29.4;24.4;22.8;11.2;3.1;0.3;0.0;0.0;0.5;14.3;16.3;25.8;37.1;0.3;31.1;80.7;148.0
1921;28.1;26.8;22.6;10.1;1.8;0.1;0.0;0.0;2.1;11.3;25.9;26.9;34.5;0.1;39.3;83.7;155.7
1922;30.1;26.7;27.6;19.8;5.7;0.2;0.0;0.0;1.3;14.9;22.3;26.6;53.1;0.2;38.6;79.4;175.3
1923;25.0;27.8;26.8;22.4;9.0;2.6;0.0;0.0;0.9;6.1;18.3;27.3;58.2;2.6;25.3;85.5;166.2
1924;29.9;28.4;28.6;22.1;5.8;0.4;0.0;0.0;0.1;4.6;15.7;21.5;56.5;0.4;20.4;63.1;157.1
1925;20.9;20.7;27.6;13.2;3.5;0.2;0.0;0.0;1.1;13.7;25.1;28.8;44.2;0.2;40.0;85.3;154.8
1926;30.1;26.4;26.8;17.8;5.5;0.0;0.0;0.0;1.2;15.2;14.2;28.3;50.0;0.0;30.6;82.7;165.5
1927;29.0;25.4;23.0;17.3;10.2;0.5;0.0;0.0;1.1;11.1;24.0;29.7;50.5;0.5;36.2;84.5;171.3
1928;27.8;27.0;28.0;17.3;6.8;2.5;0.0;0.0;1.5;8.7;13.4;25.7;52.2;2.5;23.6;84.0;158.8
1929;30.3;28.0;27.7;24.3;5.1;1.0;0.0;0.0;1.4;5.7;12.5;17.8;57.0;1.0;19.6;64.8;153.6
1930;21.5;25.5;24.8;14.1;2.7;0.0;0.0;0.0;2.9;6.9;17.6;26.2;41.7;0.0;27.4;82.4;142.4
1931;29.2;26.9;29.8;20.1;2.8;1.2;0.0;0.0;4.3;11.1;17.3;26.5;52.7;1.2;32.7;78.4;169.3
1932;23.5;28.4;29.6;17.4;3.9;0.8;0.0;0.0;0.6;10.1;17.5;18.2;50.9;0.8;28.2;73.5;150.0
1933;28.6;26.6;26.4;18.6;7.2;0.0;0.0;0.0;0.8;7.7;23.0;29.1;52.2;0.0;31.5;78.3;168.1
1934;25.0;24.1;24.7;15.7;2.1;0.2;0.0;0.0;0.0;4.1;13.7;24.0;42.5;0.2;17.8;78.3;133.7
1935;29.2;25.0;26.9;16.6;11.1;0.0;0.0;0.0;0.9;4.8;15.8;22.6;54.6;0.0;21.5;76.8;152.9
1936;25.7;28.6;24.0;16.6;3.6;0.0;0.0;0.0;1.9;13.9;14.2;17.9;44.2;0.0;30.0;72.8;146.3
1937;28.8;26.0;25.8;13.1;2.0;0.0;0.0;0.0;0.2;6.2;14.9;29.0;40.9;0.0;21.3;78.4;146.0
1938;26.7;22.6;21.4;17.8;6.8;0.1;0.0;0.0;0.1;4.5;9.6;26.8;46.1;0.1;14.2;75.0;136.6
1939;27.9;20.3;25.9;17.7;7.4;0.0;0.0;0.0;2.9;16.4;15.1;27.6;51.0;0.0;34.3;87.5;161.1
1940;31.0;29.0;30.3;21.8;4.5;0.0;0.0;0.0;1.0;9.3;16.1;27.6;56.6;0.0;26.4;86.0;170.6
1941;31.0;27.3;28.5;23.5;11.0;1.1;0.0;0.0;2.6;16.9;24.9;29.9;62.9;1.1;44.4;88.9;196.6
1942;31.0;28.0;31.0;21.6;8.9;0.9;0.0;0.0;0.8;5.0;21.8;25.0;61.5;0.9;27.6;75.9;173.9
1943;30.0;20.9;24.1;12.8;5.1;0.0;0.0;0.0;0.7;4.0;16.7;20.9;42.0;0.0;21.4;71.5;135.1
1944;25.1;25.5;26.3;22.1;7.3;0.9;0.0;0.0;1.1;5.9;17.5;22.8;55.7;0.9;24.5;75.4;154.4
