Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Finland              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.8;28.0;30.6;23.9;15.3;0.7;0.0;0.6;4.6;10.9;28.5;30.8;69.8;1.2;44.0;89.5;203.7
1902;30.7;27.9;30.7;27.5;19.4;7.5;2.3;2.4;10.7;24.7;27.8;30.8;77.6;12.2;63.2;88.2;242.3
1903;30.6;26.8;27.5;23.3;13.5;2.7;1.4;1.4;6.8;24.8;25.6;29.2;64.3;5.5;57.2;87.2;213.6
1904;29.1;28.9;30.5;24.1;18.1;4.5;1.6;2.0;6.9;16.3;28.2;30.5;72.6;8.1;51.3;88.8;220.6
1905;30.8;27.4;29.1;25.8;12.3;1.1;0.3;1.8;8.2;22.7;25.9;29.4;67.2;3.2;56.8;86.5;214.9
1906;29.9;27.2;30.6;22.8;9.9;1.8;0.1;3.1;10.2;19.8;25.6;30.0;63.2;5.0;55.6;88.5;211.0
1907;30.9;27.6;29.1;24.3;19.7;1.7;0.5;3.1;9.8;13.1;25.2;30.9;73.2;5.4;48.1;90.2;216.1
1908;30.7;28.6;30.5;24.0;18.3;4.6;0.9;0.8;8.9;17.6;28.3;29.3;72.8;6.3;54.8;86.7;222.4
1909;29.5;28.0;30.2;27.5;22.5;4.8;0.6;1.3;6.5;11.6;28.5;29.9;80.2;6.6;46.6;85.9;220.7
1910;30.4;25.7;27.9;22.4;12.1;3.1;0.9;3.3;7.4;22.0;27.0;29.3;62.5;7.3;56.4;87.5;211.5
1911;30.4;27.9;29.6;25.4;12.8;4.3;0.7;0.7;5.8;23.0;24.4;28.6;67.9;5.7;53.2;88.5;213.6
1912;31.0;29.0;28.4;26.6;17.8;2.0;0.7;1.0;9.6;24.5;26.5;28.9;72.8;3.7;60.6;87.0;225.9
1913;30.6;27.5;29.2;22.1;15.1;3.7;0.1;1.0;6.7;21.9;23.9;30.4;66.3;4.8;52.4;88.1;212.2
1914;30.8;26.9;29.9;23.0;14.7;1.5;0.0;2.1;7.0;21.6;26.4;27.9;67.5;3.7;55.0;86.4;211.8
1915;30.8;27.7;30.9;24.9;17.5;6.2;0.0;1.5;9.5;22.5;28.3;31.0;73.3;7.7;60.3;89.3;230.7
1916;30.2;28.1;30.5;24.0;18.8;3.6;0.0;2.3;11.0;24.2;22.7;29.6;73.3;5.9;58.0;88.6;225.2
1917;31.0;28.0;31.0;26.0;19.1;0.8;0.7;0.1;6.3;13.4;25.2;30.0;76.1;1.6;44.9;88.6;211.4
