Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Germany              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;27.4;25.2;19.8;8.3;2.0;0.0;0.0;0.0;0.2;3.6;17.2;20.9;30.2;0.0;21.1;60.5;124.9
1902;16.8;22.7;17.9;9.3;6.9;0.1;0.0;0.0;0.9;7.2;19.8;25.7;34.0;0.1;27.9;64.6;127.4
1903;23.5;15.4;13.9;14.2;1.6;0.1;0.0;0.0;0.4;3.3;11.6;23.3;29.8;0.1;15.3;66.9;107.4
1904;24.3;19.3;18.6;6.6;2.0;0.0;0.0;0.0;1.1;5.1;14.4;18.4;27.3;0.0;20.7;62.6;110.0
1905;25.8;18.5;14.7;12.0;2.5;0.0;0.0;0.0;0.1;11.5;15.3;20.5;29.2;0.0;26.9;61.7;120.8
1906;21.7;19.5;20.1;9.9;0.9;0.1;0.0;0.0;0.8;3.7;8.2;25.6;30.9;0.1;12.7;72.1;110.6
1907;23.9;22.5;20.0;12.5;1.5;0.0;0.0;0.0;0.7;1.5;15.3;20.3;33.9;0.1;17.5;65.2;118.2
1908;26.2;18.7;20.3;12.8;0.6;0.0;0.0;0.0;1.2;8.5;20.7;23.5;33.7;0.0;30.4;73.2;132.5
1909;25.6;24.0;22.2;10.2;5.4;0.2;0.0;0.0;0.4;2.7;17.8;20.4;37.9;0.2;20.9;57.9;129.0
1910;20.7;16.7;18.8;10.3;1.9;0.0;0.0;0.0;0.9;4.9;17.2;16.8;31.1;0.0;23.0;60.2;108.4
1911;23.9;19.5;17.2;10.9;1.1;0.1;0.0;0.0;0.3;5.7;11.4;16.5;29.2;0.1;17.4;61.1;106.6
1912;25.5;19.1;11.4;11.5;2.5;0.0;0.0;0.0;2.8;9.8;16.0;16.2;25.4;0.0;28.6;59.6;114.9
1913;23.3;20.1;12.9;8.8;2.0;0.1;0.1;0.0;0.6;4.3;7.0;18.0;23.6;0.2;12.0;61.6;97.1
1914;26.7;17.0;14.2;6.5;2.5;0.1;0.0;0.0;0.8;4.5;13.9;16.0;23.2;0.1;19.2;58.2;102.2
1915;22.4;19.8;20.9;11.1;1.9;0.0;0.0;0.0;1.6;8.2;19.3;16.8;33.8;0.0;29.1;52.6;121.9
1916;15.2;20.6;16.1;8.7;1.3;0.5;0.0;0.0;1.2;5.0;11.8;18.7;26.0;0.6;18.0;69.7;99.1
1917;26.1;24.9;23.9;16.0;0.8;0.0;0.0;0.0;0.1;7.4;11.0;25.6;40.7;0.0;18.5;67.3;135.8
1918;23.0;18.7;18.9;5.8;0.9;0.7;0.0;0.0;0.2;5.4;15.4;14.6;25.6;0.7;21.0;58.2;103.6
1919;21.5;22.0;18.4;12.7;3.9;0.1;0.1;0.0;0.1;9.6;21.2;22.1;35.1;0.2;30.9;59.2;131.9
1920;19.2;17.8;12.8;4.3;0.5;0.1;0.0;0.0;0.2;10.6;20.3;21.7;17.6;0.1;31.1;55.3;107.5
1921;14.4;19.2;15.6;9.9;0.7;0.1;0.0;0.0;0.7;3.3;22.1;22.1;26.2;0.1;26.1;72.0;108.2
