Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Greece               : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;13.4;8.8;3.5;1.5;0.2;0.0;0.0;0.0;0.0;0.2;3.6;3.6;5.2;0.0;3.9;15.0;35.0
1902;6.8;4.6;5.8;2.0;0.6;0.0;0.0;0.0;0.0;0.3;5.4;10.9;8.4;0.0;5.6;26.7;36.4
1903;9.3;6.5;4.1;2.8;0.1;0.0;0.0;0.0;0.0;0.3;2.1;5.0;7.0;0.0;2.4;20.4;30.2
1904;10.9;4.5;6.3;1.8;0.1;0.0;0.0;0.0;0.0;0.3;4.8;7.4;8.2;0.0;5.1;31.9;36.2
1905;14.0;10.4;6.1;2.3;0.1;0.0;0.0;0.0;0.0;0.9;1.1;6.6;8.5;0.0;2.0;23.6;41.6
1906;9.5;7.5;4.0;1.5;0.2;0.0;0.0;0.0;0.0;0.6;1.5;7.7;5.7;0.0;2.1;31.6;32.4
1907;12.5;11.4;10.9;3.4;0.0;0.0;0.0;0.0;0.0;0.0;3.3;5.1;14.4;0.0;3.3;22.9;46.6
1908;10.2;7.6;5.8;2.5;0.0;0.0;0.0;0.0;0.0;0.8;6.0;8.6;8.3;0.0;6.8;34.1;41.5
1909;12.8;12.7;5.0;1.7;0.1;0.0;0.0;0.0;0.0;0.2;3.1;3.7;6.9;0.0;3.3;16.3;39.4
1910;7.9;4.6;6.2;1.8;0.2;0.0;0.0;0.0;0.0;0.4;2.5;4.2;8.2;0.0;3.0;26.0;27.9
1911;9.9;12.0;6.1;2.3;0.2;0.0;0.0;0.0;0.0;0.2;1.2;5.2;8.6;0.0;1.4;22.1;37.1
1912;11.8;5.0;2.8;3.1;0.2;0.0;0.0;0.0;0.1;0.9;3.6;5.6;6.2;0.0;4.6;24.3;33.2
1913;9.2;9.5;3.4;1.5;0.2;0.0;0.0;0.0;0.0;0.3;1.8;6.2;5.1;0.0;2.1;27.8;32.1
1914;12.9;8.6;3.8;1.3;0.2;0.0;0.0;0.0;0.0;0.7;3.8;5.2;5.3;0.0;4.6;17.4;36.6
1915;5.8;6.4;5.6;1.9;0.1;0.0;0.0;0.0;0.1;0.4;3.0;3.1;7.7;0.0;3.5;17.9;26.5
1916;7.6;7.2;2.5;1.6;0.1;0.0;0.0;0.0;0.0;0.3;1.5;3.2;4.2;0.0;1.8;21.7;24.0
1917;7.3;11.3;5.8;2.0;0.2;0.0;0.0;0.0;0.0;0.2;2.1;9.3;8.0;0.0;2.3;27.8;38.1
1918;8.4;10.0;6.6;1.8;0.1;0.0;0.0;0.0;0.0;0.2;2.8;6.5;8.5;0.0;3.0;19.8;36.4
1919;6.4;6.9;4.0;1.3;0.6;0.0;0.0;0.0;0.0;0.4;2.5;6.8;6.0;0.0;2.9;24.0;28.9
1920;7.1;10.1;4.2;0.6;0.0;0.0;0.0;0.0;0.0;1.3;6.3;6.4;4.9;0.0;7.6;21.5;36.1
1921;5.9;9.2;5.0;2.2;0.1;0.0;0.0;0.0;0.0;0.5;4.1;8.0;7.2;0.0;4.6;28.2;34.9
1922;10.7;9.4;2.7;1.5;0.1;0.0;0.0;0.0;0.0;0.5;4.6;8.4;4.3;0.0;5.1;24.6;38.0
1923;8.8;7.4;4.6;1.9;0.0;0.0;0.0;0.0;0.0;0.1;0.5;5.5;6.6;0.0;0.5;28.0;28.9
1924;13.7;8.8;6.2;1.4;0.0;0.0;0.0;0.0;0.0;0.3;4.0;7.5;7.6;0.0;4.3;20.1;42.0
