Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Hungary              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.8;25.6;16.8;5.7;0.1;0.0;0.0;0.0;0.1;2.9;18.6;18.3;22.7;0.0;21.6;60.4;117.9
1902;21.4;20.7;18.6;7.4;3.3;0.0;0.0;0.0;0.2;5.3;22.7;28.0;29.3;0.0;28.2;73.6;127.6
1903;27.3;18.3;12.2;10.7;0.3;0.0;0.0;0.0;0.1;4.1;11.1;22.7;23.2;0.0;15.3;68.6;106.8
1904;27.1;18.9;17.1;5.0;0.4;0.0;0.0;0.0;0.3;4.0;18.3;22.9;22.5;0.0;22.7;74.0;113.9
1905;29.2;22.0;14.9;8.8;0.2;0.0;0.0;0.0;0.0;12.2;11.3;22.6;23.9;0.0;23.5;70.4;121.2
1906;26.1;21.7;17.3;4.6;0.0;0.0;0.0;0.0;0.3;5.4;8.2;26.0;22.0;0.0;13.9;77.8;109.7
1907;27.4;24.3;23.0;10.5;0.0;0.0;0.0;0.0;0.1;0.2;17.1;21.5;33.5;0.0;17.4;70.6;124.1
1908;27.8;21.2;19.2;7.5;0.0;0.0;0.0;0.0;0.5;7.4;23.6;25.7;26.8;0.0;31.4;79.2;132.9
1909;28.2;25.4;18.7;4.9;0.6;0.0;0.0;0.0;0.0;1.5;16.5;18.6;24.2;0.0;18.0;58.4;114.4
1910;23.9;15.9;15.2;5.8;0.1;0.0;0.0;0.0;0.2;4.7;15.2;16.6;21.2;0.0;20.0;66.0;97.6
1911;26.1;23.4;15.6;6.2;0.1;0.0;0.0;0.0;0.0;4.4;8.5;19.1;21.9;0.0;12.9;65.7;103.3
1912;28.2;18.4;9.4;9.6;0.3;0.0;0.0;0.0;1.8;9.3;19.1;20.9;19.2;0.0;30.2;70.6;116.9
1913;26.9;22.9;10.7;4.8;0.4;0.0;0.0;0.0;0.0;4.0;9.0;21.0;15.8;0.0;13.0;73.7;99.6
1914;29.4;23.4;13.0;3.3;0.2;0.0;0.0;0.0;0.3;5.7;16.7;19.1;16.5;0.0;22.7;62.9;111.0
1915;23.3;20.5;20.3;5.7;0.0;0.0;0.0;0.0;0.9;6.6;19.4;15.0;26.1;0.0;26.9;57.4;111.7
1916;20.4;22.0;8.9;5.3;0.1;0.0;0.0;0.0;0.3;5.1;9.4;16.3;14.3;0.0;14.8;68.6;87.9
1917;26.1;26.2;22.1;9.1;0.1;0.0;0.0;0.0;0.0;3.4;11.3;25.9;31.2;0.0;14.7;72.9;124.1
1918;24.6;22.4;16.6;1.6;0.1;0.0;0.0;0.0;0.0;3.2;16.1;20.9;18.2;0.0;19.3;65.2;105.4
1919;22.3;22.1;14.2;6.9;3.0;0.0;0.0;0.0;0.0;6.7;17.9;22.9;24.1;0.0;24.6;65.2;115.9
1920;21.7;20.5;11.3;0.6;0.0;0.0;0.0;0.0;0.0;11.6;23.2;22.3;12.0;0.0;34.8;61.4;111.4
1921;17.5;21.5;13.0;5.9;0.0;0.0;0.0;0.0;0.1;4.0;21.0;24.9;18.9;0.0;25.1;77.5;108.0
1922;27.8;24.7;12.1;6.7;0.1;0.0;0.0;0.0;0.3;8.1;19.5;22.8;18.9;0.0;27.9;67.9;122.2
1923;23.8;21.2;13.7;7.2;0.0;0.0;0.0;0.0;0.0;0.8;8.6;23.9;20.9;0.0;9.3;77.5;99.2
1924;28.8;24.9;20.4;6.4;0.0;0.0;0.0;0.0;0.0;4.3;18.2;24.5;26.8;0.0;22.5;62.2;127.4
1925;24.3;13.4;18.5;4.0;0.0;0.0;0.0;0.0;0.2;4.6;12.1;25.9;22.5;0.0;16.9;65.4;103.0
1926;25.6;13.9;16.8;2.7;0.2;0.0;0.0;0.0;0.0;3.0;2.6;22.9;19.8;0.0;5.6;68.6;87.7
1927;23.0;22.8;9.5;4.3;0.3;0.0;0.0;0.0;0.0;4.7;11.8;27.4;14.2;0.0;16.4;74.5;103.8
1928;25.2;22.0;21.4;3.8;1.6;0.0;0.0;0.0;0.0;4.2;6.9;24.6;26.7;0.0;11.0;81.4;109.6
1929;29.5;27.3;23.5;12.4;0.0;0.0;0.0;0.0;0.0;1.8;8.7;19.5;35.9;0.0;10.5;66.5;122.8
1930;24.5;22.5;11.6;2.7;0.2;0.0;0.0;0.0;0.0;3.7;7.8;23.3;14.5;0.0;11.4;70.1;96.2
1931;24.8;22.1;24.0;9.3;0.0;0.0;0.0;0.0;1.3;7.2;14.7;25.1;33.4;0.0;23.3;77.9;128.7
1932;25.8;27.0;25.1;5.5;0.0;0.0;0.0;0.0;0.0;2.3;13.4;23.2;30.6;0.0;15.8;73.1;122.3
1933;28.4;21.5;16.5;9.0;0.5;0.0;0.0;0.0;0.1;4.1;13.6;28.5;26.0;0.0;17.9;76.4;122.3
1934;26.1;21.8;9.3;1.1;0.0;0.0;0.0;0.0;0.0;3.5;9.4;13.7;10.4;0.0;12.8;63.0;84.9
1935;27.7;21.6;20.1;4.9;1.0;0.0;0.0;0.0;0.0;1.0;13.0;22.4;26.0;0.0;14.0;62.1;111.6
1936;18.8;20.9;9.0;3.8;0.0;0.0;0.0;0.0;0.0;9.6;13.3;22.9;12.8;0.0;23.0;70.3;98.4
1937;27.6;19.7;10.5;3.5;0.0;0.0;0.0;0.0;0.0;2.8;12.5;23.0;14.0;0.0;15.2;68.0;99.6
1938;24.8;20.2;8.3;9.0;0.6;0.0;0.0;0.0;0.1;2.2;8.5;25.4;17.9;0.0;10.7;66.9;99.0
1939;23.0;18.6;21.2;1.2;0.2;0.0;0.0;0.0;0.1;5.7;11.1;25.7;22.5;0.0;16.9;84.1;106.6
1940;30.8;27.7;22.3;5.1;0.6;0.0;0.0;0.0;0.0;4.7;8.5;28.1;28.0;0.0;13.3;76.9;127.8
1941;28.4;20.5;14.6;5.8;1.5;0.0;0.0;0.0;0.9;6.4;21.1;23.6;21.8;0.0;28.3;79.8;122.6
1942;30.9;25.3;23.1;7.5;0.1;0.0;0.0;0.0;0.0;2.0;15.3;20.9;30.6;0.0;17.3;67.4;125.1
1943;28.7;17.7;14.9;3.0;0.8;0.0;0.0;0.0;0.0;2.0;14.5;22.4;18.7;0.0;16.5;68.1;104.1
1944;22.1;23.6;22.0;4.3;0.6;0.0;0.0;0.0;0.1;2.1;13.0;24.3;26.9;0.0;15.2;71.1;112.0
1945;28.8;18.0;12.5;3.6;0.0;0.0;0.0;0.0;0.0;4.7;14.4;22.4;16.1;0.0;19.1;69.4;104.4
