Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Iceland              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;25.9;24.1;26.6;25.1;14.9;7.9;3.6;6.2;7.0;22.1;24.2;28.4;66.6;17.8;53.3;84.1;216.1
1902;29.7;26.0;28.7;24.6;21.3;10.8;7.0;7.7;10.2;17.3;22.1;25.8;74.6;25.6;49.6;79.1;231.3
1903;27.9;25.4;28.1;25.6;19.2;9.1;5.7;10.4;10.6;22.0;25.8;26.0;72.8;25.3;58.3;79.7;235.8
1904;27.5;26.1;27.1;24.0;16.8;6.6;3.4;5.7;8.0;22.0;26.2;27.4;67.8;15.6;56.2;81.6;220.7
1905;28.3;26.0;24.7;24.7;16.7;6.2;4.8;6.5;11.7;22.1;24.6;25.9;66.1;17.5;58.3;78.3;222.1
1906;26.5;25.9;27.6;25.1;23.1;6.7;6.6;7.4;9.4;19.6;24.5;28.9;75.9;20.8;53.5;82.5;231.4
1907;27.2;26.5;28.2;23.1;19.4;12.9;6.6;10.2;14.9;22.4;25.1;24.6;70.8;29.7;62.4;78.1;241.1
1908;27.0;26.5;25.8;22.6;18.5;9.0;3.3;6.5;9.8;12.8;24.6;26.1;66.9;18.8;47.3;76.4;212.5
1909;27.7;22.6;27.9;20.6;18.2;6.1;5.0;6.1;9.8;23.3;24.5;29.4;66.7;17.1;57.6;83.6;221.1
1910;28.6;25.6;26.0;26.1;18.5;10.0;4.9;5.2;10.8;16.1;27.0;26.8;70.6;20.1;53.9;79.4;225.6
1911;27.1;25.6;26.1;24.2;15.1;8.7;5.2;5.9;13.4;18.7;24.5;25.3;65.4;19.8;56.6;78.0;219.8
1912;26.0;26.7;26.7;22.7;14.8;7.0;3.8;9.4;9.5;18.4;25.8;27.8;64.2;20.3;53.7;78.0;218.6
1913;26.4;23.8;28.3;21.7;16.1;9.0;3.4;5.4;10.0;20.3;25.1;27.5;66.0;17.8;55.3;78.8;216.9
1914;25.6;25.7;28.6;25.1;22.6;9.0;5.3;4.3;12.5;16.8;26.2;27.6;76.3;18.5;55.5;80.0;229.1
1915;26.8;25.6;28.6;23.5;18.6;8.7;7.4;5.6;11.4;11.8;22.9;28.1;70.6;21.7;46.0;79.8;219.0
1916;26.7;25.1;27.9;25.2;19.3;7.9;3.1;4.5;10.2;18.4;24.1;29.1;72.4;15.5;52.7;79.2;221.4
1917;26.6;23.5;26.2;26.9;18.4;10.3;2.6;4.9;14.0;25.9;26.5;29.4;71.5;17.7;66.5;84.6;235.1
