Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ireland              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;11.5;14.2;13.5;8.3;3.8;0.7;0.0;0.0;0.1;4.2;8.6;13.2;25.6;0.7;12.9;39.0;78.1
1902;10.8;15.0;8.1;8.7;5.6;0.5;0.1;0.1;0.4;2.4;5.5;8.9;22.4;0.7;8.4;27.3;66.1
1903;12.2;6.2;9.6;9.7;3.1;0.7;0.0;0.2;0.6;2.3;7.9;12.8;22.4;0.9;10.8;37.1;65.3
1904;11.4;12.9;13.2;6.2;3.6;0.5;0.0;0.0;0.7;3.1;8.4;9.9;23.0;0.5;12.3;29.0;70.0
1905;9.6;9.5;10.2;7.8;3.7;0.1;0.0;0.0;0.7;7.6;11.5;5.4;21.7;0.2;19.9;29.2;66.3
1906;9.3;14.5;11.7;11.3;3.9;0.3;0.1;0.0;0.5;2.8;5.6;12.7;26.9;0.3;8.9;38.2;72.6
1907;11.4;14.1;10.3;8.2;4.1;0.9;0.0;0.1;0.3;3.3;8.7;10.0;22.7;1.1;12.3;30.8;71.5
1908;13.4;7.5;13.5;10.9;1.5;0.6;0.0;0.0;0.4;0.5;5.2;9.3;25.9;0.6;6.1;30.3;62.7
1909;10.2;10.7;14.7;6.8;4.3;0.9;0.0;0.0;1.2;2.9;11.9;12.9;25.8;0.9;16.0;37.4;76.6
1910;13.5;11.0;10.0;9.2;3.1;0.1;0.0;0.0;0.6;1.6;14.0;7.0;22.3;0.2;16.2;29.0;70.1
1911;11.3;10.8;11.2;7.7;1.8;0.3;0.0;0.0;0.8;3.8;9.6;8.3;20.7;0.3;14.3;30.3;65.7
1912;11.7;10.3;7.7;6.6;2.3;0.3;0.0;0.7;1.5;6.1;7.2;8.0;16.6;1.1;14.8;29.6;62.4
1913;11.6;10.0;11.8;7.5;3.0;0.6;0.0;0.0;0.3;1.5;5.4;9.2;22.3;0.6;7.2;28.7;60.9
1914;11.2;8.3;11.3;5.8;3.4;0.4;0.0;0.0;0.6;2.1;8.1;13.0;20.4;0.4;10.8;38.8;64.0
1915;12.6;13.2;12.2;7.1;4.3;0.6;0.0;0.0;0.4;3.3;14.4;11.2;23.6;0.6;18.1;31.7;79.4
1916;6.8;13.7;14.4;8.9;3.3;1.4;0.0;0.0;0.2;2.0;5.5;14.5;26.6;1.4;7.6;45.6;70.7
1917;15.2;16.0;14.4;12.9;2.7;0.5;0.0;0.0;0.2;7.6;4.1;14.5;30.0;0.5;11.8;32.5;87.9
1918;12.8;5.2;11.6;9.2;2.1;0.8;0.0;0.0;1.6;4.1;9.4;6.3;22.9;0.8;15.1;33.0;63.1
1919;13.1;13.6;16.7;8.3;1.7;0.6;0.1;0.0;1.1;5.1;15.7;9.7;26.8;0.7;21.9;29.1;85.8
1920;11.3;8.1;10.1;6.5;2.5;0.2;0.0;0.1;0.5;1.4;4.3;11.4;19.0;0.4;6.2;25.7;56.5
1921;5.9;8.4;8.3;7.9;3.8;0.3;0.0;0.0;0.3;0.5;6.7;5.6;20.0;0.4;7.5;26.9;47.8
1922;11.9;9.5;11.1;13.7;2.5;0.7;0.3;0.1;1.0;4.5;7.0;8.1;27.3;1.1;12.5;23.6;70.3
1923;8.0;7.5;8.0;7.6;5.7;0.4;0.0;0.0;1.2;3.2;14.4;10.8;21.4;0.4;18.7;31.4;66.9
1924;9.2;11.4;14.8;10.7;3.3;0.1;0.0;0.0;0.5;2.8;5.2;5.3;28.8;0.2;8.4;25.4;63.3
1925;8.5;11.6;11.3;9.4;2.8;0.3;0.0;0.0;1.3;2.1;13.2;14.1;23.4;0.3;16.6;30.0;74.4
1926;9.6;6.3;8.4;4.8;3.9;0.6;0.0;0.0;0.1;6.2;10.1;10.1;17.1;0.6;16.4;30.4;60.0
1927;10.9;9.4;7.4;7.5;3.8;1.8;0.0;0.0;0.7;2.3;8.5;12.9;18.7;1.8;11.6;32.6;65.3
1928;11.1;8.6;9.5;7.5;3.1;1.1;0.0;0.0;1.2;2.0;6.1;11.1;20.1;1.1;9.3;37.6;61.2
1929;14.7;11.8;7.6;9.3;3.7;0.9;0.0;0.0;0.1;3.5;7.7;9.6;20.6;0.9;11.4;36.9;69.0
1930;11.5;15.7;12.1;6.2;2.9;0.3;0.0;0.0;0.2;1.7;9.7;9.1;21.2;0.3;11.6;32.7;69.4
1931;12.8;10.8;13.2;6.4;2.5;0.1;0.0;0.0;0.7;3.6;4.9;6.0;22.0;0.1;9.2;23.5;60.9
1932;6.2;11.3;12.0;9.3;2.8;0.2;0.0;0.0;0.4;4.2;6.2;6.7;24.2;0.2;10.7;32.4;59.3
1933;14.8;11.0;8.2;4.7;1.5;0.0;0.0;0.0;0.0;1.7;8.1;12.3;14.5;0.0;9.9;31.1;62.4
1934;9.2;9.6;11.9;8.0;2.9;0.0;0.0;0.0;0.1;1.9;6.9;3.0;22.8;0.0;8.9;19.7;53.6
1935;8.7;8.0;7.6;6.7;3.7;0.1;0.0;0.0;0.2;3.1;8.5;13.5;18.1;0.1;11.8;39.5;60.2
