Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Italy                : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;15.1;15.9;8.1;2.9;1.1;0.3;0.1;0.2;0.3;1.3;6.9;8.7;12.1;0.5;8.5;27.2;60.9
1902;10.1;8.4;7.5;1.9;2.7;0.5;0.2;0.2;0.4;1.6;6.0;11.4;12.0;0.8;8.0;32.1;50.6
1903;12.2;8.5;6.2;6.5;1.1;0.4;0.2;0.2;0.4;1.1;4.6;9.3;13.8;0.8;6.1;29.7;50.6
1904;12.2;8.3;6.8;2.1;0.8;0.3;0.1;0.1;0.6;1.4;6.6;9.4;9.8;0.5;8.6;38.6;48.7
1905;16.7;12.5;6.4;3.6;1.2;0.3;0.0;0.1;0.2;3.6;4.9;9.3;11.3;0.5;8.7;33.8;58.9
1906;12.3;12.2;8.8;3.7;1.0;0.4;0.1;0.1;0.6;1.0;3.4;13.5;13.5;0.7;5.1;43.3;57.3
1907;15.3;14.5;12.3;5.3;0.8;0.3;0.3;0.1;0.4;0.7;4.1;7.8;18.4;0.8;5.2;32.9;62.0
1908;13.7;11.3;9.7;5.4;0.6;0.2;0.2;0.3;0.6;1.7;7.2;10.7;15.7;0.6;9.5;42.0;61.6
1909;15.7;15.6;9.6;2.7;1.4;0.5;0.3;0.2;0.4;0.9;6.6;7.1;13.7;0.9;8.0;26.9;60.9
1910;11.2;8.6;7.6;3.7;1.3;0.3;0.3;0.2;0.6;1.1;6.2;6.1;12.6;0.7;7.8;33.1;47.0
1911;14.9;12.0;7.1;4.2;0.9;0.4;0.1;0.0;0.3;1.3;3.1;6.6;12.2;0.5;4.7;23.2;51.0
1912;10.4;6.1;4.4;4.8;0.8;0.3;0.2;0.3;0.8;2.2;8.2;8.4;10.1;0.8;11.3;30.1;47.1
1913;10.2;11.5;5.0;3.2;1.1;0.3;0.4;0.3;0.4;0.9;2.6;9.5;9.3;1.0;3.9;34.1;45.3
1914;16.5;8.1;5.9;2.2;1.2;0.5;0.2;0.1;0.5;1.7;5.4;7.0;9.2;0.8;7.6;28.7;49.3
1915;11.6;10.1;8.4;3.9;0.5;0.2;0.2;0.3;0.7;2.6;7.3;4.9;12.9;0.6;10.5;22.2;50.7
1916;8.5;8.8;5.2;3.1;0.8;0.5;0.2;0.2;0.6;1.5;3.8;7.1;9.0;0.9;5.9;33.8;40.3
1917;13.2;13.6;10.2;6.0;0.5;0.2;0.1;0.1;0.2;2.2;5.2;14.2;16.7;0.4;7.6;36.2;65.7
1918;11.3;10.8;8.0;2.4;0.7;0.7;0.2;0.2;0.3;2.0;5.2;7.2;11.2;1.0;7.5;27.8;49.0
1919;9.8;10.7;6.8;5.1;1.8;0.3;0.4;0.1;0.2;3.1;6.8;9.3;13.7;0.8;10.1;25.6;54.5
1920;8.1;8.1;4.9;2.0;0.4;0.4;0.1;0.3;0.3;1.5;6.1;8.5;7.4;0.8;7.8;25.9;40.7
1921;7.4;10.0;6.7;4.5;0.6;0.4;0.1;0.1;0.3;0.9;7.1;10.5;11.8;0.6;8.2;35.0;48.5
