Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Latvia               : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;28.4;27.4;27.6;15.8;4.0;0.0;0.0;0.0;1.4;6.6;23.3;28.3;47.4;0.0;31.3;82.1;162.7
1902;26.8;27.0;26.9;22.4;8.2;0.4;0.0;0.0;2.5;14.3;24.2;29.8;57.5;0.5;41.0;80.2;182.6
1903;27.3;23.1;20.9;13.7;2.8;0.0;0.0;0.0;0.6;12.6;18.6;26.4;37.4;0.0;31.8;79.5;146.0
1904;26.9;26.3;28.4;16.7;8.0;1.0;0.0;0.0;2.7;8.2;22.0;26.8;53.2;1.1;32.9;81.3;167.1
1905;29.8;24.7;24.8;19.2;2.6;0.0;0.0;0.0;1.5;12.8;18.3;25.8;46.6;0.0;32.6;76.9;159.3
1906;26.8;24.3;26.5;13.0;0.6;0.0;0.0;0.0;2.8;9.8;14.4;28.0;40.1;0.0;27.0;84.1;146.2
1907;30.0;26.1;26.8;17.4;4.6;0.1;0.0;0.1;2.7;2.8;21.4;29.9;48.8;0.2;26.9;83.0;161.9
1908;28.0;25.1;27.6;16.5;4.9;0.2;0.0;0.0;1.3;10.3;24.9;27.5;49.0;0.2;36.5;83.0;166.3
1909;28.0;27.5;26.4;20.3;10.4;0.3;0.0;0.0;0.3;3.8;24.0;24.8;57.2;0.3;28.1;73.2;165.8
1910;26.7;21.7;22.4;12.2;1.6;0.0;0.0;0.0;1.8;13.4;21.9;23.4;36.2;0.0;37.1;77.5;145.2
1911;27.1;26.9;26.0;16.1;2.0;0.6;0.0;0.0;0.7;10.2;16.5;25.1;44.1;0.6;27.4;83.7;151.2
1912;30.6;28.1;20.6;18.5;7.2;0.0;0.0;0.0;3.4;16.8;20.8;21.7;46.3;0.0;41.0;74.8;167.7
1913;28.4;24.7;22.7;11.2;5.4;0.3;0.0;0.0;1.3;11.2;13.9;26.1;39.3;0.3;26.5;76.5;145.3
1914;29.1;21.3;23.7;12.8;4.1;0.0;0.0;0.0;2.7;14.1;22.6;21.8;40.6;0.0;39.4;75.1;152.3
1915;28.3;24.9;29.4;15.4;7.2;0.6;0.0;0.0;1.6;15.4;22.7;29.5;52.0;0.6;39.8;81.4;175.2
1916;26.6;25.3;26.5;12.8;6.4;0.7;0.0;0.0;2.7;12.9;15.7;25.9;45.7;0.8;31.3;83.8;155.6
1917;30.3;27.6;30.4;19.2;8.1;0.0;0.0;0.0;0.8;6.6;15.6;27.4;57.7;0.0;23.0;82.6;166.0
1918;29.4;25.8;27.3;9.9;7.6;1.1;0.0;0.0;1.2;5.1;17.6;26.6;44.8;1.1;23.9;80.3;151.5
1919;27.1;26.7;27.9;16.8;5.5;0.2;0.0;0.0;0.5;12.7;26.6;28.5;50.2;0.2;39.7;82.0;172.4
1920;29.1;24.4;22.5;7.5;2.2;0.4;0.0;0.0;0.7;14.8;18.7;27.1;32.2;0.4;34.2;80.6;147.4
1921;27.1;26.5;21.7;9.6;1.2;0.0;0.0;0.0;2.6;11.1;25.9;27.8;32.5;0.0;39.6;84.5;153.5
1922;30.1;26.6;26.6;17.7;4.5;0.2;0.0;0.0;2.0;15.3;22.4;26.4;48.8;0.2;39.7;78.8;171.9
1923;25.0;27.5;25.3;20.7;5.9;1.7;0.0;0.0;0.8;5.1;17.0;27.3;51.9;1.7;22.8;85.8;156.3
1924;30.3;28.2;28.1;20.2;3.5;0.1;0.0;0.0;0.2;5.9;16.7;24.1;51.8;0.1;22.8;64.8;157.2
1925;21.2;19.5;26.0;12.1;1.9;0.3;0.0;0.0;1.4;12.5;24.1;28.3;40.0;0.3;37.9;83.2;147.2
1926;29.5;25.4;26.3;14.0;2.8;0.0;0.0;0.0;1.2;13.4;12.1;28.0;43.1;0.0;26.7;82.3;152.8
1927;28.9;25.4;21.0;15.1;8.1;0.2;0.0;0.0;0.7;9.1;23.4;30.0;44.2;0.2;33.2;84.0;161.9
1928;27.3;26.7;27.7;16.0;4.8;2.1;0.0;0.0;1.5;8.3;11.1;26.8;48.5;2.1;20.9;85.1;152.2
1929;30.3;28.0;28.0;23.6;2.9;1.2;0.0;0.0;1.6;4.7;13.4;20.5;54.6;1.2;19.8;68.6;154.3
1930;22.7;25.4;23.8;11.2;2.3;0.0;0.0;0.0;2.4;6.4;16.4;27.1;37.4;0.0;25.2;82.6;137.8
1931;28.8;26.8;29.5;19.5;1.1;0.4;0.0;0.0;3.7;11.2;19.4;26.4;50.0;0.4;34.3;78.8;166.7
1932;24.2;28.3;29.5;15.7;1.5;0.3;0.0;0.0;0.3;8.2;17.5;20.9;46.6;0.3;26.0;76.4;146.3
1933;29.4;26.1;25.5;17.9;5.3;0.1;0.0;0.0;1.1;8.0;22.6;29.7;48.7;0.1;31.7;79.6;165.6
1934;26.3;23.5;22.9;12.4;1.5;0.1;0.0;0.0;0.1;3.5;12.9;25.6;36.9;0.1;16.5;79.8;129.0
1935;29.6;24.6;26.5;14.8;8.6;0.0;0.0;0.0;0.6;3.9;18.2;23.8;49.9;0.0;22.7;76.3;150.5
1936;24.4;28.1;22.7;14.1;1.9;0.0;0.0;0.0;2.0;13.7;15.4;20.6;38.7;0.0;31.0;75.3;142.9
1937;29.5;25.2;24.7;12.4;0.9;0.0;0.0;0.0;0.1;6.6;15.8;29.0;38.0;0.0;22.4;78.8;144.1
1938;26.7;23.1;19.7;16.2;5.4;0.1;0.0;0.0;0.3;4.2;10.4;27.8;41.3;0.1;14.8;74.8;133.9
1939;26.8;20.1;25.5;14.3;5.5;0.0;0.0;0.0;2.1;16.0;16.4;27.7;45.3;0.0;34.5;87.6;154.4
1940;30.9;29.0;29.6;20.2;3.6;0.0;0.0;0.0;1.1;11.2;15.0;28.0;53.4;0.0;27.2;85.9;168.6
1941;31.0;26.9;27.5;22.0;9.9;1.1;0.0;0.0;3.1;15.8;25.2;28.7;59.4;1.1;44.1;87.7;191.1
1942;31.0;28.0;30.9;21.0;7.0;0.9;0.0;0.0;0.5;5.1;22.2;25.1;58.9;0.9;27.7;75.9;171.7
1943;30.0;20.8;23.6;11.4;4.8;0.0;0.0;0.0;0.5;4.4;17.9;22.7;39.9;0.0;22.7;72.5;136.2
1944;24.7;25.1;25.6;20.2;5.0;0.4;0.0;0.0;1.6;6.5;17.8;24.9;50.8;0.4;25.9;77.6;151.7
1945;29.0;23.7;26.2;13.5;6.5;0.3;0.0;0.0;1.2;10.7;19.1;28.3;46.3;0.3;31.0;82.5;158.6
1946;28.0;26.3;26.7;13.5;4.6;0.0;0.0;0.0;0.2;15.9;21.9;26.3;44.8;0.0;38.0;84.4;163.3
1947;30.1;28.0;28.8;15.6;4.8;0.0;0.0;0.0;0.5;11.5;19.9;25.0;49.2;0.0;31.8;80.3;164.2
1948;27.5;27.8;25.4;11.8;1.6;0.0;0.0;0.0;0.7;8.5;18.1;23.5;38.9;0.0;27.3;70.3;145.0
1949;24.4;22.4;26.4;12.6;1.5;0.0;0.0;0.0;0.4;7.5;13.3;20.8;40.6;0.0;21.2;75.3;129.4
1950;30.7;23.8;24.5;9.4;2.8;0.1;0.0;0.0;0.3;7.7;17.6;24.5;36.8;0.1;25.6;79.2;141.4
1951;29.0;25.7;28.3;13.0;7.5;0.1;0.0;0.0;0.7;12.1;17.7;21.0;48.8;0.1;30.4;71.7;155.0
1952;24.9;25.8;30.6;13.3;7.4;0.6;0.0;0.0;2.3;9.8;21.3;26.5;51.2;0.6;33.4;81.8;162.4
1953;28.4;27.0;25.3;13.4;4.5;0.0;0.0;0.0;1.0;4.7;19.6;25.6;43.2;0.0;25.3;83.6;149.4
1954;30.1;27.9;24.0;18.7;2.0;0.0;0.0;0.0;0.3;6.7;19.9;21.6;44.6;0.0;26.8;76.2;151.1
1955;28.3;26.3;28.9;21.6;7.3;1.0;0.0;0.0;0.0;6.3;20.2;28.5;57.7;1.0;26.5;86.2;168.3
1956;28.7;29.0;29.1;19.8;5.6;0.0;0.0;0.0;3.3;8.0;24.3;24.4;54.6;0.0;35.6;71.4;172.3
1957;25.2;21.8;27.9;15.9;5.3;0.2;0.0;0.0;1.7;5.7;16.0;25.9;49.0;0.2;23.4;80.8;145.6
1958;28.7;26.3;29.7;20.2;3.3;0.4;0.0;0.0;1.7;4.5;14.8;26.4;53.3;0.4;21.0;76.5;156.1
1959;26.6;23.4;23.6;13.6;4.7;0.1;0.0;0.0;2.8;10.5;18.1;27.8;41.8;0.1;31.5;85.4;151.2
1960;29.4;28.1;28.8;18.4;3.8;0.0;0.0;0.0;2.4;10.3;17.1;19.1;51.0;0.0;29.8;66.5;157.5
1961;26.7;20.6;20.3;14.6;4.0;0.0;0.0;0.0;1.5;4.8;16.0;27.8;38.9;0.0;22.3;78.2;136.3
1962;25.1;25.4;30.1;11.6;5.3;0.9;0.0;0.0;1.5;6.4;16.9;28.5;47.0;0.9;24.8;87.4;151.7
1963;30.9;27.9;30.3;19.2;0.7;0.3;0.0;0.0;0.6;7.0;17.6;29.1;50.3;0.3;25.3;84.8;163.7
1964;27.2;28.5;29.3;15.5;4.8;0.0;0.0;0.0;1.8;8.3;19.3;25.1;49.6;0.0;29.4;79.9;159.8
1965;27.5;27.3;27.6;16.8;9.6;0.1;0.0;0.0;0.3;8.2;25.9;25.8;54.0;0.1;34.4;83.9;169.1
1966;30.5;27.6;24.2;17.8;3.2;0.0;0.0;0.0;1.7;7.6;20.0;27.2;45.2;0.0;29.3;82.8;159.9
1967;30.6;25.0;19.7;13.8;2.6;0.2;0.0;0.0;0.4;2.7;14.1;29.5;36.2;0.2;17.3;87.3;138.7
1968;30.7;27.2;25.7;13.4;6.0;0.0;0.0;0.0;1.3;11.2;20.9;26.6;45.1;0.0;33.4;84.6;163.1
1969;30.6;27.4;30.3;16.6;4.3;0.1;0.0;0.0;2.0;9.2;17.2;30.1;51.2;0.1;28.4;88.7;167.8
1970;30.7;27.9;25.8;16.0;4.6;0.0;0.0;0.0;1.6;9.8;19.3;26.1;46.4;0.0;30.7;77.2;161.9
1971;26.4;24.6;28.0;16.1;4.0;0.2;0.0;0.0;2.3;8.0;22.3;22.6;48.1;0.2;32.5;78.1;154.4
1972;30.5;25.1;25.8;15.6;3.4;0.0;0.0;0.0;2.2;11.6;16.0;21.5;44.8;0.0;29.7;71.6;151.6
1973;27.3;22.7;23.9;15.2;3.4;0.0;0.0;0.0;3.5;14.1;22.6;27.8;42.4;0.0;40.2;75.5;160.5
1974;26.8;21.0;24.7;18.7;6.8;0.1;0.0;0.0;0.6;7.4;14.7;20.4;50.1;0.1;22.7;66.6;141.1
1975;22.5;23.7;22.1;13.1;1.5;0.1;0.0;0.0;0.4;9.4;21.4;23.8;36.7;0.1;31.1;81.8;137.9
1976;29.8;28.2;27.7;17.4;4.9;0.6;0.0;0.0;3.2;18.7;16.1;26.9;50.0;0.7;38.0;81.5;173.6
1977;28.8;25.7;24.6;16.4;3.6;0.0;0.0;0.0;3.7;7.7;14.1;27.5;44.6;0.0;25.5;83.0;152.2
1978;28.2;27.4;23.5;17.0;5.1;0.3;0.0;0.0;2.4;9.6;11.6;30.6;45.6;0.3;23.6;88.7;155.7
1979;30.4;27.7;25.0;18.3;2.9;0.0;0.0;0.0;1.0;14.0;18.8;25.8;46.2;0.0;33.9;83.8;163.9
1980;30.1;27.9;29.6;14.6;8.9;0.0;0.0;0.0;0.9;6.8;23.1;25.6;53.2;0.0;30.8;78.4;167.6
1981;27.9;24.9;26.8;19.7;2.0;0.0;0.0;0.0;0.7;6.0;18.8;28.5;48.5;0.0;25.5;84.6;155.3
1982;29.8;26.2;23.7;16.8;4.1;1.0;0.0;0.0;1.2;8.1;13.4;22.2;44.6;1.0;22.7;70.5;146.5
1983;21.9;26.4;24.9;10.2;1.0;0.2;0.0;0.0;0.5;6.7;21.0;25.7;36.1;0.2;28.2;78.6;138.4
1984;25.9;26.9;26.8;14.1;1.1;0.2;0.0;0.0;0.8;3.7;19.9;25.6;42.0;0.2;24.3;84.5;144.9
1985;30.9;28.0;25.5;17.8;3.0;0.1;0.0;0.0;2.2;4.8;22.7;27.3;46.3;0.1;29.6;83.3;162.4
1986;28.0;27.9;25.1;14.8;3.0;0.0;0.0;0.0;3.9;8.9;12.7;27.6;43.0;0.0;25.5;84.6;152.0
1987;31.0;26.0;30.2;19.4;5.1;0.3;0.0;0.0;1.9;9.8;19.3;26.5;54.6;0.3;31.0;76.8;169.5
1988;25.7;24.5;25.5;17.6;2.2;0.0;0.0;0.0;0.4;12.5;24.8;27.8;45.3;0.0;37.7;66.7;161.0
1989;20.6;18.3;17.7;11.0;3.4;0.0;0.0;0.0;0.8;6.3;20.7;26.5;32.1;0.0;27.8;66.0;125.3
1990;23.9;15.6;17.5;12.5;4.3;0.1;0.0;0.0;1.8;7.7;17.1;24.2;34.4;0.1;26.6;75.0;124.8
1991;25.6;25.2;22.1;14.4;6.0;0.5;0.0;0.0;0.8;8.7;14.2;24.6;42.5;0.5;23.8;72.3;142.3
1992;24.8;22.8;21.0;15.0;2.9;0.0;0.0;0.0;0.5;16.3;20.3;23.4;38.8;0.0;37.0;71.9;146.9
1993;25.2;23.3;24.7;13.4;0.8;0.6;0.0;0.0;4.7;10.9;26.0;24.2;38.9;0.6;41.6;76.5;153.9
1994;24.6;27.7;25.0;9.8;6.1;0.7;0.0;0.0;0.1;11.6;19.9;23.9;40.9;0.7;31.6;71.2;149.4
1995;27.3;20.1;21.2;13.5;4.3;0.0;0.0;0.0;1.2;5.0;23.4;29.7;39.0;0.0;29.6;88.0;145.6
1996;29.7;28.6;28.8;15.9;2.9;0.3;0.0;0.0;3.9;5.7;12.7;28.9;47.5;0.3;22.3;79.4;157.3
1997;28.1;22.4;24.6;18.5;5.3;0.0;0.0;0.0;1.3;11.5;18.3;27.0;48.4;0.0;31.1;73.0;157.0
1998;23.3;22.7;26.5;12.2;2.7;0.0;0.0;0.0;1.0;9.1;25.8;26.8;41.3;0.0;36.0;79.4;150.1
1999;26.8;25.8;23.7;9.5;7.8;0.0;0.0;0.0;0.4;6.3;19.3;24.2;41.0;0.0;26.1;72.5;143.8
2000;26.1;22.2;22.9;7.4;3.3;0.1;0.0;0.0;4.0;4.1;10.1;20.4;33.6;0.1;18.2;69.6;120.6
2001;23.6;25.6;26.0;10.8;3.5;0.2;0.0;0.0;0.7;4.0;19.7;29.6;40.3;0.2;24.4;75.3;143.7
2002;25.9;19.8;22.1;13.3;1.3;0.0;0.0;0.0;1.4;15.0;20.5;30.0;36.7;0.0;36.9;85.7;149.4
2003;29.4;26.3;25.7;18.0;2.3;0.1;0.0;0.0;1.2;12.1;13.0;22.1;46.0;0.1;26.3;77.2;150.2
2004;29.5;25.5;23.9;14.4;4.7;0.4;0.0;0.0;0.4;6.4;20.8;21.2;43.1;0.4;27.7;70.9;147.4
