Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Lithuania            : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;28.8;27.2;26.3;14.0;2.6;0.0;0.0;0.0;1.3;6.9;22.3;27.3;42.9;0.0;30.5;80.1;156.7
1902;25.8;26.9;25.9;21.4;6.7;0.1;0.0;0.0;2.2;13.7;24.3;30.1;54.0;0.2;40.3;79.8;177.3
1903;27.1;22.6;19.2;12.2;1.8;0.0;0.0;0.0;0.5;12.1;17.9;26.6;33.2;0.0;30.5;79.4;140.1
1904;27.5;25.3;27.9;14.7;7.1;0.8;0.0;0.0;3.0;8.4;21.8;26.2;49.7;0.8;33.2;80.6;162.6
1905;30.0;24.4;24.2;17.3;1.6;0.0;0.0;0.0;1.5;12.9;17.0;25.6;43.0;0.0;31.4;76.7;154.4
1906;26.9;24.2;25.3;10.2;0.0;0.0;0.0;0.0;2.4;9.8;12.6;28.2;35.5;0.0;24.9;84.5;139.7
1907;30.1;26.2;26.8;15.5;2.4;0.0;0.0;0.0;2.6;2.4;22.8;30.1;44.6;0.0;27.8;82.4;158.9
1908;27.9;24.5;26.9;14.2;3.2;0.1;0.0;0.0;1.2;11.5;25.3;27.9;44.3;0.1;37.9;84.1;162.5
1909;28.6;27.6;25.5;17.7;8.0;0.1;0.0;0.0;0.1;4.4;23.6;24.2;51.2;0.1;28.2;71.8;159.8
1910;26.3;21.3;22.0;10.1;0.8;0.0;0.0;0.0;2.4;15.0;22.0;23.0;32.8;0.0;39.3;77.1;142.8
1911;27.0;27.1;25.1;13.6;1.2;0.3;0.0;0.0;0.6;9.7;16.8;25.4;40.0;0.3;27.1;84.2;146.9
1912;30.9;27.9;17.4;16.6;5.6;0.0;0.0;0.0;3.5;17.2;21.0;21.0;39.6;0.0;41.7;73.9;161.2
1913;28.5;24.4;20.8;9.1;4.3;0.2;0.0;0.0;1.3;11.8;13.8;25.3;34.2;0.2;26.9;74.9;139.5
1914;29.1;20.5;21.8;10.9;2.7;0.0;0.0;0.0;3.0;13.8;23.3;21.7;35.4;0.0;40.0;74.2;146.8
1915;27.8;24.6;29.2;13.6;5.7;0.3;0.0;0.0;1.6;15.7;22.5;28.2;48.5;0.3;39.9;79.1;169.4
1916;25.9;25.0;24.9;10.6;4.7;0.5;0.0;0.0;2.8;12.1;16.2;25.7;40.2;0.5;31.2;84.0;148.4
1917;30.4;27.9;30.3;17.2;6.9;0.0;0.0;0.0;0.8;6.9;14.8;27.5;54.4;0.0;22.6;81.6;162.7
1918;28.6;25.4;26.6;6.4;6.1;1.1;0.0;0.0;0.9;4.9;19.0;26.7;39.1;1.1;24.9;80.4;145.9
1919;27.5;26.3;27.0;14.9;5.8;0.1;0.0;0.1;0.2;12.7;26.7;28.2;47.6;0.2;39.6;81.8;169.4
1920;29.0;24.6;21.8;4.6;1.1;0.4;0.0;0.0;0.7;16.8;20.8;27.7;27.5;0.4;38.3;80.5;147.5
1921;26.2;26.5;20.3;8.5;0.5;0.0;0.0;0.0;2.8;10.5;25.9;28.2;29.3;0.0;39.2;85.3;149.5
1922;30.4;26.7;25.7;15.3;3.3;0.1;0.0;0.0;2.1;15.3;22.6;26.1;44.4;0.1;40.0;78.3;167.7
1923;24.7;27.6;23.9;19.2;3.7;1.2;0.0;0.0;0.5;4.5;15.5;27.1;46.8;1.2;20.5;85.8;147.9
1924;30.7;28.1;27.6;18.1;1.9;0.0;0.0;0.0;0.2;6.5;16.6;25.4;47.6;0.0;23.3;64.2;155.1
1925;21.0;17.9;24.9;10.4;1.0;0.2;0.0;0.0;1.4;11.9;23.2;27.7;36.3;0.2;36.5;81.8;139.6
1926;29.4;24.6;25.9;11.2;1.5;0.0;0.0;0.0;0.9;12.6;9.9;27.8;38.6;0.0;23.4;82.5;143.9
1927;29.2;25.4;18.8;13.1;6.6;0.0;0.0;0.0;0.5;8.4;23.1;30.2;38.5;0.0;32.0;83.8;155.4
1928;26.9;26.6;27.4;14.2;3.4;1.6;0.0;0.0;1.3;8.0;9.4;27.0;45.0;1.6;18.7;85.6;145.9
1929;30.6;28.0;28.1;23.4;1.3;1.0;0.0;0.0;1.7;4.1;13.2;21.3;52.7;1.0;19.0;70.0;152.6
1930;23.5;25.3;23.1;9.3;1.9;0.0;0.0;0.0;2.1;6.3;15.2;27.7;34.3;0.0;23.5;83.3;134.3
1931;28.6;27.0;29.0;18.2;0.2;0.1;0.0;0.0;3.5;11.0;20.4;25.9;47.5;0.1;35.0;78.9;164.0
