Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Luxembourg           : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;26.4;25.5;20.6;9.6;4.2;0.2;0.0;0.0;0.4;5.7;20.3;21.3;34.5;0.2;26.5;62.5;134.4
1902;18.6;22.7;17.6;8.1;9.4;0.5;0.0;0.1;1.4;8.0;19.0;25.0;35.2;0.6;28.4;64.4;130.4
1903;23.4;15.9;15.0;16.6;3.0;0.8;0.0;0.0;0.7;2.8;13.3;24.3;34.6;0.8;16.8;69.2;115.8
1904;25.1;19.8;19.2;7.6;2.7;0.4;0.0;0.0;2.6;6.2;17.0;19.0;29.5;0.4;25.7;64.5;119.5
1905;26.0;19.5;14.6;12.5;4.7;0.0;0.0;0.0;0.5;13.0;16.7;22.2;31.7;0.0;30.2;66.3;129.8
1906;22.5;21.5;20.9;13.0;2.4;0.5;0.0;0.0;1.5;2.9;10.6;25.2;36.2;0.5;15.0;72.7;121.0
1907;24.4;23.1;20.2;13.3;2.7;0.5;0.3;0.0;1.0;2.7;13.3;19.2;36.3;0.8;17.0;66.4;120.7
1908;27.2;20.0;21.4;14.8;0.9;0.0;0.0;0.1;1.6;8.6;20.6;23.6;37.1;0.1;30.7;73.4;138.7
1909;26.1;23.6;21.6;9.3;6.0;1.1;0.1;0.0;1.1;3.3;19.5;20.1;36.9;1.3;23.9;59.6;131.9
1910;21.6;17.8;19.5;12.1;3.7;0.0;0.0;0.0;1.4;4.3;17.8;15.6;35.3;0.0;23.6;61.0;114.0
1911;25.4;20.0;17.4;13.7;1.8;0.4;0.0;0.0;0.3;4.8;12.1;14.7;32.9;0.4;17.2;53.5;110.6
1912;22.5;16.2;10.8;12.6;3.1;0.2;0.0;0.2;4.2;10.4;17.1;16.2;26.5;0.4;31.7;58.3;113.5
1913;21.2;20.9;12.2;10.1;2.7;0.2;0.2;0.1;1.0;3.8;6.4;19.8;25.0;0.6;11.2;63.5;98.6
1914;27.4;16.4;13.7;6.9;4.1;0.7;0.0;0.0;1.2;5.8;15.5;15.5;24.6;0.7;22.5;57.4;107.0
1915;22.1;19.8;20.1;13.2;1.9;0.0;0.0;0.0;2.0;9.8;21.2;13.0;35.2;0.1;33.0;46.6;123.1
1916;13.7;20.0;17.8;9.8;1.7;1.7;0.0;0.0;1.5;4.0;13.6;19.7;29.3;1.7;19.1;70.6;103.6
1917;25.8;25.1;23.0;17.8;0.5;0.0;0.0;0.0;0.3;9.8;11.2;26.4;41.2;0.0;21.3;67.5;139.8
1918;22.8;18.3;19.3;8.0;1.1;1.9;0.0;0.0;0.6;7.3;16.6;12.6;28.4;1.9;24.5;56.6;108.5
1919;21.7;22.3;17.9;15.4;3.6;0.6;0.6;0.0;0.4;13.1;20.5;19.6;36.9;1.2;34.1;54.9;135.9
