Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Macedonia            : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;28.8;23.7;14.4;7.4;0.9;0.0;0.0;0.0;0.2;3.1;17.9;18.2;22.7;0.0;21.2;58.8;114.6
1902;22.7;17.9;18.8;8.6;4.4;0.1;0.0;0.0;0.1;3.8;21.6;27.5;31.7;0.1;25.5;72.5;125.4
1903;25.7;19.3;13.8;11.6;1.0;0.1;0.0;0.0;0.1;3.7;12.2;21.4;26.4;0.1;15.9;65.5;108.8
1904;26.7;17.5;18.3;7.3;1.0;0.0;0.0;0.0;0.6;3.7;19.7;24.1;26.6;0.0;23.9;75.9;118.8
1905;28.6;23.2;17.4;10.1;0.8;0.0;0.0;0.0;0.0;9.2;9.3;23.5;28.2;0.0;18.5;70.2;122.1
1906;25.7;20.9;15.5;6.4;0.8;0.0;0.0;0.0;0.5;5.5;9.5;25.1;22.7;0.0;15.5;77.1;110.0
1907;27.6;24.4;24.6;12.6;0.1;0.0;0.0;0.0;0.2;0.5;16.2;21.6;37.3;0.0;17.0;69.8;127.8
1908;26.4;21.8;18.9;9.9;0.0;0.0;0.0;0.0;0.6;7.0;22.9;25.4;28.8;0.0;30.5;78.7;132.9
1909;27.9;25.4;17.4;6.9;1.1;0.0;0.0;0.0;0.0;2.5;16.1;18.1;25.4;0.0;18.7;58.4;115.5
1910;24.2;16.1;17.9;8.1;1.1;0.0;0.0;0.0;0.4;4.8;15.1;18.7;27.0;0.0;20.3;68.5;106.4
1911;25.5;24.3;18.0;8.7;0.9;0.0;0.0;0.0;0.1;3.6;8.8;21.4;27.6;0.0;12.5;67.0;111.4
1912;27.6;18.0;11.4;11.4;1.6;0.0;0.0;0.0;1.9;8.1;17.7;22.0;24.3;0.0;27.6;71.1;119.5
1913;25.9;23.2;12.5;7.0;1.6;0.0;0.0;0.0;0.1;3.9;11.8;23.4;21.1;0.1;15.8;74.4;109.4
1914;28.2;22.8;14.2;5.6;1.4;0.1;0.0;0.0;0.7;6.8;17.8;20.6;21.1;0.1;25.3;62.5;118.1
1915;21.7;20.2;19.2;8.3;0.7;0.0;0.0;0.0;1.2;5.5;17.5;15.7;28.2;0.0;24.2;60.6;110.1
1916;23.0;21.9;10.5;7.5;0.8;0.0;0.0;0.0;0.7;4.3;10.0;16.7;18.8;0.0;15.0;65.9;95.5
1917;24.2;25.0;19.6;9.7;1.0;0.0;0.0;0.0;0.0;3.0;12.5;26.0;30.2;0.0;15.6;73.2;121.0
1918;24.5;22.7;18.6;6.0;0.8;0.2;0.0;0.0;0.0;3.6;16.1;22.7;25.4;0.2;19.7;66.2;115.3
1919;22.1;21.3;14.5;8.0;4.8;0.0;0.0;0.0;0.0;5.8;15.2;23.4;27.4;0.0;21.0;69.6;115.3
1920;22.8;23.4;14.0;3.1;0.2;0.1;0.0;0.0;0.1;10.0;23.0;23.0;17.2;0.1;33.1;66.2;119.6
1921;20.5;22.6;15.4;8.9;0.2;0.1;0.0;0.0;0.3;4.9;19.2;24.8;24.5;0.1;24.5;75.3;117.1
1922;26.7;23.7;12.1;8.1;0.7;0.0;0.0;0.0;0.4;6.1;20.2;24.9;20.9;0.0;26.7;70.7;123.0
1923;24.6;21.2;15.3;8.7;0.1;0.4;0.0;0.0;0.1;1.0;6.3;22.6;24.1;0.4;7.4;74.7;100.2
1924;28.6;23.6;19.5;7.0;0.1;0.0;0.0;0.0;0.0;4.2;18.8;24.6;26.6;0.0;23.0;63.7;126.4
1925;24.9;14.2;17.8;6.5;0.6;0.2;0.0;0.0;0.4;4.2;10.2;25.5;24.9;0.2;14.8;66.0;104.4
1926;24.5;15.9;18.3;4.4;1.2;0.1;0.0;0.0;0.0;2.3;2.9;23.3;23.9;0.1;5.2;69.7;92.9
1927;23.3;23.1;10.4;6.2;0.8;0.0;0.0;0.0;0.0;3.8;10.2;26.0;17.4;0.0;14.1;75.1;103.9
1928;25.6;23.5;21.5;5.2;2.9;0.0;0.0;0.0;0.0;4.3;8.7;24.8;29.6;0.0;13.1;79.2;116.6
1929;28.2;26.2;23.7;13.5;0.2;0.0;0.0;0.0;0.3;3.0;9.5;21.7;37.3;0.0;12.7;67.8;126.2
1930;24.5;21.6;13.4;5.5;1.4;0.0;0.0;0.0;0.0;4.0;9.9;22.7;20.2;0.0;13.9;67.8;102.9
1931;24.3;20.9;20.5;11.4;0.3;0.0;0.0;0.0;1.5;6.4;16.3;25.8;32.2;0.0;24.3;79.2;127.5
1932;26.7;26.7;23.9;9.3;1.2;0.2;0.0;0.0;0.0;2.9;14.8;23.3;34.5;0.2;17.7;72.4;128.9
1933;27.4;21.8;19.7;13.3;2.5;0.5;0.0;0.0;0.8;5.9;12.3;27.3;35.4;0.5;19.1;77.2;131.5
1934;26.2;23.7;13.0;5.3;0.4;0.1;0.0;0.0;0.0;4.8;10.2;18.8;18.6;0.1;15.1;68.3;102.4
1935;27.0;22.5;20.4;9.1;2.2;0.0;0.0;0.0;0.2;2.0;14.4;22.0;31.8;0.0;16.6;61.9;119.9
1936;19.6;20.4;12.6;6.1;0.6;0.0;0.0;0.0;0.4;8.0;13.7;25.1;19.3;0.0;22.1;73.4;106.4
1937;27.3;21.1;13.3;7.8;0.3;0.0;0.0;0.0;0.0;3.5;12.4;22.7;21.4;0.0;15.9;70.4;108.4
1938;25.9;21.8;16.8;11.6;2.2;0.0;0.0;0.0;0.2;4.1;12.3;23.6;30.6;0.0;16.6;67.1;118.4
1939;23.0;20.5;21.7;5.9;1.9;0.0;0.0;0.0;0.2;4.2;12.8;24.3;29.5;0.0;17.2;77.8;114.6
1940;29.0;24.6;21.1;7.6;1.9;0.0;0.0;0.0;0.1;3.5;9.0;26.8;30.6;0.0;12.6;70.3;123.6
1941;25.6;17.9;17.6;7.1;2.1;0.0;0.0;0.0;1.1;7.8;20.0;26.1;26.8;0.0;28.8;79.1;125.2
1942;29.8;23.2;21.0;9.4;0.8;0.0;0.0;0.0;0.0;3.0;16.1;23.4;31.3;0.0;19.1;72.0;126.7
1943;27.9;20.8;19.1;7.6;1.4;0.1;0.0;0.0;0.0;1.5;11.5;22.8;28.0;0.1;13.0;70.9;112.5
1944;25.0;23.2;21.2;6.7;1.6;0.0;0.0;0.0;0.1;2.1;13.4;24.0;29.6;0.0;15.6;73.6;117.3
