Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Moldova              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;28.9;25.0;17.3;5.0;0.0;0.0;0.0;0.0;0.0;4.9;21.0;19.3;22.3;0.0;25.9;65.8;121.3
1902;23.5;23.0;21.4;9.7;0.7;0.0;0.0;0.0;0.2;7.7;25.4;29.6;31.9;0.0;33.3;78.4;141.2
1903;27.6;21.2;15.5;5.6;0.0;0.0;0.0;0.0;0.0;6.4;14.5;25.1;21.1;0.0;20.9;75.9;116.0
1904;28.9;21.8;23.9;10.5;0.9;0.0;0.0;0.0;0.2;4.2;20.1;24.1;35.4;0.0;24.4;77.8;134.7
1905;29.8;23.8;21.5;8.8;0.0;0.0;0.0;0.0;0.0;6.0;9.6;25.4;30.3;0.0;15.6;74.7;124.9
1906;26.4;22.9;17.3;4.0;0.0;0.0;0.0;0.0;0.2;6.9;10.2;25.3;21.3;0.0;17.3;81.3;113.2
1907;29.4;26.5;24.6;9.0;0.0;0.0;0.0;0.0;0.2;1.3;23.0;27.2;33.6;0.0;24.5;77.6;141.3
1908;28.0;22.5;21.9;7.7;0.0;0.0;0.0;0.0;0.1;9.3;24.7;27.7;29.7;0.0;34.1;84.5;141.9
1909;29.8;27.0;20.4;8.6;0.7;0.0;0.0;0.0;0.0;1.7;15.8;21.4;29.7;0.0;17.5;63.7;125.4
1910;25.0;17.3;21.4;4.4;0.0;0.0;0.0;0.0;0.0;7.0;13.2;20.3;25.8;0.0;20.2;75.9;108.7
1911;27.9;27.6;21.7;6.7;0.0;0.0;0.0;0.0;0.0;4.0;12.1;24.4;28.5;0.0;16.1;79.4;124.5
1912;30.0;24.9;12.8;9.4;0.9;0.0;0.0;0.0;0.2;12.3;16.9;19.4;23.1;0.0;29.4;70.9;126.9
1913;26.9;24.6;14.9;3.8;0.1;0.0;0.0;0.0;0.0;6.2;11.7;21.6;18.8;0.0;17.9;68.2;109.9
1914;28.2;18.5;13.6;4.9;0.0;0.0;0.0;0.0;0.2;6.1;22.7;21.8;18.5;0.0;28.9;66.8;115.8
1915;22.5;22.5;24.2;5.4;0.1;0.0;0.0;0.0;0.1;6.3;16.7;21.4;29.7;0.0;23.2;68.3;119.3
1916;24.6;22.3;14.5;4.0;0.0;0.0;0.0;0.0;0.1;4.2;12.2;22.8;18.6;0.0;16.4;78.7;104.7
1917;28.2;27.7;25.6;6.3;0.6;0.0;0.0;0.0;0.0;2.5;9.3;25.9;32.5;0.0;11.8;74.0;126.1
1918;25.2;22.9;22.6;3.1;0.6;0.0;0.0;0.0;0.0;0.6;16.8;23.6;26.3;0.0;17.4;72.6;115.5
1919;24.9;24.0;21.4;3.8;1.2;0.0;0.0;0.0;0.0;4.1;21.9;24.8;26.4;0.0;26.0;77.4;126.0
1920;26.4;26.2;15.0;0.7;0.0;0.0;0.0;0.0;0.0;17.1;22.9;26.7;15.7;0.0;40.0;77.2;135.1
1921;24.4;26.1;17.0;3.8;0.0;0.0;0.0;0.0;0.7;7.2;23.0;27.1;20.8;0.0;30.9;81.4;129.3
1922;29.3;25.0;16.2;5.8;0.0;0.0;0.0;0.0;0.2;9.4;17.5;24.3;22.1;0.0;27.1;74.3;127.8
1923;24.6;25.5;16.1;8.5;0.0;0.0;0.0;0.0;0.0;1.3;6.5;24.2;24.6;0.0;7.8;81.6;106.6
1924;30.7;26.7;24.1;7.1;0.0;0.0;0.0;0.0;0.0;4.9;18.7;26.7;31.2;0.0;23.6;64.6;138.9
1925;24.2;13.7;17.4;4.9;0.0;0.0;0.0;0.0;0.0;6.1;13.6;26.4;22.3;0.0;19.8;76.5;106.4
1926;27.3;22.9;23.4;3.8;0.0;0.0;0.0;0.0;0.1;6.3;5.7;25.1;27.2;0.0;12.1;78.9;114.6
1927;28.2;25.7;12.9;4.9;0.4;0.0;0.0;0.0;0.0;3.9;17.1;29.9;18.2;0.0;21.0;84.2;122.9
1928;27.2;27.1;26.5;6.4;0.1;0.0;0.0;0.0;0.0;5.9;7.7;24.7;33.0;0.0;13.5;82.3;125.5
1929;29.6;28.0;27.4;15.5;0.0;0.0;0.0;0.0;0.3;1.0;9.9;22.8;43.0;0.0;11.2;71.6;134.5
1930;24.7;24.1;15.4;3.2;0.0;0.0;0.0;0.0;0.0;3.7;10.9;26.7;18.6;0.0;14.6;79.9;108.7
1931;27.6;25.7;24.2;10.5;0.0;0.0;0.0;0.0;0.3;7.2;19.5;26.2;34.7;0.0;27.0;80.1;141.2
1932;25.3;28.5;26.7;5.7;0.0;0.0;0.0;0.0;0.0;1.2;15.5;21.3;32.4;0.0;16.7;74.8;124.3
1933;29.7;23.8;22.9;10.8;0.2;0.0;0.0;0.0;0.1;2.6;15.4;29.7;33.8;0.0;18.1;80.4;135.1
1934;27.6;23.2;15.5;2.6;0.0;0.0;0.0;0.0;0.0;2.3;9.2;25.9;18.1;0.0;11.5;79.3;106.3
1935;30.0;23.4;23.3;4.9;0.3;0.0;0.0;0.0;0.0;1.3;19.3;21.2;28.5;0.0;20.6;65.9;123.7
