Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Montenegro           : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;28.0;25.2;18.9;9.4;2.0;0.0;0.0;0.0;1.1;4.0;17.8;18.4;30.4;0.0;23.0;58.4;125.0
1902;20.9;19.1;19.4;9.7;7.9;0.5;0.0;0.0;1.0;5.8;19.2;25.1;37.1;0.5;26.0;68.9;128.7
1903;25.4;18.4;14.9;15.4;2.5;0.4;0.0;0.0;0.7;4.7;12.3;20.5;32.7;0.4;17.7;64.3;115.2
1904;24.9;18.9;17.6;8.2;2.4;0.1;0.0;0.0;1.8;5.1;17.7;21.4;28.2;0.1;24.6;71.2;118.1
1905;27.8;22.1;17.2;12.2;2.4;0.0;0.0;0.0;0.2;12.7;11.8;20.9;31.8;0.0;24.7;66.9;127.3
1906;24.8;21.2;19.0;8.7;1.7;0.3;0.0;0.0;1.8;5.9;9.1;24.7;29.5;0.3;16.8;74.9;117.3
1907;26.5;23.7;23.1;14.8;0.6;0.0;0.0;0.0;0.9;1.1;15.3;20.2;38.5;0.0;17.3;67.1;126.2
1908;25.7;21.3;20.8;12.7;0.2;0.0;0.0;0.0;1.9;7.2;20.7;23.8;33.7;0.0;29.8;75.9;134.1
1909;27.2;24.9;20.4;8.3;3.0;0.2;0.0;0.0;0.4;3.1;16.9;17.5;31.7;0.2;20.3;57.8;121.9
1910;22.8;17.4;17.7;10.3;2.5;0.0;0.0;0.0;1.5;5.3;16.5;16.2;30.4;0.0;23.3;63.9;110.3
1911;25.2;22.6;18.2;10.6;2.2;0.3;0.0;0.0;0.5;5.3;8.6;18.4;30.9;0.3;14.3;60.9;111.6
1912;25.0;17.5;13.0;13.7;2.8;0.0;0.0;0.1;3.9;9.2;19.5;19.9;29.5;0.1;32.7;66.9;124.7
1913;24.5;22.4;13.8;9.4;3.0;0.2;0.4;0.2;0.8;5.0;10.7;21.3;26.1;0.8;16.5;70.7;111.7
1914;28.0;21.4;16.5;6.9;2.9;0.4;0.0;0.0;1.9;7.4;16.7;18.4;26.3;0.4;25.9;61.5;120.5
1915;22.7;20.4;20.5;10.5;1.6;0.0;0.0;0.2;2.9;8.6;18.5;14.5;32.6;0.2;30.0;55.4;120.3
1916;20.1;20.8;12.4;9.5;2.0;0.4;0.0;0.0;1.9;6.1;10.4;16.4;23.9;0.4;18.5;65.4;100.1
1917;24.3;24.7;21.7;14.2;1.4;0.0;0.0;0.0;0.2;5.1;13.7;24.6;37.3;0.0;18.9;68.1;129.9
1918;22.8;20.7;18.1;6.1;1.8;1.2;0.0;0.0;0.4;6.1;17.0;19.3;26.0;1.2;23.5;61.7;113.5
1919;20.9;21.5;17.2;12.4;7.4;0.3;0.1;0.0;0.2;8.4;17.1;21.4;36.9;0.4;25.6;60.9;126.8
1920;20.1;19.5;13.9;4.6;0.6;0.6;0.0;0.0;0.6;10.0;19.4;20.0;19.1;0.6;30.0;58.8;109.3
1921;18.2;20.6;15.6;11.2;0.9;0.6;0.0;0.0;1.1;4.7;18.5;22.9;27.8;0.6;24.3;72.0;114.4
1922;26.0;23.0;15.2;11.5;1.8;0.0;0.0;0.0;1.7;8.8;19.3;21.9;28.5;0.0;29.9;65.4;129.4
1923;23.2;20.3;17.1;11.2;0.8;1.6;0.0;0.0;0.5;1.9;9.4;22.5;29.2;1.6;11.8;73.2;108.4
1924;26.9;23.9;20.3;10.2;0.5;0.0;0.0;0.1;0.1;5.3;16.7;21.2;31.1;0.1;22.2;59.3;125.3
1925;22.4;15.7;20.8;8.5;1.2;0.7;0.0;0.0;1.8;5.4;13.1;24.5;30.6;0.7;20.3;63.3;114.2
1926;24.3;14.4;18.9;6.6;3.0;0.5;0.0;0.1;0.3;4.0;3.1;21.7;28.5;0.6;7.4;64.6;97.0
1927;21.2;21.8;12.9;8.9;2.7;0.0;0.0;0.0;0.1;5.5;11.7;24.5;24.5;0.0;17.3;68.7;109.2
1928;23.5;20.7;20.7;7.8;5.6;0.2;0.0;0.0;0.4;5.4;9.2;22.8;34.0;0.2;15.0;77.5;116.3
1929;28.1;26.5;21.5;15.8;0.9;0.2;0.0;0.0;0.6;3.5;10.0;18.8;38.2;0.2;14.0;61.8;125.9
1930;21.7;21.3;14.6;7.4;3.0;0.0;0.0;0.0;0.1;5.4;9.1;21.0;25.0;0.0;14.6;65.4;103.6
1931;23.2;21.2;22.8;13.6;0.4;0.0;0.0;0.0;3.9;7.3;14.0;23.8;36.8;0.0;25.2;73.3;130.2
1932;23.1;26.4;24.2;10.9;1.8;0.5;0.0;0.0;0.0;4.3;13.7;20.1;36.9;0.5;18.0;67.9;124.9
1933;26.4;21.3;17.8;13.1;3.8;1.3;0.0;0.0;1.2;5.6;14.5;26.9;34.8;1.3;21.3;72.3;132.0
1934;24.2;21.2;13.5;4.6;0.7;0.3;0.0;0.0;0.2;5.7;10.8;13.3;18.7;0.3;16.7;61.3;94.5
1935;26.7;21.2;20.8;10.6;4.3;0.0;0.0;0.0;0.7;2.6;13.1;21.5;35.7;0.0;16.4;59.2;121.6
1936;17.4;20.2;12.8;8.7;1.3;0.1;0.0;0.0;1.0;11.8;14.2;21.4;22.9;0.2;27.0;65.8;109.0
1937;25.3;19.2;15.9;10.8;0.5;0.0;0.0;0.0;0.3;4.5;14.0;22.5;27.2;0.0;18.8;67.9;112.9
1938;24.5;20.9;13.3;16.0;3.9;0.0;0.0;0.0;1.0;3.9;9.9;23.3;33.2;0.0;14.8;62.6;116.6
1939;20.9;18.4;22.6;5.3;3.5;0.1;0.0;0.0;0.9;7.2;11.8;23.8;31.4;0.1;19.9;78.2;114.4
1940;29.0;25.4;21.3;9.1;3.9;0.2;0.0;0.3;0.6;5.3;9.2;27.3;34.4;0.5;15.1;73.5;131.8
1941;26.3;19.9;17.9;11.0;5.1;0.2;0.0;0.0;2.5;7.9;18.7;22.8;34.0;0.3;29.1;76.6;132.2
1942;29.6;24.3;19.5;12.1;1.9;0.1;0.0;0.0;0.0;3.2;16.0;19.1;33.5;0.1;19.2;63.8;125.8
1943;26.8;17.9;16.1;7.2;3.3;0.5;0.0;0.0;0.1;2.9;15.7;20.2;26.6;0.5;18.6;65.1;110.6
1944;21.3;23.6;23.4;8.1;3.7;0.3;0.0;0.0;0.7;3.7;14.7;23.2;35.2;0.3;19.1;70.1;122.6
1945;28.0;18.9;16.0;8.0;0.7;0.0;0.0;0.0;0.4;6.2;14.9;21.0;24.8;0.0;21.5;66.1;114.2
1946;26.0;19.1;15.5;4.9;0.4;0.0;0.0;0.0;0.0;10.8;12.5;24.3;20.9;0.0;23.3;76.4;113.6
1947;28.8;23.3;16.1;5.1;0.9;0.0;0.0;0.0;0.0;7.7;10.5;20.8;22.1;0.0;18.3;60.2;113.2
1948;17.6;21.8;15.8;5.8;0.8;0.3;0.0;0.0;0.3;4.5;14.7;23.5;22.4;0.4;19.5;64.6;105.2
1949;21.1;19.9;22.0;6.1;1.5;0.8;0.0;0.0;0.2;3.4;10.1;19.9;29.6;0.8;13.8;67.3;105.2
1950;27.1;20.3;14.7;8.2;0.6;0.0;0.0;0.0;0.3;7.6;12.8;20.3;23.5;0.0;20.7;58.1;112.0
1951;21.1;16.7;17.1;9.0;2.6;0.0;0.0;0.0;0.0;6.3;8.9;21.5;28.7;0.0;15.2;68.9;103.3
1952;24.2;23.1;22.4;5.1;3.5;0.0;0.0;0.0;0.7;6.9;14.4;19.5;31.0;0.0;22.0;65.7;119.8
1953;24.0;22.3;20.9;8.1;2.7;0.0;0.0;0.0;0.4;3.2;15.7;21.8;31.8;0.0;19.3;73.9;119.1
1954;28.2;23.9;14.3;12.7;3.0;0.0;0.1;0.0;0.4;6.8;12.6;18.8;30.0;0.1;19.7;58.7;120.7
1955;20.1;19.8;21.0;13.6;3.7;0.3;0.0;0.0;0.4;4.3;13.4;19.4;38.3;0.3;18.2;68.2;116.1
1956;21.7;27.2;22.4;11.5;2.7;0.4;0.0;0.0;0.3;8.2;17.4;23.2;36.6;0.4;26.0;66.4;134.9
1957;25.2;18.1;17.2;8.8;4.7;0.0;0.0;0.0;1.0;4.6;10.4;21.5;30.6;0.0;16.0;65.1;111.5
1958;24.5;19.1;22.8;13.8;0.3;0.4;0.0;0.0;0.5;5.6;9.8;17.4;36.8;0.4;15.9;64.9;114.1
1959;25.1;22.4;12.9;8.6;2.4;0.4;0.0;0.0;1.9;9.2;12.0;17.1;23.9;0.4;23.1;62.4;112.0
1960;24.2;21.0;15.2;9.1;2.5;0.1;0.1;0.0;1.3;4.1;10.3;16.3;26.9;0.2;15.7;59.1;104.2
1961;23.5;19.4;15.8;4.9;4.2;0.0;0.0;0.0;0.3;2.8;10.9;22.2;24.9;0.0;14.0;66.4;104.0
1962;22.1;22.2;22.0;8.5;3.7;0.6;0.1;0.0;1.0;3.1;11.6;24.9;34.2;0.6;15.8;76.9;119.8
1963;28.1;23.9;21.4;6.5;1.3;0.0;0.0;0.0;0.3;4.5;6.9;23.3;29.2;0.0;11.7;74.0;116.2
1964;28.2;22.6;18.7;9.2;2.6;0.0;0.0;0.1;0.9;5.4;9.7;21.1;30.5;0.1;16.0;68.8;118.4
1965;23.0;24.7;18.4;12.0;4.5;0.3;0.0;0.2;0.6;7.3;16.7;20.8;34.9;0.5;24.7;62.6;128.6
1966;26.9;14.9;19.0;6.2;2.0;0.1;0.0;0.0;0.6;1.0;15.5;21.9;27.2;0.1;17.1;69.5;108.1
1967;26.7;20.9;17.0;10.2;2.2;0.4;0.0;0.0;0.2;3.6;13.0;23.5;29.4;0.4;16.8;69.5;117.6
1968;27.1;18.9;18.9;6.2;0.8;0.0;0.0;0.2;1.1;5.6;9.4;22.5;25.9;0.2;16.0;68.5;110.5
1969;24.3;21.7;17.4;10.5;0.5;0.5;0.0;0.0;0.3;4.8;9.9;23.8;28.4;0.5;15.0;67.3;113.7
1970;21.9;21.6;20.3;11.4;4.4;0.0;0.0;0.0;0.8;7.5;10.9;22.2;36.0;0.0;19.3;62.8;121.0
1971;21.5;19.1;23.1;6.8;0.7;0.2;0.0;0.0;2.0;7.7;16.6;20.6;30.7;0.2;26.3;58.8;118.5
1972;22.1;16.2;13.6;6.5;2.9;0.0;0.0;0.0;2.3;8.0;14.0;20.5;22.9;0.0;24.2;62.7;106.0
