Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Netherlands          : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;24.8;23.0;15.4;6.6;1.6;0.0;0.0;0.0;0.0;1.7;11.9;13.9;23.7;0.0;13.6;44.6;99.0
1902;9.7;21.0;12.4;7.9;5.8;0.0;0.0;0.0;0.4;4.9;14.6;21.7;26.1;0.0;20.0;46.8;98.5
1903;16.0;9.1;8.2;12.6;0.9;0.1;0.0;0.0;0.0;1.1;7.5;18.1;21.7;0.1;8.6;52.4;73.5
1904;20.2;14.1;15.1;5.0;1.3;0.1;0.0;0.0;0.5;3.2;9.8;10.2;21.5;0.1;13.5;44.9;79.6
1905;21.5;13.1;10.0;10.7;1.9;0.0;0.0;0.0;0.1;8.9;11.8;13.8;22.6;0.0;20.7;42.5;91.7
1906;14.0;14.6;14.8;9.0;0.4;0.0;0.0;0.0;0.1;0.8;3.8;21.6;24.2;0.0;4.7;58.8;79.1
1907;17.7;19.5;14.0;9.3;1.0;0.0;0.0;0.0;0.1;0.5;9.5;12.3;24.3;0.0;10.1;48.6;84.0
1908;23.7;12.6;15.3;11.2;0.3;0.0;0.0;0.0;0.1;4.4;14.6;17.5;26.8;0.0;19.2;60.1;99.8
1909;21.5;21.2;17.2;7.7;3.8;0.2;0.0;0.0;0.1;0.8;12.2;12.9;28.7;0.2;13.2;37.1;97.6
1910;13.3;10.9;13.2;7.9;0.9;0.0;0.0;0.0;0.1;1.9;13.0;8.4;22.0;0.0;15.0;40.2;69.6
1911;18.4;13.4;12.1;8.7;0.4;0.0;0.0;0.0;0.0;3.0;7.7;8.2;21.2;0.0;10.7;41.5;71.9
1912;20.4;12.8;6.0;7.9;1.6;0.0;0.0;0.0;1.8;6.4;9.1;7.5;15.6;0.0;17.3;37.7;73.6
1913;16.2;14.0;7.8;6.9;1.0;0.0;0.0;0.0;0.1;1.6;2.9;10.2;15.6;0.0;4.5;42.8;60.6
1914;23.2;9.5;9.1;4.3;1.9;0.0;0.0;0.0;0.1;1.8;8.7;8.1;15.3;0.0;10.6;36.6;66.7
1915;14.5;14.1;14.3;9.1;1.6;0.0;0.0;0.0;0.4;5.3;15.2;8.9;24.9;0.0;20.9;32.3;83.2
1916;7.8;15.6;12.9;6.6;0.7;0.5;0.0;0.0;0.3;2.1;7.8;13.0;20.2;0.5;10.2;59.0;67.3
1917;22.9;23.1;20.9;14.1;0.4;0.0;0.0;0.0;0.0;5.3;5.3;21.8;35.3;0.0;10.6;49.7;113.7
1918;15.6;12.4;13.4;5.3;0.4;0.3;0.0;0.0;0.1;2.4;10.7;6.2;19.1;0.3;13.2;40.9;66.6
1919;16.1;18.6;13.7;10.5;1.3;0.0;0.0;0.0;0.0;6.9;17.7;13.8;25.5;0.0;24.6;36.4;98.7
1920;11.9;10.7;7.4;3.3;0.4;0.0;0.0;0.0;0.0;7.1;16.1;15.7;11.1;0.0;23.2;36.4;72.6
1921;7.1;13.6;9.9;7.1;0.5;0.0;0.0;0.0;0.1;0.6;19.4;14.3;17.5;0.0;20.1;57.5;72.6
1922;23.0;20.3;13.3;11.0;0.7;0.0;0.0;0.0;0.3;9.2;11.0;8.7;25.0;0.0;20.5;34.2;97.4
1923;11.4;14.2;9.6;9.3;2.0;0.8;0.0;0.0;0.1;0.8;12.3;20.4;20.9;0.8;13.2;64.8;80.9
1924;22.9;21.5;17.2;9.4;0.2;0.0;0.0;0.0;0.0;1.5;10.5;11.1;26.8;0.0;12.0;31.7;94.2
1925;11.3;9.3;15.9;6.8;0.2;0.0;0.0;0.0;0.5;2.8;13.5;18.5;22.9;0.0;16.8;42.4;78.8
1926;17.2;6.7;10.4;4.1;2.2;0.0;0.0;0.0;0.0;3.9;5.3;13.9;16.7;0.0;9.2;39.3;63.6
1927;11.2;14.2;7.3;6.6;2.7;0.2;0.0;0.0;0.0;1.9;11.3;23.4;16.5;0.2;13.2;47.9;78.7
1928;13.2;11.3;15.7;7.1;2.9;0.1;0.0;0.0;0.6;2.5;3.7;15.5;25.7;0.1;6.7;66.7;72.6
1929;25.0;26.2;16.7;13.5;1.0;0.0;0.0;0.0;0.0;1.2;7.3;8.0;31.2;0.0;8.5;35.8;98.9
1930;10.2;17.6;12.7;4.6;1.3;0.0;0.0;0.0;0.0;1.9;4.8;14.3;18.7;0.0;6.7;47.4;67.5
1931;15.2;18.0;21.3;10.3;0.2;0.0;0.0;0.0;0.9;4.5;6.8;14.2;31.8;0.0;12.2;47.6;91.4
1932;12.7;20.7;19.7;8.4;0.8;0.1;0.0;0.0;0.0;2.7;8.7;13.2;28.9;0.1;11.4;52.5;87.0
1933;23.1;16.2;11.7;7.4;1.4;0.0;0.0;0.0;0.0;1.9;11.5;24.8;20.4;0.0;13.4;56.1;97.9
1934;16.8;14.5;12.1;5.5;1.7;0.0;0.0;0.0;0.0;0.9;8.3;5.9;19.2;0.0;9.2;34.3;65.6
1935;16.1;12.3;15.6;6.8;4.3;0.0;0.0;0.0;0.0;2.6;5.9;14.6;26.7;0.0;8.5;42.4;78.3
1936;10.2;17.5;10.2;10.9;0.8;0.0;0.0;0.0;0.0;5.0;9.0;13.0;21.9;0.0;14.0;42.0;76.7
1937;18.0;11.0;15.1;5.1;0.2;0.0;0.0;0.0;0.1;1.3;11.0;18.0;20.4;0.0;12.4;46.5;79.8
1938;13.0;15.5;7.9;11.5;3.6;0.0;0.0;0.0;0.0;2.2;2.9;20.7;23.0;0.0;5.1;45.3;77.3
1939;11.4;13.2;14.7;5.8;2.2;0.0;0.0;0.0;0.0;5.7;5.6;19.6;22.7;0.0;11.4;73.0;78.2
1940;28.9;24.5;14.8;7.3;1.3;0.0;0.0;0.0;0.3;4.7;6.4;21.0;23.4;0.0;11.3;65.7;109.2
1941;26.2;18.4;14.6;10.8;5.6;0.0;0.0;0.0;0.2;3.0;12.6;11.2;30.9;0.0;15.7;63.9;102.5
1942;28.1;24.6;21.1;8.2;2.0;0.1;0.0;0.0;0.0;0.6;8.7;10.9;31.3;0.1;9.3;38.9;104.3
1943;16.7;11.3;12.1;4.0;1.6;0.0;0.0;0.0;0.1;2.2;11.7;17.7;17.7;0.0;13.9;45.5;77.3
1944;9.3;18.5;16.9;6.1;2.9;0.0;0.0;0.0;0.2;2.4;7.4;16.7;26.0;0.0;10.0;50.3;80.5
1945;25.5;8.1;7.8;5.2;0.4;0.0;0.0;0.0;0.0;0.8;9.0;13.2;13.3;0.0;9.8;45.8;69.9
1946;22.1;10.6;14.0;5.5;0.9;0.0;0.0;0.0;0.0;4.2;7.6;22.2;20.3;0.0;11.7;73.1;87.0
1947;25.3;25.6;18.4;6.2;0.1;0.0;0.0;0.0;0.0;5.2;6.1;12.3;24.8;0.0;11.3;39.2;99.3
1948;10.2;16.7;10.9;4.8;0.9;0.0;0.0;0.0;0.0;2.9;9.1;13.1;16.6;0.0;12.0;40.1;68.6
1949;13.5;13.5;18.4;4.7;2.1;0.2;0.0;0.0;0.0;1.2;9.9;9.7;25.1;0.2;11.1;41.3;73.0
1950;21.1;10.5;10.7;8.4;0.7;0.0;0.0;0.0;0.0;3.7;8.0;22.0;19.8;0.0;11.7;49.3;85.0
