Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Norway               : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;27.5;27.1;28.5;22.1;14.7;4.4;0.4;2.0;6.1;11.2;26.3;29.2;65.4;6.8;43.5;83.0;199.4
1902;27.2;26.6;28.7;25.1;20.6;10.2;7.2;6.4;12.9;21.9;25.0;28.4;74.4;23.7;59.8;79.6;240.2
1903;28.7;22.5;24.1;24.3;16.3;8.2;4.5;4.4;8.6;22.4;24.8;26.6;64.7;17.1;55.8;79.8;215.3
1904;25.4;27.9;28.5;22.2;18.7;8.2;3.9;4.3;8.3;16.7;26.3;28.3;69.5;16.4;51.4;81.6;218.9
1905;28.5;24.8;26.8;25.2;16.3;4.1;2.1;4.2;9.7;24.2;24.9;25.0;68.2;10.5;58.8;76.8;215.8
1906;26.8;25.0;28.5;22.1;15.4;5.8;2.2;4.9;8.8;16.9;21.6;28.2;66.0;12.9;47.3;81.7;206.2
1907;28.6;24.9;26.0;22.7;19.5;6.2;4.1;6.7;10.8;12.0;22.0;28.6;68.2;17.0;44.8;81.3;212.1
1908;27.3;25.4;28.7;23.2;18.1;8.6;2.8;2.7;9.7;15.0;26.3;26.3;70.0;14.1;51.0;78.3;214.0
1909;25.7;26.4;29.4;25.7;21.7;8.6;3.3;4.1;9.4;13.6;27.1;28.2;76.7;16.1;50.1;78.3;223.1
1910;28.2;21.9;25.6;22.0;14.1;6.5;3.3;4.1;8.6;19.0;25.9;27.0;61.6;13.9;53.5;79.2;206.1
1911;27.3;24.9;27.3;23.3;12.7;8.1;2.8;2.1;7.3;22.2;25.0;24.1;63.3;12.9;54.5;81.3;207.1
1912;29.9;27.3;25.6;24.6;17.0;5.5;2.1;3.1;11.7;20.8;25.1;25.6;67.1;10.7;57.5;78.9;218.1
