Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Portugal             : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;5.2;7.5;3.5;0.8;0.1;0.0;0.0;0.0;0.0;0.4;3.3;7.1;4.4;0.0;3.7;15.8;27.9
1902;5.8;2.9;1.9;0.5;0.6;0.0;0.0;0.0;0.0;0.4;1.2;4.0;3.0;0.0;1.6;13.0;17.2
1903;5.3;3.8;2.2;1.0;0.3;0.0;0.0;0.0;0.0;0.1;1.3;5.8;3.5;0.0;1.4;14.0;19.6
1904;5.4;2.8;3.9;1.0;0.0;0.0;0.0;0.0;0.0;0.1;1.8;2.0;4.9;0.0;1.9;16.2;17.0
1905;7.0;7.2;1.3;0.5;0.2;0.0;0.0;0.0;0.0;0.5;2.4;4.6;2.0;0.0;3.0;14.3;23.8
1906;4.1;5.6;3.4;1.8;0.2;0.0;0.0;0.0;0.0;0.1;1.8;6.0;5.5;0.0;1.9;20.9;23.1
1907;8.1;6.8;3.1;1.1;0.3;0.0;0.0;0.0;0.0;0.4;1.3;1.5;4.5;0.0;1.6;10.6;22.6
1908;3.7;5.3;4.7;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.8;2.6;6.8;0.0;0.8;16.5;19.3
1909;7.0;7.0;2.4;0.6;0.1;0.0;0.0;0.0;0.0;0.1;1.5;1.9;3.0;0.0;1.5;10.2;20.4
1910;6.0;2.3;4.4;1.4;0.6;0.0;0.0;0.0;0.0;0.1;1.5;2.6;6.4;0.0;1.6;18.3;18.9
1911;11.1;4.6;3.5;2.2;0.3;0.0;0.0;0.0;0.0;0.2;1.6;2.0;6.1;0.0;1.8;8.0;25.6
1912;4.5;1.5;1.4;1.3;0.0;0.0;0.0;0.0;0.0;0.3;2.5;6.2;2.8;0.0;2.9;13.0;17.9
1913;2.6;4.2;2.2;1.4;0.1;0.0;0.0;0.0;0.0;0.2;0.9;5.2;3.7;0.0;1.1;16.7;16.9
1914;8.7;2.7;1.8;0.8;0.2;0.0;0.0;0.0;0.0;0.2;2.0;3.0;2.8;0.0;2.2;12.5;19.5
1915;5.3;4.2;2.0;2.2;0.1;0.0;0.0;0.0;0.0;0.4;1.4;1.8;4.3;0.0;1.8;11.5;17.4
1916;5.1;4.7;3.3;1.5;0.1;0.0;0.0;0.0;0.0;0.1;1.6;2.7;4.9;0.0;1.7;14.3;19.0
1917;6.9;4.7;4.4;2.4;0.1;0.0;0.0;0.0;0.0;0.6;2.4;7.6;6.9;0.0;3.0;14.8;29.1
1918;3.2;4.1;3.5;2.1;0.1;0.0;0.0;0.0;0.0;0.9;1.7;3.0;5.7;0.0;2.6;10.3;18.5
1919;6.2;1.1;2.3;1.9;0.1;0.0;0.0;0.0;0.0;0.5;3.0;5.3;4.4;0.0;3.5;12.3;20.5
1920;4.2;2.9;2.6;0.7;0.0;0.0;0.0;0.0;0.0;0.2;1.7;4.3;3.3;0.0;1.9;12.9;16.5
1921;4.8;3.8;3.3;1.6;0.3;0.0;0.0;0.0;0.0;0.0;1.8;5.8;5.1;0.0;1.8;15.2;21.4
1922;5.9;3.4;3.6;1.2;0.0;0.0;0.0;0.0;0.0;0.1;1.6;7.0;4.8;0.0;1.7;18.5;22.9
1923;8.7;2.8;1.9;2.2;0.2;0.0;0.0;0.0;0.0;0.0;1.9;7.5;4.2;0.0;1.9;21.2;25.1
1924;5.0;8.7;1.4;0.9;0.0;0.0;0.0;0.0;0.0;0.1;1.7;3.6;2.3;0.0;1.7;15.8;21.4
1925;6.3;5.9;7.4;1.5;0.3;0.0;0.0;0.0;0.0;0.1;2.5;1.6;9.2;0.0;2.6;6.8;25.6
1926;3.8;1.4;1.6;0.7;0.4;0.0;0.0;0.0;0.0;0.0;1.6;5.5;2.8;0.0;1.7;15.5;15.1
1927;5.1;4.9;2.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;2.2;2.7;2.8;0.0;2.3;12.3;17.7
1928;6.5;3.1;1.8;1.2;0.5;0.0;0.0;0.0;0.0;0.1;2.1;6.7;3.6;0.0;2.2;16.5;22.0
1929;6.6;3.2;2.1;0.9;0.3;0.0;0.0;0.0;0.0;0.1;1.4;2.0;3.3;0.0;1.5;12.8;16.6
1930;3.4;7.3;2.1;2.1;0.1;0.0;0.0;0.0;0.0;0.0;0.8;2.1;4.2;0.0;0.8;11.8;17.9
1931;5.1;4.6;1.4;0.9;0.1;0.0;0.0;0.0;0.0;0.1;1.1;7.6;2.5;0.0;1.2;22.8;21.0
1932;6.9;8.3;2.2;2.4;0.2;0.0;0.0;0.0;0.0;0.2;1.1;2.9;4.9;0.0;1.3;16.5;24.3
1933;7.1;6.5;2.1;0.6;0.0;0.0;0.0;0.0;0.0;0.1;3.6;9.5;2.7;0.0;3.7;27.9;29.4
1934;9.3;9.2;5.2;1.7;0.1;0.0;0.0;0.0;0.0;0.1;4.0;1.6;7.0;0.0;4.1;20.3;31.1
1935;10.6;8.1;2.6;1.4;0.8;0.0;0.0;0.0;0.0;0.6;2.0;2.7;4.7;0.0;2.6;6.6;28.8
1936;1.7;2.1;2.9;1.0;0.8;0.0;0.0;0.0;0.0;0.6;2.8;7.9;4.6;0.0;3.4;15.6;19.8
1937;5.2;2.6;3.1;0.7;0.2;0.0;0.0;0.0;0.0;0.1;0.5;5.0;4.0;0.0;0.6;18.3;17.4
1938;7.0;6.3;2.3;1.0;0.3;0.0;0.0;0.0;0.0;0.1;0.7;4.4;3.5;0.0;0.8;11.4;22.0
1939;2.5;4.5;3.7;1.6;0.4;0.0;0.0;0.0;0.0;0.2;1.6;3.5;5.8;0.0;1.7;10.1;18.0
1940;4.8;1.8;0.8;0.7;0.2;0.0;0.0;0.0;0.0;0.4;1.9;7.9;1.6;0.0;2.2;16.3;18.3
1941;5.9;2.5;1.8;1.2;0.6;0.0;0.0;0.0;0.0;0.3;2.4;7.8;3.5;0.0;2.7;24.2;22.4
1942;7.0;9.3;1.1;0.9;0.1;0.0;0.0;0.0;0.0;0.0;1.5;3.8;2.0;0.0;1.6;13.6;23.8
1943;4.3;5.5;2.8;0.6;0.1;0.0;0.0;0.0;0.0;0.1;3.7;4.1;3.5;0.0;3.9;23.4;21.3
1944;8.8;10.4;4.2;0.6;0.1;0.0;0.0;0.0;0.0;0.6;1.9;6.2;4.9;0.0;2.5;22.0;32.8
1945;11.1;4.6;3.4;0.4;0.1;0.0;0.0;0.0;0.0;0.1;0.5;2.2;3.8;0.0;0.6;14.4;22.4
1946;7.4;4.8;2.6;0.9;0.4;0.0;0.0;0.0;0.0;0.0;1.6;6.4;3.9;0.0;1.6;16.3;24.2
1947;7.1;2.7;0.8;1.0;0.3;0.0;0.0;0.0;0.0;0.1;1.1;6.4;2.1;0.0;1.1;13.3;19.5
1948;3.3;3.7;1.7;1.3;0.3;0.0;0.0;0.0;0.0;0.2;1.4;2.0;3.3;0.0;1.6;13.3;13.8
1949;6.2;5.1;3.8;0.5;0.3;0.0;0.0;0.0;0.0;0.0;1.3;3.4;4.6;0.0;1.3;14.9;20.7
1950;8.0;3.5;2.7;2.1;0.2;0.0;0.0;0.0;0.0;0.1;0.7;5.5;5.0;0.0;0.8;15.4;22.8
1951;5.1;4.7;2.6;1.4;0.8;0.0;0.0;0.0;0.0;0.5;0.9;2.8;4.8;0.0;1.5;18.0;18.9
1952;9.2;6.0;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;4.1;1.9;0.0;1.7;20.2;23.0
1953;8.9;7.3;4.5;1.1;0.0;0.0;0.0;0.0;0.0;0.2;1.2;1.6;5.6;0.0;1.4;17.8;24.7
1954;9.4;6.9;2.3;2.3;0.3;0.0;0.0;0.0;0.0;0.1;0.5;4.0;4.9;0.0;0.6;7.7;25.8
1955;0.9;2.8;3.3;0.7;0.0;0.0;0.0;0.0;0.0;0.3;1.1;1.8;4.1;0.0;1.4;13.6;10.9
1956;3.9;7.9;2.8;1.3;0.2;0.0;0.0;0.0;0.0;0.2;4.7;8.8;4.3;0.0;4.8;21.0;29.8
1957;10.4;1.8;0.7;2.3;0.5;0.0;0.0;0.0;0.0;0.5;2.9;7.8;3.5;0.0;3.4;15.2;27.0
1958;5.3;2.1;2.1;2.4;0.1;0.0;0.0;0.0;0.0;0.2;2.9;1.8;4.5;0.0;3.2;10.1;16.9
1959;2.6;5.7;1.1;0.9;0.2;0.0;0.0;0.0;0.0;0.1;1.7;2.5;2.1;0.0;1.7;9.9;14.6
1960;5.1;2.4;1.2;1.1;0.0;0.0;0.0;0.0;0.0;0.2;0.8;5.7;2.3;0.0;1.1;13.3;16.6
1961;5.7;1.9;1.8;0.5;0.0;0.0;0.0;0.0;0.0;0.1;1.5;1.9;2.4;0.0;1.6;12.4;13.5
1962;4.0;6.5;2.0;1.0;0.3;0.0;0.0;0.0;0.0;0.0;3.7;6.8;3.3;0.0;3.8;16.1;24.3
1963;3.8;5.4;2.0;1.3;0.3;0.0;0.0;0.0;0.0;0.1;0.6;4.2;3.6;0.0;0.7;14.5;17.9
1964;7.2;3.1;2.3;1.7;0.0;0.0;0.0;0.0;0.0;0.4;2.8;8.5;4.0;0.0;3.2;22.9;26.1
1965;6.8;7.6;1.7;1.5;0.1;0.0;0.0;0.0;0.0;0.0;1.4;2.5;3.2;0.0;1.4;5.0;21.5
1966;1.3;1.2;4.8;0.7;0.2;0.0;0.0;0.0;0.0;0.2;4.8;5.9;5.6;0.0;5.0;17.0;18.9
1967;7.3;3.9;1.7;2.1;0.5;0.0;0.0;0.0;0.0;0.0;1.3;7.5;4.2;0.0;1.3;18.3;24.2
1968;7.9;2.9;2.8;1.1;0.4;0.0;0.0;0.0;0.0;0.0;0.8;2.9;4.3;0.0;0.9;10.7;18.9
1969;2.9;4.9;2.1;1.3;0.2;0.0;0.0;0.0;0.0;0.0;2.4;6.8;3.5;0.0;2.5;13.4;20.6
1970;1.8;4.8;6.5;2.2;0.2;0.0;0.0;0.0;0.0;0.7;0.8;10.1;8.9;0.0;1.5;20.6;27.1
1971;5.6;5.0;6.2;1.0;0.4;0.0;0.0;0.0;0.0;0.0;4.6;4.5;7.6;0.0;4.6;15.1;27.3
1972;7.3;3.3;2.7;2.0;0.7;0.0;0.0;0.0;0.0;0.2;0.8;3.7;5.5;0.0;1.0;16.5;20.8
1973;6.5;6.4;4.7;2.6;0.1;0.0;0.0;0.0;0.0;0.3;1.9;7.8;7.4;0.0;2.2;14.3;30.1
1974;2.3;4.3;3.0;2.0;0.2;0.0;0.0;0.0;0.0;1.5;2.0;4.6;5.2;0.0;3.5;10.7;19.9
1975;3.9;2.2;4.3;1.9;0.5;0.0;0.0;0.0;0.0;0.1;2.2;6.3;6.7;0.0;2.4;20.4;21.6
1976;10.6;3.4;3.9;2.1;0.2;0.0;0.0;0.0;0.0;0.2;3.5;1.9;6.1;0.0;3.7;7.2;25.8
1977;3.7;1.6;1.9;1.1;0.5;0.0;0.0;0.0;0.0;0.0;1.6;1.2;3.5;0.0;1.6;7.9;11.6
1978;4.5;2.2;2.7;1.6;0.4;0.0;0.0;0.0;0.0;0.2;1.6;1.2;4.7;0.0;1.8;5.7;14.4
1979;2.5;2.0;2.8;1.9;0.3;0.0;0.0;0.0;0.0;0.0;2.9;3.6;4.9;0.0;2.9;12.0;16.0
1980;5.5;2.9;2.3;1.5;0.3;0.0;0.0;0.0;0.0;0.2;2.0;8.5;4.1;0.0;2.2;25.4;23.2
1981;9.7;7.2;0.9;1.2;0.3;0.0;0.0;0.0;0.0;0.1;1.3;1.9;2.4;0.0;1.4;7.8;22.6
