Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Romania              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.7;25.4;17.7;8.2;1.1;0.0;0.0;0.1;1.1;6.2;21.2;19.4;27.0;0.1;28.6;65.3;130.3
1902;24.1;21.8;21.5;11.7;4.7;0.3;0.2;0.1;1.5;8.8;25.0;29.5;37.8;0.5;35.2;78.9;148.9
1903;28.1;21.4;16.5;11.2;1.7;0.3;0.1;0.2;1.6;8.6;15.5;24.1;29.5;0.6;25.7;75.0;129.4
1904;29.1;21.8;22.6;12.5;2.8;0.5;0.1;0.1;1.7;6.7;21.6;24.8;38.0;0.7;30.1;78.9;144.3
1905;30.0;24.1;20.4;12.1;1.1;0.1;0.0;0.0;0.5;12.5;11.2;25.2;33.7;0.1;24.3;74.9;137.4
1906;27.2;22.6;18.5;6.7;0.7;0.2;0.0;0.2;2.0;9.5;11.0;26.2;26.0;0.4;22.5;81.9;124.9
1907;29.3;26.3;25.8;13.9;0.3;0.2;0.1;0.2;1.5;2.1;21.3;24.9;39.9;0.4;25.0;75.8;145.9
1908;28.2;22.7;20.6;10.6;0.6;0.1;0.0;0.2;1.9;12.0;25.3;27.2;31.8;0.3;39.3;83.8;149.5
1909;29.7;26.9;20.5;9.6;2.6;0.3;0.0;0.0;0.4;4.1;18.0;20.7;32.7;0.3;22.5;63.3;132.7
1910;25.5;17.0;20.5;8.0;1.1;0.0;0.1;0.1;1.3;9.3;16.3;20.2;29.6;0.2;26.9;74.3;119.4
1911;27.3;26.8;20.5;9.5;1.0;0.3;0.0;0.0;0.9;6.4;11.6;23.3;31.0;0.4;18.9;76.1;127.7
1912;29.9;23.0;13.3;13.4;2.9;0.1;0.1;0.2;3.6;14.2;19.2;21.4;29.6;0.3;37.0;73.8;141.2
1913;27.6;24.8;15.1;7.4;2.2;0.4;0.3;0.2;0.8;8.1;13.8;22.6;24.7;1.0;22.7;73.7;123.4
1914;29.3;21.8;16.5;7.2;1.9;0.2;0.0;0.1;1.9;9.1;21.7;21.8;25.6;0.4;32.7;67.3;131.6
1915;23.3;22.2;23.5;9.2;1.6;0.1;0.0;0.2;2.6;9.1;19.7;19.8;34.3;0.3;31.4;67.3;131.3
1916;24.6;22.9;13.7;7.6;1.3;0.2;0.0;0.1;1.8;7.7;12.6;20.3;22.6;0.4;22.0;75.1;112.9
1917;27.4;27.4;24.5;10.7;2.2;0.0;0.0;0.0;0.8;4.9;12.8;26.6;37.4;0.1;18.4;76.3;137.3
1918;25.7;23.9;21.7;5.1;2.2;0.6;0.0;0.1;0.4;3.8;18.4;23.8;29.0;0.7;22.6;72.3;125.8
1919;24.8;23.6;19.6;8.0;5.4;0.4;0.1;0.2;0.4;8.5;20.8;24.9;33.0;0.7;29.7;76.1;136.8
1920;25.7;25.5;16.1;2.4;0.6;0.5;0.0;0.1;1.1;17.8;24.1;25.4;19.0;0.6;42.9;73.7;139.2
1921;23.1;25.2;17.1;7.7;0.6;0.5;0.0;0.0;2.3;9.3;22.4;26.7;25.4;0.5;34.0;81.3;134.9
1922;29.2;25.5;16.2;9.2;1.3;0.1;0.0;0.1;1.9;11.9;20.7;25.5;26.6;0.2;34.4;75.3;141.5
1923;25.4;24.3;17.2;10.8;0.5;0.8;0.0;0.2;0.6;2.8;7.7;24.4;28.4;1.0;11.0;80.9;114.6
