Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Serbia               : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.2;25.1;15.1;5.7;0.3;0.0;0.0;0.0;0.2;2.4;18.0;15.0;21.2;0.0;20.7;53.9;111.2
1902;19.9;19.0;17.8;7.4;3.7;0.0;0.0;0.0;0.2;4.3;22.2;27.5;28.8;0.1;26.8;70.9;122.1
1903;26.1;17.4;11.0;10.7;0.4;0.0;0.0;0.0;0.1;3.3;10.9;19.8;22.1;0.0;14.4;63.4;99.8
1904;26.4;17.2;16.3;5.2;0.5;0.0;0.0;0.0;0.5;3.3;18.4;21.7;21.9;0.0;22.2;72.6;109.5
1905;28.7;22.2;14.7;8.7;0.4;0.0;0.0;0.0;0.0;10.9;9.7;21.4;23.9;0.0;20.7;67.8;116.8
1906;25.5;20.9;15.3;4.4;0.2;0.0;0.0;0.0;0.6;5.0;7.8;24.8;19.9;0.0;13.3;76.3;104.5
1907;27.0;24.5;23.3;11.3;0.1;0.0;0.0;0.0;0.2;0.3;16.3;19.0;34.6;0.0;16.7;66.7;121.8
1908;26.8;20.9;18.2;8.1;0.0;0.0;0.0;0.0;0.6;6.4;23.8;24.8;26.3;0.0;30.8;77.7;129.6
1909;27.6;25.3;17.4;4.9;0.6;0.0;0.0;0.0;0.1;1.4;16.3;15.0;23.0;0.0;17.8;52.1;108.7
1910;22.8;14.3;14.3;6.1;0.4;0.0;0.0;0.0;0.4;4.2;15.0;14.1;20.8;0.0;19.5;62.7;91.5
1911;25.0;23.6;15.6;6.5;0.3;0.0;0.0;0.0;0.1;3.5;7.2;17.3;22.5;0.0;10.8;61.8;99.2
1912;27.5;17.0;9.1;10.0;0.7;0.0;0.0;0.0;2.1;8.6;19.0;19.4;19.8;0.0;29.6;68.1;113.3
1913;26.0;22.7;9.8;5.2;0.7;0.0;0.1;0.0;0.2;3.5;9.7;19.9;15.7;0.1;13.4;72.4;97.8
1914;29.0;23.5;12.7;3.5;0.6;0.0;0.0;0.0;0.6;5.7;17.5;16.9;16.8;0.0;23.8;57.3;110.0
1915;20.7;19.6;19.5;6.3;0.2;0.0;0.0;0.0;1.1;6.0;18.4;12.1;26.0;0.0;25.6;53.1;104.1
1916;19.3;21.7;8.1;5.5;0.3;0.0;0.0;0.0;0.5;4.4;9.0;13.6;13.9;0.0;13.9;64.0;82.5
1917;24.3;26.1;20.5;8.8;0.2;0.0;0.0;0.0;0.0;2.7;11.3;25.0;29.5;0.0;14.1;70.4;119.0
1918;23.2;22.2;15.7;2.6;0.3;0.1;0.0;0.0;0.0;3.3;16.3;19.9;18.6;0.1;19.7;62.3;103.6
1919;20.9;21.5;13.5;7.1;3.5;0.0;0.0;0.0;0.0;6.1;16.7;21.3;24.1;0.0;22.7;62.5;110.5
1920;19.9;21.3;10.9;1.1;0.0;0.1;0.0;0.0;0.1;10.8;23.3;20.3;12.1;0.1;34.2;58.0;107.8
1921;16.0;21.6;12.1;6.2;0.1;0.1;0.0;0.0;0.3;3.6;20.3;24.1;18.4;0.1;24.2;75.7;104.4
1922;26.9;24.7;11.4;7.3;0.3;0.0;0.0;0.0;0.5;7.6;19.8;22.3;18.9;0.0;28.0;66.1;120.9
1923;22.7;21.0;13.3;7.3;0.1;0.2;0.0;0.0;0.1;0.6;6.9;21.7;20.7;0.2;7.6;74.3;94.0
1924;28.3;24.3;19.2;6.6;0.0;0.0;0.0;0.0;0.0;3.8;18.4;23.5;25.9;0.0;22.2;59.3;124.3
1925;23.7;12.0;17.3;4.4;0.1;0.1;0.0;0.0;0.5;4.0;11.4;25.4;21.8;0.1;15.9;63.8;99.0
1926;24.7;13.7;17.1;2.9;0.6;0.1;0.0;0.0;0.0;2.3;1.9;21.4;20.6;0.1;4.2;65.5;84.7
1927;21.5;22.5;8.8;4.8;0.5;0.0;0.0;0.0;0.0;4.0;10.7;26.4;14.1;0.0;14.7;73.7;99.3
1928;25.1;22.2;20.6;3.9;1.9;0.0;0.0;0.0;0.1;3.9;7.6;23.2;26.5;0.0;11.6;78.6;108.6
1929;28.6;26.7;23.2;12.7;0.1;0.0;0.0;0.0;0.1;1.7;8.3;18.0;36.0;0.0;10.1;63.1;119.5
1930;23.6;21.5;10.8;3.4;0.6;0.0;0.0;0.0;0.0;3.3;7.5;21.3;14.8;0.0;10.9;65.8;92.1
1931;23.5;20.9;22.8;9.5;0.0;0.0;0.0;0.0;1.7;5.8;14.7;24.7;32.3;0.0;22.2;77.4;123.7
1932;25.7;27.0;24.9;6.4;0.3;0.1;0.0;0.0;0.0;2.4;13.9;21.5;31.6;0.1;16.3;70.1;122.2
1933;27.4;21.2;15.9;10.2;0.9;0.2;0.0;0.0;0.4;4.1;13.2;27.8;27.0;0.2;17.6;75.8;121.2
1934;25.8;22.2;9.1;1.9;0.1;0.0;0.0;0.0;0.0;3.6;8.7;12.3;11.2;0.0;12.4;61.4;83.8
1935;27.0;22.1;18.8;6.0;1.2;0.0;0.0;0.0;0.2;1.1;13.0;20.4;26.1;0.0;14.3;56.3;109.9
1936;16.1;19.8;8.8;4.4;0.1;0.0;0.0;0.0;0.3;9.1;13.0;22.4;13.3;0.0;22.4;69.3;93.9
1937;27.1;19.8;10.8;5.7;0.1;0.0;0.0;0.0;0.1;2.6;12.2;21.0;16.6;0.0;14.9;66.6;99.5
1938;24.9;20.6;10.2;10.2;1.0;0.0;0.0;0.0;0.2;2.4;9.2;23.9;21.3;0.0;11.8;63.5;102.5
1939;21.3;18.3;21.0;2.3;0.8;0.0;0.0;0.0;0.2;5.0;11.5;24.2;24.0;0.0;16.7;81.4;104.5
1940;30.3;27.0;22.0;5.3;0.9;0.0;0.0;0.0;0.1;3.6;7.5;27.4;28.1;0.0;11.1;73.0;123.9
1941;26.9;18.7;15.0;6.0;1.6;0.0;0.0;0.0;0.9;6.7;20.9;23.3;22.6;0.0;28.5;78.6;120.0
1942;30.6;24.6;22.2;8.0;0.3;0.0;0.0;0.0;0.0;1.8;15.7;19.1;30.4;0.0;17.5;65.1;122.3
1943;28.3;17.7;14.6;3.7;0.7;0.0;0.0;0.0;0.0;1.2;13.3;20.8;19.0;0.0;14.6;66.0;100.4
1944;22.0;23.3;21.4;4.5;0.8;0.0;0.0;0.0;0.1;1.3;12.7;22.9;26.6;0.0;14.1;70.6;108.9
1945;27.9;19.8;13.7;4.4;0.1;0.0;0.0;0.0;0.1;4.8;14.3;21.5;18.3;0.0;19.2;68.6;106.7
1946;27.6;19.5;12.4;2.1;0.0;0.0;0.0;0.0;0.0;10.5;10.5;24.7;14.6;0.0;21.0;78.7;107.4
1947;29.8;24.2;12.0;2.3;0.1;0.0;0.0;0.0;0.0;7.5;9.7;18.6;14.4;0.0;17.2;56.0;104.2
1948;15.3;22.1;14.8;2.6;0.1;0.0;0.0;0.0;0.1;3.0;16.5;26.9;17.5;0.0;19.5;70.3;101.2
1949;22.1;21.2;22.0;3.7;0.3;0.1;0.0;0.0;0.0;3.1;7.3;17.1;25.9;0.1;10.4;65.8;97.0
1950;28.3;20.4;11.7;3.4;0.1;0.0;0.0;0.0;0.1;6.2;10.8;15.9;15.2;0.0;17.1;49.1;96.8
1951;19.2;14.1;12.4;4.5;0.4;0.0;0.0;0.0;0.0;6.9;7.4;21.2;17.3;0.0;14.3;66.1;86.0
1952;22.7;22.2;23.6;2.1;0.9;0.0;0.0;0.0;0.2;3.7;12.9;19.2;26.6;0.0;16.8;63.9;107.6
1953;23.1;21.6;19.8;4.2;0.7;0.0;0.0;0.0;0.1;2.2;18.7;24.1;24.7;0.0;20.9;80.7;114.4
1954;29.8;26.8;12.3;9.9;0.5;0.0;0.0;0.0;0.1;5.1;13.4;15.5;22.7;0.0;18.6;59.0;113.3
1955;24.4;19.1;20.2;11.7;1.1;0.0;0.0;0.0;0.1;2.8;13.5;16.9;33.1;0.0;16.3;66.6;109.9
1956;21.2;28.4;23.7;5.6;0.5;0.0;0.0;0.0;0.1;5.9;21.6;22.8;29.8;0.0;27.6;63.6;129.9
1957;26.2;14.5;14.5;5.1;1.4;0.0;0.0;0.0;0.2;4.9;10.4;22.6;21.0;0.0;15.4;63.5;99.8
1958;25.3;15.6;23.6;9.2;0.0;0.0;0.0;0.0;0.1;3.2;9.6;15.1;32.8;0.0;12.9;62.4;101.7
1959;23.8;23.5;11.0;4.9;0.4;0.0;0.0;0.0;0.7;8.2;12.0;12.3;16.3;0.0;20.9;60.3;96.9
1960;25.5;22.5;13.7;5.8;0.6;0.0;0.0;0.0;0.4;1.3;6.2;11.4;20.0;0.0;7.9;55.0;87.2
1961;25.5;18.1;10.2;1.7;0.8;0.0;0.0;0.0;0.0;1.3;9.0;23.8;12.7;0.0;10.3;68.2;90.4
